Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,22.01,22.38,21.98,22.14,5806200,22.14
2014-06-18,21.76,21.97,21.67,21.95,4925300,21.95
2014-06-17,21.56,21.77,21.45,21.70,3935700,21.70
2014-06-16,21.61,21.70,21.52,21.57,4524500,21.57
2014-06-13,21.45,21.71,21.32,21.70,6135000,21.70
2014-06-12,21.27,21.55,21.24,21.30,7312900,21.30
2014-06-11,21.28,21.71,21.07,21.28,6133300,21.28
2014-06-10,21.32,21.39,21.18,21.29,6071700,21.29
2014-06-09,21.44,21.49,21.26,21.39,4651300,21.39
2014-06-06,21.49,21.57,21.36,21.38,7351500,21.38
2014-06-05,21.62,21.74,21.45,21.47,6123400,21.32
2014-06-04,21.49,21.75,21.45,21.62,5346000,21.47
2014-06-03,21.73,21.83,21.46,21.63,8601800,21.48
2014-06-02,22.10,22.14,21.81,21.86,10506600,21.71
2014-05-30,22.27,22.27,21.89,21.99,6743500,21.84
2014-05-29,21.98,22.30,21.95,22.17,6037400,22.02
2014-05-28,22.39,22.51,22.00,22.06,6030000,21.91
2014-05-27,22.35,22.86,22.29,22.48,8526500,22.32
2014-05-23,22.25,22.31,22.05,22.27,7261700,22.11
2014-05-22,22.14,22.25,22.00,22.22,5485500,22.06
2014-05-21,22.22,22.26,22.09,22.17,6821200,22.02
2014-05-20,22.44,22.45,21.79,22.09,10134900,21.94
2014-05-19,22.25,22.51,22.16,22.40,4839200,22.24
2014-05-16,22.11,22.62,22.01,22.44,11711600,22.28
2014-05-15,21.63,22.35,21.50,22.31,15418700,22.15
2014-05-14,21.29,21.47,21.20,21.41,3737600,21.26
2014-05-13,21.16,21.27,20.99,21.25,5210600,21.10
2014-05-12,20.80,21.40,20.80,21.26,5541400,21.11
2014-05-09,20.95,21.17,20.58,20.79,12396500,20.64
2014-05-08,20.22,20.60,20.04,20.13,6740300,19.99
2014-05-07,20.11,20.24,20.00,20.22,5471400,20.08
2014-05-06,20.05,20.31,20.05,20.09,4070200,19.95
2014-05-05,20.23,20.25,20.05,20.10,4161300,19.96
2014-05-02,20.26,20.42,20.13,20.37,4904200,20.23
2014-05-01,20.32,20.38,20.08,20.16,4110300,20.02
2014-04-30,20.13,20.32,20.00,20.28,6351700,20.14
2014-04-29,20.08,20.47,20.01,20.16,5141600,20.02
2014-04-28,20.36,20.39,19.99,20.07,6715300,19.93
2014-04-25,20.50,20.53,20.24,20.28,5479700,20.14
2014-04-24,20.73,20.80,20.46,20.57,5016900,20.43
2014-04-23,20.49,20.69,20.22,20.64,4560000,20.50
2014-04-22,20.74,20.85,20.59,20.60,6735900,20.46
2014-04-21,20.73,20.89,20.68,20.81,4387000,20.66
2014-04-17,20.60,20.75,20.53,20.71,6510500,20.57
2014-04-16,20.89,20.90,20.56,20.68,5303100,20.54
2014-04-15,20.58,20.87,20.15,20.76,15211700,20.61
2014-04-14,20.21,20.66,20.16,20.60,7913900,20.46
2014-04-11,20.01,20.27,19.99,20.01,9219600,19.87
2014-04-10,20.57,20.70,20.28,20.40,11193400,20.26
2014-04-09,20.56,20.77,20.52,20.64,8629100,20.50
2014-04-08,20.41,20.77,20.40,20.64,11252900,20.50
2014-04-07,20.15,20.54,20.00,20.41,13909700,20.27
2014-04-04,20.15,20.70,19.99,20.25,20170600,20.11
2014-04-03,20.09,20.12,19.91,20.03,8315500,19.89
2014-04-02,20.44,20.44,19.90,20.01,10723000,19.87
2014-04-01,19.91,20.20,19.80,20.18,8309800,20.04
2014-03-31,19.75,20.02,19.57,19.97,15665300,19.83
2014-03-28,19.46,19.96,19.43,19.79,12994700,19.65
2014-03-27,18.82,19.74,18.75,19.27,17629800,19.14
2014-03-26,19.18,19.40,18.72,18.79,12925400,18.66
2014-03-25,19.18,19.64,18.95,19.06,13451900,18.93
2014-03-24,18.50,19.13,18.41,19.09,22654800,18.96
2014-03-21,18.71,18.73,17.95,18.20,60887200,18.07
2014-03-20,20.47,21.00,20.41,20.91,8372600,20.76
2014-03-19,20.48,20.73,20.34,20.58,5233600,20.44
2014-03-18,20.38,20.74,20.30,20.51,8823000,20.37
2014-03-17,20.37,20.40,20.17,20.30,7433500,20.16
2014-03-14,20.05,20.40,20.01,20.16,7875600,20.02
