Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,21.97,21.97,21.69,21.73,57700,21.73
2014-06-18,21.65,21.99,21.65,21.97,136800,21.97
2014-06-17,21.58,21.95,21.57,21.82,56200,21.82
2014-06-16,21.58,21.62,21.34,21.57,27200,21.57
2014-06-13,21.80,21.90,21.54,21.61,33400,21.61
2014-06-12,21.81,21.84,21.53,21.68,50500,21.68
2014-06-11,21.95,22.05,21.71,21.79,34100,21.79
2014-06-10,22.05,22.11,22.00,22.11,9700,22.11
2014-06-09,22.07,22.19,21.99,22.14,29200,22.14
2014-06-06,21.98,22.18,21.86,22.03,66100,22.03
2014-06-05,21.32,21.89,21.19,21.82,66200,21.82
2014-06-04,21.11,21.37,21.11,21.28,40700,21.28
2014-06-03,21.21,21.50,21.21,21.27,51800,21.27
2014-06-02,21.25,21.52,20.96,21.34,37400,21.34
2014-05-30,21.25,21.56,21.16,21.19,35200,21.19
2014-05-29,21.51,21.51,21.25,21.31,26600,21.31
2014-05-28,21.58,21.58,21.34,21.43,48300,21.43
2014-05-27,21.50,21.75,21.45,21.70,33700,21.70
2014-05-23,21.20,21.38,21.08,21.31,44700,21.31
2014-05-22,21.08,21.28,21.02,21.16,44300,21.16
2014-05-21,21.08,21.21,20.81,21.09,50700,21.09
2014-05-20,21.16,21.16,20.84,20.93,56100,20.93
2014-05-19,20.78,21.29,20.78,21.29,29000,21.29
2014-05-16,20.76,20.92,20.71,20.90,40600,20.90
2014-05-15,20.58,20.87,20.58,20.83,86900,20.83
2014-05-14,21.31,21.42,20.73,20.75,58500,20.75
2014-05-13,21.61,21.66,21.43,21.46,42400,21.46
2014-05-12,21.67,21.85,21.62,21.66,47300,21.66
2014-05-09,21.18,21.60,21.11,21.54,39600,21.54
2014-05-08,21.51,21.62,21.17,21.31,47300,21.31
2014-05-07,21.34,21.48,20.98,21.46,81300,21.46
2014-05-06,21.26,21.42,21.21,21.25,53400,21.25
2014-05-05,21.26,21.45,21.05,21.45,96300,21.45
2014-05-02,21.44,21.77,21.41,21.48,43700,21.48
2014-05-01,21.15,21.58,21.08,21.44,85300,21.44
2014-04-30,21.05,21.52,20.36,21.29,63000,21.29
2014-04-29,22.15,22.16,21.56,21.67,26500,21.67
2014-04-28,22.30,22.31,21.83,21.95,28200,21.95
2014-04-25,22.47,22.60,22.08,22.11,72100,22.11
2014-04-24,22.88,22.88,22.56,22.60,30800,22.60
2014-04-23,23.03,23.13,22.84,22.94,40900,22.94
2014-04-22,23.08,23.11,22.85,23.01,20900,23.01
2014-04-21,22.92,23.18,22.83,23.01,23300,23.01
2014-04-17,22.76,23.12,22.72,23.06,32600,23.06
2014-04-16,23.05,23.05,22.73,22.84,29900,22.84
2014-04-15,22.98,23.11,22.55,22.89,43900,22.89
2014-04-14,23.11,23.23,22.64,22.92,30800,22.92
2014-04-11,22.83,23.23,22.82,22.94,40600,22.94
2014-04-10,23.47,23.50,23.00,23.09,40500,23.09
2014-04-09,23.62,23.70,23.48,23.57,26300,23.57
2014-04-08,23.66,24.01,23.54,23.72,33800,23.72
2014-04-07,23.67,23.82,23.34,23.56,107500,23.56
2014-04-04,24.55,24.55,23.54,23.69,56500,23.69
2014-04-03,24.47,24.47,24.06,24.33,33800,24.33
2014-04-02,24.39,24.50,24.25,24.49,14000,24.49
2014-04-01,23.99,24.57,23.81,24.53,39800,24.53
2014-03-31,23.56,24.07,23.27,23.92,63700,23.92
2014-03-28,23.44,24.14,23.44,23.47,27200,23.47
2014-03-27,23.80,24.09,23.42,23.50,36800,23.50
2014-03-26,24.50,24.50,23.85,23.86,43600,23.86
2014-03-25,24.39,24.52,24.28,24.31,16400,24.31
2014-03-24,24.18,24.52,24.10,24.34,30000,24.34
2014-03-21,24.76,24.84,24.05,24.07,220300,24.07
2014-03-20,24.28,24.70,24.28,24.69,17600,24.69
2014-03-19,24.63,24.63,24.10,24.29,57200,24.29
2014-03-18,24.40,24.67,24.07,24.63,112400,24.63
2014-03-17,24.63,24.68,24.28,24.35,103000,24.35
2014-03-14,24.20,24.60,24.20,24.52,27700,24.52
2014-03-13,24.52,24.58,24.12,24.34,19000,24.34
2014-03-12,24.27,24.53,24.04,24.49,25700,24.49
2014-03-11,24.58,24.58,24.17,24.41,23400,24.41
2014-03-10,24.57,24.73,24.56,24.61,19600,24.61
2014-03-07,24.87,24.98,24.61,24.71,14300,24.71
2014-03-06,24.39,24.73,24.39,24.67,12900,24.67
2014-03-05,24.33,24.44,24.21,24.41,24300,24.41
2014-03-04,23.70,24.68,23.70,24.41,87400,24.41
2014-03-03,23.44,23.60,23.35,23.49,53200,23.49
2014-02-28,23.51,24.02,23.31,23.60,59500,23.60
2014-02-27,23.09,23.46,23.04,23.46,14600,23.46
2014-02-26,23.07,23.37,22.94,23.18,26500,23.18
2014-02-25,23.18,23.19,22.96,22.99,29200,22.99
2014-02-24,22.82,23.23,22.61,23.14,32500,23.14
2014-02-21,22.83,23.05,22.73,22.79,75000,22.79
2014-02-20,22.62,22.85,22.41,22.71,46100,22.71
2014-02-19,22.80,22.95,22.47,22.60,40400,22.60
2014-02-18,22.98,23.09,22.86,22.92,29000,22.92
2014-02-14,22.95,22.96,22.65,22.94,11100,22.94
2014-02-13,22.68,23.08,22.65,22.94,25100,22.94
2014-02-12,23.02,23.15,22.62,22.88,25800,22.88
2014-02-11,22.63,22.93,22.63,22.78,21300,22.78
2014-02-10,22.32,22.63,22.01,22.58,40300,22.58
2014-02-07,22.38,22.38,22.05,22.27,39500,22.27
2014-02-06,22.15,22.34,22.07,22.33,54600,22.33
2014-02-05,22.18,22.18,21.95,22.04,31600,22.04
2014-02-04,21.57,22.38,21.53,22.29,36600,22.29
2014-02-03,22.23,22.41,21.46,21.52,94700,21.52
2014-01-31,21.97,22.42,21.97,22.33,53100,22.33
2014-01-30,22.51,22.51,22.14,22.34,56500,22.34
2014-01-29,22.54,22.63,22.14,22.29,57800,22.29
2014-01-28,22.79,22.79,22.46,22.79,47600,22.79
2014-01-27,23.16,23.22,22.63,22.70,30200,22.70
2014-01-24,23.52,23.52,22.91,23.04,32800,23.04
2014-01-23,24.06,24.06,23.43,23.59,78500,23.59
2014-01-22,23.92,24.10,23.84,24.03,23900,24.03
2014-01-21,23.83,24.00,23.54,23.95,27900,23.95
2014-01-17,23.66,23.84,23.64,23.72,41900,23.72
2014-01-16,24.29,24.29,23.33,23.62,27500,23.62
2014-01-15,24.21,24.48,24.21,24.28,24400,24.28
2014-01-14,24.14,24.28,23.97,24.21,38500,24.21
2014-01-13,24.35,24.48,23.90,24.09,25900,24.09
2014-01-10,24.67,24.67,24.19,24.46,31700,24.46
2014-01-09,24.44,24.64,24.40,24.64,56300,24.64
2014-01-08,24.28,24.50,24.14,24.42,70300,24.42
2014-01-07,24.60,24.76,24.23,24.36,104600,24.36
2014-01-06,24.98,24.98,24.39,24.45,61400,24.45
2014-01-03,25.72,25.82,24.62,24.85,132300,24.85
2014-01-02,26.22,26.22,25.50,25.71,28100,25.71
2013-12-31,26.78,26.84,26.47,26.58,66200,26.58
2013-12-30,26.61,26.78,26.38,26.74,82800,26.74
2013-12-27,26.85,26.88,26.34,26.48,30700,26.48
