Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,18.02,18.56,17.85,18.54,353900,18.54
2014-06-18,17.90,18.37,17.90,18.00,427100,18.00
2014-06-17,17.61,18.16,17.45,17.93,401100,17.93
2014-06-16,17.17,17.71,17.11,17.67,446400,17.67
2014-06-13,17.41,17.43,17.14,17.21,192100,17.21
2014-06-12,17.63,17.63,17.29,17.33,189100,17.33
2014-06-11,18.00,18.00,17.58,17.72,178400,17.72
2014-06-10,18.00,18.11,17.86,17.99,169100,17.99
2014-06-09,18.15,18.31,17.16,18.06,337100,18.06
2014-06-06,18.12,18.40,17.97,18.18,245800,18.18
2014-06-05,17.85,18.18,17.64,17.97,327000,17.97
2014-06-04,17.53,17.83,17.32,17.79,265900,17.79
2014-06-03,17.96,17.96,17.61,17.68,235000,17.68
2014-06-02,18.25,18.36,17.78,18.00,188400,18.00
2014-05-30,18.44,18.47,18.20,18.24,166000,18.24
2014-05-29,18.50,18.55,18.28,18.39,130400,18.39
2014-05-28,18.63,18.63,18.31,18.42,182500,18.42
2014-05-27,18.61,18.76,18.36,18.64,314600,18.64
2014-05-23,18.05,18.49,18.05,18.39,361700,18.39
2014-05-22,17.79,18.08,17.51,18.02,137900,18.02
2014-05-21,17.72,17.91,17.47,17.79,162700,17.79
2014-05-20,17.72,17.98,17.38,17.61,471200,17.61
2014-05-19,17.76,18.03,17.66,17.82,132700,17.82
2014-05-16,17.57,17.83,17.37,17.83,210000,17.83
2014-05-15,17.41,17.63,17.13,17.59,199200,17.59
2014-05-14,17.86,17.86,17.48,17.57,242400,17.57
2014-05-13,18.62,18.62,17.86,17.94,393100,17.94
2014-05-12,18.58,19.07,18.44,18.59,398300,18.59
2014-05-09,17.92,18.47,17.79,18.46,396900,18.46
2014-05-08,18.18,18.48,17.96,18.02,248100,18.02
2014-05-07,17.87,18.21,17.75,18.17,317600,18.17
2014-05-06,17.94,18.36,17.79,17.82,500300,17.79
2014-05-05,17.85,18.06,17.70,17.99,261200,17.96
2014-05-02,17.94,18.10,17.88,18.02,452900,17.99
2014-05-01,17.88,18.09,17.64,17.82,449600,17.79
2014-04-30,17.79,18.10,17.62,17.99,337900,17.96
2014-04-29,17.99,18.11,17.67,17.92,279400,17.89
2014-04-28,18.32,18.53,17.73,17.98,393200,17.95
2014-04-25,19.06,19.29,18.30,18.32,441900,18.29
2014-04-24,19.02,19.23,18.20,19.22,2511800,19.19
2014-04-23,19.58,19.92,19.52,19.67,337300,19.64
2014-04-22,19.54,19.95,19.32,19.69,314400,19.66
2014-04-21,19.00,19.53,18.95,19.42,273900,19.39
2014-04-17,18.87,19.11,18.79,18.99,1447500,18.96
2014-04-16,19.05,19.40,18.73,18.98,137100,18.95
2014-04-15,19.04,19.12,18.34,18.89,232700,18.86
2014-04-14,19.27,19.35,18.85,19.01,425700,18.98
2014-04-11,18.89,19.28,18.85,19.02,292700,18.99
2014-04-10,19.40,19.40,18.85,19.10,348200,19.07
2014-04-09,19.33,19.61,19.08,19.45,294800,19.42
2014-04-08,19.35,19.42,19.09,19.27,304300,19.24
2014-04-07,20.00,20.05,19.27,19.32,464100,19.29
2014-04-04,20.81,20.85,20.03,20.09,410400,20.06
2014-04-03,20.99,20.99,20.44,20.66,368500,20.63
2014-04-02,20.97,21.13,20.72,21.00,310700,20.96
2014-04-01,20.67,21.05,20.57,20.94,530500,20.90
2014-03-31,19.70,20.64,19.58,20.55,749200,20.52
2014-03-28,19.54,20.00,19.46,19.59,302800,19.56
2014-03-27,19.66,19.80,19.40,19.54,251500,19.51
2014-03-26,19.75,20.00,19.62,19.63,405000,19.60
2014-03-25,19.55,19.69,19.34,19.62,335900,19.59
2014-03-24,19.29,19.52,19.08,19.39,314600,19.36
2014-03-21,19.48,19.62,19.02,19.23,545900,19.20
2014-03-20,19.30,19.57,19.06,19.22,390600,19.19
2014-03-19,19.70,20.00,19.15,19.37,461600,19.34
2014-03-18,19.42,20.04,19.16,19.70,388100,19.67
2014-03-17,19.89,19.92,19.21,19.37,498900,19.34
2014-03-14,19.42,20.45,19.42,19.67,227400,19.64
2014-03-13,20.10,20.11,19.42,19.50,237700,19.47
2014-03-12,19.75,20.08,19.64,19.96,218300,19.93
2014-03-11,20.50,20.60,19.61,19.85,335500,19.82
2014-03-10,20.53,20.68,20.34,20.54,204600,20.51
2014-03-07,20.50,20.59,20.39,20.52,265600,20.49
2014-03-06,20.28,20.48,20.10,20.36,139100,20.33
2014-03-05,20.14,20.37,19.95,20.26,290700,20.23
2014-03-04,19.50,20.50,19.50,20.27,547800,20.21
2014-03-03,19.01,19.36,19.00,19.19,474400,19.13
2014-02-28,19.42,19.57,19.12,19.26,382400,19.20
2014-02-27,19.43,19.58,19.33,19.39,255300,19.33
2014-02-26,18.69,19.51,18.69,19.48,783100,19.42
2014-02-25,19.02,19.03,18.63,18.75,851500,18.69
2014-02-24,19.15,19.99,18.83,19.00,837500,18.94
2014-02-21,20.34,20.88,18.67,18.78,1329000,18.72
2014-02-20,20.89,21.41,19.78,20.25,1085000,20.19
2014-02-19,21.48,21.77,20.86,20.95,415500,20.88
2014-02-18,21.79,22.10,21.47,21.63,453600,21.56
2014-02-14,21.45,21.73,21.02,21.71,310100,21.64
2014-02-13,20.63,21.49,20.63,21.44,394300,21.37
2014-02-12,20.12,20.86,19.92,20.81,361800,20.74
2014-02-11,19.97,20.20,19.03,20.09,237900,20.03
2014-02-10,20.03,21.47,19.52,20.02,255700,19.96
2014-02-07,19.89,20.31,19.77,20.03,208200,19.97
2014-02-06,19.46,20.00,19.45,19.83,739200,19.77
2014-02-05,19.51,19.75,19.08,19.43,347400,19.37
2014-02-04,19.79,21.50,19.49,19.65,308300,19.59
2014-02-03,20.93,21.23,19.64,19.64,502100,19.58
2014-01-31,20.32,21.23,20.32,20.95,318900,20.88
2014-01-30,20.69,22.12,20.64,20.78,398800,20.71
2014-01-29,20.45,20.69,20.38,20.50,209300,20.44
2014-01-28,21.25,21.37,20.72,20.79,211000,20.72
2014-01-27,21.14,21.63,20.92,21.15,342200,21.08
2014-01-24,21.77,22.21,21.33,21.45,479200,21.38
2014-01-23,21.84,22.16,21.67,22.01,320900,21.94
2014-01-22,21.89,21.97,21.76,21.92,187000,21.85
2014-01-21,21.75,21.97,21.57,21.80,316700,21.73
2014-01-17,21.33,21.65,21.22,21.60,255400,21.53
2014-01-16,21.21,21.41,21.21,21.31,160900,21.24
2014-01-15,21.02,21.39,20.93,21.29,277800,21.22
2014-01-14,20.59,21.06,20.12,21.02,198900,20.95
2014-01-13,20.67,20.69,20.25,20.42,292600,20.36
2014-01-10,20.78,20.97,20.51,20.80,379700,20.73
2014-01-09,21.10,21.28,20.59,20.78,318600,20.71
2014-01-08,21.41,21.72,20.78,21.02,419800,20.95
2014-01-07,21.38,21.72,21.03,21.49,282100,21.42
2014-01-06,21.87,21.89,21.24,21.36,241100,21.29
2014-01-03,21.58,21.90,21.48,21.81,201800,21.74
2014-01-02,21.96,22.22,21.20,21.54,301800,21.47
2013-12-31,22.02,22.46,21.79,21.96,462100,21.89
2013-12-30,21.47,22.06,21.33,22.05,506300,21.98
2013-12-27,21.44,21.61,21.25,21.54,186600,21.47
2013-12-26,21.05,21.49,20.94,21.36,165100,21.29
2013-12-24,21.04,21.25,20.97,20.99,69700,20.92
2013-12-23,20.76,21.04,20.46,20.99,332300,20.92
2013-12-20,20.50,20.90,20.36,20.59,607800,20.52
2013-12-19,20.68,20.85,20.20,20.40,742900,20.34
2013-12-18,20.22,20.85,19.90,20.77,320300,20.70
2013-12-17,20.18,20.18,19.86,20.15,162000,20.09
2013-12-16,19.51,20.25,19.48,20.13,245100,20.07
2013-12-13,19.33,19.61,19.03,19.43,261200,19.37
2013-12-12,19.30,19.41,19.03,19.33,262900,19.27
2013-12-11,19.46,19.49,19.20,19.31,214900,19.25
2013-12-10,19.73,19.88,19.30,19.37,208300,19.31
2013-12-09,19.81,20.14,19.43,19.79,172500,19.73
2013-12-06,19.99,20.18,19.31,19.74,150400,19.68
2013-12-05,19.70,19.77,19.41,19.71,197700,19.65
2013-12-04,19.59,20.01,19.34,19.67,190400,19.61
2013-12-03,19.47,20.06,19.24,19.74,316500,19.68
2013-12-02,20.08,20.19,19.50,19.57,175600,19.51
2013-11-29,20.05,20.27,19.96,20.05,133300,19.99
2013-11-27,19.77,19.93,19.75,19.91,132300,19.85
2013-11-26,19.50,19.79,19.50,19.73,257100,19.67
2013-11-25,19.57,19.59,19.36,19.50,169100,19.44
2013-11-22,19.53,19.59,19.36,19.50,182400,19.44
2013-11-21,19.19,19.54,19.06,19.51,158800,19.45
2013-11-20,18.85,19.36,18.82,19.09,209500,19.03
2013-11-19,19.21,19.21,18.54,18.80,632900,18.74
2013-11-18,19.95,19.95,19.07,19.18,493900,19.12
2013-11-15,19.67,19.97,19.51,19.90,411500,19.84
2013-11-14,19.96,19.97,19.62,19.75,540400,19.69
2013-11-13,19.91,20.12,19.76,20.02,270800,19.96
2013-11-12,20.13,20.20,19.94,20.06,250700,20.00
2013-11-11,20.38,20.42,20.19,20.22,151500,20.16
2013-11-08,20.10,20.48,20.00,20.38,392700,20.32
2013-11-07,20.50,20.50,20.06,20.07,211400,20.01
2013-11-06,20.60,20.60,20.24,20.40,109100,20.34
2013-11-05,20.40,20.56,20.17,20.51,263100,20.42
2013-11-04,20.29,20.53,20.26,20.51,574600,20.42
2013-11-01,20.21,20.31,19.95,20.24,310800,20.15
2013-10-31,20.54,20.63,20.23,20.25,362800,20.16
2013-10-30,20.85,20.88,20.35,20.47,156100,20.38
2013-10-29,21.02,21.33,20.67,20.85,230400,20.75
2013-10-28,21.45,21.53,20.82,21.00,263900,20.90
2013-10-25,21.44,21.74,21.26,21.45,580500,21.35
2013-10-24,20.74,21.44,19.76,21.33,551100,21.23
2013-10-23,20.68,20.85,20.51,20.65,253200,20.55
2013-10-22,20.89,21.35,20.65,20.79,275800,20.69
2013-10-21,21.30,21.30,20.67,20.70,396500,20.60
2013-10-18,21.03,21.31,20.77,21.27,373500,21.17
2013-10-17,20.42,20.98,20.42,20.94,258600,20.84
2013-10-16,20.50,20.59,20.14,20.55,209800,20.46
2013-10-15,20.51,20.53,19.89,20.24,328600,20.15
2013-10-14,19.63,20.54,19.49,20.51,996200,20.42
2013-10-11,19.30,19.75,19.11,19.73,271100,19.64
2013-10-10,19.07,19.43,18.86,19.30,139200,19.21
2013-10-09,18.88,19.10,18.70,18.76,217300,18.67
2013-10-08,19.19,19.24,18.77,18.82,164600,18.73
2013-10-07,19.32,19.48,19.11,19.25,148600,19.16
2013-10-04,19.62,19.95,19.51,19.54,227000,19.45
2013-10-03,20.05,20.11,19.49,19.61,113100,19.52
2013-10-02,19.84,20.25,19.75,20.12,180300,20.03
2013-10-01,19.78,20.13,19.60,20.08,221200,19.99
2013-09-30,19.42,19.94,19.42,19.84,303400,19.75
