Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,17.10,17.30,16.72,17.03,51500,17.03
2014-06-18,16.96,17.15,16.51,17.09,64700,17.09
2014-06-17,16.13,16.96,16.00,16.93,233700,16.93
2014-06-16,16.59,16.91,16.00,16.07,141600,16.07
2014-06-13,16.23,16.81,16.00,16.67,103300,16.67
2014-06-12,16.53,17.46,16.15,16.22,92200,16.22
2014-06-11,16.59,16.76,16.24,16.50,153200,16.50
2014-06-10,16.96,17.07,16.61,16.68,68500,16.68
2014-06-09,18.13,18.13,16.50,16.94,173500,16.94
2014-06-06,16.89,18.63,16.65,18.21,190200,18.21
2014-06-05,15.93,16.95,15.70,16.77,141200,16.77
2014-06-04,15.39,16.01,15.25,15.94,64200,15.94
2014-06-03,16.40,16.40,15.50,15.55,138100,15.55
2014-06-02,16.39,16.60,16.00,16.31,104400,16.31
2014-05-30,16.50,16.64,16.05,16.24,107300,16.24
2014-05-29,16.08,16.74,16.08,16.53,100300,16.53
2014-05-28,16.81,17.23,15.64,16.11,114600,16.11
2014-05-27,16.25,16.81,16.01,16.74,65500,16.74
2014-05-23,15.40,16.10,15.30,16.07,100300,16.07
2014-05-22,15.20,15.61,14.90,15.46,84400,15.46
2014-05-21,15.95,15.95,15.07,15.24,140100,15.24
2014-05-20,16.56,16.77,15.47,15.93,143100,15.93
2014-05-19,17.43,17.43,16.46,16.55,123600,16.55
2014-05-16,17.91,18.10,17.34,17.45,105700,17.45
2014-05-15,17.72,18.12,17.51,17.91,161400,17.91
2014-05-14,16.51,18.38,16.35,17.71,250200,17.71
2014-05-13,15.37,16.06,15.37,15.82,89700,15.82
2014-05-12,14.65,15.79,14.36,15.43,136700,15.43
2014-05-09,14.89,14.93,14.26,14.71,252200,14.71
2014-05-08,15.20,15.62,13.50,15.03,98300,15.03
2014-05-07,15.10,16.07,14.75,15.31,292900,15.31
2014-05-06,17.23,17.61,16.58,16.60,125300,16.60
2014-05-05,16.91,17.45,16.68,17.33,134400,17.33
2014-05-02,17.09,18.40,16.78,17.06,119800,17.06
2014-05-01,17.54,17.70,16.71,17.10,147900,17.10
2014-04-30,17.53,17.70,17.15,17.57,224400,17.57
2014-04-29,17.77,17.87,17.20,17.50,234000,17.50
2014-04-28,17.62,17.77,17.05,17.59,172800,17.59
2014-04-25,17.46,17.63,17.15,17.50,207000,17.50
2014-04-24,17.06,17.67,17.00,17.46,122500,17.46
2014-04-23,16.78,17.06,16.17,16.98,117200,16.98
2014-04-22,17.00,17.70,16.55,16.81,129600,16.81
2014-04-21,16.58,17.03,16.40,16.93,116900,16.93
2014-04-17,16.50,17.05,16.23,16.55,148600,16.55
2014-04-16,16.88,17.45,16.10,16.40,209300,16.40
2014-04-15,18.10,18.10,15.50,16.70,205300,16.70
2014-04-14,18.53,18.99,17.91,18.05,120500,18.05
2014-04-11,18.54,19.14,18.25,18.40,108000,18.40
2014-04-10,19.25,19.31,18.11,18.73,127600,18.73
2014-04-09,18.88,19.32,18.70,19.24,122500,19.24
2014-04-08,19.17,19.92,18.29,18.88,183100,18.88
2014-04-07,19.31,20.00,19.01,19.09,245900,19.09
2014-04-04,19.77,20.35,19.01,19.44,134500,19.44
2014-04-03,21.10,21.53,19.49,19.83,160800,19.83
2014-04-02,20.99,21.41,20.72,21.16,129900,21.16
2014-04-01,22.05,22.64,20.84,21.03,248900,21.03
2014-03-31,21.25,22.19,20.65,22.09,76800,22.09
2014-03-28,22.59,22.88,20.77,21.21,108200,21.21
2014-03-27,23.04,23.30,22.34,22.62,111600,22.62
2014-03-26,24.54,24.81,22.86,22.95,91300,22.95
2014-03-25,24.72,26.06,23.93,24.39,111100,24.39
2014-03-24,25.13,25.35,24.29,24.59,99600,24.59
2014-03-21,26.36,26.76,24.55,25.06,286200,25.06
2014-03-20,26.05,26.51,25.86,26.14,70600,26.14
2014-03-19,26.14,26.52,25.82,26.04,84300,26.04
2014-03-18,25.37,26.74,25.37,26.50,120400,26.50
2014-03-17,25.04,25.81,25.04,25.30,88700,25.30
2014-03-14,25.13,25.29,24.57,24.79,142300,24.79
2014-03-13,25.56,25.73,24.62,25.07,66600,25.07
2014-03-12,26.09,26.15,25.30,25.43,95400,25.43
2014-03-11,26.34,26.86,25.82,26.14,124200,26.14
2014-03-10,25.72,26.75,25.72,26.43,165000,26.43
2014-03-07,24.44,25.88,24.09,25.83,370200,25.83
2014-03-06,24.83,25.14,24.03,24.75,170600,24.75
2014-03-05,24.80,25.14,24.57,24.83,70000,24.83
2014-03-04,25.28,25.91,24.38,24.89,210400,24.89
2014-03-03,25.19,26.90,24.70,24.89,102800,24.89
2014-02-28,24.41,26.32,24.03,25.75,113100,25.75
2014-02-27,24.58,24.72,23.75,24.34,60100,24.34
2014-02-26,25.09,25.09,23.92,24.58,111200,24.58
2014-02-25,24.72,25.22,24.50,24.80,71200,24.80
2014-02-24,24.98,24.98,24.20,24.75,80500,24.75
2014-02-21,25.20,25.20,24.79,24.87,32400,24.87
2014-02-20,25.00,25.19,24.22,24.81,94600,24.81
2014-02-19,25.02,25.51,24.74,25.15,95500,25.15
2014-02-18,24.55,25.48,23.51,25.25,48900,25.25
2014-02-14,24.37,24.50,24.01,24.46,50400,24.46
2014-02-13,24.26,25.33,23.09,24.43,104300,24.43
2014-02-12,23.60,24.83,23.60,24.47,67300,24.47
2014-02-11,23.85,23.94,22.93,23.30,67900,23.30
2014-02-10,23.53,24.21,23.00,23.85,52600,23.85
2014-02-07,23.78,23.79,22.68,23.49,123000,23.49
2014-02-06,24.51,24.88,23.34,23.80,209100,23.80
2014-02-05,24.74,24.91,24.11,24.45,39300,24.45
2014-02-04,25.20,25.48,24.54,24.98,135400,24.98
2014-02-03,25.72,26.42,24.80,25.21,179400,25.21
2014-01-31,25.31,26.52,24.84,25.85,97400,25.85
2014-01-30,25.06,25.98,24.91,25.63,88200,25.63
2014-01-29,24.54,25.29,24.38,24.75,39200,24.75
2014-01-28,24.26,24.87,23.30,24.72,121800,24.72
2014-01-27,26.08,26.49,23.75,24.35,96700,24.35
2014-01-24,25.97,26.00,25.00,25.41,79700,25.41
2014-01-23,26.60,26.60,25.74,26.18,63300,26.18
2014-01-22,26.98,27.53,26.54,26.64,62700,26.64
2014-01-21,27.79,27.79,24.25,26.85,395900,26.85
2014-01-17,26.06,27.73,25.21,26.97,174600,26.97
2014-01-16,28.86,28.99,26.10,26.22,194800,26.22
2014-01-15,29.43,29.50,28.39,29.00,142100,29.00
2014-01-14,29.35,30.25,29.16,29.51,97800,29.51
2014-01-13,29.77,29.77,28.50,29.34,122100,29.34
2014-01-10,29.85,30.24,29.53,29.98,105700,29.98
2014-01-09,28.60,30.10,28.55,29.73,144900,29.73
2014-01-08,28.46,28.80,27.76,28.38,142400,28.38
2014-01-07,28.40,29.46,27.76,28.46,111700,28.46
2014-01-06,27.02,29.23,27.02,28.41,123000,28.41
2014-01-03,25.71,27.21,25.51,26.80,114900,26.80
2014-01-02,25.94,26.91,25.11,25.59,99200,25.59
2013-12-31,24.77,25.83,24.43,25.77,95200,25.77
2013-12-30,25.21,27.00,24.65,24.79,165000,24.79
2013-12-27,25.01,25.19,23.83,24.99,100000,24.99
2013-12-26,24.83,25.92,24.52,24.90,50000,24.90
2013-12-24,24.33,24.76,23.77,24.63,75400,24.63
2013-12-23,24.36,24.40,23.63,24.38,67600,24.38
2013-12-20,22.75,23.81,22.55,23.70,1665800,23.70
2013-12-19,22.93,23.32,21.53,22.61,227400,22.61
2013-12-18,23.32,24.15,22.31,23.46,138900,23.46
2013-12-17,24.42,24.42,22.35,23.52,198800,23.52
2013-12-16,22.70,24.11,22.70,23.70,180100,23.70
2013-12-13,23.38,23.78,22.26,22.67,161600,22.67
2013-12-12,23.50,24.50,23.10,23.30,102700,23.30
2013-12-11,24.85,24.85,23.25,23.50,98000,23.50
2013-12-10,25.10,25.49,23.86,24.00,95600,24.00
2013-12-09,24.93,25.04,23.40,23.91,240500,23.91
2013-12-06,24.51,25.94,23.37,24.79,139800,24.79
2013-12-05,23.44,25.19,23.00,24.80,254800,24.80
2013-12-04,22.04,23.27,22.04,22.88,142200,22.88
2013-12-03,22.50,22.59,21.90,22.46,67900,22.46
2013-12-02,22.00,22.67,21.41,22.54,48700,22.54
2013-11-29,23.00,23.00,21.56,22.01,92300,22.01
2013-11-27,21.65,22.73,21.05,22.44,30400,22.44
2013-11-26,20.00,21.88,20.00,21.77,127900,21.77
2013-11-25,21.11,21.11,20.00,20.18,195200,20.18
2013-11-22,22.49,22.49,20.21,20.66,132000,20.66
2013-11-21,20.01,22.40,20.01,21.83,128200,21.83
2013-11-20,20.00,20.61,19.81,20.04,368800,20.04
2013-11-19,20.27,20.66,19.50,20.11,309300,20.11
2013-11-18,23.89,24.00,19.60,20.62,196600,20.62
2013-11-15,19.15,23.36,19.08,21.84,425900,21.84
2013-11-14,19.50,20.20,18.61,19.26,3997100,19.26
