Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,7.30,7.34,7.18,7.20,190800,7.20
2014-06-18,7.15,7.32,7.15,7.26,312600,7.26
2014-06-17,7.06,7.33,7.06,7.17,483200,7.17
2014-06-16,7.29,7.40,7.12,7.12,410100,7.12
2014-06-13,7.25,7.32,7.16,7.26,721900,7.26
2014-06-12,7.22,7.35,7.16,7.26,464600,7.26
2014-06-11,7.23,7.24,7.04,7.20,296300,7.20
2014-06-10,7.25,7.27,7.18,7.25,154800,7.25
2014-06-09,7.21,7.29,7.17,7.25,299800,7.25
2014-06-06,7.20,7.27,7.13,7.23,242000,7.23
2014-06-05,7.10,7.27,7.08,7.20,242100,7.20
2014-06-04,7.04,7.20,7.04,7.09,306300,7.09
2014-06-03,7.11,7.21,7.00,7.12,220600,7.12
2014-06-02,7.19,7.31,7.12,7.18,274800,7.18
2014-05-30,7.29,7.38,7.13,7.18,306900,7.18
2014-05-29,7.32,7.38,7.26,7.29,242000,7.29
2014-05-28,7.34,7.40,7.27,7.27,410800,7.27
2014-05-27,7.48,7.59,7.30,7.34,557400,7.34
2014-05-23,7.38,7.58,7.31,7.48,579200,7.48
2014-05-22,7.24,7.38,7.22,7.34,1920200,7.34
2014-05-21,7.29,7.39,7.17,7.25,656400,7.25
2014-05-20,7.01,7.28,7.01,7.28,822000,7.28
2014-05-19,6.96,7.22,6.94,6.97,974300,6.97
2014-05-16,7.17,7.17,6.74,6.95,1060200,6.95
2014-05-15,6.77,6.81,6.55,6.70,687400,6.70
2014-05-14,6.92,7.00,6.77,6.81,758100,6.76
2014-05-13,6.93,7.00,6.85,6.94,336800,6.89
2014-05-12,6.89,7.00,6.86,6.95,402900,6.90
2014-05-09,6.92,7.00,6.70,6.79,552000,6.74
2014-05-08,7.09,7.11,6.78,6.85,532100,6.80
2014-05-07,7.08,7.12,6.98,7.10,520700,7.05
2014-05-06,7.04,7.13,6.93,7.03,567900,6.98
2014-05-05,6.91,7.10,6.89,6.99,507300,6.94
2014-05-02,7.06,7.08,6.85,6.93,837400,6.88
2014-05-01,7.17,7.25,7.03,7.05,762600,7.00
2014-04-30,7.12,7.20,6.86,7.13,627400,7.08
2014-04-29,7.04,7.20,6.98,7.18,632900,7.13
2014-04-28,7.19,7.26,6.70,6.98,1830500,6.93
2014-04-25,7.25,7.38,7.16,7.18,787700,7.13
2014-04-24,7.31,7.45,7.25,7.30,5957300,7.25
2014-04-23,7.87,8.48,7.83,8.35,1174300,8.29
2014-04-22,7.80,7.91,7.80,7.85,549700,7.79
2014-04-21,7.54,7.83,7.53,7.80,472500,7.74
2014-04-17,7.45,7.63,7.36,7.59,306300,7.53
2014-04-16,7.32,7.47,7.25,7.42,217100,7.37
2014-04-15,7.19,7.35,7.08,7.23,355900,7.18
2014-04-14,7.20,7.21,7.01,7.12,434400,7.07
2014-04-11,7.22,7.27,7.06,7.10,381100,7.05
2014-04-10,7.44,7.46,7.12,7.22,484200,7.17
2014-04-09,7.36,7.50,7.33,7.47,163500,7.42
2014-04-08,7.26,7.43,7.16,7.35,314000,7.30
2014-04-07,7.57,7.57,7.11,7.29,457300,7.24
2014-04-04,7.74,7.76,7.52,7.59,360900,7.53
2014-04-03,7.91,7.96,7.61,7.67,1078300,7.61
2014-04-02,7.95,7.97,7.79,7.91,475900,7.85
2014-04-01,7.82,7.96,7.80,7.95,327000,7.89
2014-03-31,7.68,7.77,7.43,7.76,537700,7.70
2014-03-28,7.50,7.67,7.47,7.59,234400,7.53
2014-03-27,7.68,7.68,7.41,7.50,486600,7.44
2014-03-26,8.00,8.04,7.56,7.68,529900,7.62
2014-03-25,7.94,8.02,7.82,7.94,532900,7.88
2014-03-24,7.84,7.93,7.65,7.86,642600,7.80
2014-03-21,7.84,8.03,7.67,7.68,1700900,7.62
2014-03-20,7.72,7.75,7.48,7.75,394600,7.69
2014-03-19,7.79,7.91,7.64,7.79,792500,7.73
2014-03-18,7.23,7.90,7.19,7.79,1247300,7.73
2014-03-17,7.13,7.27,6.54,7.19,931300,7.14
2014-03-14,6.77,7.46,6.77,7.01,1144900,6.96
2014-03-13,6.75,6.76,6.48,6.55,572200,6.50
2014-03-12,6.73,6.85,6.51,6.72,254200,6.67
2014-03-11,7.04,7.10,6.72,6.80,361500,6.75
2014-03-10,7.09,7.14,6.90,7.02,264800,6.97
2014-03-07,6.99,7.18,6.85,7.12,275300,7.07
2014-03-06,7.23,7.35,6.96,7.07,437000,7.02
2014-03-05,7.20,7.39,7.07,7.16,877700,7.11
2014-03-04,6.94,7.39,6.91,7.18,913700,7.13
2014-03-03,6.85,6.99,6.68,6.84,529300,6.79
2014-02-28,6.76,6.91,6.68,6.90,722000,6.85
2014-02-27,6.46,6.85,6.38,6.74,591000,6.69
2014-02-26,6.56,6.64,6.47,6.48,315400,6.43
2014-02-25,6.56,6.63,6.47,6.54,369700,6.49
2014-02-24,6.65,6.73,6.56,6.60,335300,6.55
2014-02-21,6.54,6.74,6.53,6.61,411500,6.56
2014-02-20,6.52,6.67,6.37,6.57,526600,6.52
2014-02-19,6.75,6.82,6.45,6.56,703000,6.51
2014-02-18,6.95,6.95,6.68,6.78,438500,6.73
2014-02-14,6.56,6.95,6.50,6.86,718500,6.81
2014-02-13,6.59,6.63,6.21,6.53,601600,6.48
2014-02-12,6.48,6.77,6.44,6.59,598200,6.54
2014-02-11,6.66,6.66,6.45,6.45,470700,6.40
2014-02-10,6.61,6.69,6.36,6.59,782300,6.54
2014-02-07,6.63,6.81,6.62,6.65,408100,6.60
2014-02-06,6.66,6.83,6.55,6.57,673100,6.52
2014-02-05,6.63,6.71,6.40,6.67,632900,6.62
2014-02-04,6.75,6.78,6.46,6.69,979300,6.64
2014-02-03,6.75,6.92,6.46,6.66,1654200,6.61
