Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,17.80,17.92,17.80,17.92,1700,17.92
2014-06-18,17.50,17.78,17.50,17.78,400,17.78
2014-06-17,17.74,17.74,17.74,17.74,000,17.74
2014-06-16,17.79,17.79,17.74,17.74,2700,17.74
2014-06-13,17.88,17.88,17.88,17.88,300,17.88
2014-06-12,17.88,17.90,17.88,17.90,600,17.90
2014-06-11,18.16,18.17,18.01,18.03,500,18.03
2014-06-10,18.28,18.31,18.28,18.28,7400,18.28
2014-06-09,18.44,18.44,18.44,18.44,900,18.44
2014-06-06,18.33,18.33,18.33,18.33,200,18.33
2014-06-05,17.81,18.25,17.73,18.15,2200,18.15
2014-06-04,17.71,17.79,17.71,17.79,600,17.79
2014-06-03,17.85,17.85,17.85,17.85,000,17.85
2014-06-02,17.78,17.93,17.78,17.85,2200,17.85
2014-05-30,17.51,17.73,17.51,17.70,1600,17.70
2014-05-29,17.56,17.56,17.52,17.52,300,17.52
2014-05-28,17.60,17.65,17.60,17.65,2200,17.65
2014-05-27,17.57,17.70,17.57,17.70,500,17.70
2014-05-23,17.30,17.49,17.30,17.49,1200,17.49
2014-05-22,17.40,17.40,17.25,17.28,1600,17.28
2014-05-21,17.45,17.45,17.45,17.45,500,17.45
2014-05-20,17.50,17.52,17.50,17.50,900,17.50
2014-05-19,17.50,17.62,17.50,17.62,1600,17.62
2014-05-16,17.52,17.52,17.52,17.52,000,17.52
2014-05-15,17.54,17.59,17.49,17.52,1200,17.52
2014-05-14,17.67,17.67,17.67,17.67,900,17.67
2014-05-13,17.83,17.83,17.65,17.79,1000,17.79
2014-05-12,17.92,17.92,17.92,17.92,400,17.92
2014-05-09,17.50,17.86,17.48,17.86,5300,17.86
2014-05-08,17.80,17.80,17.80,17.80,000,17.80
2014-05-07,17.65,17.80,17.65,17.80,800,17.80
2014-05-06,17.31,17.56,17.30,17.35,11100,17.35
2014-05-05,17.41,17.41,17.41,17.41,300,17.41
2014-05-02,17.48,17.50,17.43,17.50,2100,17.50
2014-05-01,17.50,17.50,17.31,17.44,3400,17.44
2014-04-30,17.51,17.55,17.51,17.54,900,17.54
2014-04-29,17.69,17.74,17.48,17.50,4200,17.50
2014-04-28,17.50,17.55,17.50,17.55,1600,17.55
2014-04-25,17.43,17.53,17.32,17.47,1200,17.47
2014-04-24,17.54,17.54,17.52,17.52,300,17.52
2014-04-23,17.80,17.83,17.66,17.66,2500,17.66
2014-04-22,17.91,17.92,17.91,17.92,700,17.92
2014-04-21,17.98,18.11,17.50,17.58,3300,17.58
2014-04-17,17.90,17.90,17.80,17.80,900,17.80
2014-04-16,17.70,17.75,17.70,17.71,700,17.71
2014-04-15,17.60,17.73,17.59,17.73,1700,17.73
2014-04-14,17.73,17.75,17.52,17.56,6200,17.56
2014-04-11,17.70,17.73,17.68,17.73,600,17.73
2014-04-10,17.55,17.61,17.52,17.61,700,17.61
2014-04-09,17.78,17.78,17.60,17.60,900,17.60
2014-04-08,17.52,17.74,17.50,17.69,3000,17.69
2014-04-07,17.71,17.71,17.71,17.71,500,17.71
2014-04-04,17.76,17.76,17.76,17.76,300,17.76
2014-04-03,17.80,17.90,17.70,17.84,2500,17.84
2014-04-02,17.78,18.00,17.78,17.99,5100,17.76
2014-04-01,17.63,17.79,17.60,17.78,900,17.56
2014-03-31,17.67,17.79,17.56,17.74,1100,17.52
2014-03-28,17.77,17.80,17.45,17.63,2200,17.41
2014-03-27,17.66,17.67,17.66,17.67,1000,17.45
2014-03-26,17.44,17.71,17.44,17.71,700,17.49
2014-03-25,17.53,17.57,17.53,17.57,500,17.35
2014-03-24,17.63,17.65,17.55,17.55,900,17.33
2014-03-21,17.56,17.70,17.56,17.70,2100,17.48
2014-03-20,17.40,17.40,17.40,17.40,200,17.18
2014-03-19,17.61,17.61,17.45,17.45,1100,17.23
2014-03-18,17.53,17.53,17.53,17.53,000,17.31
2014-03-17,17.48,17.54,17.48,17.53,600,17.31
2014-03-14,17.47,17.52,17.47,17.47,800,17.25
2014-03-13,17.67,17.70,17.35,17.56,2300,17.34
2014-03-12,17.53,17.60,17.53,17.56,600,17.34
2014-03-11,17.35,17.48,17.35,17.48,200,17.26
2014-03-10,17.39,17.55,17.24,17.24,1100,17.02
2014-03-07,17.56,17.68,17.44,17.55,800,17.33
2014-03-06,17.65,17.65,17.56,17.57,500,17.35
2014-03-05,17.79,17.79,17.57,17.69,1300,17.47
2014-03-04,17.09,17.57,17.09,17.57,1900,17.35
2014-03-03,16.66,17.00,16.50,16.99,10600,16.78
2014-02-28,16.88,16.88,16.86,16.88,600,16.67
2014-02-27,16.67,16.84,16.53,16.53,700,16.32
2014-02-26,16.57,16.73,16.57,16.73,300,16.52
2014-02-25,16.42,16.47,16.42,16.47,700,16.26
2014-02-24,16.64,16.68,16.64,16.68,1200,16.47
2014-02-21,16.55,16.55,16.55,16.55,100,16.34
2014-02-20,16.13,16.33,16.13,16.33,2900,16.13
2014-02-19,16.45,16.46,16.45,16.45,800,16.24
2014-02-18,16.28,16.28,16.28,16.28,200,16.08
2014-02-14,16.18,16.18,16.18,16.18,100,15.98
2014-02-13,16.17,16.17,16.17,16.17,000,15.97
2014-02-12,16.35,16.35,16.17,16.17,600,15.97
2014-02-11,16.00,16.24,15.98,16.10,3200,15.90
2014-02-10,16.00,16.00,15.87,15.87,800,15.67
2014-02-07,15.76,16.00,15.76,16.00,1600,15.80
2014-02-06,15.70,15.93,15.64,15.93,2700,15.73
2014-02-05,15.85,15.86,15.73,15.74,500,15.54
2014-02-04,15.77,16.00,15.77,16.00,2600,15.80
2014-02-03,16.00,16.00,15.64,15.64,4400,15.44
2014-01-31,15.73,15.98,15.73,15.80,1100,15.60
2014-01-30,15.75,15.79,15.75,15.79,200,15.59
2014-01-29,15.83,15.83,15.57,15.57,8200,15.38
2014-01-28,15.52,15.89,15.50,15.89,3200,15.69
2014-01-27,15.65,15.66,15.59,15.64,1500,15.44
2014-01-24,15.72,15.79,15.55,15.75,5100,15.55
2014-01-23,15.75,15.75,15.70,15.73,800,15.53
2014-01-22,15.98,16.00,15.83,15.91,2400,15.71
2014-01-21,16.05,16.22,15.95,16.00,2500,15.80
2014-01-17,16.05,16.05,15.90,15.95,2400,15.75
2014-01-16,16.05,16.05,15.85,15.85,2000,15.65
2014-01-15,15.85,15.85,15.85,15.85,100,15.65
2014-01-14,15.70,15.85,15.70,15.85,2900,15.65
2014-01-13,15.72,15.75,15.51,15.66,4400,15.46
2014-01-10,15.56,15.56,15.50,15.50,700,15.31
2014-01-09,15.50,15.71,15.32,15.39,2800,15.20
2014-01-08,15.80,15.80,15.56,15.59,800,15.40
2014-01-07,15.67,15.67,15.67,15.67,200,15.47
2014-01-06,15.75,15.75,15.75,15.75,600,15.55
2014-01-03,15.39,15.75,15.39,15.72,3800,15.52
2014-01-02,15.67,15.74,15.55,15.60,4200,15.40
2013-12-31,15.60,15.89,15.59,15.85,6500,15.65
2013-12-30,15.91,15.99,15.90,15.99,2400,15.57
2013-12-27,15.96,16.06,15.81,15.91,700,15.49
2013-12-26,16.05,16.08,16.00,16.08,500,15.66
2013-12-24,15.78,15.78,15.73,15.73,500,15.31
2013-12-23,16.00,16.04,15.91,15.91,1200,15.49
2013-12-20,15.75,16.11,15.75,16.11,1200,15.68
2013-12-19,15.71,15.74,15.71,15.74,900,15.32
2013-12-18,15.65,15.96,15.65,15.96,500,15.54
2013-12-17,15.33,15.75,15.33,15.69,2500,15.28
2013-12-16,15.54,15.54,15.52,15.52,500,15.11
2013-12-13,15.51,15.54,15.50,15.52,1700,15.11
2013-12-12,15.77,15.78,15.50,15.50,2100,15.09
2013-12-11,16.00,16.00,15.75,15.76,800,15.34
2013-12-10,16.17,16.17,16.17,16.17,100,15.74
2013-12-09,16.17,16.36,16.11,16.35,4700,15.92
2013-12-06,16.00,16.20,16.00,16.20,1500,15.77
2013-12-05,15.90,15.90,15.80,15.80,1600,15.38
2013-12-04,15.69,15.84,15.60,15.64,1100,15.23
2013-12-03,15.90,15.90,15.85,15.85,400,15.43
2013-12-02,16.21,16.21,15.80,15.80,3500,15.38
2013-11-29,16.23,16.24,16.21,16.24,1100,15.81
2013-11-27,16.29,16.50,16.21,16.34,3100,15.91
2013-11-26,16.27,16.27,16.21,16.21,800,15.78
2013-11-25,16.25,16.39,16.25,16.39,900,15.96
2013-11-22,15.67,16.20,15.67,16.20,1700,15.77
2013-11-21,16.28,16.31,15.74,15.94,4100,15.52
2013-11-20,16.09,16.10,15.92,15.92,1000,15.50
2013-11-19,16.12,16.12,16.05,16.05,800,15.63
2013-11-18,16.06,16.25,15.93,16.24,2400,15.81
2013-11-15,16.22,16.22,16.22,16.22,000,15.79
2013-11-14,16.02,16.22,16.01,16.22,900,15.79
2013-11-13,16.00,16.00,16.00,16.00,700,15.58
2013-11-12,16.05,16.19,16.00,16.19,1700,15.76
2013-11-11,16.00,16.23,16.00,16.20,1700,15.77
2013-11-08,16.20,16.20,16.05,16.09,1300,15.67
2013-11-07,16.05,17.82,16.05,16.19,9200,15.76
2013-11-06,16.29,16.50,16.00,16.05,2900,15.63
2013-11-05,16.25,16.25,16.25,16.25,100,15.82
2013-11-04,16.10,16.44,16.10,16.27,3500,15.84
2013-11-01,16.56,16.80,16.10,16.10,500,15.67
2013-10-31,17.00,17.00,16.50,16.50,600,16.06
2013-10-30,17.06,17.06,17.00,17.00,2300,16.55
2013-10-29,17.07,17.07,17.07,17.07,200,16.62
2013-10-28,17.15,17.31,17.05,17.07,1000,16.62
2013-10-25,17.21,17.23,17.21,17.21,600,16.76
2013-10-24,16.82,17.28,16.82,17.11,1600,16.66
2013-10-23,17.23,17.23,16.99,16.99,1000,16.54
2013-10-22,17.03,17.03,16.95,16.95,600,16.50
2013-10-21,17.32,17.33,17.00,17.00,1900,16.55
2013-10-18,17.05,17.23,16.86,17.05,800,16.60
2013-10-17,16.67,16.92,16.67,16.80,400,16.36
2013-10-16,16.47,16.72,16.47,16.65,900,16.21
2013-10-15,16.69,16.69,16.37,16.51,2500,16.07
2013-10-14,16.76,16.76,16.76,16.76,100,16.32
2013-10-11,16.50,16.76,16.35,16.76,1400,16.32
2013-10-10,16.30,16.35,16.28,16.35,800,15.92
2013-10-09,16.63,16.63,16.28,16.30,2400,15.87
2013-10-08,16.74,16.74,16.63,16.63,800,16.19
2013-10-07,16.74,16.77,16.60,16.60,1300,16.16
2013-10-04,16.86,16.86,16.74,16.74,800,16.30
2013-10-03,17.40,17.50,16.92,16.92,6300,16.47
2013-10-02,17.25,17.25,17.08,17.08,1100,16.63
2013-10-01,17.21,17.56,17.10,17.42,2100,16.74
2013-09-30,17.20,17.20,17.15,17.18,1100,16.51
2013-09-27,17.25,17.30,17.20,17.21,1700,16.54
2013-09-26,17.35,17.37,17.16,17.25,4200,16.58
2013-09-25,17.18,17.41,17.15,17.40,4900,16.72
2013-09-24,17.13,17.17,17.07,17.17,800,16.50
2013-09-23,17.40,17.40,17.12,17.17,10300,16.50
2013-09-20,16.60,17.40,16.44,17.40,59000,16.72
2013-09-19,17.02,17.03,16.37,16.44,12200,15.80
2013-09-18,16.50,17.05,16.23,16.81,6800,16.15
2013-09-17,16.43,16.43,16.25,16.31,6400,15.67
2013-09-16,16.60,16.75,16.22,16.27,9700,15.64
2013-09-13,16.74,16.86,16.32,16.37,7900,15.73
2013-09-12,17.07,17.07,16.65,16.65,6100,16.00
2013-09-11,16.92,17.06,16.86,17.01,7300,16.35
2013-09-10,17.11,17.34,16.81,16.96,7700,16.30
2013-09-09,16.89,17.40,16.87,17.35,2500,16.67
2013-09-06,17.07,17.33,16.92,17.13,600,16.46
2013-09-05,16.92,16.92,16.92,16.92,100,16.26
2013-09-04,17.17,17.23,17.00,17.01,2900,16.35
2013-09-03,17.14,17.14,17.13,17.13,200,16.46
2013-08-30,17.63,17.63,17.63,17.63,000,16.94
2013-08-29,17.63,17.63,17.63,17.63,100,16.94
2013-08-28,17.55,17.55,17.50,17.50,1900,16.82
2013-08-27,17.75,17.75,17.75,17.75,000,17.06
2013-08-26,17.76,17.76,17.75,17.75,1100,17.06
2013-08-23,17.29,17.73,17.23,17.73,1300,17.04
2013-08-22,17.18,17.18,17.18,17.18,100,16.51
2013-08-21,17.41,17.41,17.41,17.41,000,16.73
2013-08-20,17.74,17.74,17.20,17.41,4500,16.73
2013-08-19,17.20,17.20,17.20,17.20,100,16.53
2013-08-16,18.05,18.05,17.44,17.50,2100,16.82
2013-08-15,18.32,18.32,18.32,18.32,000,17.61
2013-08-14,18.32,18.32,18.32,18.32,000,17.61
2013-08-13,18.64,18.64,18.32,18.32,1300,17.61
2013-08-12,18.97,18.97,18.97,18.97,000,18.23
2013-08-09,18.73,18.97,18.73,18.97,400,18.23
2013-08-08,18.70,18.70,18.68,18.68,300,17.95
2013-08-07,18.97,18.97,18.97,18.97,000,18.23
2013-08-06,18.97,18.97,18.97,18.97,000,18.23
2013-08-05,18.71,18.97,18.71,18.97,300,18.23
2013-08-02,19.00,19.00,19.00,19.00,000,18.26
2013-08-01,19.00,19.00,19.00,19.00,000,18.26
2013-07-31,19.46,19.46,19.00,19.00,2900,18.26
2013-07-30,19.36,19.36,19.36,19.36,100,18.61
2013-07-29,19.61,19.61,19.61,19.61,000,18.85
2013-07-26,19.61,19.61,19.61,19.61,000,18.85
2013-07-25,19.10,19.61,19.10,19.61,1100,18.85
2013-07-24,19.50,19.50,19.50,19.50,000,18.74
2013-07-23,19.32,19.55,19.32,19.50,4300,18.74
2013-07-22,19.66,19.70,19.66,19.68,800,18.91
2013-07-19,19.40,19.40,19.35,19.35,400,18.60
2013-07-18,19.30,19.30,19.30,19.30,000,18.55
2013-07-17,19.32,19.35,19.30,19.30,1900,18.55
2013-07-16,19.35,19.55,19.25,19.54,1200,18.78
2013-07-15,18.91,19.35,18.91,19.35,600,18.60
2013-07-12,18.85,19.00,18.85,19.00,200,18.26
2013-07-11,18.85,18.85,18.85,18.85,100,18.12
2013-07-10,18.54,18.54,18.54,18.54,200,17.82
2013-07-09,18.04,18.57,18.04,18.57,800,17.85
2013-07-08,18.16,18.16,17.91,18.08,1600,17.38
2013-07-05,17.80,18.09,17.60,18.00,1300,17.30
2013-07-03,18.00,18.00,18.00,18.00,100,17.30
2013-07-02,17.77,18.25,17.77,18.25,2700,17.54
2013-07-01,17.95,18.04,17.93,18.03,1700,17.11
2013-06-28,18.18,18.21,17.95,18.21,1200,17.28
2013-06-27,17.97,18.07,17.97,18.02,1100,17.10
2013-06-26,17.68,17.69,17.68,17.69,500,16.79
2013-06-25,17.94,18.00,17.86,17.86,300,16.95
2013-06-24,17.67,18.23,17.26,17.93,9900,17.02
2013-06-21,17.52,17.96,17.47,17.96,26400,17.04
2013-06-20,18.14,18.14,17.37,17.52,4800,16.63
2013-06-19,18.55,18.57,18.12,18.15,3200,17.22
2013-06-18,18.39,18.92,18.39,18.73,2600,17.78
2013-06-17,18.77,18.80,18.46,18.80,1400,17.84
2013-06-14,18.51,18.64,18.50,18.64,3700,17.69
2013-06-13,17.78,18.64,17.68,18.64,5000,17.69
2013-06-12,18.10,18.24,18.08,18.16,1500,17.23
2013-06-11,18.53,18.66,18.50,18.50,1400,17.56
2013-06-10,18.30,18.72,18.30,18.72,1500,17.77
2013-06-07,18.25,18.41,18.18,18.18,1000,17.25
2013-06-06,18.10,18.33,17.82,18.15,2400,17.22
2013-06-05,18.39,18.39,18.01,18.02,900,17.10
2013-06-04,18.63,18.65,18.47,18.59,1100,17.64
2013-06-03,18.24,18.50,18.20,18.30,2800,17.37
2013-05-31,18.39,18.79,18.23,18.23,1700,17.30
2013-05-30,18.65,18.65,18.65,18.65,100,17.70
2013-05-29,19.02,19.02,18.60,18.82,3800,17.86
2013-05-28,19.26,19.79,19.26,19.32,700,18.34
2013-05-24,19.40,19.40,19.15,19.19,1300,18.21
2013-05-23,19.75,19.75,19.69,19.70,1800,18.70
2013-05-22,20.19,20.50,19.98,19.98,3700,18.96
2013-05-21,20.19,20.19,20.13,20.13,300,19.10
2013-05-20,20.10,20.10,20.00,20.00,600,18.98
2013-05-17,20.05,20.24,20.00,20.09,700,19.07
2013-05-16,19.96,19.96,19.96,19.96,200,18.94
2013-05-15,19.93,20.20,19.80,20.05,3300,19.03
2013-05-14,19.91,20.15,19.81,20.13,2400,19.10
2013-05-13,19.90,19.90,19.83,19.83,800,18.82
2013-05-10,19.93,19.93,19.93,19.93,000,18.91
2013-05-09,19.93,19.93,19.93,19.93,000,18.91
2013-05-08,19.93,19.93,19.93,19.93,100,18.91
2013-05-07,19.75,19.98,19.75,19.95,2700,18.93
2013-05-06,19.73,19.89,19.67,19.73,700,18.72
2013-05-03,19.59,19.85,19.55,19.73,2900,18.72
2013-05-02,19.28,19.50,19.28,19.50,600,18.51
2013-05-01,19.54,19.54,19.29,19.29,900,18.31
2013-04-30,19.60,19.70,18.71,19.53,5100,18.53
2013-04-29,19.50,20.00,19.35,19.60,10200,18.60
2013-04-26,19.25,19.25,19.25,19.25,100,18.27
2013-04-25,19.40,19.59,19.35,19.35,300,18.36
2013-04-24,19.40,19.40,19.40,19.40,000,18.41
2013-04-23,19.43,19.44,19.12,19.40,2700,18.41
2013-04-22,19.32,19.32,18.91,19.24,2200,18.26
2013-04-19,18.77,19.22,18.77,19.18,1100,18.20
2013-04-18,18.40,18.71,18.40,18.71,800,17.76
2013-04-17,19.03,19.03,18.51,18.56,3400,17.61
2013-04-16,18.82,19.23,18.82,19.23,900,18.25
2013-04-15,19.24,19.34,18.77,18.77,2800,17.81
2013-04-12,19.18,19.45,19.17,19.45,400,18.46
2013-04-11,19.32,19.32,19.32,19.32,100,18.34
2013-04-10,19.19,19.44,19.19,19.32,1000,18.34
2013-04-09,19.10,19.24,18.93,19.16,2200,18.18
2013-04-08,19.01,19.43,18.87,19.33,8900,18.34
2013-04-05,18.87,19.29,18.87,19.26,900,18.28
2013-04-04,18.71,19.10,18.52,18.97,1000,18.00
2013-04-03,18.74,18.97,18.70,18.78,2300,17.82
2013-04-02,19.04,19.05,19.04,19.05,600,17.87
2013-04-01,18.99,19.23,18.98,19.12,700,17.93
2013-03-28,19.08,19.50,19.08,19.08,4200,17.89
2013-03-27,18.80,19.02,18.64,19.02,1400,17.84
2013-03-26,18.73,18.94,18.55,18.94,1300,17.76
2013-03-25,18.85,18.96,18.60,18.96,1400,17.78
2013-03-22,18.70,18.70,18.45,18.70,2700,17.54
2013-03-21,18.64,18.65,18.53,18.53,400,17.38
2013-03-20,18.52,18.70,18.52,18.69,700,17.53
2013-03-19,18.72,18.72,18.72,18.72,100,17.56
2013-03-18,18.75,18.75,18.65,18.65,400,17.49
2013-03-15,18.30,18.70,18.16,18.65,3600,17.49
2013-03-14,18.65,18.65,18.53,18.53,900,17.38
2013-03-13,18.50,18.64,18.40,18.60,6000,17.44
2013-03-12,18.60,18.60,18.45,18.45,1700,17.30
