Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,25.02,25.16,24.72,25.02,278500,25.02
2014-06-18,24.81,24.98,24.51,24.93,320200,24.93
2014-06-17,24.26,25.03,24.21,24.86,342500,24.86
2014-06-16,24.25,24.43,24.11,24.31,240200,24.31
2014-06-13,24.45,24.59,24.19,24.24,557800,24.24
2014-06-12,24.72,24.73,24.29,24.41,261500,24.41
2014-06-11,24.90,24.91,24.67,24.75,340900,24.75
2014-06-10,25.06,25.14,24.92,25.00,386700,25.00
2014-06-09,24.95,25.34,24.86,25.17,448000,25.17
2014-06-06,24.51,25.10,24.43,24.95,715200,24.95
2014-06-05,23.17,24.28,23.17,24.28,628500,24.28
2014-06-04,23.00,23.20,22.78,23.09,369500,23.09
2014-06-03,23.13,23.20,22.80,23.06,213400,23.06
2014-06-02,23.44,23.47,22.87,23.14,274600,23.14
2014-05-30,23.76,23.76,23.27,23.47,505200,23.47
2014-05-29,23.57,23.95,23.42,23.77,376400,23.77
2014-05-28,23.99,24.10,23.50,23.54,333300,23.54
2014-05-27,23.52,24.06,23.46,23.97,666000,23.97
2014-05-23,22.87,23.46,22.68,23.37,271500,23.37
2014-05-22,22.78,23.11,22.68,22.81,227100,22.81
2014-05-21,22.64,23.03,22.44,22.70,333700,22.70
2014-05-20,22.93,22.95,22.37,22.55,518600,22.55
2014-05-19,22.56,23.33,22.56,22.98,437600,22.98
2014-05-16,22.15,22.79,21.98,22.77,532600,22.77
2014-05-15,22.88,22.93,21.97,22.17,637000,22.17
2014-05-14,23.40,23.47,22.98,23.02,385900,23.02
2014-05-13,23.19,23.54,23.17,23.43,595600,23.43
2014-05-12,22.85,23.47,22.77,23.17,483800,23.17
2014-05-09,22.53,22.86,22.25,22.72,616000,22.72
2014-05-08,23.23,23.62,22.67,22.68,532700,22.68
2014-05-07,23.49,23.71,22.93,23.25,851400,23.25
2014-05-06,23.83,24.19,23.51,23.54,742600,23.54
2014-05-05,23.85,24.44,23.61,23.89,636300,23.89
2014-05-02,24.06,24.58,23.96,24.16,543500,24.16
2014-05-01,24.35,24.63,23.92,24.02,678100,24.02
2014-04-30,23.67,24.39,23.51,24.37,702600,24.37
2014-04-29,24.38,24.38,23.58,23.76,1060500,23.76
2014-04-28,25.09,25.24,23.78,24.21,1017100,24.21
2014-04-25,25.25,25.49,25.00,25.03,1255200,25.03
2014-04-24,25.79,25.79,25.25,25.46,1262000,25.46
2014-04-23,25.86,25.97,24.81,25.61,2592800,25.61
2014-04-22,28.69,29.10,28.52,28.93,971200,28.93
2014-04-21,29.08,29.20,28.32,28.60,622000,28.60
2014-04-17,28.74,29.30,28.61,29.00,361900,29.00
2014-04-16,28.24,28.89,28.16,28.89,369400,28.89
2014-04-15,28.03,28.36,27.00,27.93,499200,27.93
2014-04-14,28.22,28.55,27.53,27.99,535600,27.99
2014-04-11,28.31,28.39,27.59,27.84,806800,27.84
2014-04-10,30.13,30.18,28.28,28.53,661000,28.53
2014-04-09,29.73,30.27,29.62,30.25,405000,30.25
2014-04-08,29.69,30.18,29.27,29.70,507100,29.70
2014-04-07,30.19,30.37,29.35,29.71,526700,29.71
2014-04-04,31.32,31.32,29.82,30.43,910200,30.43
2014-04-03,31.60,31.71,30.55,31.12,660700,31.12
2014-04-02,31.32,31.69,31.22,31.59,543500,31.59
2014-04-01,30.56,31.20,30.47,31.19,769300,31.19
2014-03-31,29.10,30.49,29.01,30.46,1555300,30.46
2014-03-28,28.81,29.46,28.65,28.73,528300,28.73
2014-03-27,29.49,29.70,28.46,28.76,947800,28.76
2014-03-26,30.61,30.91,29.62,29.63,600900,29.63
2014-03-25,30.81,31.00,29.95,30.36,614000,30.36
2014-03-24,30.77,31.17,30.37,30.57,711800,30.57
2014-03-21,31.05,31.20,30.76,30.88,694900,30.88
2014-03-20,31.16,31.49,30.64,30.94,431900,30.94
2014-03-19,31.39,31.59,30.95,31.22,524400,31.22
2014-03-18,30.00,31.60,29.97,31.32,1201400,31.32
2014-03-17,30.37,30.60,29.63,29.99,646900,29.99
2014-03-14,29.99,30.38,29.90,29.99,698800,29.99
2014-03-13,30.88,30.90,29.93,30.10,813300,30.10
2014-03-12,30.70,31.01,30.46,30.84,787800,30.84
2014-03-11,31.75,31.91,30.48,30.82,1802800,30.82
2014-03-10,33.39,33.84,32.89,33.06,690100,33.06
2014-03-07,34.45,34.48,33.24,33.32,960200,33.32
2014-03-06,34.98,34.98,33.98,34.43,669800,34.43
2014-03-05,34.95,35.00,34.47,34.93,630400,34.93
2014-03-04,33.95,35.20,33.76,34.94,767900,34.94
2014-03-03,33.66,33.83,32.79,33.42,645300,33.42
2014-02-28,35.85,36.05,34.21,34.22,1136300,34.22
2014-02-27,34.19,35.76,34.14,35.74,846800,35.74
2014-02-26,34.86,35.53,34.10,34.20,1050500,34.20
2014-02-25,33.98,34.90,33.90,34.88,575900,34.88
2014-02-24,33.34,34.39,33.23,33.96,369400,33.96
2014-02-21,33.30,33.56,32.87,33.34,361400,33.34
2014-02-20,32.60,33.36,32.57,33.11,612700,33.11
2014-02-19,32.82,32.93,32.34,32.59,497300,32.59
2014-02-18,32.35,33.18,32.31,32.97,435400,32.97
2014-02-14,32.23,32.55,32.04,32.36,362200,32.36
2014-02-13,31.95,32.34,31.79,32.33,250500,32.33
2014-02-12,32.86,33.24,32.12,32.27,384200,32.27
2014-02-11,32.87,32.95,32.39,32.84,362000,32.84
2014-02-10,32.10,33.58,32.09,32.89,721700,32.89
2014-02-07,31.57,32.11,31.23,32.10,656900,32.10
2014-02-06,31.71,31.93,31.29,31.42,546400,31.42
2014-02-05,31.80,32.15,30.25,31.68,1125800,31.68
2014-02-04,32.42,32.42,31.79,32.08,1006000,32.08
2014-02-03,34.28,34.85,31.66,32.35,1631600,32.35
2014-01-31,34.24,35.40,33.82,34.27,2870100,34.27
2014-01-30,30.78,31.28,30.48,31.15,1963500,31.15
2014-01-29,30.55,31.18,30.21,30.53,500400,30.53
2014-01-28,30.92,31.08,30.12,30.92,592300,30.92
2014-01-27,30.62,31.58,30.50,30.82,530300,30.82
2014-01-24,31.98,31.98,30.43,30.50,773200,30.50
2014-01-23,32.75,33.13,32.06,32.18,382600,32.18
2014-01-22,32.78,33.13,32.50,32.92,564600,32.92
2014-01-21,32.89,33.23,32.57,32.80,471700,32.80
2014-01-17,32.88,33.10,32.36,32.53,387700,32.53
2014-01-16,32.97,33.19,32.72,32.96,352800,32.96
2014-01-15,32.83,33.47,32.63,33.12,636800,33.12
2014-01-14,31.25,32.81,31.25,32.79,532100,32.79
2014-01-13,31.69,32.32,30.76,31.12,773100,31.12
2014-01-10,33.03,33.12,31.58,31.74,1295400,31.74
2014-01-09,33.63,34.14,33.50,33.74,522900,33.74
2014-01-08,33.66,33.90,33.34,33.55,355600,33.55
2014-01-07,33.62,33.73,33.25,33.63,464800,33.63
2014-01-06,33.24,33.95,33.17,33.45,628600,33.45
2014-01-03,32.89,33.11,32.23,32.98,560400,32.98
2014-01-02,33.40,33.45,32.57,32.97,518800,32.97
2013-12-31,33.60,33.72,33.45,33.57,356200,33.57
2013-12-30,34.25,34.25,33.35,33.60,683100,33.60
2013-12-27,34.41,34.78,34.01,34.34,356500,34.34
2013-12-26,34.25,34.38,33.83,34.24,271100,34.24
2013-12-24,34.04,34.43,33.80,34.15,189000,34.15
2013-12-23,33.61,34.67,33.42,34.08,780600,34.08
2013-12-20,32.60,33.73,32.10,33.55,1197100,33.55
2013-12-19,30.78,33.41,30.74,32.36,1496000,32.36
2013-12-18,30.85,30.97,30.07,30.91,356400,30.91
2013-12-17,30.70,31.25,30.55,30.82,438300,30.82
2013-12-16,30.01,30.87,29.89,30.76,347200,30.76
2013-12-13,29.51,29.98,29.45,29.85,387700,29.85
2013-12-12,29.65,29.86,29.43,29.48,253600,29.48
2013-12-11,30.50,30.52,29.60,29.70,351500,29.70
2013-12-10,30.14,30.62,29.88,30.48,472800,30.48
2013-12-09,30.17,30.71,30.09,30.16,769400,30.16
2013-12-06,27.96,30.25,27.96,30.00,1285800,30.00
2013-12-05,28.18,28.35,27.41,27.50,790600,27.50
2013-12-04,27.98,28.52,27.74,28.32,487100,28.32
2013-12-03,27.67,28.25,27.52,28.02,550500,28.02
2013-12-02,27.40,28.06,27.25,27.74,486700,27.74
2013-11-29,27.95,28.05,27.22,27.47,290700,27.47
2013-11-27,27.16,27.88,27.00,27.80,378000,27.80
2013-11-26,26.76,27.13,26.65,27.06,208400,27.06
2013-11-25,26.87,27.06,26.71,26.79,182200,26.79
2013-11-22,26.93,26.98,26.71,26.88,314700,26.88
2013-11-21,26.47,26.90,26.45,26.85,314400,26.85
2013-11-20,26.37,26.54,26.25,26.37,190500,26.37
2013-11-19,26.51,26.67,26.10,26.30,374800,26.30
2013-11-18,27.08,27.12,26.44,26.51,301800,26.51
2013-11-15,27.32,27.38,26.93,27.06,407200,27.06
2013-11-14,27.00,27.44,26.95,27.33,393200,27.33
2013-11-13,26.40,27.06,26.32,27.02,339000,27.02
2013-11-12,26.67,26.98,26.39,26.58,373200,26.58
2013-11-11,26.19,26.74,25.96,26.67,387300,26.67
2013-11-08,25.04,26.19,25.01,26.17,447100,26.17
2013-11-07,25.35,25.61,25.00,25.07,382300,25.07
2013-11-06,25.69,25.84,25.10,25.23,628100,25.23
2013-11-05,25.76,25.92,25.40,25.59,374400,25.59
2013-11-04,26.13,26.17,25.70,25.86,323600,25.86
2013-11-01,26.35,26.43,25.76,26.11,392300,26.11
2013-10-31,26.11,26.58,25.92,26.35,619100,26.35
2013-10-30,26.03,26.29,25.79,26.08,555600,26.08
2013-10-29,25.23,25.95,25.22,25.92,718500,25.92
2013-10-28,25.09,25.40,24.94,25.09,1039900,25.09
2013-10-25,25.29,25.43,24.91,25.02,406100,25.02
2013-10-24,25.01,25.21,24.60,25.20,783900,25.20
2013-10-23,23.00,25.21,23.00,25.05,1612600,25.05
2013-10-22,25.79,26.44,25.67,26.10,832000,26.10
2013-10-21,25.84,25.87,25.50,25.65,401100,25.65
2013-10-18,26.20,26.22,25.78,25.81,388000,25.81
2013-10-17,25.70,26.04,25.68,25.93,207700,25.93
2013-10-16,25.73,26.13,25.63,25.89,254700,25.89
2013-10-15,25.99,26.17,25.40,25.59,401200,25.59
2013-10-14,25.22,26.03,25.07,26.03,387400,26.03
2013-10-11,25.32,25.60,25.23,25.30,436300,25.30
2013-10-10,25.28,25.61,24.99,25.27,354000,25.27
2013-10-09,25.10,25.19,24.71,24.99,296800,24.99
2013-10-08,25.70,25.70,24.66,25.03,434800,25.03
2013-10-07,25.73,25.97,25.46,25.64,374800,25.64
2013-10-04,25.49,26.12,25.39,26.08,293500,26.08
2013-10-03,25.86,25.86,25.20,25.51,259700,25.51
2013-10-02,25.76,26.51,25.64,25.95,439300,25.95
2013-10-01,25.17,26.08,25.17,25.95,421900,25.95
2013-09-30,24.91,25.43,24.87,25.19,490900,25.19
2013-09-27,25.10,25.40,24.96,25.13,342400,25.13
2013-09-26,25.08,25.66,24.96,25.23,307800,25.23
2013-09-25,24.97,25.61,24.93,25.00,610500,25.00
2013-09-24,25.13,25.24,24.65,25.01,714200,25.01
2013-09-23,26.06,26.13,24.90,25.15,551900,25.15
2013-09-20,26.72,26.72,26.12,26.14,432100,26.14
2013-09-19,26.53,26.69,26.05,26.61,523000,26.61
2013-09-18,26.87,27.08,26.27,26.51,516700,26.51
2013-09-17,25.91,27.03,25.87,26.88,550200,26.88
2013-09-16,26.57,26.74,25.84,26.05,300500,26.05
2013-09-13,25.78,26.31,25.49,26.31,465500,26.31
2013-09-12,25.00,25.86,24.87,25.69,443100,25.69
2013-09-11,24.99,25.22,24.91,25.04,325600,25.04
2013-09-10,24.91,25.43,24.70,25.10,600400,25.10
2013-09-09,24.67,24.98,24.64,24.68,376200,24.68
2013-09-06,24.77,24.90,24.39,24.57,438000,24.57
2013-09-05,24.83,24.95,24.50,24.64,367000,24.64
2013-09-04,25.16,25.32,24.84,24.85,542000,24.85
2013-09-03,25.48,25.67,25.04,25.13,250700,25.13
2013-08-30,25.48,25.54,24.96,25.16,206800,25.16
2013-08-29,25.28,25.53,25.25,25.47,371200,25.47
2013-08-28,25.33,25.62,25.26,25.35,370000,25.35
2013-08-27,25.80,25.89,25.01,25.20,536100,25.20
2013-08-26,25.47,26.35,25.35,26.10,818400,26.10
2013-08-23,24.98,25.41,24.76,25.41,522100,25.41
2013-08-22,24.20,24.96,24.20,24.92,297700,24.92
2013-08-21,24.55,24.74,24.11,24.19,220900,24.19
2013-08-20,24.42,24.72,24.41,24.63,203700,24.63
2013-08-19,24.38,24.61,24.36,24.41,333900,24.41
