Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,0.45,0.45,0.41,0.43,41000,0.43
2014-06-18,0.46,0.46,0.43,0.43,12700,0.43
2014-06-17,0.42,0.48,0.42,0.43,28000,0.43
2014-06-16,0.51,0.56,0.43,0.44,113900,0.44
2014-06-13,0.47,0.57,0.45,0.47,146200,0.47
2014-06-12,0.51,0.55,0.45,0.50,31300,0.50
2014-06-11,0.56,0.56,0.47,0.54,58100,0.54
2014-06-10,0.58,0.61,0.52,0.56,16300,0.56
2014-06-09,0.58,0.60,0.58,0.58,28800,0.58
2014-06-06,0.55,0.57,0.55,0.57,28800,0.57
2014-06-05,0.55,0.61,0.50,0.55,93700,0.55
2014-06-04,0.45,0.57,0.45,0.50,143900,0.50
2014-06-03,0.57,0.59,0.46,0.48,178800,0.48
2014-06-02,0.63,0.65,0.55,0.57,348000,0.57
2014-05-30,0.70,0.70,0.63,0.64,40200,0.64
2014-05-29,0.70,0.75,0.63,0.69,27400,0.69
2014-05-28,0.64,0.75,0.62,0.70,89100,0.70
2014-05-27,0.79,0.79,0.60,0.73,87900,0.73
2014-05-23,0.67,0.76,0.53,0.71,450700,0.71
2014-05-22,0.80,0.80,0.60,0.66,88400,0.66
2014-05-21,0.74,0.77,0.73,0.76,73000,0.76
2014-05-20,0.93,0.93,0.72,0.83,195900,0.83
2014-05-19,1.10,1.14,0.81,0.89,447300,0.89
2014-05-16,1.18,1.18,1.08,1.10,85600,1.10
2014-05-15,1.32,1.32,1.05,1.25,65500,1.25
2014-05-14,1.60,1.60,1.21,1.22,133700,1.22
2014-05-13,1.45,1.62,1.41,1.51,10600,1.51
2014-05-12,1.67,1.67,1.40,1.59,16300,1.59
2014-05-09,1.50,1.66,1.38,1.58,44200,1.58
2014-05-08,1.33,1.56,1.33,1.49,24800,1.49
2014-05-07,1.17,1.63,1.17,1.37,78700,1.37
2014-05-06,1.22,1.23,1.14,1.20,23700,1.20
2014-05-05,1.25,1.27,1.22,1.27,22900,1.27
2014-05-02,1.26,1.28,1.26,1.26,2300,1.26
2014-05-01,1.26,1.30,1.24,1.25,7400,1.25
2014-04-30,1.30,1.36,1.20,1.30,64000,1.30
2014-04-29,1.37,1.37,1.27,1.30,25600,1.30
2014-04-28,1.49,1.50,1.26,1.35,51400,1.35
2014-04-25,1.47,1.54,1.39,1.47,26300,1.47
2014-04-24,1.50,1.64,1.45,1.54,37000,1.54
2014-04-23,1.57,1.60,1.55,1.57,16700,1.57
2014-04-22,1.62,1.62,1.58,1.62,21200,1.62
2014-04-21,1.55,1.70,1.55,1.59,21400,1.59
2014-04-17,1.54,1.65,1.54,1.65,3800,1.65
2014-04-16,1.57,1.66,1.55,1.62,10800,1.62
2014-04-15,1.69,1.69,1.69,1.69,000,1.69
2014-04-14,1.69,1.70,1.64,1.69,5400,1.69
2014-04-11,1.75,1.75,1.73,1.73,900,1.73
2014-04-10,1.75,1.75,1.64,1.71,49600,1.71
2014-04-09,1.75,1.75,1.70,1.74,28200,1.74
2014-04-08,1.77,1.78,1.70,1.70,2500,1.70
2014-04-07,1.77,1.79,1.72,1.79,1800,1.79
2014-04-04,1.80,1.80,1.77,1.78,11300,1.78
2014-04-03,1.73,1.77,1.71,1.77,84700,1.77
2014-04-02,1.76,1.78,1.70,1.73,10100,1.73
2014-04-01,1.85,1.95,1.69,1.75,95800,1.75
2014-03-31,1.80,1.87,1.76,1.84,26400,1.84
2014-03-28,1.75,1.75,1.75,1.75,3100,1.75
2014-03-27,1.74,1.81,1.64,1.72,10800,1.72
2014-03-26,1.74,1.82,1.73,1.77,3700,1.77
2014-03-25,1.81,1.84,1.75,1.83,2000,1.83
2014-03-24,1.86,1.86,1.72,1.72,5700,1.72
2014-03-21,1.86,1.90,1.74,1.80,22800,1.80
2014-03-20,1.85,1.90,1.81,1.89,28600,1.89
2014-03-19,1.83,1.85,1.82,1.85,3300,1.85
2014-03-18,1.82,1.85,1.80,1.84,9700,1.84
2014-03-17,1.88,1.90,1.80,1.83,20500,1.83
2014-03-14,1.83,1.88,1.80,1.85,12100,1.85
2014-03-13,1.80,1.94,1.79,1.81,67900,1.81
2014-03-12,1.69,1.86,1.69,1.78,17100,1.78
2014-03-11,1.67,1.68,1.64,1.66,18600,1.66
2014-03-10,1.64,1.67,1.60,1.63,4100,1.63
2014-03-07,1.67,1.68,1.66,1.68,2900,1.68
2014-03-06,1.64,1.69,1.61,1.61,12600,1.61
2014-03-05,1.63,1.63,1.63,1.63,800,1.63
2014-03-04,1.61,1.68,1.61,1.68,4700,1.68
2014-03-03,1.63,1.65,1.60,1.65,17700,1.65
2014-02-28,1.64,1.64,1.60,1.60,1700,1.60
2014-02-27,1.61,1.65,1.60,1.63,16400,1.63
2014-02-26,1.60,1.65,1.60,1.65,18800,1.65
2014-02-25,1.61,1.63,1.59,1.60,35000,1.60
2014-02-24,1.61,1.64,1.59,1.59,14900,1.59
2014-02-21,1.62,1.70,1.60,1.61,52600,1.61
2014-02-20,1.65,1.65,1.61,1.62,7100,1.62
2014-02-19,1.65,1.65,1.61,1.61,4500,1.61
2014-02-18,1.65,1.65,1.60,1.60,1400,1.60
2014-02-14,1.60,1.65,1.59,1.64,9500,1.64
2014-02-13,1.57,1.63,1.57,1.61,1200,1.61
2014-02-12,1.60,1.60,1.57,1.58,17300,1.58
2014-02-11,1.59,1.62,1.59,1.62,3500,1.62
2014-02-10,1.65,1.65,1.61,1.61,1800,1.61
2014-02-07,1.61,1.66,1.56,1.59,3900,1.59
2014-02-06,1.63,1.63,1.56,1.61,23400,1.61
2014-02-05,1.62,1.62,1.62,1.62,10500,1.62
2014-02-04,1.62,1.62,1.60,1.62,3500,1.62
2014-02-03,1.60,1.66,1.60,1.64,14100,1.64
2014-01-31,1.60,1.61,1.59,1.59,3000,1.59
2014-01-30,1.57,1.61,1.56,1.61,6500,1.61
2014-01-29,1.59,1.61,1.57,1.57,12300,1.57
2014-01-28,1.58,1.59,1.57,1.57,3700,1.57
2014-01-27,1.58,1.60,1.56,1.56,25300,1.56
2014-01-24,1.60,1.61,1.60,1.61,300,1.61
2014-01-23,1.60,1.62,1.60,1.62,2700,1.62
2014-01-22,1.62,1.62,1.61,1.61,1700,1.61
2014-01-21,1.62,1.62,1.60,1.62,5900,1.62
2014-01-17,1.63,1.64,1.62,1.62,1300,1.62
2014-01-16,1.64,1.70,1.64,1.66,3600,1.66
2014-01-15,1.65,1.68,1.60,1.68,25900,1.68
2014-01-14,1.70,1.70,1.60,1.62,4700,1.62
2014-01-13,1.64,1.64,1.55,1.63,9300,1.63
2014-01-10,1.66,1.68,1.59,1.60,31400,1.60
2014-01-09,1.73,1.73,1.61,1.69,7200,1.69
2014-01-08,1.73,1.75,1.66,1.68,23100,1.68
2014-01-07,1.70,1.73,1.69,1.70,3400,1.70
2014-01-06,1.68,1.71,1.63,1.71,11600,1.71
2014-01-03,1.67,1.73,1.64,1.69,10500,1.69
2014-01-02,1.73,1.73,1.64,1.64,3500,1.64
2013-12-31,1.69,1.70,1.65,1.67,19400,1.67
2013-12-30,1.64,1.65,1.60,1.60,32500,1.60
2013-12-27,1.65,1.70,1.60,1.67,33300,1.67
2013-12-26,1.60,1.70,1.58,1.65,185000,1.65
2013-12-24,1.61,1.63,1.60,1.63,6900,1.63
2013-12-23,1.65,1.74,1.60,1.61,37100,1.61
2013-12-20,1.65,1.74,1.63,1.64,36500,1.64
2013-12-19,1.60,1.70,1.58,1.63,38900,1.63
2013-12-18,1.63,1.63,1.61,1.61,19400,1.61
2013-12-17,1.61,1.65,1.60,1.65,34400,1.65
2013-12-16,1.58,1.62,1.57,1.61,55600,1.61
2013-12-13,1.60,1.60,1.55,1.59,4800,1.59
2013-12-12,1.54,1.60,1.52,1.60,43400,1.60
2013-12-11,1.52,1.58,1.50,1.50,17400,1.50
2013-12-10,1.52,1.56,1.52,1.54,11000,1.54
2013-12-09,1.55,1.60,1.54,1.55,11400,1.55
2013-12-06,1.58,1.65,1.56,1.58,32100,1.58
2013-12-05,1.61,1.64,1.58,1.62,38200,1.62
2013-12-04,1.61,1.65,1.51,1.61,39300,1.61
2013-12-03,1.57,1.62,1.57,1.58,9900,1.58
2013-12-02,1.68,1.68,1.58,1.59,26800,1.59
2013-11-29,1.57,1.63,1.50,1.63,30100,1.63
2013-11-27,1.47,1.60,1.47,1.52,38200,1.52
2013-11-26,1.42,1.49,1.42,1.46,21600,1.46
2013-11-25,1.40,1.50,1.32,1.41,99100,1.41
2013-11-22,1.27,1.37,1.27,1.36,50400,1.36
2013-11-21,1.26,1.39,1.26,1.29,313100,1.29
2013-11-20,1.21,1.30,1.21,1.28,829900,1.28
2013-11-19,1.23,1.26,1.21,1.25,24200,1.25
2013-11-18,1.26,1.39,1.24,1.26,87900,1.26
2013-11-15,1.25,1.30,1.22,1.25,88800,1.25
2013-11-14,1.25,1.47,1.23,1.23,164600,1.23
2013-11-13,1.25,1.30,1.20,1.26,141200,1.26
2013-11-12,1.19,1.19,1.15,1.15,5100,1.15
2013-11-11,1.16,1.25,1.11,1.23,5400,1.23
2013-11-08,1.18,1.19,1.11,1.19,6500,1.19
