Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,8.05,8.05,8.05,8.05,000,8.05
2014-06-18,7.90,8.05,7.90,8.05,3300,8.05
2014-06-17,8.05,8.05,7.90,8.05,2900,8.05
2014-06-16,8.08,8.08,7.93,7.93,400,7.93
2014-06-13,7.90,8.09,7.90,8.07,1200,8.07
2014-06-12,7.92,8.10,7.92,8.10,700,8.10
2014-06-11,8.09,8.10,8.09,8.10,1300,8.10
2014-06-10,8.07,8.09,8.07,8.09,500,8.09
2014-06-09,7.94,8.10,7.82,7.92,3800,7.92
2014-06-06,8.24,8.24,7.78,8.10,3500,8.10
2014-06-05,8.20,8.20,8.00,8.01,6900,8.01
2014-06-04,8.02,8.40,7.70,8.20,16800,8.20
2014-06-03,8.13,8.28,8.05,8.20,1600,8.20
2014-06-02,8.23,8.35,8.20,8.35,2600,8.35
2014-05-30,8.18,8.46,8.18,8.20,6900,8.20
2014-05-29,8.50,8.50,8.26,8.37,800,8.37
2014-05-28,8.20,8.30,8.01,8.23,9200,8.23
2014-05-27,7.82,7.82,7.82,7.82,000,7.82
2014-05-23,7.94,8.31,7.92,8.31,2700,8.31
2014-05-22,7.83,7.83,7.82,7.82,200,7.82
2014-05-21,7.93,7.94,7.84,7.94,1900,7.94
2014-05-20,7.92,7.92,7.92,7.92,000,7.92
2014-05-19,7.82,7.92,7.82,7.92,1000,7.92
2014-05-16,7.79,7.94,7.79,7.94,300,7.94
2014-05-15,7.78,7.94,7.77,7.94,4500,7.94
2014-05-14,7.94,7.94,7.90,7.92,2200,7.92
2014-05-13,7.84,7.94,7.77,7.91,12800,7.91
2014-05-12,7.84,7.97,7.80,7.85,2600,7.85
2014-05-09,7.75,7.75,7.75,7.75,200,7.75
2014-05-08,7.77,7.77,7.77,7.77,000,7.77
2014-05-07,7.87,7.87,7.77,7.77,400,7.77
2014-05-06,7.75,7.89,7.75,7.78,5000,7.78
2014-05-05,7.65,7.67,7.65,7.67,200,7.67
2014-05-02,7.68,7.68,7.65,7.65,6800,7.65
2014-05-01,7.69,7.70,7.65,7.65,2800,7.65
2014-04-30,7.83,7.97,7.67,7.70,7800,7.70
2014-04-29,7.69,7.97,7.69,7.97,200,7.97
2014-04-28,7.85,7.88,7.61,7.84,4700,7.84
2014-04-25,7.82,7.94,7.71,7.71,2700,7.71
2014-04-24,7.61,7.93,7.61,7.93,9600,7.93
2014-04-23,7.77,7.99,7.68,7.70,14100,7.70
2014-04-22,8.00,8.00,7.85,8.00,4000,8.00
2014-04-21,7.82,8.24,7.79,8.00,24800,8.00
2014-04-17,8.41,8.43,7.82,8.25,3200,8.25
2014-04-16,8.25,8.25,8.25,8.25,200,8.25
2014-04-15,8.29,8.39,8.29,8.35,500,8.35
2014-04-14,8.29,8.38,8.29,8.32,2400,8.32
2014-04-11,8.36,8.40,8.34,8.38,2300,8.38
2014-04-10,8.39,8.39,8.39,8.39,100,8.39
2014-04-09,8.42,8.50,8.34,8.50,3400,8.50
2014-04-08,8.42,8.53,8.42,8.53,300,8.53
2014-04-07,8.52,8.56,8.42,8.53,2900,8.53
2014-04-04,8.45,8.45,8.45,8.45,1200,8.45
2014-04-03,8.46,8.60,8.39,8.54,3100,8.54
2014-04-02,8.49,8.75,8.40,8.42,13600,8.42
2014-04-01,8.84,8.84,8.84,8.84,000,8.84
2014-03-31,8.34,8.85,8.34,8.84,6000,8.84
2014-03-28,8.75,8.85,8.49,8.84,3600,8.84
2014-03-27,8.43,8.85,8.29,8.55,9800,8.55
2014-03-26,8.85,8.85,8.43,8.43,1700,8.43
2014-03-25,7.95,8.55,7.88,8.53,14800,8.53
2014-03-24,8.00,8.00,7.86,8.00,8700,8.00
2014-03-21,8.14,8.15,7.95,8.00,7200,8.00
2014-03-20,7.99,8.15,7.96,8.14,12800,8.14
2014-03-19,8.00,8.00,7.91,8.00,2900,8.00
2014-03-18,7.81,7.99,7.81,7.99,3200,7.99
2014-03-17,7.92,7.93,7.79,7.93,3000,7.93
2014-03-14,7.80,7.92,7.80,7.92,400,7.92
2014-03-13,7.93,7.93,7.93,7.93,500,7.93
2014-03-12,7.88,7.97,7.88,7.96,600,7.96
2014-03-11,7.92,7.92,7.89,7.90,700,7.90
2014-03-10,7.97,7.97,7.79,7.92,300,7.92
2014-03-07,7.82,7.95,7.78,7.81,7400,7.81
2014-03-06,7.82,7.82,7.78,7.78,1200,7.78
2014-03-05,7.90,7.90,7.90,7.90,000,7.90
2014-03-04,7.71,7.95,7.71,7.90,6500,7.90
2014-03-03,7.49,7.79,7.49,7.79,6800,7.79
2014-02-28,7.61,7.75,7.61,7.68,7700,7.68
2014-02-27,7.62,7.64,7.62,7.62,700,7.62
2014-02-26,7.67,7.67,7.65,7.65,400,7.65
2014-02-25,7.70,7.70,7.62,7.63,6700,7.63
2014-02-24,7.70,7.72,7.70,7.70,2500,7.70
2014-02-21,7.61,7.83,7.61,7.63,1100,7.63
2014-02-20,7.51,7.60,7.51,7.60,900,7.60
2014-02-19,7.80,7.80,7.67,7.67,5000,7.67
2014-02-18,7.72,7.84,7.70,7.80,7200,7.80
2014-02-14,7.72,7.72,7.72,7.72,200,7.72
2014-02-13,7.70,7.78,7.70,7.71,1000,7.71
