Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,13.93,14.00,13.90,13.96,12300,13.96
2014-06-18,13.94,13.99,13.93,13.96,5300,13.96
2014-06-17,13.95,14.00,13.91,13.99,12200,13.99
2014-06-16,14.00,14.05,13.97,14.02,22900,14.02
2014-06-13,14.09,14.09,13.98,14.07,11300,14.07
2014-06-12,13.97,14.04,13.97,14.03,4200,14.03
2014-06-11,14.00,14.09,13.96,14.03,18000,14.03
2014-06-10,14.10,14.10,13.99,14.00,22600,13.94
2014-06-09,14.07,14.07,13.99,14.05,10500,13.99
2014-06-06,13.99,14.08,13.99,14.06,14700,14.00
2014-06-05,14.05,14.05,13.95,13.97,4800,13.91
2014-06-04,14.05,14.09,14.00,14.01,13000,13.95
2014-06-03,14.04,14.12,14.04,14.04,29100,13.98
2014-06-02,14.17,14.19,14.04,14.05,16200,13.99
2014-05-30,14.31,14.32,14.11,14.12,24700,14.06
2014-05-29,14.15,14.28,14.15,14.21,8600,14.15
2014-05-28,14.14,14.20,14.13,14.17,8600,14.11
2014-05-27,14.18,14.21,14.10,14.13,23700,14.07
2014-05-23,14.14,14.20,14.11,14.11,9200,14.05
2014-05-22,14.18,14.21,14.15,14.18,16900,14.12
2014-05-21,14.16,14.18,14.13,14.14,8500,14.08
2014-05-20,14.10,14.17,14.06,14.14,17100,14.08
2014-05-19,14.19,14.21,14.08,14.12,15200,14.06
2014-05-16,14.19,14.19,14.10,14.13,17700,14.07
2014-05-15,14.02,14.14,13.99,14.09,8700,14.03
2014-05-14,13.99,14.03,13.98,14.00,21700,13.94
2014-05-13,14.02,14.07,13.97,14.01,23100,13.89
2014-05-12,14.17,14.17,14.08,14.08,15500,13.96
2014-05-09,14.10,14.13,14.08,14.10,5300,13.98
2014-05-08,14.09,14.12,14.01,14.10,13500,13.98
2014-05-07,14.03,14.07,13.99,14.06,19700,13.94
2014-05-06,13.97,14.07,13.97,14.00,12400,13.88
2014-05-05,13.97,14.00,13.91,13.95,7500,13.83
2014-05-02,14.07,14.07,13.94,13.94,13100,13.82
2014-05-01,14.06,14.10,14.01,14.01,17100,13.89
2014-04-30,13.94,14.08,13.94,14.03,25800,13.91
2014-04-29,14.00,14.02,13.87,13.91,10500,13.80
2014-04-28,13.79,14.04,13.79,13.96,22500,13.84
2014-04-25,13.85,13.97,13.84,13.96,30800,13.84
2014-04-24,13.79,13.85,13.74,13.85,24700,13.74
2014-04-23,13.75,13.86,13.72,13.79,17500,13.68
2014-04-22,13.71,13.73,13.68,13.71,15400,13.60
2014-04-21,13.54,13.75,13.54,13.65,26700,13.54
2014-04-17,13.57,13.72,13.53,13.53,8200,13.42
2014-04-16,13.60,13.79,13.58,13.64,70600,13.53
2014-04-15,13.51,13.56,13.50,13.56,20200,13.45
2014-04-14,13.48,13.54,13.47,13.50,18700,13.39
2014-04-11,13.39,13.48,13.38,13.48,12800,13.37
2014-04-10,13.42,13.46,13.38,13.38,14700,13.27
2014-04-09,13.30,13.43,13.30,13.41,15200,13.30
2014-04-08,13.49,13.50,13.35,13.36,13000,13.19
2014-04-07,13.42,13.46,13.42,13.46,23500,13.29
2014-04-04,13.43,13.50,13.38,13.38,15200,13.21
2014-04-03,13.30,13.45,13.27,13.35,54200,13.18
2014-04-02,13.40,13.41,13.31,13.35,23700,13.18
2014-04-01,13.40,13.42,13.31,13.36,10000,13.19
2014-03-31,13.45,13.45,13.34,13.34,12800,13.17
2014-03-28,13.43,13.45,13.31,13.45,49700,13.28
2014-03-27,13.36,13.40,13.36,13.37,26200,13.20
2014-03-26,13.36,13.43,13.32,13.37,13500,13.20
2014-03-25,13.20,13.33,13.18,13.30,36200,13.13
2014-03-24,13.16,13.18,13.10,13.18,14900,13.01
2014-03-21,13.08,13.13,13.06,13.09,19900,12.93
2014-03-20,13.15,13.15,13.02,13.02,25000,12.86
2014-03-19,13.32,13.32,13.16,13.16,15500,12.99
2014-03-18,13.28,13.30,13.23,13.27,26200,13.10
2014-03-17,13.28,13.37,13.27,13.29,18400,13.12
2014-03-14,13.37,13.37,13.26,13.27,5100,13.10
2014-03-13,13.21,13.34,13.21,13.34,20900,13.17
2014-03-12,13.10,13.28,13.10,13.28,9300,13.11
2014-03-11,13.17,13.25,13.08,13.25,18400,13.03
2014-03-10,13.02,13.24,13.02,13.20,31800,12.98
2014-03-07,13.20,13.20,13.02,13.02,41400,12.80
2014-03-06,13.31,13.31,13.25,13.25,26700,13.03
