Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,119.02,119.17,116.68,117.55,3887100,117.55
2014-06-18,120.04,120.52,117.81,118.43,3683500,118.43
2014-06-17,117.64,121.67,117.14,118.87,5474000,118.87
2014-06-16,118.81,119.38,116.90,117.75,4226600,117.75
2014-06-13,121.35,121.80,118.35,119.60,4139000,119.60
2014-06-12,124.80,124.98,119.63,120.75,6213600,120.75
2014-06-11,124.72,125.37,123.09,125.18,3076900,125.18
2014-06-10,126.44,127.87,124.21,125.55,2497300,125.55
2014-06-09,127.66,127.72,126.17,126.63,1826400,126.63
2014-06-06,128.80,128.80,126.33,127.46,1979500,127.46
2014-06-05,129.08,129.40,126.05,128.34,3782400,128.34
2014-06-04,131.15,131.58,127.65,128.82,4965000,128.82
2014-06-03,133.45,133.92,130.53,132.26,3757700,132.26
2014-06-02,130.34,134.25,128.91,134.17,6250600,134.17
2014-05-30,129.08,136.38,125.61,131.21,11609200,131.21
2014-05-29,128.73,129.42,126.75,129.22,3480500,129.22
2014-05-28,128.94,129.23,123.56,126.95,8032700,126.95
2014-05-27,132.80,132.99,128.09,129.95,4363600,129.95
2014-05-23,131.25,134.37,130.81,133.46,2050800,133.46
2014-05-22,130.43,131.91,128.61,130.83,1900900,130.83
2014-05-21,131.71,132.00,129.76,129.90,1828600,129.90
2014-05-20,125.79,132.15,125.71,130.97,4848700,130.97
2014-05-19,125.85,127.89,125.32,127.21,2177900,127.21
2014-05-16,123.75,127.20,121.99,126.76,3373100,126.76
2014-05-15,126.24,126.95,122.97,124.04,4465500,124.04
2014-05-14,128.84,129.08,126.65,126.97,2966900,126.97
2014-05-13,131.32,131.74,129.56,129.64,2304300,129.64
2014-05-12,130.12,131.65,127.84,130.16,3864100,130.16
2014-05-09,130.69,132.59,129.01,131.17,3023500,131.17
2014-05-08,133.76,135.13,130.04,131.17,2649700,131.17
2014-05-07,133.65,134.78,130.17,133.35,3121900,133.35
2014-05-06,135.77,136.14,133.09,133.35,2243700,133.35
2014-05-05,136.17,136.62,134.50,136.19,2635100,136.19
2014-05-02,137.97,138.39,135.67,136.35,2561900,136.35
2014-05-01,133.40,139.00,133.00,138.13,3616200,138.13
2014-04-30,133.24,133.89,132.00,133.71,2297200,133.71
2014-04-29,132.07,135.00,130.02,133.63,2882100,133.63
2014-04-28,134.76,134.97,131.62,133.51,5589700,133.51
2014-04-25,133.56,133.98,132.19,133.73,3838100,133.73
2014-04-24,133.13,135.52,130.57,134.42,3109800,134.42
2014-04-23,135.72,136.35,132.44,133.23,5003000,133.23
2014-04-22,132.81,137.06,129.17,135.41,17982600,135.41
2014-04-21,122.10,126.12,121.58,126.01,2790000,126.01
2014-04-17,121.39,123.57,120.02,122.05,1358700,122.05
2014-04-16,121.94,124.92,119.14,121.45,1885700,121.45
2014-04-15,117.28,120.31,115.17,120.12,2877100,120.12
2014-04-14,120.44,122.59,115.77,116.99,2640900,116.99
2014-04-11,121.59,125.33,118.78,118.79,2061700,118.79
2014-04-10,128.69,129.30,120.75,123.33,3599000,123.33
2014-04-09,123.03,129.62,122.49,129.34,3226600,129.34
2014-04-08,118.95,123.06,115.14,122.03,5178000,122.03
2014-04-07,123.52,125.14,117.25,119.23,4164300,119.23
2014-04-04,130.20,131.31,121.91,124.69,3311800,124.69
2014-04-03,133.74,135.03,127.26,129.10,1948800,129.10
2014-04-02,134.34,135.83,131.82,133.69,1796100,133.69
2014-04-01,132.07,136.43,131.40,133.25,2060300,133.25
2014-03-31,129.27,132.33,128.00,131.83,2177500,131.83
2014-03-28,128.16,132.05,127.09,127.68,2178800,127.68
2014-03-27,128.88,129.06,124.67,127.19,2705100,127.19
2014-03-26,132.26,133.47,125.61,129.07,2483100,129.07
2014-03-25,132.24,134.88,129.70,131.53,1417500,131.53
2014-03-24,136.04,137.44,128.60,131.47,3474900,131.47
2014-03-21,140.85,141.00,134.93,135.55,2002100,135.55
2014-03-20,139.93,141.97,139.08,140.40,991300,140.40
2014-03-19,144.36,144.43,139.39,140.79,1605900,140.79
2014-03-18,141.56,147.00,141.09,144.18,1321500,144.18
2014-03-17,140.60,142.20,140.60,140.90,1251500,140.90
2014-03-14,137.65,140.50,136.56,140.01,1255800,140.01
2014-03-13,142.55,142.55,138.83,139.33,2269600,139.33
2014-03-12,138.56,141.63,137.44,141.00,1768300,141.00
2014-03-11,140.43,141.38,139.37,139.96,1297900,139.96
2014-03-10,141.34,141.88,139.21,140.74,1923300,140.74
2014-03-07,138.60,141.66,134.80,141.37,3641500,141.37
2014-03-06,144.74,145.00,135.28,138.55,4772700,138.55
2014-03-05,146.20,146.82,143.51,145.13,1241400,145.13
2014-03-04,145.22,147.02,143.98,146.23,1499800,146.23
2014-03-03,143.30,143.90,140.55,143.38,2072100,143.38
2014-02-28,148.50,149.22,143.11,144.86,2275700,144.86
2014-02-27,151.26,153.10,145.61,148.00,2122300,148.00
2014-02-26,145.40,150.17,145.40,146.34,2904600,146.34
2014-02-25,146.14,146.64,143.10,145.06,1570300,145.06
2014-02-24,147.11,148.37,145.52,145.73,1544200,145.73
2014-02-21,147.54,148.43,145.93,146.26,1569000,146.26
2014-02-20,146.59,148.73,145.13,148.00,2110100,148.00
2014-02-19,145.81,147.41,144.66,145.02,1788700,145.02
2014-02-18,141.01,147.20,140.83,146.47,2208700,146.47
2014-02-14,141.62,142.24,139.28,139.57,1231200,139.57
2014-02-13,140.53,142.41,140.00,141.79,1281300,141.79
2014-02-12,142.82,142.82,140.08,140.77,1310200,140.77
2014-02-11,138.36,142.45,138.36,141.31,1915000,141.31
2014-02-10,138.21,139.74,137.01,138.13,1122400,138.13
2014-02-07,134.69,138.11,134.69,137.93,1537400,137.93
2014-02-06,134.86,135.37,133.12,134.43,999800,134.43
2014-02-05,135.22,135.52,131.73,134.61,1432400,134.61
2014-02-04,134.24,135.92,133.68,135.56,1160200,135.56
2014-02-03,135.67,137.99,132.48,133.36,1531000,133.36
2014-01-31,134.27,137.35,132.85,135.64,1187600,135.64
2014-01-30,134.51,136.99,134.00,136.60,1166000,136.60
2014-01-29,131.89,134.58,130.63,132.80,920900,132.80
2014-01-28,130.94,133.48,130.37,132.80,1000300,132.80
2014-01-27,132.48,133.56,129.76,131.00,1638400,131.00
2014-01-24,133.10,133.41,130.27,132.12,1712200,132.12
2014-01-23,137.06,137.06,133.80,135.02,1164500,135.02
2014-01-22,137.85,138.08,134.83,137.82,897900,137.82
2014-01-21,139.86,140.36,136.44,136.88,1537500,136.88
2014-01-17,137.69,138.57,135.69,137.93,2320700,137.93
2014-01-16,133.65,137.34,132.03,137.34,1538700,137.34
2014-01-15,135.08,136.20,132.61,133.50,1188800,133.50
2014-01-14,130.75,135.33,129.51,135.01,1756200,135.01
2014-01-13,133.74,134.35,130.34,130.62,1560900,130.62
2014-01-10,131.81,133.57,129.69,133.50,1658000,133.50
2014-01-09,128.13,132.89,127.15,132.17,1383400,132.17
2014-01-08,126.98,135.73,126.55,128.30,3026000,128.30
2014-01-07,116.42,125.95,115.02,125.35,3319400,125.35
2014-01-06,117.41,117.57,112.26,112.62,2402600,112.62
2014-01-03,117.02,118.01,116.90,117.16,787400,117.16
2014-01-02,117.00,118.12,115.56,116.98,1937000,116.98
2013-12-31,117.99,118.25,116.53,117.40,1062700,117.40
2013-12-30,114.24,117.78,113.35,117.42,1259600,117.42
2013-12-27,113.76,113.97,112.28,113.60,543700,113.60
2013-12-26,113.51,113.89,112.34,113.56,415900,113.56
2013-12-24,112.30,113.35,111.69,113.02,380300,113.02
2013-12-23,113.22,113.22,111.64,112.62,634600,112.62
2013-12-20,111.93,112.17,111.15,112.00,1051400,112.00
2013-12-19,111.83,112.34,110.44,111.90,726900,111.90
2013-12-18,109.90,112.67,109.84,112.41,1295600,112.41
2013-12-17,111.24,112.40,108.92,109.32,937000,109.32
