Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,14.21,14.24,14.08,14.08,56300,14.08
2014-06-18,14.25,14.25,14.18,14.21,25000,14.21
2014-06-17,14.31,14.31,14.20,14.20,32300,14.20
2014-06-16,14.32,14.32,14.25,14.25,15500,14.25
2014-06-13,14.36,14.36,14.27,14.28,25000,14.28
2014-06-12,14.32,14.33,14.28,14.33,17700,14.33
2014-06-11,14.27,14.32,14.25,14.30,19400,14.30
2014-06-10,14.31,14.37,14.31,14.37,14900,14.30
2014-06-09,14.28,14.36,14.28,14.33,15700,14.26
2014-06-06,14.40,14.40,14.33,14.33,21000,14.26
2014-06-05,14.33,14.40,14.30,14.33,11800,14.26
2014-06-04,14.40,14.40,14.28,14.30,19300,14.23
2014-06-03,14.45,14.48,14.38,14.40,36500,14.33
2014-06-02,14.48,14.48,14.41,14.44,48400,14.37
2014-05-30,14.48,14.49,14.40,14.42,23900,14.35
2014-05-29,14.45,14.45,14.42,14.42,13700,14.35
2014-05-28,14.43,14.45,14.40,14.45,16200,14.38
2014-05-27,14.45,14.45,14.40,14.43,20100,14.36
2014-05-23,14.43,14.44,14.38,14.44,15000,14.37
2014-05-22,14.45,14.45,14.36,14.38,42900,14.31
2014-05-21,14.42,14.44,14.36,14.41,11800,14.34
2014-05-20,14.44,14.44,14.40,14.40,11700,14.33
2014-05-19,14.44,14.45,14.41,14.43,20600,14.36
2014-05-16,14.44,14.45,14.38,14.44,27500,14.37
2014-05-15,14.41,14.41,14.35,14.37,30200,14.30
2014-05-14,14.26,14.36,14.26,14.35,23400,14.28
2014-05-13,14.22,14.29,14.22,14.29,28600,14.22
2014-05-12,14.19,14.28,14.19,14.24,34900,14.17
2014-05-09,14.26,14.30,14.23,14.23,49700,14.16
2014-05-08,14.24,14.35,14.24,14.28,33000,14.21
2014-05-07,14.31,14.40,14.31,14.33,34700,14.18
2014-05-06,14.20,14.37,14.20,14.35,45700,14.20
2014-05-05,14.23,14.32,14.23,14.30,45800,14.15
2014-05-02,14.26,14.33,14.23,14.28,47200,14.13
2014-05-01,14.32,14.39,14.28,14.33,42600,14.18
2014-04-30,14.17,14.30,14.13,14.28,66300,14.13
2014-04-29,14.28,14.38,14.09,14.11,96300,13.96
2014-04-28,14.32,14.38,14.29,14.29,40200,14.14
2014-04-25,14.39,14.39,14.30,14.36,27200,14.21
2014-04-24,14.37,14.40,14.32,14.32,25200,14.17
2014-04-23,14.42,14.46,14.38,14.39,28600,14.24
2014-04-22,14.38,14.42,14.33,14.38,29900,14.23
2014-04-21,14.14,14.43,14.14,14.43,140700,14.28
2014-04-17,14.25,14.25,14.14,14.16,35300,14.01
2014-04-16,14.11,14.28,14.11,14.23,63200,14.08
2014-04-15,14.18,14.22,14.13,14.14,44600,13.99
2014-04-14,14.22,14.28,14.17,14.23,29600,14.08
2014-04-11,14.22,14.39,14.21,14.25,33500,14.10
2014-04-10,14.24,14.32,14.20,14.27,32200,14.12
2014-04-09,14.33,14.37,14.29,14.33,58600,14.11
2014-04-08,14.34,14.39,14.29,14.37,45700,14.15
2014-04-07,14.32,14.39,14.26,14.35,37800,14.13
