Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,89.07,89.07,88.54,88.82,7900,88.82
2014-06-18,88.15,88.82,88.00,88.82,2800,88.82
2014-06-17,87.20,87.20,87.20,87.20,000,87.20
2014-06-16,87.32,87.52,87.20,87.20,4000,87.20
2014-06-13,87.37,87.65,87.09,87.51,5400,87.51
2014-06-12,87.63,87.70,87.21,87.24,3400,87.24
2014-06-11,88.12,88.12,87.76,87.76,2500,87.76
2014-06-10,88.50,88.57,88.21,88.37,3500,88.37
2014-06-09,88.10,89.05,88.10,88.74,2500,88.74
2014-06-06,87.69,88.22,87.69,88.15,1000,88.15
2014-06-05,85.81,87.29,85.70,87.25,1700,87.25
2014-06-04,84.85,85.53,84.84,85.42,2400,85.42
2014-06-03,84.99,85.40,84.75,85.31,5900,85.31
2014-06-02,85.82,85.86,85.06,85.45,8800,85.45
2014-05-30,86.06,86.06,85.61,85.83,7800,85.83
2014-05-29,85.97,85.97,85.69,85.85,1800,85.85
2014-05-28,85.82,85.99,85.65,85.77,3800,85.77
2014-05-27,85.73,86.29,85.71,86.03,7000,86.03
2014-05-23,84.45,85.09,84.45,85.09,2900,85.09
2014-05-22,84.21,84.36,84.21,84.24,1900,84.24
2014-05-21,83.73,83.76,83.73,83.73,700,83.73
2014-05-20,84.20,84.20,82.97,82.97,2000,82.97
2014-05-19,83.46,84.33,83.31,84.33,2300,84.33
2014-05-16,83.27,83.64,82.69,83.64,4000,83.64
2014-05-15,83.00,83.26,82.34,83.26,5500,83.26
2014-05-14,84.94,84.94,83.90,83.90,2100,83.90
2014-05-13,85.97,85.97,85.34,85.34,1400,85.34
2014-05-12,84.92,86.26,84.66,86.00,2600,86.00
2014-05-09,83.62,84.23,83.34,84.18,4500,84.18
2014-05-08,84.02,84.91,84.02,84.27,2600,84.27
2014-05-07,84.12,84.12,83.58,84.10,3000,84.10
2014-05-06,84.80,84.80,83.76,83.78,2200,83.78
2014-05-05,84.63,84.98,84.49,84.49,2200,84.49
2014-05-02,84.94,85.89,84.94,85.20,18700,85.20
2014-05-01,85.02,85.44,84.29,84.76,11600,84.76
2014-04-30,84.38,85.24,84.38,85.24,2300,85.24
2014-04-29,84.95,85.40,84.95,84.96,2700,84.96
2014-04-28,85.40,85.46,84.53,84.53,6000,84.53
2014-04-25,86.19,86.19,85.09,85.09,3200,85.09
2014-04-24,86.88,86.88,86.01,86.33,6700,86.33
2014-04-23,86.70,87.07,86.58,86.70,6700,86.70
2014-04-22,86.40,87.10,86.13,87.08,9500,87.08
2014-04-21,86.22,86.23,85.86,86.01,7300,86.01
2014-04-17,85.18,86.28,85.08,85.99,9500,85.99
2014-04-16,84.94,85.45,84.90,85.42,10500,85.42
2014-04-15,84.69,85.02,83.57,84.70,18300,84.70
2014-04-14,84.48,84.95,83.69,84.28,12200,84.28
2014-04-11,84.42,84.92,83.86,84.14,9700,84.14
2014-04-10,86.74,86.74,84.77,84.95,4000,84.95
2014-04-09,86.50,86.82,85.93,86.82,4600,86.82
2014-04-08,85.78,86.61,85.78,86.28,5100,86.28
2014-04-07,86.42,86.42,85.38,85.38,22800,85.38
2014-04-04,88.77,88.77,86.62,86.75,5600,86.75
2014-04-03,88.72,88.84,88.18,88.32,3400,88.32
2014-04-02,88.86,88.86,88.42,88.86,3700,88.86
2014-04-01,87.76,88.48,87.76,88.39,1700,88.39
2014-03-31,86.67,87.54,86.35,87.47,3000,87.47
2014-03-28,86.03,86.69,85.85,85.95,5500,85.95
2014-03-27,86.34,86.52,85.69,85.85,6300,85.85
2014-03-26,88.20,88.20,86.71,86.71,2900,86.71
2014-03-25,87.93,88.33,87.38,87.59,3900,87.59
2014-03-24,88.47,88.47,87.01,87.66,2100,87.66
2014-03-21,88.49,89.15,88.16,88.16,3000,88.16
2014-03-20,87.71,88.32,87.71,88.13,2400,88.13
2014-03-19,88.13,88.13,87.98,87.98,900,87.98
2014-03-18,87.34,87.96,87.30,87.96,900,87.96
2014-03-17,87.50,87.78,87.27,87.27,12200,87.27
2014-03-14,86.91,87.07,86.75,86.75,4100,86.75
2014-03-13,87.64,87.66,86.21,86.55,3400,86.55
2014-03-12,86.77,87.10,86.72,87.10,1400,87.10
2014-03-11,87.47,87.47,87.00,87.00,1600,87.00
2014-03-10,87.78,87.89,87.54,87.73,2200,87.73
2014-03-07,88.17,88.22,87.65,87.91,4900,87.91
2014-03-06,88.12,88.12,87.86,87.93,2000,87.93
2014-03-05,87.94,87.94,87.57,87.84,2800,87.84
2014-03-04,86.98,88.42,86.98,87.97,5000,87.97
2014-03-03,85.98,85.99,85.42,85.99,5400,85.99
2014-02-28,86.43,87.02,86.43,86.58,2600,86.58
2014-02-27,85.59,86.17,85.59,86.03,4100,86.03
2014-02-26,85.22,85.79,85.20,85.70,3100,85.70
2014-02-25,85.36,85.68,85.23,85.24,2200,85.24
2014-02-24,84.99,85.96,84.80,85.81,2700,85.81
2014-02-21,84.71,84.91,84.60,84.76,1400,84.76
2014-02-20,84.03,84.64,84.03,84.63,5200,84.63
2014-02-19,84.60,84.86,84.36,84.36,1700,84.36
2014-02-18,84.34,84.93,84.34,84.91,2700,84.91
2014-02-14,83.62,84.13,83.55,84.13,4100,84.13
2014-02-13,82.10,83.85,82.10,83.83,4300,83.83
2014-02-12,82.68,83.01,82.67,82.76,2800,82.76
2014-02-11,81.79,82.68,81.70,82.59,2200,82.59
2014-02-10,81.51,81.55,80.92,81.51,4400,81.51
2014-02-07,81.27,81.50,81.22,81.44,1200,81.44
2014-02-06,81.05,81.06,80.71,80.87,2100,80.87
2014-02-05,80.46,80.54,79.68,80.27,15100,80.27
2014-02-04,80.68,81.14,80.62,80.85,3000,80.85
2014-02-03,82.47,82.48,79.88,80.13,4300,80.13
2014-01-31,82.78,82.97,82.70,82.73,3800,82.73
2014-01-30,82.99,83.66,82.90,83.32,1500,83.32
2014-01-29,82.72,82.96,82.33,82.33,3300,82.33
2014-01-28,82.98,83.38,82.86,83.38,5200,83.38
2014-01-27,83.98,84.03,82.72,83.15,3100,83.15
2014-01-24,85.18,85.18,83.66,83.83,10900,83.83
2014-01-23,86.00,86.00,85.38,85.38,2300,85.38
2014-01-22,86.04,86.51,86.04,86.40,3400,86.40
2014-01-21,85.88,85.88,85.73,85.82,600,85.82
2014-01-17,85.59,85.59,85.34,85.34,1800,85.34
2014-01-16,85.58,85.65,85.47,85.55,1100,85.55
2014-01-15,85.41,85.64,85.41,85.55,4000,85.55
2014-01-14,84.49,85.03,84.49,85.00,5600,85.00
2014-01-13,84.99,85.00,84.22,84.28,6300,84.28
2014-01-10,85.00,85.06,84.87,84.99,3100,84.99
2014-01-09,85.25,85.26,84.63,84.96,2500,84.96
2014-01-08,85.06,85.21,84.81,84.81,3300,84.81
2014-01-07,85.08,85.61,85.08,85.26,1900,85.26
2014-01-06,85.61,85.61,84.84,84.84,3600,84.84
2014-01-03,85.34,85.43,85.09,85.20,4500,85.20
2014-01-02,85.52,85.52,84.80,84.99,5400,84.99
2013-12-31,86.03,86.23,85.95,85.95,9200,85.95
2013-12-30,85.98,85.98,85.87,85.89,1700,85.89
2013-12-27,86.18,86.18,85.68,85.88,6500,85.88
2013-12-26,86.42,86.42,85.96,85.96,4300,85.96
2013-12-24,85.75,86.03,85.70,85.95,3000,85.95
2013-12-23,86.37,86.73,86.29,86.69,2500,85.47
2013-12-20,84.93,85.97,84.93,85.96,4000,84.75
2013-12-19,84.86,84.89,84.64,84.69,1800,83.50
2013-12-18,84.40,85.23,83.86,85.21,2600,84.01
2013-12-17,83.75,84.13,83.61,84.08,3700,82.89
2013-12-16,83.74,84.30,83.74,84.16,13000,82.97
2013-12-13,83.38,83.43,82.90,83.31,2000,82.13
2013-12-12,83.03,83.31,82.82,83.31,2900,82.13
2013-12-11,83.92,83.92,82.97,83.00,3000,81.83
2013-12-10,84.55,84.74,83.96,84.18,5400,82.99
2013-12-09,84.51,84.89,84.51,84.57,17800,83.38
2013-12-06,84.98,85.11,84.85,84.92,1600,83.72
2013-12-05,84.10,84.16,83.96,84.16,1000,82.97
2013-12-04,83.97,84.71,83.41,84.21,4900,83.02
2013-12-03,84.40,84.68,83.98,83.98,2600,82.80
2013-12-02,85.73,85.73,84.45,84.45,2400,83.26
2013-11-29,85.59,85.89,85.55,85.55,3500,84.34
2013-11-27,84.85,85.47,84.80,85.46,3300,84.25
2013-11-26,84.59,85.10,84.56,85.05,2400,83.85
2013-11-25,84.52,84.59,84.31,84.36,2100,83.17
2013-11-22,83.84,84.36,83.66,84.36,6800,83.17
2013-11-21,82.74,83.84,82.74,83.78,1900,82.60
2013-11-20,82.86,83.08,82.32,82.32,600,81.16
2013-11-19,83.00,83.21,82.32,82.32,3500,81.16
2013-11-18,83.40,83.69,82.97,82.97,5500,81.80
2013-11-15,83.10,83.52,83.10,83.38,6600,82.20
2013-11-14,83.17,83.20,82.84,83.16,3800,81.99
2013-11-13,81.83,82.87,81.83,82.78,1800,81.61
2013-11-12,82.19,82.38,81.95,82.38,1600,81.22
2013-11-11,82.39,82.59,82.17,82.59,1300,81.42
2013-11-08,81.77,82.53,81.77,82.50,1100,81.34
2013-11-07,82.73,82.73,81.29,81.29,700,80.14
2013-11-06,83.28,83.28,82.38,82.49,3800,81.33
2013-11-05,82.77,82.92,82.45,82.81,2400,81.64
2013-11-04,82.37,83.01,82.36,83.01,3700,81.84
2013-11-01,82.38,82.53,81.60,82.07,7700,80.91
2013-10-31,82.89,83.06,82.45,82.64,6700,81.47
2013-10-30,83.72,83.74,82.92,82.94,4900,81.77
2013-10-29,83.88,83.88,83.39,83.58,2200,82.40
2013-10-28,83.80,83.86,83.61,83.61,4000,82.43
2013-10-25,83.75,83.76,83.49,83.63,3100,82.45
2013-10-24,83.39,83.72,83.25,83.68,3400,82.50
2013-10-23,82.92,83.39,82.88,83.38,4200,82.20
2013-10-22,83.80,83.80,83.32,83.58,2800,82.40
2013-10-21,83.55,83.55,83.08,83.11,5100,81.94
2013-10-18,82.74,83.20,82.71,83.01,19400,81.84
2013-10-17,81.39,82.39,81.39,82.39,7900,81.23
2013-10-16,81.33,81.58,81.21,81.57,3100,80.42
2013-10-15,81.12,81.32,81.07,81.11,1700,79.97
2013-10-14,80.68,80.79,80.68,80.69,1600,79.55
2013-10-11,79.72,81.12,79.72,81.12,8500,79.98
2013-10-10,79.23,79.86,79.18,79.86,2700,78.73
2013-10-09,78.03,78.57,77.88,78.24,1300,77.14
2013-10-08,79.00,79.24,78.21,78.21,2000,77.11
2013-10-07,79.08,79.53,78.97,79.37,2200,78.25
2013-10-04,79.54,79.98,79.54,79.97,1400,78.84
2013-10-03,80.04,80.04,78.97,79.41,3400,78.29
2013-10-02,80.36,80.36,80.09,80.26,3500,79.13
2013-10-01,79.82,80.58,79.82,80.40,1700,79.27
2013-09-30,79.15,79.84,79.06,79.73,3300,78.61
2013-09-27,79.77,80.10,79.73,79.82,5100,78.69
2013-09-26,79.93,80.24,79.91,80.23,3400,79.10
2013-09-25,80.51,80.58,80.13,80.16,1400,79.03
2013-09-24,79.56,80.54,79.56,80.54,500,79.40
2013-09-23,79.80,79.98,79.63,79.97,1300,78.84
2013-09-20,80.25,80.25,79.99,80.06,2800,78.93
2013-09-19,80.47,80.47,79.73,79.97,3100,78.84
2013-09-18,79.35,80.48,78.89,80.23,2800,79.10
2013-09-17,78.80,79.26,78.79,79.26,700,78.14
2013-09-16,79.40,79.40,78.54,78.54,6600,77.43
2013-09-13,78.22,78.41,78.22,78.34,1600,77.23
2013-09-12,78.52,78.53,78.01,78.01,3700,76.91
2013-09-11,78.40,78.58,78.36,78.50,1400,77.39
2013-09-10,78.21,78.40,78.18,78.40,8400,77.29
2013-09-09,77.02,77.49,77.02,77.49,1300,76.40
2013-09-06,76.91,77.02,75.70,76.73,1000,75.65
2013-09-05,76.46,76.74,76.37,76.46,6700,75.38
2013-09-04,75.79,76.38,75.65,76.28,4700,75.20
2013-09-03,76.64,76.64,75.41,75.78,1100,74.71
2013-08-30,76.80,76.80,75.41,75.49,17000,74.43
2013-08-29,76.75,76.75,76.45,76.45,800,75.37
2013-08-28,76.18,76.44,76.08,76.29,3700,75.21
2013-08-27,76.93,76.93,76.05,76.09,4300,75.02
2013-08-26,78.05,78.05,77.65,77.65,4900,76.55
2013-08-23,77.65,77.82,77.50,77.82,2500,76.72
2013-08-22,76.73,80.28,76.73,77.58,4200,76.49
2013-08-21,76.95,77.32,76.45,77.32,4200,76.23
2013-08-20,76.28,77.32,76.23,77.29,4900,76.20
2013-08-19,77.13,77.13,76.15,76.15,2700,75.08
2013-08-16,77.16,77.45,76.94,77.01,4800,75.92
2013-08-15,77.91,77.96,77.30,77.43,6700,76.34
2013-08-14,79.26,79.26,78.74,78.78,5700,77.67
2013-08-13,79.34,79.34,78.59,78.99,4900,77.88
2013-08-12,78.48,79.19,78.48,79.19,3800,78.07
2013-08-09,79.15,79.15,78.87,78.87,6200,77.76
2013-08-08,79.29,79.29,78.75,79.04,4700,77.92
2013-08-07,78.79,78.93,78.61,78.68,2000,77.57
2013-08-06,79.36,79.36,78.96,79.03,8400,77.92
2013-08-05,79.71,79.92,79.58,79.68,3200,78.56
