Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,6.72,6.74,6.65,6.74,4100,6.74
2014-06-18,6.75,6.76,6.43,6.50,4000,6.50
2014-06-17,6.75,6.85,6.60,6.73,1000,6.73
2014-06-16,6.50,6.50,6.50,6.50,000,6.50
2014-06-13,6.68,6.68,6.50,6.50,3100,6.50
2014-06-12,6.49,6.49,6.49,6.49,300,6.49
2014-06-11,6.16,6.42,6.16,6.42,2700,6.42
2014-06-10,6.47,6.55,6.47,6.55,2100,6.55
2014-06-09,6.54,6.54,6.17,6.36,6000,6.36
2014-06-06,6.50,6.54,6.17,6.54,2400,6.54
2014-06-05,6.48,6.50,6.48,6.50,1500,6.50
2014-06-04,6.20,6.43,6.20,6.43,5000,6.43
2014-06-03,6.65,6.65,6.50,6.63,6800,6.63
2014-06-02,6.50,6.56,6.50,6.54,3800,6.54
2014-05-30,6.42,6.46,6.42,6.46,400,6.46
2014-05-29,6.46,6.46,6.46,6.46,000,6.46
2014-05-28,6.49,6.49,6.31,6.46,1500,6.46
2014-05-27,6.48,6.48,6.48,6.48,100,6.48
2014-05-23,6.40,6.50,6.31,6.31,1900,6.31
2014-05-22,6.50,6.50,6.50,6.50,500,6.50
2014-05-21,6.37,6.39,6.37,6.39,2000,6.39
2014-05-20,6.31,6.44,6.31,6.44,500,6.44
2014-05-19,6.65,6.65,6.35,6.38,9800,6.38
2014-05-16,6.57,6.71,6.55,6.70,3300,6.70
2014-05-15,6.75,6.75,6.75,6.75,400,6.75
2014-05-14,6.67,6.67,6.67,6.67,000,6.67
2014-05-13,6.67,6.67,6.67,6.67,1600,6.67
2014-05-12,6.65,6.66,6.63,6.63,500,6.63
2014-05-09,6.66,6.66,6.66,6.66,000,6.66
2014-05-08,6.67,6.67,6.65,6.66,1200,6.66
2014-05-07,6.65,6.80,6.65,6.66,7400,6.66
2014-05-06,6.55,6.55,6.55,6.55,2700,6.55
2014-05-05,6.55,6.62,6.50,6.51,2500,6.51
2014-05-02,6.75,6.85,6.50,6.75,8700,6.75
2014-05-01,6.82,6.84,6.74,6.74,1100,6.74
