Date,Open,High,Low,Close,Volume,Adj Close
2014-06-19,25.40,25.74,24.96,25.59,688700,25.59
2014-06-18,24.07,25.66,23.80,25.35,1255100,25.35
2014-06-17,24.37,24.81,23.86,24.20,429300,24.20
2014-06-16,24.60,24.69,24.06,24.45,204600,24.45
2014-06-13,24.41,24.76,23.75,24.56,243000,24.56
2014-06-12,23.73,24.50,23.53,24.25,708400,24.25
2014-06-11,23.50,24.15,23.26,23.88,330200,23.88
2014-06-10,23.41,23.87,23.05,23.60,257900,23.60
2014-06-09,23.71,24.24,23.34,23.51,381900,23.51
2014-06-06,22.65,23.79,22.65,23.70,665900,23.70
2014-06-05,21.87,22.65,21.87,22.55,404600,22.55
2014-06-04,21.90,22.20,21.61,21.81,172100,21.81
2014-06-03,22.23,22.48,21.84,21.98,306200,21.98
2014-06-02,22.37,22.67,21.77,22.26,445600,22.26
2014-05-30,22.07,22.72,21.89,22.39,530900,22.39
2014-05-29,21.91,22.17,21.58,22.04,255200,22.04
2014-05-28,22.33,22.53,21.80,21.88,295600,21.88
2014-05-27,21.96,22.47,21.51,22.33,441300,22.33
2014-05-23,21.21,21.81,21.21,21.80,249000,21.80
2014-05-22,20.67,21.38,20.61,21.16,234600,21.16
2014-05-21,20.81,20.90,20.23,20.66,578100,20.66
2014-05-20,21.35,21.44,20.60,20.80,361200,20.80
2014-05-19,20.92,21.63,20.86,21.41,426600,21.41
2014-05-16,20.85,21.14,20.35,20.93,290000,20.93
2014-05-15,20.76,21.05,20.36,20.90,362300,20.90
2014-05-14,21.23,21.46,20.85,20.89,318300,20.89
2014-05-13,21.06,21.45,20.74,21.26,342000,21.26
2014-05-12,20.38,21.25,20.38,21.02,612300,21.02
2014-05-09,20.04,20.59,19.91,20.33,342400,20.33
2014-05-08,20.29,20.74,19.81,20.14,515700,20.14
2014-05-07,20.70,20.88,20.00,20.36,517900,20.36
2014-05-06,21.10,21.23,20.52,20.77,407800,20.77
2014-05-05,21.17,21.38,20.56,21.19,399100,21.19
2014-05-02,20.91,21.60,20.82,21.31,991800,21.31
2014-05-01,19.14,21.33,19.00,20.94,1994200,20.94
2014-04-30,22.25,22.50,21.80,22.43,861600,22.43
2014-04-29,21.98,22.49,21.80,22.35,736700,22.35
2014-04-28,21.22,22.15,20.96,22.01,863900,22.01
2014-04-25,20.55,21.26,20.40,21.21,826700,21.21
2014-04-24,19.61,21.00,19.11,20.65,792600,20.65
2014-04-23,19.67,19.91,19.24,19.55,287900,19.55
2014-04-22,19.55,19.95,19.42,19.68,428500,19.68
2014-04-21,19.68,19.84,19.02,19.55,344400,19.55
2014-04-17,19.57,19.85,19.03,19.59,417500,19.59
2014-04-16,19.22,19.70,18.81,19.53,331700,19.53
2014-04-15,19.42,19.69,18.40,19.10,693700,19.10
2014-04-14,19.29,19.95,18.88,19.45,736200,19.45
2014-04-11,19.59,19.88,19.02,19.19,783200,19.19
2014-04-10,20.46,21.10,19.54,19.80,824300,19.80
2014-04-09,21.11,21.22,19.77,20.55,762700,20.55
2014-04-08,20.93,21.65,20.26,21.07,967800,21.07
