Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,25.26,25.54,25.04,25.36,433500,25.36
2014-06-12,25.71,26.36,24.66,25.24,1139700,25.24
2014-06-11,25.47,25.69,25.45,25.59,126300,25.59
2014-06-10,25.65,25.74,25.31,25.64,164000,25.64
2014-06-09,26.00,26.05,25.66,25.74,231000,25.74
2014-06-06,25.64,26.04,25.44,26.00,585500,26.00
2014-06-05,25.33,25.79,25.12,25.64,519400,25.64
2014-06-04,24.85,25.37,24.76,25.25,279200,25.25
2014-06-03,24.42,25.02,24.38,24.96,301700,24.96
2014-06-02,24.27,24.68,24.13,24.51,664800,24.51
2014-05-30,23.82,24.36,23.80,24.25,607400,24.25
2014-05-29,23.61,23.80,23.41,23.75,271900,23.75
2014-05-28,23.78,23.78,23.30,23.63,204900,23.63
2014-05-27,23.62,24.04,23.55,23.87,373500,23.87
2014-05-23,23.73,23.73,23.40,23.60,274200,23.60
2014-05-22,24.02,24.09,23.55,23.72,230700,23.72
2014-05-21,23.50,24.00,23.40,23.87,189300,23.87
2014-05-20,23.83,24.18,23.18,23.47,371500,23.47
2014-05-19,23.99,24.24,23.69,23.84,312600,23.84
2014-05-16,23.04,23.90,22.75,23.87,373700,23.87
2014-05-15,23.90,23.90,22.71,22.99,423200,22.99
2014-05-14,24.08,24.24,23.75,23.91,159300,23.91
2014-05-13,23.60,24.31,23.58,24.08,434700,24.08
2014-05-12,23.43,23.75,23.05,23.69,261600,23.69
2014-05-09,23.47,23.47,22.75,23.29,482300,23.29
2014-05-08,24.03,24.03,23.36,23.51,504100,23.51
2014-05-07,24.49,24.70,24.28,24.42,310700,24.03
2014-05-06,24.81,24.91,24.30,24.44,283000,24.05
2014-05-05,24.86,25.22,24.57,24.84,362100,24.44
2014-05-02,24.97,25.24,24.71,24.84,210500,24.44
2014-05-01,25.36,25.46,24.97,25.00,355300,24.60
2014-04-30,24.73,25.50,24.05,25.43,629200,25.02
2014-04-29,25.16,25.74,25.01,25.62,291900,25.21
2014-04-28,25.75,25.75,24.95,25.17,256100,24.77
2014-04-25,26.30,26.67,25.43,25.60,416400,25.19
2014-04-24,26.66,26.69,26.10,26.39,171800,25.97
2014-04-23,26.33,26.58,26.16,26.41,277400,25.99
2014-04-22,25.71,26.63,25.40,26.34,592100,25.92
2014-04-21,25.31,25.69,25.31,25.63,227400,25.22
