Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,1.72,1.76,1.72,1.76,146100,1.76
2014-06-12,1.71,1.76,1.71,1.74,214500,1.74
2014-06-11,1.73,1.75,1.71,1.71,219300,1.71
2014-06-10,1.70,1.75,1.70,1.75,198500,1.75
2014-06-09,1.73,1.76,1.69,1.69,235500,1.69
2014-06-06,1.75,1.75,1.72,1.73,188900,1.73
2014-06-05,1.69,1.75,1.69,1.72,184300,1.72
2014-06-04,1.76,1.78,1.66,1.69,685300,1.69
2014-06-03,1.76,1.79,1.76,1.76,171200,1.76
2014-06-02,1.79,1.80,1.77,1.77,192200,1.77
2014-05-30,1.82,1.84,1.78,1.80,191500,1.80
2014-05-29,1.78,1.83,1.75,1.83,332300,1.83
2014-05-28,1.80,1.80,1.76,1.79,266800,1.79
2014-05-27,1.80,1.83,1.75,1.81,321200,1.81
2014-05-23,1.80,1.82,1.77,1.81,85800,1.81
2014-05-22,1.80,1.83,1.77,1.79,156000,1.79
2014-05-21,1.79,1.81,1.77,1.79,245500,1.79
2014-05-20,1.84,1.84,1.80,1.80,90700,1.80
2014-05-19,1.83,1.86,1.81,1.86,224000,1.86
2014-05-16,1.80,1.83,1.79,1.83,172300,1.83
2014-05-15,1.83,1.85,1.80,1.80,307500,1.80
2014-05-14,1.84,1.87,1.84,1.84,165600,1.84
2014-05-13,1.88,1.90,1.84,1.86,277600,1.86
2014-05-12,1.85,1.90,1.85,1.89,220300,1.89
2014-05-09,1.90,1.91,1.85,1.86,258100,1.86
2014-05-08,1.89,1.92,1.89,1.89,146800,1.89
2014-05-07,1.88,1.95,1.87,1.91,297700,1.91
2014-05-06,1.91,1.93,1.88,1.88,179100,1.88
2014-05-05,1.92,1.94,1.90,1.93,105500,1.93
2014-05-02,1.95,1.97,1.88,1.92,219600,1.92
2014-05-01,1.90,1.95,1.87,1.95,292600,1.95
2014-04-30,1.90,1.91,1.88,1.89,94200,1.89
2014-04-29,1.87,1.93,1.87,1.89,257900,1.89
2014-04-28,1.87,1.88,1.85,1.86,100400,1.86
2014-04-25,1.88,1.90,1.85,1.85,180300,1.85
2014-04-24,1.89,1.90,1.84,1.87,367700,1.87
2014-04-23,1.88,1.92,1.87,1.89,390800,1.89
2014-04-22,1.88,1.91,1.87,1.89,259200,1.89
2014-04-21,1.88,1.90,1.87,1.89,278800,1.89
2014-04-17,1.89,1.91,1.87,1.89,270300,1.89
2014-04-16,1.89,1.92,1.88,1.88,123600,1.88
2014-04-15,1.88,1.90,1.87,1.89,363800,1.89
2014-04-14,1.88,1.91,1.88,1.89,278800,1.89
2014-04-11,1.89,1.91,1.88,1.88,244900,1.88
2014-04-10,1.87,1.91,1.87,1.89,274500,1.89
2014-04-09,1.94,1.95,1.87,1.88,412000,1.88
