Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,105.18,106.25,105.09,105.99,187000,105.99
2014-06-12,106.42,106.60,105.15,105.45,213000,105.45
2014-06-11,107.15,107.23,106.67,107.06,128300,107.06
2014-06-10,107.08,107.48,106.85,107.46,212500,107.46
2014-06-09,106.67,108.02,106.62,107.37,364500,107.37
2014-06-06,107.41,108.15,107.17,107.92,203500,107.92
2014-06-05,106.29,107.45,106.12,107.12,270000,107.12
2014-06-04,106.00,106.81,105.92,106.62,229100,106.62
2014-06-03,106.47,106.77,105.85,106.34,321400,106.34
2014-06-02,106.86,106.86,105.72,106.63,369400,106.63
2014-05-30,106.28,106.39,105.67,106.00,612200,106.00
2014-05-29,105.35,106.00,104.92,105.89,286700,105.89
2014-05-28,105.30,105.66,104.82,105.22,394600,105.22
2014-05-27,104.13,105.49,104.08,105.04,359300,105.04
2014-05-23,102.10,103.93,101.96,103.93,423300,103.93
2014-05-22,103.49,103.78,102.68,103.18,580600,103.18
2014-05-21,101.94,103.55,101.74,103.41,429500,103.41
2014-05-20,102.80,103.21,101.54,102.07,469500,102.07
2014-05-19,101.40,102.48,101.38,102.33,509200,102.33
2014-05-16,102.79,102.86,101.64,102.20,899900,101.68
2014-05-15,104.25,104.35,101.90,103.35,738200,102.82
2014-05-14,104.42,104.66,103.87,103.95,451800,103.42
2014-05-13,104.53,104.70,103.64,104.14,775500,103.61
2014-05-12,102.41,103.56,102.26,103.52,507500,102.99
2014-05-09,102.63,102.65,100.90,101.39,704100,100.87
2014-05-08,102.85,103.55,102.04,102.32,338400,101.80
2014-05-07,102.89,103.12,101.43,102.49,584900,101.97
2014-05-06,103.59,103.60,102.09,102.64,436800,102.12
2014-05-05,102.61,103.29,102.07,103.08,291600,102.56
2014-05-02,102.53,103.51,102.53,102.80,257100,102.28
2014-05-01,102.00,103.07,101.94,102.71,487400,102.19
2014-04-30,101.35,102.10,100.91,101.98,523600,101.46
2014-04-29,101.87,101.98,100.20,101.10,433300,100.59
2014-04-28,102.88,102.98,99.57,101.01,908800,100.50
2014-04-25,102.55,103.25,100.30,101.32,845300,100.80
2014-04-24,103.70,103.74,102.45,103.48,655500,102.95
2014-04-23,102.01,103.67,102.01,102.90,854200,102.38
2014-04-22,103.37,104.07,103.24,103.82,692100,103.29
2014-04-21,102.80,103.67,102.49,103.50,388000,102.97
2014-04-17,102.45,103.30,102.39,102.61,266300,102.09
2014-04-16,100.79,102.49,100.61,102.49,340100,101.97
2014-04-15,100.25,101.11,98.91,100.64,606100,100.13
2014-04-14,99.59,101.00,99.37,100.36,659200,99.85
2014-04-11,99.81,101.77,99.40,99.73,753900,99.22
2014-04-10,101.97,102.19,100.21,100.24,693300,99.73
2014-04-09,101.09,102.93,101.00,102.92,528600,102.40
2014-04-08,99.81,101.44,99.48,101.03,556100,100.52
2014-04-07,100.39,100.99,98.87,99.39,450700,98.88
2014-04-04,102.77,102.78,100.13,100.33,525700,99.82
2014-04-03,101.95,102.06,100.78,101.14,246400,100.63
2014-04-02,101.17,101.89,100.88,101.59,353000,101.07
2014-04-01,101.51,101.62,100.83,101.61,621500,101.09
2014-03-31,100.36,100.79,99.99,100.35,370900,99.84
2014-03-28,98.59,99.63,98.50,98.80,502300,98.30
2014-03-27,97.78,97.83,96.78,97.25,472200,96.76
2014-03-26,98.36,98.80,97.55,97.55,246000,97.05
2014-03-25,98.74,99.18,97.74,98.12,449500,97.62
2014-03-24,99.56,100.02,97.97,98.12,669400,97.62
2014-03-21,98.81,100.88,98.60,100.84,1974400,100.33
2014-03-20,97.32,98.76,97.27,98.70,386000,98.20
2014-03-19,98.55,98.69,97.19,97.82,378700,97.32
2014-03-18,97.79,98.54,97.79,98.35,298600,97.85
2014-03-17,97.68,98.00,97.04,97.65,608700,97.15
2014-03-14,95.86,96.66,95.86,96.49,414400,96.00
2014-03-13,97.59,97.68,95.92,96.32,781100,95.83
2014-03-12,96.24,96.77,95.56,96.74,520700,96.25
2014-03-11,96.94,97.18,96.11,96.34,408600,95.85
2014-03-10,96.37,96.55,95.71,96.41,241700,95.92
2014-03-07,97.71,97.71,96.59,96.88,652100,96.39
2014-03-06,97.06,97.12,96.66,96.73,484400,96.24
2014-03-05,97.05,97.05,96.15,96.30,512100,95.81
2014-03-04,95.81,96.43,95.57,96.30,308100,95.81
2014-03-03,94.70,95.04,93.36,94.63,1006200,94.15
2014-02-28,95.84,97.15,95.69,96.34,419000,95.85
2014-02-27,94.81,96.35,94.77,96.30,438900,95.81
2014-02-26,95.47,95.78,94.88,95.06,526100,94.58
2014-02-25,95.96,96.42,95.56,95.80,554900,95.31
2014-02-24,95.56,95.94,94.99,95.56,890700,95.07
2014-02-21,95.56,95.98,95.30,95.62,485000,95.13
2014-02-20,94.61,95.86,94.61,95.73,427500,95.24
2014-02-19,94.35,95.94,94.25,94.87,552800,94.39
2014-02-18,95.25,95.75,94.91,95.39,446100,94.90
2014-02-14,95.58,96.05,95.57,95.86,560900,94.85
2014-02-13,94.38,96.18,94.38,95.76,631200,94.76
2014-02-12,94.45,95.60,94.45,95.34,710200,94.34
2014-02-11,94.04,95.40,93.77,95.26,543100,94.26
2014-02-10,93.71,93.86,93.01,93.59,455600,92.61
2014-02-07,93.09,94.06,93.07,93.51,544400,92.53
2014-02-06,91.45,93.35,91.30,93.22,738100,92.24
2014-02-05,91.07,91.27,89.77,91.15,560700,90.19
2014-02-04,90.86,90.86,89.75,90.77,842500,89.82
2014-02-03,92.00,92.64,89.68,89.89,1716400,88.95
2014-01-31,89.93,90.95,89.60,90.67,1187500,89.72
2014-01-30,87.50,88.59,87.24,88.28,751100,87.35
2014-01-29,87.40,88.26,87.05,87.61,569800,86.69
2014-01-28,87.14,88.08,86.93,87.95,664700,87.03
2014-01-27,86.47,86.90,85.35,86.27,572800,85.37
2014-01-24,88.30,88.35,86.40,86.47,589300,85.56
2014-01-23,89.86,89.86,88.86,89.63,739000,88.69
2014-01-22,88.99,89.46,88.35,89.35,381400,88.41
2014-01-21,89.86,90.29,88.27,88.33,1295500,87.40
2014-01-17,90.87,91.52,90.84,91.01,496700,90.06
2014-01-16,91.35,91.58,90.56,91.57,376500,90.61
2014-01-15,91.87,92.10,90.53,91.30,599400,90.34
2014-01-14,90.90,91.27,90.62,91.24,327400,90.28
2014-01-13,91.27,91.53,89.77,90.20,512400,89.25
2014-01-10,90.61,91.62,90.43,91.58,580100,90.62
2014-01-09,90.58,90.69,89.44,90.39,291000,89.44
2014-01-08,90.49,91.13,89.83,90.11,750800,89.17
2014-01-07,90.22,90.90,90.13,90.90,488400,89.95
2014-01-06,89.83,90.17,89.02,89.49,209300,88.55
2014-01-03,90.35,90.50,89.22,89.73,296200,88.79
2014-01-02,90.86,90.91,89.35,89.92,392800,88.98
2013-12-31,91.83,92.40,91.50,91.80,225600,90.84
2013-12-30,91.87,92.22,91.40,91.78,191000,90.82
2013-12-27,92.43,92.43,91.39,91.52,175800,90.56
2013-12-26,91.44,92.00,91.30,91.64,225500,90.68
2013-12-24,90.81,91.41,90.81,90.99,191200,90.04
2013-12-23,91.16,91.27,90.80,90.91,355200,89.96
2013-12-20,89.50,90.33,89.37,90.14,334800,89.19
2013-12-19,90.20,90.44,88.99,89.27,478300,88.33
2013-12-18,90.25,90.67,88.93,90.55,630500,89.60
2013-12-17,89.87,90.28,89.27,89.98,467900,89.04
2013-12-16,89.35,90.21,89.33,90.15,369700,89.20
2013-12-13,89.30,89.81,89.02,89.25,358100,88.31
2013-12-12,89.27,89.63,88.86,89.11,372500,88.18
2013-12-11,91.23,91.27,89.73,89.83,204500,88.89
2013-12-10,91.31,91.70,90.90,91.31,208800,90.35
2013-12-09,91.33,91.91,91.33,91.74,245200,90.78
2013-12-06,91.94,91.94,91.13,91.43,229100,90.47
2013-12-05,90.89,91.42,90.80,90.94,288300,89.99
2013-12-04,90.48,90.86,89.79,90.52,364400,89.57
2013-12-03,91.93,92.16,90.72,90.96,380500,90.01
2013-12-02,92.16,92.88,91.67,91.81,535100,90.85
2013-11-29,93.17,93.50,92.76,92.86,160000,91.89
2013-11-27,93.34,93.82,93.18,93.24,341900,92.26
2013-11-26,92.56,93.12,92.39,93.01,398200,92.03
2013-11-25,92.06,92.49,91.86,92.01,247900,91.05
2013-11-22,91.13,92.34,90.83,92.06,338700,91.09
2013-11-21,89.69,90.77,89.66,90.59,395700,89.64
2013-11-20,90.07,90.25,89.26,89.73,411800,88.79
2013-11-19,90.41,90.58,89.25,89.55,391900,88.61
2013-11-18,91.11,91.37,90.01,90.13,431500,89.18
2013-11-15,90.37,91.29,90.04,91.10,374200,89.65
2013-11-14,89.83,90.48,89.58,90.27,209800,88.83
2013-11-13,88.14,89.69,88.06,89.68,476800,88.25
2013-11-12,88.98,89.39,88.78,89.04,353900,87.62
2013-11-11,90.39,90.57,89.90,89.91,220200,88.48
2013-11-08,89.03,90.38,88.96,90.33,292000,88.89
2013-11-07,91.01,91.17,88.52,88.57,478800,87.16
2013-11-06,91.02,91.31,90.51,90.90,296600,89.45
2013-11-05,90.05,91.06,89.94,90.43,416000,88.99
2013-11-04,89.26,90.54,89.12,90.52,402400,89.08
2013-11-01,88.85,89.74,88.54,89.20,401700,87.78
2013-10-31,89.15,89.98,88.78,89.23,547000,87.81
2013-10-30,90.13,90.50,88.46,89.02,588900,87.60
2013-10-29,90.71,90.87,89.60,90.24,519300,88.80
