Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,50.17,50.35,49.78,49.93,288200,49.93
2014-06-12,50.63,50.96,49.97,50.12,459100,50.12
2014-06-11,50.66,50.95,50.39,50.79,509000,50.79
2014-06-10,51.00,51.16,50.78,50.91,316600,50.91
2014-06-09,50.00,51.17,49.79,51.07,440100,51.07
2014-06-06,49.66,50.00,49.42,49.99,360000,49.99
2014-06-05,49.06,49.49,49.06,49.45,640900,49.45
2014-06-04,48.75,49.29,48.72,49.22,449700,49.22
2014-06-03,49.58,49.76,48.85,48.92,664900,48.92
2014-06-02,49.40,49.81,49.18,49.78,876600,49.78
2014-05-30,49.59,49.64,49.21,49.38,512100,49.38
2014-05-29,49.84,49.94,49.34,49.69,417300,49.69
2014-05-28,49.75,50.02,49.62,49.73,460400,49.73
2014-05-27,49.99,50.19,49.77,49.81,594100,49.81
2014-05-23,48.62,49.63,48.53,49.60,531400,49.60
2014-05-22,48.26,48.93,48.09,48.70,520500,48.70
2014-05-21,48.24,48.82,47.99,48.28,554400,48.28
2014-05-20,48.63,48.83,48.03,48.18,767600,48.18
2014-05-19,47.78,49.19,47.70,48.89,972400,48.89
2014-05-16,47.43,47.86,47.33,47.83,428700,47.83
2014-05-15,47.28,47.42,46.37,47.28,555300,47.28
2014-05-14,47.71,48.05,47.25,47.27,608600,47.27
2014-05-13,48.61,48.74,47.74,47.75,460200,47.75
2014-05-12,47.42,48.70,47.35,48.61,581000,48.61
2014-05-09,46.90,47.22,46.77,47.13,566000,47.13
2014-05-08,46.55,47.39,46.38,46.96,650300,46.96
2014-05-07,46.66,46.87,46.09,46.61,684000,46.61
2014-05-06,47.22,47.29,46.41,46.60,637700,46.60
2014-05-05,47.45,47.65,47.11,47.39,429300,47.39
2014-05-02,47.17,48.17,47.15,47.78,468100,47.78
2014-05-01,46.86,47.54,46.55,47.21,652400,47.21
2014-04-30,46.87,46.97,46.46,46.76,610900,46.76
2014-04-29,46.86,47.22,46.55,46.79,678200,46.79
2014-04-28,47.10,47.39,46.03,46.74,744000,46.74
2014-04-25,47.42,47.66,46.99,47.16,1026100,47.01
2014-04-24,47.59,47.77,47.00,47.67,918600,47.52
2014-04-23,48.63,48.77,47.11,47.27,1256100,47.12
2014-04-22,47.23,48.85,46.38,46.73,1581100,46.58
2014-04-21,46.61,46.90,46.10,46.82,759800,46.67
2014-04-17,45.90,46.88,45.90,46.53,2000300,46.38
2014-04-16,45.86,46.45,45.71,45.95,731400,45.80
2014-04-15,44.77,45.97,44.68,45.70,738400,45.55
2014-04-14,45.54,45.81,44.57,44.73,723300,44.59
2014-04-11,45.48,45.78,44.80,45.31,838400,45.17
2014-04-10,45.15,45.39,44.52,44.68,612400,44.54
2014-04-09,44.84,45.63,44.75,45.28,872700,45.14
2014-04-08,44.73,44.93,44.14,44.79,870500,44.65
2014-04-07,45.96,45.96,44.51,44.79,1136400,44.65
2014-04-04,46.97,47.50,46.05,46.11,757800,45.96
2014-04-03,46.79,47.04,46.54,46.78,614300,46.63
2014-04-02,46.31,47.08,46.16,46.81,615400,46.66
2014-04-01,46.28,46.54,45.76,46.37,610300,46.22
2014-03-31,46.04,46.49,45.86,46.02,614500,45.87
2014-03-28,45.47,46.11,45.25,45.89,439700,45.74
2014-03-27,44.73,45.50,44.56,45.26,536800,45.12
2014-03-26,46.61,46.83,44.83,44.86,757800,44.72
2014-03-25,45.72,46.64,45.50,46.51,1015700,46.36
2014-03-24,45.48,46.12,45.45,45.56,842500,45.42
2014-03-21,45.66,45.79,45.13,45.46,1328100,45.32
2014-03-20,46.33,46.58,45.58,45.66,555400,45.51
2014-03-19,46.86,47.16,46.08,46.38,511200,46.23
2014-03-18,46.77,47.26,46.54,47.01,511200,46.86
2014-03-17,46.01,46.80,45.96,46.65,567000,46.50
2014-03-14,46.10,46.86,45.82,45.84,984800,45.69
2014-03-13,47.63,47.66,46.37,46.47,970100,46.32
2014-03-12,47.74,47.80,47.19,47.56,511100,47.41
2014-03-11,48.92,49.08,47.87,47.94,412900,47.79
2014-03-10,49.07,49.14,48.62,48.88,482800,48.72
2014-03-07,48.83,49.13,48.66,49.12,510800,48.96
2014-03-06,49.12,49.26,48.54,48.66,1010200,48.51
2014-03-05,49.50,49.57,48.88,48.97,692500,48.81
2014-03-04,49.34,49.83,49.34,49.46,441300,49.30
