Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,14.34,14.44,13.93,14.37,14100,14.37
2014-06-12,14.30,14.49,13.90,14.16,13600,14.16
2014-06-11,13.98,14.42,13.75,14.24,18400,14.24
2014-06-10,13.68,14.38,13.68,14.07,12700,14.07
2014-06-09,13.80,13.85,13.51,13.79,17400,13.79
2014-06-06,13.70,13.92,13.50,13.74,24900,13.74
2014-06-05,13.52,13.64,13.22,13.64,16900,13.64
2014-06-04,13.48,13.57,13.24,13.35,39900,13.35
2014-06-03,13.90,13.94,13.29,13.50,51200,13.50
2014-06-02,14.05,14.28,13.76,14.01,31100,14.01
2014-05-30,14.05,14.18,13.60,14.06,43800,14.06
2014-05-29,14.00,14.16,13.71,14.02,21200,14.02
2014-05-28,13.90,14.36,13.29,13.78,45400,13.78
2014-05-27,14.49,14.49,13.91,14.15,11900,14.15
2014-05-23,13.79,14.37,13.79,14.26,26800,14.26
2014-05-22,13.34,13.97,13.34,13.76,20200,13.76
2014-05-21,13.56,13.87,13.30,13.63,21800,13.63
2014-05-20,13.54,13.70,12.64,13.10,65200,13.10
2014-05-19,13.13,13.58,13.12,13.51,34700,13.51
2014-05-16,13.85,13.85,13.21,13.56,27500,13.56
2014-05-15,14.60,14.83,13.70,13.90,46300,13.90
2014-05-14,15.36,15.60,14.60,14.65,51900,14.65
2014-05-13,15.36,15.50,15.23,15.46,25900,15.46
2014-05-12,14.96,15.62,14.67,15.45,33200,15.45
2014-05-09,14.76,15.09,14.65,14.93,44700,14.93
2014-05-08,15.18,15.58,14.75,14.75,51100,14.75
2014-05-07,15.25,15.50,15.00,15.30,26000,15.30
2014-05-06,15.23,15.64,14.87,14.99,41700,14.99
2014-05-05,14.85,15.54,14.85,15.15,16300,15.15
2014-05-02,14.48,16.04,14.40,15.05,93200,15.05
2014-05-01,13.91,14.50,13.90,14.39,71500,14.39
2014-04-30,13.93,14.28,13.85,13.98,30400,13.98
2014-04-29,13.96,14.49,13.69,13.94,51900,13.94
2014-04-28,14.08,14.52,13.76,13.81,32000,13.81
2014-04-25,14.28,14.36,13.77,13.97,39300,13.97
2014-04-24,14.51,14.64,14.19,14.38,8700,14.38
2014-04-23,14.50,14.74,14.37,14.37,9400,14.37
2014-04-22,14.86,14.86,14.30,14.75,12700,14.75
2014-04-21,14.10,14.45,13.95,14.39,15700,14.39
2014-04-17,14.08,14.15,13.82,13.99,13700,13.99
2014-04-16,14.21,14.37,13.99,14.16,20700,14.16
2014-04-15,14.04,14.52,13.80,14.09,32400,14.09
2014-04-14,14.25,14.33,13.88,14.04,11600,14.04
2014-04-11,14.10,14.44,13.76,14.07,36100,14.07
2014-04-10,14.20,14.53,13.66,14.22,76300,14.22
2014-04-09,14.43,14.90,14.12,14.31,24900,14.31
2014-04-08,15.06,15.06,14.27,14.33,16600,14.33
2014-04-07,14.29,15.16,13.83,14.12,41400,14.12
2014-04-04,15.00,15.00,14.04,14.40,70300,14.40
2014-04-03,14.54,15.00,14.50,14.95,24700,14.95
2014-04-02,14.88,14.90,14.48,14.60,9400,14.60
2014-04-01,14.38,14.72,14.34,14.65,20400,14.65
2014-03-31,14.69,14.69,14.33,14.45,37800,14.45
2014-03-28,14.61,14.61,14.26,14.40,19000,14.40
2014-03-27,14.60,14.93,14.56,14.63,14400,14.63
2014-03-26,15.21,15.25,14.66,14.83,10200,14.83
2014-03-25,15.03,15.10,14.94,15.05,34900,15.05
2014-03-24,14.96,15.17,14.67,15.02,14800,15.02
2014-03-21,14.50,15.20,14.50,15.20,65200,15.20
2014-03-20,15.01,15.10,14.34,14.43,12800,14.43
2014-03-19,15.20,15.20,14.91,14.96,18100,14.96
2014-03-18,14.50,15.20,14.50,15.19,28100,15.19
2014-03-17,15.19,15.19,14.39,14.43,16400,14.43
2014-03-14,14.73,14.79,14.46,14.70,15600,14.70
2014-03-13,15.20,15.20,14.50,14.81,13900,14.81
2014-03-12,14.98,15.33,14.63,15.20,11100,15.20
2014-03-11,15.00,15.40,14.83,15.02,8200,15.02
2014-03-10,14.41,15.08,14.28,15.03,17600,15.03
2014-03-07,15.23,15.23,14.63,15.01,46300,15.01
2014-03-06,14.93,15.16,14.67,14.97,38700,14.97
2014-03-05,14.60,15.00,11.68,14.81,19000,14.81
2014-03-04,14.30,15.39,14.30,14.70,36500,14.70
2014-03-03,14.22,14.41,14.11,14.13,11500,14.13
2014-02-28,13.89,14.49,13.89,14.29,13800,14.29
2014-02-27,13.84,14.07,13.71,13.83,8300,13.83
2014-02-26,13.98,14.37,13.84,13.84,8800,13.84
2014-02-25,14.19,14.19,13.48,13.92,35300,13.92
2014-02-24,14.17,15.30,14.00,14.19,22300,14.19
2014-02-21,14.36,14.38,13.95,14.14,27900,14.14
