Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,17.07,17.16,16.96,17.01,2218200,17.01
2014-06-12,16.92,17.05,16.85,17.05,2384700,17.05
2014-06-11,17.21,17.25,17.14,17.21,1693000,16.83
2014-06-10,17.30,17.36,17.19,17.22,2515700,16.84
2014-06-09,17.25,17.39,17.25,17.32,1737000,16.94
2014-06-06,17.24,17.28,17.16,17.26,1891900,16.88
2014-06-05,17.02,17.19,17.02,17.17,1492600,16.79
2014-06-04,17.12,17.15,17.00,17.12,2006100,16.74
2014-06-03,17.11,17.16,17.01,17.11,2001600,16.73
2014-06-02,17.26,17.30,17.09,17.17,1778800,16.79
2014-05-30,17.16,17.26,17.07,17.24,4816900,16.86
2014-05-29,17.22,17.29,17.11,17.15,1416200,16.77
2014-05-28,17.12,17.22,17.07,17.14,1649000,16.76
2014-05-27,17.14,17.20,17.00,17.10,1639400,16.72
2014-05-23,17.07,17.08,16.98,17.06,1432300,16.68
2014-05-22,17.11,17.18,16.98,17.02,1598500,16.64
2014-05-21,17.01,17.10,16.95,17.06,1451000,16.68
2014-05-20,17.13,17.16,16.97,17.02,1864700,16.64
2014-05-19,16.88,17.00,16.82,17.00,1786000,16.62
2014-05-16,16.91,16.91,16.76,16.88,1602200,16.51
2014-05-15,16.62,16.94,16.62,16.86,1861500,16.49
2014-05-14,16.66,16.95,16.59,16.89,2572700,16.52
2014-05-13,16.60,16.67,16.47,16.50,2962700,16.14
2014-05-12,16.50,16.64,16.49,16.55,3274700,16.18
2014-05-09,16.60,16.68,16.49,16.51,3578800,16.15
2014-05-08,16.76,16.79,16.58,16.61,3098700,16.24
2014-05-07,16.78,16.92,16.74,16.75,3035800,16.38
2014-05-06,17.25,17.35,16.75,16.87,4158200,16.50
2014-05-05,17.14,17.36,17.04,17.35,2356900,16.97
2014-05-02,17.26,17.41,17.18,17.19,2012100,16.81
2014-05-01,17.20,17.29,17.13,17.23,1334300,16.85
2014-04-30,17.07,17.29,17.03,17.17,2506500,16.79
2014-04-29,17.08,17.10,17.03,17.06,1753000,16.68
2014-04-28,17.27,17.29,17.07,17.10,1605300,16.72
2014-04-25,17.22,17.30,17.18,17.27,1385300,16.89
2014-04-24,17.34,17.36,17.21,17.24,1847800,16.86
2014-04-23,17.26,17.32,17.21,17.29,1300900,16.91
2014-04-22,17.29,17.31,17.21,17.27,1524400,16.89
2014-04-21,17.24,17.29,17.20,17.24,1327100,16.86
2014-04-17,17.34,17.35,17.20,17.24,1072300,16.86
2014-04-16,17.34,17.35,17.24,17.35,1128500,16.97
2014-04-15,17.27,17.32,17.18,17.25,1532600,16.87
2014-04-14,17.24,17.27,17.17,17.25,1490000,16.87
2014-04-11,17.25,17.34,17.17,17.22,1407700,16.84
2014-04-10,17.44,17.51,17.28,17.29,1673100,16.91
2014-04-09,17.49,17.57,17.45,17.46,1610400,17.07
2014-04-08,17.56,17.64,17.40,17.47,2037800,17.08
2014-04-07,17.54,17.64,17.46,17.60,2636800,17.21
2014-04-04,17.79,17.79,17.54,17.56,2160600,17.17
2014-04-03,17.62,17.63,17.45,17.54,2138300,17.15
2014-04-02,17.71,17.74,17.55,17.58,2101200,17.19
2014-04-01,17.61,17.69,17.55,17.66,1854500,17.27
2014-03-31,17.67,17.72,17.56,17.62,2100200,17.23
2014-03-28,17.52,17.67,17.47,17.53,2187600,17.14
2014-03-27,17.38,17.50,17.36,17.50,1665700,17.11
2014-03-26,17.67,17.70,17.39,17.39,1933600,17.01
2014-03-25,17.50,17.63,17.48,17.55,1780900,17.16
2014-03-24,17.43,17.55,17.33,17.50,2270500,17.11
2014-03-21,17.50,17.50,17.22,17.43,5327400,17.05
2014-03-20,17.36,17.51,17.30,17.46,1629200,17.07
2014-03-19,17.43,17.48,17.28,17.36,2262200,16.98
2014-03-18,17.36,17.55,17.35,17.41,2335300,17.03
2014-03-17,17.41,17.52,17.29,17.40,1932300,17.02
2014-03-14,17.38,17.40,17.28,17.38,1901900,17.00
2014-03-13,17.49,17.58,17.30,17.37,2176200,16.99
2014-03-12,17.30,17.49,17.25,17.45,2168000,17.06
2014-03-11,17.96,17.97,17.66,17.74,3189700,16.93
2014-03-10,17.91,17.96,17.79,17.89,2737500,17.07
2014-03-07,18.00,18.04,17.78,17.83,2650700,17.01
2014-03-06,17.85,18.04,17.77,17.96,2891700,17.14
2014-03-05,17.91,17.95,17.62,17.87,3924100,17.05
2014-03-04,18.08,18.11,17.83,17.88,2849200,17.06
2014-03-03,17.97,18.02,17.72,18.00,2201200,17.18
2014-02-28,18.05,18.22,17.96,18.03,2169200,17.20
2014-02-27,18.00,18.12,17.91,18.06,2509300,17.23
2014-02-26,18.30,18.41,18.00,18.00,2289100,17.18
2014-02-25,18.38,18.40,18.11,18.23,2651000,17.40
2014-02-24,18.48,18.63,18.45,18.49,1239500,17.64
2014-02-21,18.57,18.61,18.41,18.46,1146500,17.61
2014-02-20,18.39,18.52,18.29,18.48,1417800,17.63
2014-02-19,18.50,18.55,18.36,18.36,1299600,17.52
2014-02-18,18.36,18.55,18.32,18.51,1552300,17.66
2014-02-14,18.36,18.50,18.34,18.41,1745300,17.57
2014-02-13,18.20,18.45,18.12,18.41,1753500,17.57
2014-02-12,18.20,18.30,18.19,18.23,1117100,17.40
2014-02-11,18.06,18.24,18.01,18.19,1566600,17.36
2014-02-10,17.99,18.10,17.97,18.08,1619200,17.25
2014-02-07,17.98,18.05,17.98,17.99,1243500,17.17
2014-02-06,17.86,18.00,17.84,17.97,1420100,17.15
2014-02-05,17.84,17.86,17.67,17.77,1306900,16.96
2014-02-04,17.71,17.90,17.70,17.85,1916100,17.03
2014-02-03,17.72,17.85,17.65,17.70,2938200,16.89
2014-01-31,17.65,17.82,17.60,17.71,1841300,16.90
2014-01-30,17.72,17.80,17.71,17.77,1157200,16.96
2014-01-29,17.64,17.74,17.55,17.57,1225100,16.77
2014-01-28,17.67,17.76,17.65,17.74,990400,16.93
2014-01-27,17.75,17.79,17.51,17.67,1659000,16.86
2014-01-24,17.94,17.96,17.71,17.74,2551700,16.93
2014-01-23,17.91,17.99,17.77,17.96,1614400,17.14
2014-01-22,18.00,18.00,17.88,17.93,1838800,17.11
2014-01-21,17.98,18.10,17.90,17.95,2183300,17.13
2014-01-17,17.95,17.97,17.88,17.96,1186200,17.14
2014-01-16,17.95,18.00,17.90,17.94,1532900,17.12
2014-01-15,17.85,18.00,17.82,17.99,1361100,17.17
2014-01-14,17.93,17.93,17.81,17.85,1689100,17.03
2014-01-13,17.75,17.95,17.74,17.93,2701900,17.11
2014-01-10,17.71,17.82,17.68,17.79,1691000,16.98
2014-01-09,17.85,17.85,17.64,17.69,2039900,16.88
2014-01-08,17.63,17.71,17.56,17.67,1320900,16.86
2014-01-07,17.91,17.91,17.63,17.67,995500,16.86
2014-01-06,17.66,17.73,17.61,17.71,1572600,16.90
2014-01-03,17.67,17.71,17.51,17.59,1517500,16.78
2014-01-02,17.77,17.79,17.61,17.63,1444800,16.82
2013-12-31,17.74,17.85,17.72,17.77,1794500,16.96
2013-12-30,17.53,17.69,17.50,17.69,1706500,16.88
2013-12-27,17.56,17.63,17.53,17.56,838500,16.76
2013-12-26,17.60,17.70,17.55,17.58,1356800,16.78
2013-12-24,17.55,17.57,17.47,17.57,782000,16.77
2013-12-23,17.61,17.66,17.51,17.57,1364500,16.77
2013-12-20,17.48,17.60,17.46,17.59,2942100,16.78
2013-12-19,17.47,17.54,17.45,17.46,1743000,16.66
2013-12-18,17.41,17.60,17.37,17.52,2316500,16.72
2013-12-17,17.27,17.40,17.23,17.37,2597600,16.57
2013-12-16,17.43,17.45,17.28,17.29,1764800,16.50
2013-12-13,17.37,17.43,17.26,17.37,2509700,16.57
2013-12-12,17.29,17.39,17.22,17.32,3219500,16.53
2013-12-11,17.79,17.84,17.67,17.71,5091900,16.49
2013-12-10,17.63,17.83,17.61,17.75,17996500,16.53
2013-12-09,18.29,18.41,18.25,18.29,1694700,17.03
2013-12-06,18.33,18.40,18.26,18.27,1796000,17.01
