Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,30.93,30.99,30.47,30.89,227400,30.89
2014-06-12,30.86,31.00,30.38,30.80,285600,30.80
2014-06-11,31.21,31.35,30.85,30.86,228300,30.86
2014-06-10,31.42,31.47,31.14,31.31,212500,31.31
2014-06-09,31.65,31.77,31.37,31.45,265300,31.45
2014-06-06,31.97,32.11,31.55,31.66,332500,31.66
2014-06-05,31.38,31.95,31.06,31.80,455200,31.80
2014-06-04,31.11,31.27,30.95,31.26,365400,31.26
2014-06-03,31.26,31.43,31.03,31.10,528600,31.10
2014-06-02,31.35,31.50,31.16,31.32,391300,31.32
2014-05-30,32.00,32.07,30.90,31.31,1025000,31.31
2014-05-29,32.36,32.36,31.99,32.15,232500,32.15
2014-05-28,32.16,32.35,31.98,32.24,316000,32.24
2014-05-27,31.88,32.11,31.78,32.08,343500,32.08
2014-05-23,31.62,31.77,31.45,31.68,228000,31.68
2014-05-22,31.36,31.75,31.36,31.56,240900,31.56
2014-05-21,31.43,31.49,31.15,31.35,300800,31.35
2014-05-20,31.66,31.71,31.13,31.40,498700,31.40
2014-05-19,32.27,32.27,31.85,31.88,309000,31.56
2014-05-16,31.91,32.32,31.83,32.31,266000,31.99
2014-05-15,32.02,32.17,31.84,31.90,297100,31.58
2014-05-14,32.00,32.26,31.83,32.02,298900,31.70
2014-05-13,32.25,32.45,31.91,31.94,404300,31.62
2014-05-12,32.45,32.49,32.19,32.23,438900,31.91
2014-05-09,32.63,32.77,32.25,32.30,331000,31.98
2014-05-08,32.56,32.84,32.25,32.78,537300,32.45
2014-05-07,32.47,32.94,32.10,32.59,471800,32.26
2014-05-06,31.75,31.82,31.50,31.64,288000,31.32
2014-05-05,31.41,31.79,31.14,31.78,214800,31.46
2014-05-02,32.10,32.10,31.40,31.52,223300,31.21
2014-05-01,32.15,32.34,31.84,32.14,331600,31.82
2014-04-30,31.83,32.18,31.82,32.15,348600,31.83
2014-04-29,31.97,32.37,31.86,31.90,521600,31.58
2014-04-28,31.85,32.06,31.66,31.97,287200,31.65
2014-04-25,31.70,31.99,31.65,31.74,305000,31.42
2014-04-24,31.40,31.92,31.35,31.74,478500,31.42
2014-04-23,31.23,31.69,31.23,31.33,432100,31.02
2014-04-22,31.20,31.36,31.04,31.28,417100,30.97
2014-04-21,31.06,31.20,30.84,31.01,336200,30.70
2014-04-17,31.34,31.47,31.00,31.01,231600,30.70
2014-04-16,31.31,31.49,31.23,31.36,352300,31.05
2014-04-15,30.53,31.12,30.51,31.10,539200,30.79
2014-04-14,30.50,30.82,30.45,30.59,363800,30.28
2014-04-11,30.30,30.75,30.22,30.41,458700,30.11
2014-04-10,30.53,30.82,30.26,30.55,1328100,30.25
2014-04-09,31.00,31.03,30.22,30.47,729200,30.17
2014-04-08,30.24,30.94,30.02,30.86,663700,30.55
2014-04-07,30.47,30.62,30.30,30.32,413800,30.02
2014-04-04,31.12,31.29,30.53,30.60,435000,30.29
2014-04-03,30.70,31.01,30.53,30.89,310300,30.58
2014-04-02,30.85,30.88,30.55,30.60,410300,30.29
2014-04-01,30.57,30.84,30.19,30.81,570400,30.50
2014-03-31,29.99,30.83,29.91,30.65,814400,30.34
2014-03-28,29.94,29.99,29.79,29.94,581900,29.64
2014-03-27,29.83,29.95,29.76,29.85,507300,29.55
2014-03-26,30.03,30.20,29.81,29.84,445300,29.54
2014-03-25,30.10,30.25,29.90,30.09,360500,29.79
2014-03-24,30.01,30.09,29.71,30.01,200700,29.71
2014-03-21,29.75,30.13,29.61,29.90,496000,29.60
2014-03-20,29.64,29.64,29.37,29.53,169300,29.24
2014-03-19,30.26,30.27,29.58,29.68,233600,29.38
2014-03-18,30.17,30.34,30.10,30.24,271400,29.94
2014-03-17,30.21,30.22,29.88,30.17,219400,29.87
2014-03-14,29.83,30.10,29.54,30.02,227900,29.72
2014-03-13,29.58,29.90,29.49,29.84,274300,29.54
2014-03-12,29.12,29.55,29.03,29.49,246000,29.20
2014-03-11,29.46,29.50,29.09,29.15,278200,28.86
2014-03-10,29.30,29.45,29.15,29.36,328800,29.07
2014-03-07,29.48,29.48,29.06,29.28,213400,28.99
2014-03-06,29.66,29.81,29.39,29.40,253500,29.11
2014-03-05,29.95,30.10,29.62,29.72,280700,29.42
2014-03-04,29.81,30.14,29.73,30.00,672400,29.70
2014-03-03,29.51,29.61,29.20,29.51,454900,29.22
2014-02-28,29.55,29.72,29.42,29.60,486200,29.30
2014-02-27,29.69,29.72,29.37,29.43,299700,29.14
2014-02-26,29.66,29.85,29.35,29.58,273100,29.28
2014-02-25,29.62,29.83,29.46,29.58,268600,29.28
2014-02-24,29.78,30.00,29.61,29.61,250800,29.31
2014-02-21,29.60,29.87,29.45,29.70,328600,29.40
2014-02-20,29.45,29.65,29.39,29.60,443000,29.30
2014-02-19,29.85,29.98,29.36,29.37,429500,29.08
2014-02-18,29.85,30.25,29.84,30.17,441500,29.55
2014-02-14,29.62,29.88,29.47,29.84,263100,29.23
2014-02-13,29.04,29.62,28.91,29.62,185800,29.02
2014-02-12,29.08,29.42,29.06,29.17,229800,28.57
2014-02-11,28.63,29.19,28.63,29.06,206300,28.47
2014-02-10,28.34,28.63,28.19,28.62,313900,28.04
2014-02-07,28.23,28.34,28.05,28.28,334800,27.70
2014-02-06,28.20,28.31,28.00,28.09,332700,27.52
2014-02-05,28.23,28.27,28.00,28.12,210300,27.55
2014-02-04,28.63,28.66,28.17,28.27,240500,27.69
2014-02-03,28.89,29.27,28.49,28.57,436900,27.99
