Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,26.90,26.90,26.90,26.90,000,26.90
2014-06-12,26.90,26.90,26.90,26.90,000,26.90
2014-06-11,26.90,26.90,26.90,26.90,000,26.90
2014-06-10,26.90,26.90,26.90,26.90,000,26.90
2014-06-09,26.90,26.90,26.90,26.90,000,26.90
2014-06-06,26.90,26.90,26.90,26.90,200,26.90
2014-06-05,26.70,26.70,26.70,26.70,000,26.70
2014-06-04,26.70,26.70,26.70,26.70,000,26.70
2014-06-03,27.45,27.45,26.70,26.70,5100,26.70
2014-06-02,27.00,27.00,27.00,27.00,000,27.00
2014-05-30,27.00,27.00,27.00,27.00,000,27.00
2014-05-29,27.00,27.00,27.00,27.00,000,27.00
2014-05-28,27.00,27.00,27.00,27.00,000,27.00
2014-05-27,27.00,27.00,27.00,27.00,200,27.00
2014-05-23,27.05,27.05,27.05,27.05,400,27.05
2014-05-22,27.00,27.00,27.00,27.00,000,27.00
2014-05-21,27.00,27.00,27.00,27.00,000,27.00
2014-05-20,27.00,27.00,27.00,27.00,000,27.00
2014-05-19,27.00,27.06,27.00,27.00,2100,27.00
2014-05-16,27.00,27.00,27.00,27.00,000,27.00
2014-05-15,27.00,27.00,27.00,27.00,200,27.00
2014-05-14,27.50,27.50,27.50,27.50,000,27.50
2014-05-13,27.50,27.50,27.50,27.50,000,27.50
2014-05-12,27.50,27.50,27.50,27.50,000,27.50
2014-05-09,27.50,27.50,27.50,27.50,000,27.50
2014-05-08,27.50,27.50,27.50,27.50,100,27.50
2014-05-07,27.30,27.30,27.30,27.30,000,27.30
2014-05-06,27.31,27.31,27.30,27.30,500,27.30
2014-05-05,27.13,27.13,27.13,27.13,000,27.13
2014-05-02,27.13,27.13,27.13,27.13,000,27.13
2014-05-01,27.13,27.13,27.13,27.13,000,27.13
2014-04-30,27.13,27.13,27.13,27.13,000,27.13
2014-04-29,27.13,27.13,27.13,27.13,000,27.13
2014-04-28,27.13,27.13,27.13,27.13,000,27.13
2014-04-25,27.13,27.13,27.13,27.13,000,27.13
2014-04-24,27.13,27.13,27.13,27.13,000,27.13
2014-04-23,27.13,27.13,27.13,27.13,000,27.13
2014-04-22,27.30,27.30,27.13,27.13,300,27.13
2014-04-21,27.34,27.34,27.34,27.34,000,27.34
2014-04-17,27.30,28.30,27.30,27.34,1400,27.34
2014-04-16,27.32,27.73,27.20,27.35,14700,27.35
2014-04-15,27.17,27.17,27.17,27.17,100,27.17
2014-04-14,27.20,27.97,27.20,27.20,11900,27.20
2014-04-11,27.27,27.95,27.20,27.20,20300,27.20
2014-04-10,27.43,27.43,27.43,27.43,000,27.43
2014-04-09,27.43,27.43,27.43,27.43,000,27.43
2014-04-08,27.43,27.43,27.43,27.43,000,27.43
2014-04-07,27.27,27.43,27.27,27.43,600,27.43
2014-04-04,27.20,27.21,27.20,27.21,400,27.21
2014-04-03,27.00,27.00,27.00,27.00,000,27.00
2014-04-02,27.00,27.00,27.00,27.00,000,27.00
2014-04-01,27.00,27.00,27.00,27.00,000,27.00
2014-03-31,27.00,27.00,27.00,27.00,400,27.00
2014-03-28,26.64,27.13,26.64,27.02,1100,27.02
2014-03-27,27.31,27.31,27.31,27.31,300,27.31
2014-03-26,27.02,27.63,27.02,27.63,3400,27.18
2014-03-25,26.99,27.20,26.85,27.03,20500,26.59
2014-03-24,26.70,26.70,26.70,26.70,000,26.27
2014-03-21,26.70,26.70,26.70,26.70,1300,26.27
2014-03-20,26.99,27.00,26.93,27.00,1400,26.56
2014-03-19,27.00,27.00,27.00,27.00,300,26.56
2014-03-18,26.95,26.95,26.95,26.95,000,26.51
2014-03-17,26.95,27.00,26.95,26.95,1800,26.51
2014-03-14,26.96,26.96,26.96,26.96,100,26.52
2014-03-13,26.83,26.83,26.83,26.83,000,26.39
