Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,157.32,157.49,155.92,156.39,110800,156.39
2014-06-12,156.68,157.35,155.71,157.35,269800,157.35
2014-06-11,156.67,157.86,155.97,156.99,333100,156.99
2014-06-10,156.85,157.67,156.14,157.67,384900,157.67
2014-06-09,157.00,157.50,155.99,157.19,210300,157.19
2014-06-06,157.98,158.02,155.98,156.75,182400,156.75
2014-06-05,157.30,157.30,156.41,157.05,298300,157.05
2014-06-04,156.60,156.69,155.36,156.37,266900,156.37
2014-06-03,157.24,157.94,155.77,156.79,323400,156.79
2014-06-02,156.54,157.84,156.24,157.33,413200,157.33
2014-05-30,155.23,157.26,153.91,156.25,635200,156.25
2014-05-29,156.96,157.49,154.74,155.17,216400,155.17
2014-05-28,155.04,157.46,154.06,156.96,209000,156.96
2014-05-27,157.48,157.48,154.66,155.05,272000,155.05
2014-05-23,156.96,157.52,155.97,156.70,171600,156.70
2014-05-22,156.60,157.37,155.83,157.05,273100,157.05
2014-05-21,154.27,159.82,153.70,156.59,436900,156.59
2014-05-20,155.80,156.37,153.35,153.99,352400,153.99
2014-05-19,155.07,156.50,154.65,155.57,211500,155.57
2014-05-16,156.12,157.45,155.26,156.01,426000,156.01
2014-05-15,157.00,158.21,154.82,155.62,449100,155.62
2014-05-14,156.96,157.68,156.19,157.05,398600,157.05
2014-05-13,158.91,159.50,156.92,157.01,498400,157.01
2014-05-12,157.43,159.64,156.25,158.91,477100,158.91
2014-05-09,150.00,163.31,150.00,157.05,911900,157.05
2014-05-08,150.78,152.61,148.73,148.89,252600,148.89
2014-05-07,150.00,150.62,149.18,150.41,283700,150.41
2014-05-06,149.75,150.70,148.66,149.69,187800,149.69
2014-05-05,149.90,150.30,148.75,150.02,215700,150.02
2014-05-02,151.00,151.76,148.83,150.12,548400,150.12
2014-05-01,149.18,150.25,147.92,150.21,182300,150.21
2014-04-30,144.82,149.35,144.32,149.25,409900,149.25
2014-04-29,145.66,147.79,144.20,145.00,476400,145.00
2014-04-28,143.42,145.00,142.53,144.55,521400,144.55
2014-04-25,141.82,144.15,141.53,143.34,223400,143.34
2014-04-24,144.19,144.40,142.64,142.88,315300,142.88
2014-04-23,140.79,144.00,140.79,143.75,337400,143.75
2014-04-22,140.13,141.20,140.00,140.80,288700,140.80
2014-04-21,141.20,141.20,140.10,140.23,150200,140.23
2014-04-17,139.13,141.34,138.08,141.21,452600,141.21
2014-04-16,139.30,141.03,137.64,141.03,284200,141.03
2014-04-15,141.49,142.46,138.00,138.85,352300,131.74
2014-04-14,140.67,142.91,140.41,141.52,317100,134.27
2014-04-11,139.41,140.64,138.94,139.57,353800,132.42
2014-04-10,141.11,143.40,140.41,140.56,366700,133.36
2014-04-09,139.98,141.67,138.62,141.44,640800,134.20
2014-04-08,141.21,142.20,140.06,140.25,302100,133.07
2014-04-07,140.66,141.66,138.65,140.43,399700,133.24
2014-04-04,137.90,142.60,137.87,140.78,651300,133.57
2014-04-03,138.21,139.10,136.85,138.00,444900,130.93
2014-04-02,137.52,139.37,136.90,137.70,388400,130.65
2014-04-01,138.33,139.23,137.14,137.39,481300,130.35
2014-03-31,136.10,137.92,135.21,137.92,474800,130.86
2014-03-28,133.43,136.04,132.09,134.83,244700,127.92
2014-03-27,130.52,132.96,130.52,132.83,314200,126.03
2014-03-26,129.13,131.93,127.84,130.19,353200,123.52
