Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,8.41,8.43,8.40,8.41,23900,8.41
2014-06-12,8.37,8.41,8.32,8.40,33100,8.40
2014-06-11,8.44,8.44,8.42,8.44,19500,8.44
2014-06-10,8.44,8.46,8.40,8.46,20500,8.46
2014-06-09,8.42,8.43,8.39,8.42,19100,8.42
2014-06-06,8.42,8.45,8.39,8.42,14800,8.42
2014-06-05,8.41,8.42,8.37,8.41,74300,8.41
2014-06-04,8.35,8.37,8.33,8.37,9800,8.37
2014-06-03,8.39,8.40,8.35,8.36,33800,8.36
2014-06-02,8.41,8.41,8.37,8.38,29000,8.38
2014-05-30,8.37,8.39,8.34,8.37,66100,8.37
2014-05-29,8.36,8.39,8.35,8.39,23900,8.39
2014-05-28,8.36,8.39,8.36,8.37,26100,8.37
2014-05-27,8.35,8.39,8.34,8.38,38500,8.38
2014-05-23,8.33,8.36,8.32,8.35,21600,8.35
2014-05-22,8.31,8.34,8.31,8.33,50700,8.33
2014-05-21,8.26,8.30,8.26,8.28,44600,8.28
2014-05-20,8.27,8.28,8.22,8.24,49600,8.24
2014-05-19,8.21,8.29,8.21,8.27,47900,8.27
2014-05-16,8.23,8.23,8.23,8.23,100,8.23
2014-05-15,8.27,8.27,8.19,8.21,30800,8.21
2014-05-14,8.29,8.29,8.27,8.27,22900,8.27
2014-05-13,8.26,8.30,8.26,8.30,50400,8.30
2014-05-12,8.25,8.29,8.25,8.25,102900,8.25
2014-05-09,8.23,8.26,8.23,8.25,20000,8.25
2014-05-08,8.24,8.29,8.24,8.25,45600,8.25
2014-05-07,8.25,8.30,8.24,8.26,185000,8.26
2014-05-06,8.31,8.31,8.26,8.26,79200,8.26
2014-05-05,8.36,8.36,8.30,8.35,60300,8.35
2014-05-02,8.40,8.41,8.36,8.36,37400,8.36
2014-05-01,8.37,8.37,8.34,8.35,30400,8.35
2014-04-30,8.34,8.40,8.31,8.36,56600,8.36
