Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,1.06,1.06,1.03,1.05,256800,1.05
2014-06-12,1.03,1.09,1.00,1.05,498000,1.05
2014-06-11,1.03,1.07,1.00,1.03,338000,1.03
2014-06-10,1.03,1.07,0.97,1.02,459300,1.02
2014-06-09,0.96,1.07,0.95,1.03,596100,1.03
2014-06-06,0.93,1.05,0.90,0.97,1442300,0.97
2014-06-05,0.85,0.98,0.81,0.91,1216000,0.91
2014-06-04,0.80,0.88,0.77,0.84,262900,0.84
2014-06-03,0.76,0.88,0.74,0.82,656000,0.82
2014-06-02,0.89,0.89,0.75,0.76,586000,0.76
2014-05-30,0.71,0.94,0.65,0.89,1477200,0.89
2014-05-29,0.65,0.69,0.64,0.64,239000,0.64
2014-05-28,0.65,0.65,0.62,0.62,146200,0.62
2014-05-27,0.65,0.68,0.62,0.65,204700,0.65
2014-05-23,0.69,0.69,0.65,0.65,162200,0.65
2014-05-22,0.70,0.74,0.68,0.69,157900,0.69
2014-05-21,0.70,0.73,0.70,0.70,243800,0.70
2014-05-20,0.74,0.75,0.68,0.70,213600,0.70
2014-05-19,0.67,0.75,0.65,0.74,244600,0.74
2014-05-16,0.64,0.66,0.63,0.66,105200,0.66
2014-05-15,0.66,0.66,0.64,0.64,143000,0.64
2014-05-14,0.63,0.67,0.63,0.66,181500,0.66
2014-05-13,0.68,0.68,0.62,0.63,211000,0.63
2014-05-12,0.60,0.66,0.59,0.65,570700,0.65
2014-05-09,0.61,0.64,0.58,0.58,741200,0.58
2014-05-08,0.83,0.83,0.59,0.60,3089800,0.60
2014-05-07,1.08,1.08,0.95,0.95,596800,0.95
2014-05-06,1.02,1.08,1.00,1.05,540000,1.05
2014-05-05,0.97,1.02,0.97,1.01,234400,1.01
2014-05-02,0.97,0.99,0.97,0.98,197000,0.98
2014-05-01,1.02,1.02,0.96,0.98,645000,0.98
2014-04-30,1.11,1.11,1.02,1.04,523300,1.04
2014-04-29,1.14,1.15,1.08,1.12,487200,1.12
2014-04-28,1.25,1.28,1.08,1.12,1610300,1.12
2014-04-25,1.14,1.34,1.14,1.26,2930600,1.26
2014-04-24,1.05,1.16,1.03,1.13,836000,1.13
2014-04-23,1.05,1.05,1.00,1.03,222100,1.03
2014-04-22,1.06,1.07,1.01,1.04,234400,1.04
2014-04-21,1.07,1.08,1.04,1.05,185000,1.05
2014-04-17,1.00,1.07,0.97,1.05,408100,1.05
2014-04-16,1.03,1.03,0.97,1.00,201500,1.00
2014-04-15,1.04,1.04,0.97,1.01,493800,1.01
2014-04-14,1.05,1.07,1.03,1.04,424300,1.04
2014-04-11,1.05,1.06,1.00,1.05,527400,1.05
2014-04-10,1.16,1.18,1.05,1.06,638500,1.06
2014-04-09,1.17,1.18,1.10,1.14,446900,1.14
2014-04-08,1.24,1.26,1.15,1.16,1025800,1.16
2014-04-07,1.25,1.31,1.15,1.23,2226800,1.23
2014-04-04,1.15,1.25,1.13,1.23,1257100,1.23
2014-04-03,1.14,1.16,1.10,1.15,561600,1.15
2014-04-02,1.21,1.23,1.10,1.13,972600,1.13
2014-04-01,1.07,1.26,1.04,1.22,3186600,1.22
2014-03-31,1.10,1.14,1.03,1.07,1762900,1.07
2014-03-28,0.91,1.10,0.91,1.06,3961700,1.06
2014-03-27,1.05,1.09,0.86,0.91,3021200,0.91
2014-03-26,1.28,1.28,0.98,1.05,6374400,1.05
2014-03-25,1.83,1.84,1.59,1.62,1696500,1.62
2014-03-24,2.01,2.09,1.80,1.84,702700,1.84
2014-03-21,1.86,2.00,1.85,2.00,667200,2.00
2014-03-20,1.95,1.98,1.85,1.87,604100,1.87
2014-03-19,1.94,2.00,1.90,1.96,565300,1.96
2014-03-18,2.15,2.16,1.87,1.93,1167500,1.93
2014-03-17,2.23,2.28,2.13,2.18,491600,2.18
2014-03-14,2.57,2.58,2.16,2.20,1914200,2.20
2014-03-13,2.97,2.97,2.80,2.84,160600,2.84
2014-03-12,3.00,3.06,2.85,2.91,301600,2.91
2014-03-11,3.06,3.09,2.96,3.00,299500,3.00
2014-03-10,3.08,3.11,3.01,3.06,110400,3.06
2014-03-07,3.09,3.24,3.06,3.07,160200,3.07
2014-03-06,3.16,3.19,3.08,3.09,228800,3.09
2014-03-05,3.22,3.23,3.10,3.13,209500,3.13
2014-03-04,3.24,3.35,3.20,3.21,308100,3.21
2014-03-03,3.12,3.27,3.12,3.22,165500,3.22
2014-02-28,3.33,3.45,3.08,3.12,381000,3.12
2014-02-27,3.13,3.40,3.08,3.31,468100,3.31
2014-02-26,3.09,3.15,3.03,3.11,309300,3.11
2014-02-25,3.10,3.12,3.07,3.07,162900,3.07
2014-02-24,3.18,3.23,3.08,3.10,184700,3.10
2014-02-21,3.17,3.20,3.14,3.17,130400,3.17
2014-02-20,3.12,3.19,3.09,3.15,223500,3.15
2014-02-19,3.02,3.10,2.98,3.09,208400,3.09
2014-02-18,3.03,3.03,2.92,3.03,309500,3.03
2014-02-14,3.06,3.11,2.99,3.01,183500,3.01
2014-02-13,3.11,3.11,2.97,3.05,297000,3.05
2014-02-12,3.21,3.21,2.98,2.99,317600,2.99
2014-02-11,3.16,3.21,3.10,3.18,367500,3.18
