Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,26.27,26.40,26.18,26.29,424800,26.29
2014-06-12,26.14,26.35,26.03,26.27,347000,26.27
2014-06-11,26.13,26.20,25.91,26.06,660900,26.06
2014-06-10,26.09,26.30,25.88,26.23,390400,26.23
2014-06-09,25.82,26.17,25.70,26.11,458100,26.11
2014-06-06,25.84,25.84,25.59,25.71,216100,25.71
2014-06-05,25.43,25.67,25.18,25.60,339500,25.60
2014-06-04,25.29,25.36,25.06,25.23,167100,25.23
2014-06-03,25.21,25.44,25.11,25.28,174300,25.28
2014-06-02,25.08,25.39,25.00,25.19,237800,25.19
2014-05-30,25.41,25.41,24.98,25.10,308800,25.10
2014-05-29,25.13,25.50,25.01,25.49,198300,25.49
2014-05-28,24.96,25.13,24.89,25.00,145700,25.00
2014-05-27,25.44,25.44,24.68,24.86,359100,24.86
2014-05-23,24.95,25.33,24.84,25.29,211900,25.29
2014-05-22,24.65,24.92,24.65,24.89,323500,24.89
2014-05-21,24.61,24.81,24.58,24.68,174700,24.68
2014-05-20,24.87,24.87,24.48,24.62,253600,24.62
2014-05-19,24.96,25.06,24.85,24.87,338800,24.87
2014-05-16,25.04,25.31,24.91,25.04,502000,25.04
2014-05-15,25.31,25.31,24.95,25.00,313300,25.00
2014-05-14,25.33,25.41,25.03,25.21,444900,25.21
2014-05-13,25.26,25.27,24.89,25.24,833800,25.24
2014-05-12,25.42,25.43,25.12,25.18,434200,25.18
2014-05-09,25.25,25.34,25.10,25.31,204500,25.31
2014-05-08,24.73,25.26,24.57,25.21,204700,25.21
2014-05-07,24.74,24.84,24.41,24.79,206800,24.79
2014-05-06,24.62,24.82,24.41,24.68,195900,24.68
2014-05-05,24.91,24.91,24.63,24.66,166100,24.66
2014-05-02,24.35,24.92,24.21,24.91,647900,24.91
2014-05-01,24.29,24.70,23.99,24.48,296300,24.48
2014-04-30,23.80,24.30,23.43,24.27,976800,24.27
2014-04-29,23.37,23.74,23.29,23.58,282500,23.58
