Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,129.73,129.73,126.96,128.80,16200,128.80
2014-06-12,129.83,129.99,128.09,128.82,34100,128.82
2014-06-11,129.89,131.30,128.83,129.52,17100,129.52
2014-06-10,134.51,134.51,129.60,130.50,35700,130.50
2014-06-09,135.30,136.89,132.80,134.57,26000,134.57
2014-06-06,132.79,135.33,132.79,134.97,28600,134.97
2014-06-05,129.07,132.86,128.78,131.90,24400,131.90
2014-06-04,127.45,128.89,127.45,128.40,26400,128.40
2014-06-03,128.89,129.25,127.52,127.69,26500,127.69
2014-06-02,130.84,130.98,129.00,129.05,19900,129.05
2014-05-30,129.85,130.94,129.10,130.60,35000,130.60
2014-05-29,128.83,129.19,127.99,128.93,24900,128.93
2014-05-28,130.86,130.86,128.11,129.10,30700,129.10
2014-05-27,128.50,131.10,128.49,130.77,30300,130.77
2014-05-23,128.76,129.00,127.74,128.55,42800,128.55
2014-05-22,128.75,130.31,127.70,128.51,37700,128.51
2014-05-21,129.84,130.50,128.35,129.07,15300,129.07
2014-05-20,129.20,129.97,127.26,128.74,40400,128.74
2014-05-19,127.78,130.48,127.78,130.30,26000,130.30
2014-05-16,125.58,128.08,125.58,127.73,54900,127.73
2014-05-15,128.62,128.64,124.35,125.58,52500,125.58
2014-05-14,129.40,130.75,128.45,129.60,38600,129.60
2014-05-13,131.11,131.67,129.05,129.35,25900,129.35
2014-05-12,131.51,132.49,130.13,130.94,36900,130.94
2014-05-09,129.82,132.31,129.75,131.24,15800,131.24
2014-05-08,132.70,133.00,128.33,130.64,52800,130.64
2014-05-07,133.38,133.90,131.85,132.60,27600,132.60
2014-05-06,132.17,133.39,131.41,132.75,35400,132.75
2014-05-05,131.04,132.90,129.60,132.38,39700,132.38
2014-05-02,132.17,134.35,131.75,132.64,24200,132.64
2014-05-01,131.79,133.75,130.30,132.46,61500,132.46
2014-04-30,137.01,138.86,130.25,131.52,56200,131.52
2014-04-29,142.71,142.90,137.57,138.45,42200,138.45
2014-04-28,140.80,142.49,138.26,141.34,41800,141.34
2014-04-25,139.86,141.84,137.40,140.90,41800,140.90
2014-04-24,142.50,142.50,139.07,139.80,14200,139.80
2014-04-23,141.95,142.70,140.34,141.31,17800,141.31
