Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,5.02,5.02,5.02,5.02,100,5.02
2014-06-12,4.95,4.95,4.95,4.95,000,4.95
2014-06-11,5.01,5.01,4.94,4.95,5800,4.95
2014-06-10,4.95,5.01,4.72,4.88,10600,4.88
2014-06-09,4.99,4.99,4.99,4.99,200,4.99
2014-06-06,4.95,5.00,4.91,4.95,1900,4.95
2014-06-05,4.96,4.96,4.71,4.71,1800,4.71
2014-06-04,4.97,4.97,4.97,4.97,000,4.97
2014-06-03,4.80,4.97,4.80,4.97,3600,4.97
2014-06-02,5.00,5.00,5.00,5.00,100,5.00
2014-05-30,5.00,5.00,5.00,5.00,10400,5.00
2014-05-29,4.92,4.96,4.89,4.96,3600,4.96
2014-05-28,4.80,4.89,4.79,4.87,8100,4.87
2014-05-27,4.85,4.85,4.85,4.85,600,4.85
2014-05-23,4.91,4.92,4.81,4.82,52100,4.82
2014-05-22,4.96,5.00,4.60,4.80,10500,4.80
2014-05-21,4.95,4.95,4.95,4.95,500,4.95
2014-05-20,5.00,5.00,5.00,5.00,700,5.00
2014-05-19,4.88,5.16,4.88,5.16,2900,5.16
2014-05-16,5.20,5.20,5.00,5.14,2100,5.14
2014-05-15,5.25,5.25,5.25,5.25,000,5.25
2014-05-14,5.25,5.25,5.25,5.25,000,5.25
2014-05-13,5.27,5.31,5.10,5.25,1500,5.25
2014-05-12,5.11,5.11,5.11,5.11,200,5.11
2014-05-09,5.17,5.65,5.17,5.41,8500,5.41
2014-05-08,5.11,5.14,5.11,5.14,1000,5.14
2014-05-07,5.00,5.10,5.00,5.10,32800,5.10
2014-05-06,5.29,5.34,5.00,5.34,3000,5.34
2014-05-05,5.49,5.49,5.28,5.28,1000,5.28
2014-05-02,5.71,5.72,5.34,5.65,22600,5.65
2014-05-01,6.12,6.12,5.83,6.00,2500,6.00
2014-04-30,6.11,6.11,6.11,6.11,300,6.11
2014-04-29,6.33,6.33,6.01,6.01,400,6.01
2014-04-28,6.11,6.44,6.00,6.44,2700,6.44
2014-04-25,6.04,6.04,6.04,6.04,100,6.04
2014-04-24,6.00,6.02,6.00,6.00,1200,6.00
2014-04-23,6.20,6.24,6.19,6.20,3300,6.20
2014-04-22,6.28,6.30,6.00,6.22,2400,6.22
2014-04-21,6.30,6.45,6.10,6.20,19600,6.20
2014-04-17,5.93,6.45,5.51,6.12,7800,6.12
2014-04-16,5.78,5.96,5.70,5.93,11600,5.93
2014-04-15,5.87,5.87,5.29,5.52,4900,5.52
2014-04-14,5.92,5.96,5.92,5.95,1000,5.95
2014-04-11,5.91,6.08,5.18,6.08,7900,6.08
2014-04-10,6.01,6.01,5.50,5.81,5600,5.81
2014-04-09,5.65,7.23,5.60,6.00,26300,6.00
