Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,40.31,40.42,40.31,40.31,1100,40.31
2014-06-12,40.63,40.76,40.38,40.38,42600,40.38
2014-06-11,40.65,40.65,40.47,40.55,2800,40.55
2014-06-10,40.51,40.80,40.47,40.58,8000,40.58
2014-06-09,40.98,40.99,40.75,40.83,12800,40.83
2014-06-06,40.96,41.06,40.83,41.06,9900,41.06
2014-06-05,40.65,40.70,40.44,40.65,4000,40.65
2014-06-04,40.17,40.46,40.17,40.43,5200,40.43
2014-06-03,40.26,40.36,40.10,40.21,3600,40.21
2014-06-02,40.16,40.22,40.14,40.20,5200,40.20
2014-05-30,40.09,40.29,40.08,40.28,6200,40.28
2014-05-29,39.99,40.20,39.99,40.19,10200,40.19
2014-05-28,39.74,39.90,39.73,39.82,2200,39.82
2014-05-27,39.61,39.90,39.61,39.89,14900,39.89
2014-05-23,39.18,39.48,39.18,39.48,6600,39.48
2014-05-22,39.02,39.30,39.02,39.21,9700,39.21
2014-05-21,38.83,38.90,38.80,38.86,2800,38.86
2014-05-20,38.86,38.91,38.37,38.50,32900,38.50
2014-05-19,38.78,38.88,38.69,38.78,13400,38.78
2014-05-16,38.42,38.58,38.42,38.50,13300,38.50
2014-05-15,38.69,38.84,38.46,38.60,8000,38.60
2014-05-14,39.02,39.21,39.02,39.12,7700,39.12
2014-05-13,38.76,39.05,38.76,39.05,12600,39.05
2014-05-12,38.67,38.77,38.40,38.53,50300,38.53
2014-05-09,38.39,38.50,38.18,38.34,4200,38.34
2014-05-08,38.60,38.82,38.50,38.50,17400,38.50
2014-05-07,39.07,39.07,38.65,38.86,16300,38.86
2014-05-06,39.28,39.34,39.07,39.07,2700,39.07
2014-05-05,39.47,39.47,39.23,39.42,7500,39.42
2014-05-02,39.89,39.90,39.38,39.58,19300,39.58
2014-05-01,39.77,40.03,39.72,39.85,12200,39.85
2014-04-30,39.55,39.67,39.36,39.52,33900,39.52
2014-04-29,39.71,39.71,39.32,39.55,21600,39.55
2014-04-28,39.23,39.43,39.00,39.40,31000,39.40
2014-04-25,39.25,39.39,39.14,39.32,51100,39.32
2014-04-24,40.05,40.05,39.66,39.82,18600,39.82
2014-04-23,40.49,40.49,40.10,40.12,5800,40.12
2014-04-22,40.25,40.54,40.15,40.41,27500,40.41
2014-04-21,40.23,40.23,39.92,40.23,17600,40.23
2014-04-17,40.08,40.18,39.93,40.06,4600,40.06
2014-04-16,39.49,40.07,39.49,40.07,47900,40.07
2014-04-15,39.19,39.33,38.67,39.06,27900,39.06
2014-04-14,39.34,39.80,39.34,39.34,25000,39.34
2014-04-11,39.20,39.71,39.20,39.22,23600,39.22
2014-04-10,40.20,40.20,39.37,39.51,27700,39.51
2014-04-09,40.18,40.39,39.93,40.39,26800,40.39
2014-04-08,39.90,40.21,39.76,40.18,18400,40.18
2014-04-07,40.21,40.49,39.94,40.04,13500,40.04
2014-04-04,40.98,40.98,40.32,40.33,11100,40.33
2014-04-03,41.00,41.00,40.56,40.78,14200,40.78
2014-04-02,40.85,40.91,40.46,40.65,33100,40.65
2014-04-01,40.29,40.60,40.07,40.55,44500,40.55
2014-03-31,39.87,41.20,39.80,41.20,63500,41.20
2014-03-28,39.25,39.73,39.25,39.62,8800,39.62
2014-03-27,38.67,39.07,38.67,39.06,6400,39.06
2014-03-26,38.83,39.16,38.78,38.85,15200,38.85
2014-03-25,38.37,38.68,38.27,38.44,15400,38.44
2014-03-24,38.73,38.73,38.00,38.29,4100,38.27
2014-03-21,39.00,39.00,38.32,38.52,5900,38.50
2014-03-20,38.70,38.70,38.30,38.65,9900,38.63
2014-03-19,39.09,39.22,38.75,38.92,10100,38.90
2014-03-18,39.10,39.30,38.80,39.14,20100,39.12
2014-03-17,38.63,38.97,38.38,38.86,10300,38.84
2014-03-14,38.19,38.42,38.05,38.21,20000,38.19
2014-03-13,39.00,39.22,38.18,38.25,56100,38.23
2014-03-12,38.79,39.11,38.46,39.00,4300,38.98
2014-03-11,39.56,39.78,39.13,39.13,7300,39.11
2014-03-10,39.38,39.47,39.23,39.32,5800,39.30
2014-03-07,40.12,40.12,39.74,39.81,10500,39.79
2014-03-06,40.17,40.39,40.17,40.28,8500,40.26
2014-03-05,39.73,40.05,39.73,39.74,7300,39.72
2014-03-04,39.68,39.97,39.68,39.85,4300,39.83
