Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,11.63,11.71,11.38,11.69,98600,11.69
2014-06-12,11.94,12.04,11.50,11.54,520300,11.54
2014-06-11,11.96,12.07,11.90,11.93,79400,11.93
2014-06-10,12.07,12.15,11.97,12.05,74300,12.05
2014-06-09,12.04,12.25,11.96,12.10,170100,12.10
2014-06-06,12.02,12.28,12.02,12.06,1173700,12.06
2014-06-05,11.68,12.04,11.68,11.93,94300,11.93
2014-06-04,11.63,11.75,11.58,11.70,828500,11.70
2014-06-03,11.89,12.02,11.68,11.71,234200,11.71
2014-06-02,12.07,12.12,11.87,11.88,607400,11.88
2014-05-30,12.31,12.42,12.01,12.07,785600,12.07
2014-05-29,12.24,12.32,12.10,12.27,64700,12.27
2014-05-28,12.39,12.45,12.12,12.24,73800,12.24
2014-05-27,12.23,12.68,12.23,12.43,97000,12.43
2014-05-23,12.01,12.18,11.96,12.15,82200,12.15
2014-05-22,11.86,12.01,11.86,11.98,52000,11.98
2014-05-21,12.20,12.27,11.79,11.80,167800,11.80
2014-05-20,12.41,12.43,12.14,12.17,194700,12.17
2014-05-19,12.24,12.46,12.11,12.43,89700,12.43
2014-05-16,12.16,12.34,12.01,12.31,76200,12.31
2014-05-15,12.03,12.25,11.94,12.19,100100,12.19
2014-05-14,12.40,12.55,12.00,12.13,140200,12.13
2014-05-13,12.58,12.59,12.26,12.39,208400,12.39
2014-05-12,12.48,12.90,12.48,12.61,136900,12.61
2014-05-09,12.07,12.42,12.06,12.37,103800,12.37
2014-05-08,12.35,12.52,12.13,12.14,84000,12.14
2014-05-07,12.45,12.46,12.22,12.34,99800,12.34
2014-05-06,12.06,12.53,11.98,12.37,194200,12.37
2014-05-05,12.28,12.59,12.01,12.06,132800,12.06
2014-05-02,12.33,13.72,12.33,12.42,185500,12.42
2014-05-01,12.23,12.51,12.20,12.28,141400,12.28
2014-04-30,12.50,12.66,12.10,12.28,618300,12.28
2014-04-29,13.58,13.61,12.22,12.66,452900,12.66
2014-04-28,13.73,13.87,13.37,13.55,107100,13.55
2014-04-25,13.56,13.78,13.46,13.75,103000,13.75
2014-04-24,13.88,13.91,13.60,13.68,46000,13.68
2014-04-23,13.79,13.91,13.71,13.78,46200,13.78
2014-04-22,13.73,13.85,13.65,13.79,42400,13.79
2014-04-21,13.72,13.84,13.53,13.70,50000,13.70
2014-04-17,13.62,13.79,13.58,13.66,81300,13.66
2014-04-16,13.94,14.12,13.62,13.65,66200,13.65
2014-04-15,14.07,14.07,13.51,13.76,170900,13.76
2014-04-14,14.17,14.47,13.93,14.01,65900,14.01
2014-04-11,13.97,14.22,13.97,13.99,76800,13.99
2014-04-10,14.54,14.54,13.79,14.11,86000,14.11
2014-04-09,14.57,14.74,14.48,14.58,102100,14.58
2014-04-08,14.30,14.77,14.30,14.57,252800,14.57
2014-04-07,14.50,14.52,14.12,14.24,63500,14.24
2014-04-04,14.88,14.95,14.42,14.56,64500,14.56
2014-04-03,14.79,14.90,14.60,14.74,64100,14.74
2014-04-02,14.76,14.82,14.66,14.75,72600,14.75
2014-04-01,14.69,14.99,14.47,14.74,73800,14.74
2014-03-31,14.58,14.81,14.56,14.69,73700,14.69
2014-03-28,14.45,14.80,14.33,14.43,44600,14.43
2014-03-27,14.38,14.54,14.28,14.44,46300,14.44
2014-03-26,14.80,14.89,14.32,14.35,79600,14.35
2014-03-25,14.82,14.99,14.64,14.80,73300,14.80
2014-03-24,14.84,15.00,14.41,14.75,96400,14.75
2014-03-21,14.83,15.01,14.73,14.88,140700,14.88
2014-03-20,14.79,14.96,14.78,14.84,36400,14.84
2014-03-19,14.96,14.97,14.74,14.81,79600,14.81
2014-03-18,14.72,15.15,14.72,14.96,74100,14.96
2014-03-17,14.65,15.02,14.65,14.73,71900,14.73
2014-03-14,14.51,14.94,14.40,14.60,63700,14.60
2014-03-13,14.82,14.82,14.34,14.51,71000,14.51
2014-03-12,14.34,14.75,14.29,14.69,65900,14.69
2014-03-11,14.73,14.87,14.26,14.35,64200,14.35
2014-03-10,14.76,14.85,14.41,14.73,57000,14.73
2014-03-07,15.03,15.03,14.50,14.78,60500,14.78
2014-03-06,14.82,15.10,14.82,14.95,53800,14.95
2014-03-05,14.87,15.05,14.67,14.77,54800,14.77
2014-03-04,14.65,15.20,14.61,14.93,117400,14.93
2014-03-03,14.56,14.69,14.41,14.47,79700,14.47
2014-02-28,14.39,14.84,14.32,14.62,100100,14.62
2014-02-27,13.92,14.35,13.85,14.33,114300,14.33
2014-02-26,13.87,14.05,13.57,13.87,189100,13.87
2014-02-25,14.70,14.70,13.43,13.86,204100,13.86
2014-02-24,14.84,14.89,14.59,14.69,185200,14.69
2014-02-21,15.12,15.14,14.80,14.82,92700,14.82
2014-02-20,15.05,15.11,14.86,15.00,98900,15.00
2014-02-19,15.51,15.51,15.01,15.04,64000,15.04
2014-02-18,15.38,15.64,15.23,15.55,67800,15.55
2014-02-14,15.15,15.40,15.10,15.31,42400,15.31
2014-02-13,14.59,15.27,14.56,15.07,119800,15.07
2014-02-12,14.53,14.88,14.50,14.61,61600,14.61
2014-02-11,14.43,14.55,14.33,14.41,47200,14.41
2014-02-10,13.99,14.30,13.85,14.24,82700,14.24
2014-02-07,13.76,14.01,13.70,13.95,48900,13.95
2014-02-06,13.70,13.98,13.70,13.75,71600,13.75
2014-02-05,13.62,14.05,13.55,13.69,117700,13.69
2014-02-04,13.71,13.83,13.53,13.61,101200,13.61
2014-02-03,13.72,13.85,13.63,13.67,151500,13.67
2014-01-31,13.71,13.90,13.67,13.72,106500,13.72
2014-01-30,13.80,14.03,13.72,13.90,63700,13.90
2014-01-29,13.64,13.98,13.59,13.71,89900,13.71
2014-01-28,13.59,13.65,13.52,13.63,81700,13.63
2014-01-27,13.80,13.99,13.42,13.52,117000,13.52
2014-01-24,14.00,14.00,13.58,13.82,114500,13.82
2014-01-23,14.03,14.27,13.96,14.06,79600,14.06
2014-01-22,14.15,14.30,14.00,14.17,54100,14.17
2014-01-21,14.33,14.33,14.14,14.23,66100,14.23
2014-01-17,14.43,14.50,14.25,14.29,64700,14.29
2014-01-16,14.48,14.63,14.42,14.49,51500,14.49
2014-01-15,14.27,14.53,14.26,14.50,96100,14.50
2014-01-14,14.36,14.42,14.16,14.24,36100,14.24
2014-01-13,14.48,14.55,14.14,14.23,57900,14.23
2014-01-10,14.50,14.52,14.28,14.51,72800,14.51
2014-01-09,14.42,14.49,14.21,14.46,73200,14.46
2014-01-08,14.48,14.50,14.17,14.41,110400,14.41
2014-01-07,14.58,14.75,14.43,14.50,100700,14.50
2014-01-06,14.60,14.67,14.32,14.49,108400,14.49
2014-01-03,14.61,14.72,14.59,14.61,221300,14.61
2014-01-02,14.80,14.95,14.52,14.61,60000,14.61
2013-12-31,14.86,14.99,14.60,14.77,90000,14.77
2013-12-30,14.94,15.05,14.76,14.77,152000,14.77
2013-12-27,14.82,15.00,14.82,14.92,103300,14.92
2013-12-26,14.99,15.00,14.81,14.86,89000,14.86
2013-12-24,14.85,15.12,14.79,14.92,64600,14.92
2013-12-23,14.10,15.28,14.07,14.88,487300,14.88
2013-12-20,13.43,13.64,13.34,13.64,253700,13.64
2013-12-19,13.40,13.63,13.30,13.35,154100,13.35
2013-12-18,13.31,13.53,13.22,13.40,148700,13.40
2013-12-17,13.25,13.44,13.20,13.34,202900,13.34
