Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,7.86,7.93,7.52,7.81,394500,7.81
2014-06-12,7.56,7.84,7.33,7.80,538300,7.80
2014-06-11,7.28,7.55,6.92,7.55,785900,7.55
2014-06-10,7.27,7.80,7.02,7.29,1388500,7.29
2014-06-09,6.70,6.72,6.53,6.65,176600,6.65
2014-06-06,6.75,6.78,6.66,6.70,170500,6.70
2014-06-05,6.46,6.73,6.39,6.69,132600,6.69
2014-06-04,6.66,6.66,6.44,6.47,184500,6.47
2014-06-03,6.74,6.79,6.61,6.68,116200,6.68
2014-06-02,6.85,6.91,6.62,6.75,71400,6.75
2014-05-30,6.92,7.00,6.79,6.82,117200,6.82
2014-05-29,7.09,7.09,6.88,6.91,197000,6.91
2014-05-28,6.88,7.10,6.71,7.09,210600,7.09
2014-05-27,6.70,7.04,6.62,6.90,271500,6.90
2014-05-23,6.59,6.69,6.46,6.69,152200,6.69
2014-05-22,6.37,6.59,6.25,6.55,106000,6.55
2014-05-21,6.34,6.34,6.11,6.31,152400,6.31
2014-05-20,6.65,6.65,6.18,6.28,231500,6.28
2014-05-19,6.58,6.65,6.52,6.64,155500,6.64
2014-05-16,6.34,6.59,6.30,6.57,197300,6.57
2014-05-15,6.11,6.22,6.02,6.13,128800,6.13
2014-05-14,6.39,6.39,6.17,6.17,145900,6.17
2014-05-13,6.46,6.53,6.30,6.37,171900,6.37
2014-05-12,6.39,6.67,6.37,6.47,196100,6.47
2014-05-09,6.02,6.39,5.99,6.37,115600,6.37
2014-05-08,5.98,6.13,5.87,6.05,180800,6.05
2014-05-07,6.07,6.11,5.84,5.96,200100,5.96
2014-05-06,6.30,6.33,6.03,6.09,150500,6.09
2014-05-05,6.42,6.46,6.30,6.33,135700,6.33
2014-05-02,6.55,6.64,6.37,6.45,226300,6.45
2014-05-01,6.25,6.70,6.20,6.55,476800,6.55
2014-04-30,6.14,6.29,5.98,6.24,292300,6.24
2014-04-29,6.12,6.20,5.98,6.14,193900,6.14
2014-04-28,6.26,6.34,5.91,6.08,296200,6.08
2014-04-25,6.36,6.42,6.09,6.21,148000,6.21
2014-04-24,6.47,6.48,6.34,6.41,67900,6.41
2014-04-23,6.43,6.50,6.32,6.45,98700,6.45
2014-04-22,6.36,6.49,6.26,6.45,110400,6.45
2014-04-21,6.46,6.52,6.35,6.37,98600,6.37
2014-04-17,6.36,6.51,6.30,6.44,113900,6.44
2014-04-16,6.58,6.63,6.33,6.39,162900,6.39
2014-04-15,6.54,6.65,6.29,6.55,207900,6.55
2014-04-14,6.34,6.59,6.30,6.54,221700,6.54
2014-04-11,6.15,6.33,6.08,6.30,302200,6.30
2014-04-10,6.50,6.57,6.11,6.20,298800,6.20
2014-04-09,6.38,6.53,6.21,6.50,357200,6.50
2014-04-08,6.45,6.51,6.21,6.34,341000,6.34
2014-04-07,6.55,6.55,6.23,6.42,342300,6.42
2014-04-04,6.87,6.90,6.44,6.60,268700,6.60
2014-04-03,6.84,6.91,6.75,6.85,200600,6.85
2014-04-02,6.56,6.90,6.54,6.87,265800,6.87
2014-04-01,6.70,6.98,6.54,6.57,354900,6.57
2014-03-31,6.43,6.62,6.27,6.61,943000,6.61
