Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,67.90,68.43,67.27,67.73,164600,67.73
2014-06-12,68.86,68.86,67.60,67.85,186400,67.85
2014-06-11,69.80,70.06,68.47,68.88,159900,68.88
2014-06-10,70.92,71.58,70.21,70.47,153600,70.21
2014-06-09,70.24,72.12,70.24,71.37,146100,71.10
2014-06-06,70.31,71.32,69.80,70.44,164200,70.18
2014-06-05,68.26,70.37,67.57,69.89,155400,69.63
2014-06-04,67.12,68.39,66.53,68.27,127400,68.02
2014-06-03,66.79,67.60,66.07,67.37,203100,67.12
2014-06-02,68.35,68.55,66.50,67.43,163700,67.18
2014-05-30,69.00,69.00,67.56,68.17,100400,67.92
2014-05-29,69.95,69.99,68.47,68.99,131200,68.73
2014-05-28,69.31,69.88,68.82,69.62,147400,69.36
2014-05-27,68.75,69.44,68.54,69.34,187100,69.08
2014-05-23,67.51,68.84,67.24,68.70,149900,68.44
2014-05-22,66.95,67.78,66.56,67.37,121100,67.12
2014-05-21,65.93,67.42,65.90,67.00,135200,66.75
2014-05-20,67.28,67.79,65.16,65.80,198000,65.55
2014-05-19,66.43,68.20,66.24,67.67,176500,67.42
2014-05-16,65.53,66.69,64.69,66.64,115800,66.39
2014-05-15,66.34,66.34,64.71,65.61,139700,65.37
2014-05-14,67.23,67.23,65.91,66.77,155800,66.52
2014-05-13,68.46,68.92,67.40,67.46,173700,67.21
2014-05-12,67.10,68.92,67.10,68.56,160600,68.30
2014-05-09,65.29,67.03,65.08,66.88,142400,66.63
2014-05-08,66.33,67.50,64.95,65.66,209400,65.41
2014-05-07,66.28,66.81,64.90,66.38,198600,66.13
2014-05-06,67.92,67.92,66.04,66.29,161400,66.04
2014-05-05,67.96,68.53,66.65,68.36,123900,68.10
2014-05-02,67.73,69.24,67.73,68.66,165500,68.40
2014-05-01,68.74,69.33,67.42,67.75,254800,67.50
2014-04-30,65.30,69.57,61.75,69.02,641000,68.76
2014-04-29,69.88,70.18,69.16,69.56,159900,69.30
2014-04-28,70.13,70.56,67.89,69.35,113400,69.09
2014-04-25,70.81,71.00,69.78,69.95,180300,69.69
2014-04-24,71.50,71.68,70.05,70.97,142900,70.71
2014-04-23,71.36,72.09,70.77,71.19,127800,70.92
2014-04-22,70.65,72.21,70.65,71.32,118300,71.05
2014-04-21,70.32,70.89,69.74,70.37,91900,70.11
2014-04-17,69.35,70.65,68.95,70.42,204900,70.16
2014-04-16,67.65,69.39,67.65,69.36,154600,69.10
2014-04-15,67.67,68.15,65.91,67.00,292600,66.75
2014-04-14,70.00,70.00,66.86,67.58,237000,67.33
2014-04-11,69.52,70.41,68.80,69.08,287900,68.82
2014-04-10,71.78,72.00,68.36,68.57,154000,68.31
2014-04-09,71.79,73.17,71.56,71.99,211300,71.72
2014-04-08,70.30,71.61,69.66,71.53,115500,71.26
2014-04-07,71.06,71.25,69.60,70.31,201300,70.05
2014-04-04,74.59,74.59,70.86,71.25,146100,70.98
2014-04-03,74.25,74.72,73.31,73.85,186100,73.57
2014-04-02,75.16,75.35,73.55,74.14,263300,73.86
2014-04-01,73.99,76.14,73.70,74.96,293400,74.68
2014-03-31,73.17,74.61,72.64,74.23,178700,73.95
2014-03-28,72.99,73.63,72.11,72.75,163600,72.48
2014-03-27,74.10,74.10,72.57,72.99,128600,72.72
2014-03-26,76.59,76.59,73.90,74.00,121500,73.72
2014-03-25,76.56,76.73,75.12,75.96,114600,75.68
2014-03-24,77.15,77.15,74.78,76.16,90500,75.88
2014-03-21,77.95,79.07,76.61,76.90,226500,76.61
2014-03-20,77.13,77.73,76.72,77.60,100500,77.31
2014-03-19,77.99,78.75,76.73,77.20,118600,76.91
2014-03-18,76.61,78.54,76.57,78.00,129000,77.71
2014-03-17,76.26,77.31,76.03,76.45,103900,76.16
2014-03-14,75.06,76.29,75.06,76.03,94900,75.75
2014-03-13,77.27,77.56,75.25,75.47,144600,75.19
2014-03-12,75.94,76.94,75.20,76.86,192000,76.57
2014-03-11,77.97,78.17,76.49,77.00,134300,76.45
2014-03-10,77.93,78.42,77.23,78.08,109700,77.52
2014-03-07,78.35,78.96,77.65,78.02,112100,77.46
2014-03-06,77.55,77.96,77.05,77.70,95900,77.15
2014-03-05,77.54,78.05,77.01,77.57,128800,77.02
2014-03-04,75.54,78.17,75.40,77.80,223700,77.24
2014-03-03,74.01,74.80,73.32,74.41,135700,73.88
2014-02-28,74.46,75.31,74.33,74.78,185500,74.25
2014-02-27,73.13,74.34,73.11,74.32,144600,73.79
2014-02-26,74.36,74.78,73.37,73.64,156300,73.11
2014-02-25,74.02,74.21,73.55,74.08,274200,73.55
2014-02-24,73.61,74.96,73.41,73.95,210900,73.42
2014-02-21,74.21,74.58,73.31,73.60,337900,73.07
2014-02-20,73.26,74.18,73.00,73.86,227300,73.33
2014-02-19,73.16,74.39,73.00,73.15,207700,72.63
2014-02-18,72.79,73.97,72.00,73.80,152200,73.27
2014-02-14,72.90,73.49,71.85,72.76,145100,72.24
2014-02-13,70.80,73.04,70.64,73.02,215000,72.50
2014-02-12,68.86,72.03,68.12,71.76,426800,71.25
2014-02-11,67.00,68.51,66.45,67.81,213000,67.33
2014-02-10,67.23,67.23,65.58,66.72,174000,66.24
2014-02-07,67.46,67.80,66.68,67.37,167100,66.89
2014-02-06,66.83,67.70,66.35,67.25,194500,66.77
2014-02-05,66.80,67.16,65.14,66.71,204200,66.23
2014-02-04,67.62,68.27,66.93,67.16,307100,66.68
2014-02-03,72.92,73.27,66.39,67.14,374500,66.66
2014-01-31,72.56,73.74,72.56,73.10,172100,72.58
2014-01-30,73.69,74.85,73.22,74.21,135500,73.68
2014-01-29,71.81,73.91,71.76,73.11,223900,72.59
2014-01-28,72.83,73.16,71.72,72.54,324000,72.02
2014-01-27,74.31,74.80,72.60,72.62,322100,72.10
2014-01-24,77.50,77.50,74.11,74.31,263500,73.78
2014-01-23,79.37,79.61,77.24,78.19,197600,77.63
2014-01-22,79.61,80.07,79.01,79.92,96400,79.35
2014-01-21,80.07,80.07,78.92,79.40,100800,78.83
2014-01-17,78.85,79.56,78.63,79.31,95500,78.74
