Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,53.10,53.24,52.68,52.95,1210300,52.95
2014-06-12,53.09,53.25,52.62,52.92,1195600,52.92
2014-06-11,53.24,53.33,52.90,53.17,1033900,53.17
2014-06-10,53.71,53.90,53.12,53.35,897000,53.35
2014-06-09,53.96,54.04,53.61,53.76,1111200,53.76
2014-06-06,54.02,54.11,53.76,54.03,1322200,54.03
2014-06-05,54.27,54.29,53.66,53.80,1356800,53.80
2014-06-04,54.10,54.43,53.80,54.13,1036900,54.13
2014-06-03,53.91,54.49,53.80,54.31,1346900,54.31
2014-06-02,54.22,54.36,53.70,54.20,2017200,54.20
2014-05-30,54.90,54.90,53.99,54.05,1805800,54.05
2014-05-29,54.79,54.99,54.56,54.74,1772200,54.74
2014-05-28,54.26,54.91,53.84,54.53,2432300,54.53
2014-05-27,53.43,54.16,53.35,54.12,2146100,54.12
2014-05-23,52.39,53.24,52.33,53.12,1622600,53.12
2014-05-22,51.64,52.55,51.31,52.33,1528800,52.33
2014-05-21,51.36,51.80,51.26,51.63,1283400,51.63
2014-05-20,51.10,51.65,51.02,51.36,1616800,51.36
2014-05-19,50.66,51.59,50.61,51.26,1409700,51.26
2014-05-16,50.95,50.97,50.24,50.80,1574800,50.80
2014-05-15,50.48,50.91,49.87,50.67,2082300,50.67
2014-05-14,51.06,51.23,50.48,50.64,1474100,50.64
2014-05-13,51.74,52.58,51.09,51.19,1623900,51.19
2014-05-12,50.46,52.00,50.29,51.65,1825800,51.65
2014-05-09,49.53,50.29,49.36,50.19,2469200,50.19
2014-05-08,49.57,50.03,49.21,49.64,1929700,49.64
2014-05-07,50.19,50.49,48.87,49.49,2297800,49.49
2014-05-06,51.13,51.45,50.12,50.15,2062800,50.15
2014-05-05,50.97,51.64,50.52,51.41,1997900,51.41
2014-05-02,51.31,52.05,51.13,51.40,2607700,51.40
2014-05-01,51.03,51.55,50.71,51.19,2553700,51.19
2014-04-30,50.43,51.55,50.25,51.30,3296200,51.30
2014-04-29,49.57,50.73,49.53,50.04,3542600,50.04
2014-04-28,49.90,50.33,48.39,49.43,5293200,49.43
2014-04-25,51.67,51.90,49.17,49.51,6410500,49.51
2014-04-24,53.32,53.91,52.22,52.30,3391200,52.30
2014-04-23,53.61,53.88,52.88,52.89,2356300,52.89
2014-04-22,53.99,54.29,53.61,53.71,1792400,53.71
2014-04-21,54.16,54.29,53.83,54.11,1539200,54.11
2014-04-17,54.09,54.61,53.66,54.00,1241900,54.00
2014-04-16,54.43,54.76,53.39,53.98,1340500,53.98
