Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,49.74,50.11,49.67,49.88,21600,49.88
2014-06-12,49.96,50.06,49.56,49.76,39500,49.76
2014-06-11,49.95,49.95,49.50,49.58,24400,49.58
2014-06-10,49.81,50.03,49.73,50.01,54700,50.01
2014-06-09,50.16,50.24,49.84,50.10,40300,50.10
2014-06-06,50.00,50.00,49.64,49.73,41400,49.73
2014-06-05,49.44,49.60,49.26,49.50,53000,49.50
2014-06-04,49.14,49.16,48.77,48.85,35000,48.85
2014-06-03,49.18,49.53,49.15,49.43,44000,49.43
2014-06-02,49.83,50.00,49.71,49.85,50600,49.85
2014-05-30,50.66,50.89,50.51,50.70,53900,49.47
2014-05-29,50.33,50.33,50.04,50.18,19400,48.97
2014-05-28,50.22,50.47,50.09,50.21,48400,49.00
2014-05-27,49.75,49.96,49.41,49.77,44000,48.57
2014-05-23,49.76,50.06,49.56,50.04,64000,48.83
2014-05-22,50.87,50.88,50.60,50.82,25200,49.59
2014-05-21,51.08,51.11,50.78,50.88,32600,49.65
2014-05-20,50.52,50.82,50.46,50.54,38400,49.32
2014-05-19,51.20,51.43,50.78,51.15,90500,49.91
2014-05-16,51.94,52.45,51.76,52.38,77100,51.11
2014-05-15,51.04,51.15,50.79,51.04,65400,49.81
2014-05-14,52.55,52.59,51.93,52.02,83700,50.76
2014-05-13,52.54,52.61,51.02,52.45,45100,51.18
2014-05-12,52.51,52.91,52.49,52.84,72100,51.56
2014-05-09,53.24,53.60,52.49,52.65,31600,51.38
2014-05-08,53.83,54.00,53.60,53.73,89000,52.43
2014-05-07,51.37,51.76,51.31,51.76,34600,50.51
2014-05-06,51.05,51.51,51.01,51.34,44000,50.10
2014-05-05,51.18,51.18,50.81,51.08,36000,49.85
2014-05-02,51.03,51.21,50.79,51.07,78100,49.84
2014-05-01,51.20,51.24,50.07,50.55,109000,49.33
2014-04-30,49.82,51.24,49.71,51.22,107000,49.98
2014-04-29,49.34,49.71,49.30,49.54,118700,48.34
2014-04-28,47.24,47.42,47.06,47.29,57300,46.15
2014-04-25,45.17,45.53,45.09,45.44,35800,44.34
2014-04-24,46.29,46.46,45.92,46.18,82000,45.06
2014-04-23,44.83,44.87,44.59,44.70,32000,43.62
2014-04-22,45.03,45.17,44.85,45.05,30000,43.96
2014-04-21,46.04,46.04,45.68,45.81,25000,44.70
2014-04-17,46.05,46.32,45.83,46.08,31900,44.97
2014-04-16,44.85,45.14,44.82,45.08,30000,43.99
2014-04-15,44.94,45.03,44.30,44.82,48100,43.74
2014-04-14,45.62,45.64,45.37,45.42,25000,44.32
2014-04-11,45.39,45.66,45.35,45.53,56000,44.43
2014-04-10,46.41,46.75,46.09,46.17,45400,45.05
2014-04-09,45.66,46.24,45.46,45.90,91500,44.79
2014-04-08,45.66,46.15,45.59,45.74,72700,44.63
2014-04-07,45.17,45.51,44.98,45.33,69400,44.23
2014-04-04,45.44,45.93,45.14,45.33,76700,44.23
2014-04-03,45.23,45.48,44.82,45.43,56500,44.33
2014-04-02,45.20,45.43,44.95,45.36,65100,44.26
2014-04-01,46.15,46.44,45.97,46.44,93600,45.32
2014-03-31,46.42,46.56,46.02,46.07,46800,44.96
2014-03-28,45.18,46.60,45.18,46.54,133200,45.42
2014-03-27,44.77,45.37,44.77,45.19,64800,44.10
2014-03-26,44.26,44.99,44.24,44.46,95600,43.39
2014-03-25,43.42,44.01,43.36,43.77,58500,42.71
2014-03-24,43.10,43.36,43.09,43.16,53000,42.12
2014-03-21,42.10,42.76,42.07,42.15,103100,41.13
2014-03-20,41.04,41.52,40.72,41.45,92600,40.45
2014-03-19,41.06,41.06,40.25,40.35,65400,39.38
2014-03-18,41.17,41.49,41.12,41.27,53600,40.27
2014-03-17,41.20,41.31,40.91,41.01,30400,40.02
2014-03-14,40.88,41.25,40.83,40.94,69300,39.95
2014-03-13,41.22,41.37,40.41,40.54,123300,39.56
2014-03-12,41.83,42.04,41.58,41.90,47000,40.89
2014-03-11,42.31,42.44,41.58,41.81,44800,40.80
2014-03-10,42.23,42.23,41.66,41.97,96800,40.96
2014-03-07,43.63,43.63,42.88,42.89,66800,41.85
2014-03-06,43.78,44.27,43.78,43.95,47300,42.89
2014-03-05,43.40,43.68,43.36,43.65,38200,42.60
2014-03-04,43.66,43.69,43.33,43.69,56400,42.63
2014-03-03,43.18,43.57,42.94,43.57,65200,42.52
2014-02-28,43.72,43.72,43.10,43.25,73600,42.21
2014-02-27,44.00,44.22,43.72,44.07,63800,43.01
2014-02-26,43.61,43.82,43.46,43.67,42700,42.61
2014-02-25,44.03,44.11,43.40,43.42,109400,42.37
2014-02-24,44.61,44.94,44.52,44.78,46200,43.70
2014-02-21,45.23,45.52,45.10,45.39,30400,44.29
2014-02-20,45.27,45.35,44.90,45.12,91000,44.03
2014-02-19,46.02,46.71,45.73,46.71,135900,45.58
2014-02-18,46.74,47.00,45.91,46.09,43400,44.98
2014-02-14,46.49,46.73,46.35,46.63,43800,45.50
2014-02-13,46.59,47.00,46.47,46.88,28200,45.75
2014-02-12,47.40,47.60,46.90,47.00,29100,45.86
2014-02-11,46.56,47.02,46.56,46.98,60600,45.84
2014-02-10,46.22,46.25,45.64,45.92,45000,44.81
2014-02-07,45.80,46.12,45.64,45.95,61900,44.84
2014-02-06,45.51,46.34,45.51,46.18,61000,45.06
2014-02-05,45.11,45.32,44.75,44.96,75300,43.87
2014-02-04,45.02,45.90,45.02,45.90,75100,44.79
2014-02-03,45.44,45.76,44.66,44.89,189100,43.81
2014-01-31,46.00,46.12,45.63,45.66,73200,44.56
2014-01-30,46.53,46.54,46.01,46.06,42900,44.95
2014-01-29,46.17,46.42,45.84,45.99,55200,44.88
2014-01-28,45.77,46.13,45.75,45.86,40500,44.75
2014-01-27,46.01,46.40,45.71,45.78,41900,44.67
2014-01-24,47.00,47.00,46.32,46.45,42600,45.33
2014-01-23,47.10,47.20,46.54,46.79,67500,45.66
2014-01-22,47.83,48.17,47.53,47.98,56500,46.82
2014-01-21,46.78,46.83,46.28,46.50,36000,45.38
2014-01-17,47.21,47.28,46.91,46.94,38300,45.81
2014-01-16,47.75,47.75,47.19,47.31,47300,46.17
2014-01-15,48.05,48.13,47.79,47.81,59100,46.65
2014-01-14,47.89,48.21,47.53,48.00,42400,46.84
2014-01-13,47.55,47.80,47.33,47.41,29400,46.26
2014-01-10,47.74,48.08,47.59,47.99,35500,46.83
2014-01-09,47.40,47.40,46.83,47.02,45400,45.88
2014-01-08,47.81,47.98,47.57,47.61,100300,46.46
2014-01-07,47.98,47.98,47.58,47.66,34000,46.51
2014-01-06,48.46,48.46,47.86,47.86,31900,46.70
2014-01-03,48.68,48.71,48.20,48.55,50200,47.38
2014-01-02,50.06,50.06,49.13,49.16,49700,47.97
2013-12-31,50.50,50.61,48.96,50.57,55800,49.35
2013-12-30,50.66,50.77,50.07,50.19,82700,48.98
2013-12-27,50.24,50.58,50.17,50.57,74000,49.35
2013-12-26,49.90,50.11,49.59,49.90,46500,48.69
2013-12-24,49.98,50.14,49.73,49.83,121500,48.63
2013-12-23,49.03,49.43,48.66,49.01,235300,47.83
2013-12-20,49.43,49.54,48.84,48.94,117000,47.76
2013-12-19,49.81,49.85,49.51,49.70,33800,48.50
2013-12-18,50.14,50.58,49.57,50.27,49500,49.06
2013-12-17,50.10,50.29,49.73,49.75,83200,48.55
2013-12-16,50.42,50.59,50.28,50.35,30900,49.13
2013-12-13,49.98,50.01,49.62,49.94,46400,48.73
2013-12-12,50.15,50.36,49.68,49.99,57800,48.78
2013-12-11,51.27,51.27,50.01,50.01,228900,48.80
2013-12-10,51.79,52.01,51.55,51.97,37400,50.71
2013-12-09,52.28,52.44,52.14,52.37,35500,51.10
2013-12-06,52.57,52.87,52.21,52.76,36000,51.49
2013-12-05,52.37,52.59,52.09,52.17,23000,50.91
2013-12-04,52.49,52.70,52.07,52.59,46700,51.32
2013-12-03,53.29,53.29,52.60,52.81,98600,51.53
2013-12-02,53.89,53.95,53.20,53.35,76600,52.06
2013-11-29,53.87,54.11,53.75,53.88,14400,52.58
2013-11-27,53.06,53.43,52.83,53.31,37300,52.02
2013-11-26,52.48,52.85,52.46,52.79,22200,51.51
2013-11-25,52.91,52.91,52.22,52.34,28700,51.08
2013-11-22,53.04,53.46,52.99,53.32,52800,52.03
2013-11-21,53.06,53.25,52.86,53.11,75800,51.83
2013-11-20,53.67,53.83,53.50,53.67,53200,52.37
2013-11-19,53.77,53.81,53.46,53.56,57800,52.27
2013-11-18,53.06,53.89,53.06,53.70,49100,52.40
2013-11-15,51.67,52.71,51.55,52.38,140700,51.11
2013-11-14,50.01,50.55,49.80,50.50,33100,49.28
2013-11-13,49.82,50.59,49.80,50.59,53600,49.37
2013-11-12,50.90,51.00,50.40,50.83,42500,49.60
2013-11-11,51.09,51.21,50.88,51.09,26400,49.86
2013-11-08,50.38,50.77,50.11,50.69,63400,49.47
2013-11-07,51.15,51.45,50.59,50.61,51100,49.39
2013-11-06,51.67,51.75,51.21,51.26,40800,50.02
2013-11-05,52.15,52.15,51.27,51.59,108700,50.34
2013-11-04,52.30,53.05,51.93,52.97,242100,51.69
2013-11-01,52.14,52.42,51.61,51.93,55400,50.68
2013-10-31,52.34,52.52,51.67,51.68,62200,50.43
2013-10-30,52.51,52.69,52.02,52.26,31900,51.00
2013-10-29,52.21,52.63,51.84,52.06,27400,50.80
2013-10-28,52.52,52.76,51.91,52.24,77200,50.98
2013-10-25,52.35,52.52,51.92,52.27,38100,51.01
2013-10-24,52.36,52.49,51.92,52.35,38400,51.09
2013-10-23,52.60,52.64,52.28,52.48,70800,51.21
2013-10-22,54.46,54.97,54.29,54.56,70000,53.24
2013-10-21,53.41,53.47,52.97,53.16,27900,51.88
2013-10-18,53.67,53.91,53.35,53.57,50300,52.28
2013-10-17,52.26,52.87,52.22,52.87,29800,51.59
2013-10-16,51.91,52.16,51.80,51.99,27400,50.73
2013-10-15,51.77,52.21,51.72,51.75,37900,50.50
2013-10-14,51.09,51.72,50.98,51.50,17700,50.26
2013-10-11,50.95,51.54,50.79,51.54,36200,50.29
2013-10-10,51.80,52.47,51.75,52.47,34500,51.20
2013-10-09,51.35,51.67,51.13,51.42,37400,50.18
2013-10-08,51.99,52.02,51.24,51.26,36400,50.02
2013-10-07,51.87,52.36,51.70,52.00,19700,50.74
2013-10-04,52.44,52.71,52.09,52.61,32300,51.34
2013-10-03,52.73,52.75,51.97,52.53,130900,51.26
2013-10-02,49.54,49.98,49.40,49.96,19300,48.75
2013-10-01,49.47,50.30,49.47,50.30,49700,49.08
2013-09-30,49.55,49.67,49.20,49.43,47500,48.24
2013-09-27,50.62,50.77,50.16,50.40,42600,49.18
2013-09-26,50.95,51.01,50.53,50.91,32600,49.68
2013-09-25,51.45,51.45,51.06,51.28,44700,50.04
2013-09-24,51.45,51.47,50.95,50.97,69900,49.74
2013-09-23,51.78,52.22,51.60,52.11,48000,50.85
2013-09-20,53.81,54.26,52.90,52.97,39500,51.69
2013-09-19,53.70,53.97,53.30,53.96,52600,52.66
2013-09-18,52.52,53.84,52.30,53.73,92600,52.43
2013-09-17,53.42,53.66,53.00,53.52,48000,52.23
2013-09-16,53.74,53.82,53.38,53.43,58000,52.14
2013-09-13,51.74,52.17,51.51,52.15,44300,50.89
