Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,89.13,89.68,89.11,89.46,106100,89.46
2014-06-12,88.80,89.19,88.71,89.18,99200,89.18
2014-06-11,88.86,89.15,88.60,89.00,129600,89.00
2014-06-10,88.75,88.94,88.57,88.76,119400,88.76
2014-06-09,89.12,89.23,88.58,88.69,201000,88.69
2014-06-06,88.54,88.86,88.32,88.73,135500,88.73
2014-06-05,88.62,88.68,87.99,88.35,161800,88.35
2014-06-04,88.05,88.64,87.64,88.44,173800,88.44
2014-06-03,88.05,88.43,87.78,88.20,217700,88.20
2014-06-02,88.29,88.46,87.84,88.21,286200,88.21
2014-05-30,89.79,89.84,88.28,88.34,363400,88.34
2014-05-29,90.75,91.37,89.42,90.26,312900,90.26
2014-05-28,91.07,91.83,91.05,91.10,152400,91.10
2014-05-27,91.47,91.56,90.71,91.02,95300,91.02
2014-05-23,90.54,91.05,90.54,90.88,186500,90.88
2014-05-22,89.37,90.71,89.25,90.27,195700,90.27
2014-05-21,88.50,89.36,88.38,89.21,92900,89.21
2014-05-20,88.50,88.92,88.25,88.50,141200,88.50
2014-05-19,88.81,89.00,88.64,88.90,72000,88.90
2014-05-16,89.04,89.16,88.64,88.89,138700,88.89
2014-05-15,89.27,89.48,88.87,89.37,145700,89.37
2014-05-14,89.15,89.38,88.93,89.30,78400,89.30
2014-05-13,88.88,89.20,88.76,89.10,86300,89.10
2014-05-12,89.18,89.31,88.69,88.95,123300,88.95
2014-05-09,89.34,89.38,88.65,88.90,119700,88.90
2014-05-08,89.54,89.92,89.49,89.85,111800,89.85
2014-05-07,89.26,89.60,89.05,89.39,90800,89.39
2014-05-06,89.36,89.50,88.90,89.50,74300,89.50
2014-05-05,88.71,89.28,88.59,88.90,121700,88.90
2014-05-02,88.76,89.25,88.60,88.84,101700,88.84
2014-05-01,89.03,89.15,88.23,88.84,169900,88.84
2014-04-30,88.14,89.52,88.14,89.25,143000,89.25
2014-04-29,87.96,88.58,87.94,88.24,102000,88.24
2014-04-28,87.39,87.64,87.20,87.62,170800,87.62
2014-04-25,86.52,87.15,86.52,87.03,117900,87.03
2014-04-24,86.90,87.24,86.74,86.84,84300,86.84
2014-04-23,87.28,87.28,86.63,86.81,188500,86.81
2014-04-22,87.70,87.83,87.17,87.34,84300,87.34
2014-04-21,87.58,87.82,87.31,87.50,73800,87.50
2014-04-17,86.86,87.60,86.83,87.55,154300,87.55
2014-04-16,87.30,87.41,86.72,86.84,115300,86.84
2014-04-15,87.06,87.25,86.52,86.99,147100,86.99
2014-04-14,87.31,87.50,86.71,87.32,129900,87.32
2014-04-11,86.82,87.10,86.54,87.01,181500,87.01
2014-04-10,87.65,87.72,86.76,87.24,131900,87.24
2014-04-09,87.27,88.22,87.17,88.11,136400,88.11
2014-04-08,86.88,87.66,86.62,87.41,172200,87.41
2014-04-07,86.32,87.00,86.20,86.74,194400,86.74
2014-04-04,86.84,86.86,86.20,86.43,131600,86.43
2014-04-03,86.77,86.77,85.70,85.90,136500,85.90
2014-04-02,86.37,86.66,86.24,86.51,170400,86.51
2014-04-01,86.28,86.64,86.20,86.48,129900,86.48
2014-03-31,86.10,86.44,86.01,86.19,132300,86.19
2014-03-28,85.39,86.11,85.39,85.77,130200,85.77
2014-03-27,85.23,85.76,84.64,85.68,302500,85.68
2014-03-26,85.41,85.50,84.45,85.01,289500,85.01
2014-03-25,86.24,86.26,85.75,86.19,202900,85.31
2014-03-24,85.74,86.03,85.17,85.72,202900,84.85
2014-03-21,86.02,86.23,85.30,85.60,271500,84.73
2014-03-20,85.09,85.70,84.89,85.61,157700,84.74
2014-03-19,85.90,86.16,85.02,85.33,155900,84.46
2014-03-18,86.52,86.64,85.79,85.92,190900,85.04
2014-03-17,85.64,86.35,85.64,86.28,111100,85.40
2014-03-14,85.50,85.92,84.98,85.36,125600,84.49
2014-03-13,86.72,87.03,85.44,85.92,224000,85.04
2014-03-12,85.77,86.29,85.52,86.16,128400,85.28
2014-03-11,85.25,86.30,85.06,86.24,155800,85.36
2014-03-10,84.70,85.45,84.52,85.22,128300,84.35
2014-03-07,85.10,85.11,84.46,84.72,158500,83.86
2014-03-06,85.48,85.75,85.37,85.63,103100,84.76
2014-03-05,84.36,85.12,83.98,85.12,133800,84.25
2014-03-04,84.00,84.59,83.64,84.13,179900,83.27
2014-03-03,83.02,84.00,82.94,83.71,255100,82.86
2014-02-28,82.77,84.56,82.74,83.81,335600,82.96
2014-02-27,81.73,82.98,81.73,82.22,338600,81.38
2014-02-26,81.69,81.96,81.20,81.43,146500,80.60
2014-02-25,81.57,81.81,81.22,81.55,124000,80.72
2014-02-24,81.62,82.19,80.37,81.43,186200,80.60
2014-02-21,80.96,81.54,80.81,80.98,145900,80.16
2014-02-20,80.93,81.39,80.81,81.25,111500,80.42
2014-02-19,81.28,81.80,81.04,81.10,170600,80.27
2014-02-18,81.84,82.12,81.56,81.75,120600,80.92
2014-02-14,81.16,81.81,80.90,81.41,103300,80.58
2014-02-13,80.10,81.22,80.10,81.07,182100,80.24
2014-02-12,80.38,81.05,80.19,80.36,197700,79.54
2014-02-11,79.25,80.40,79.25,79.92,160700,79.11
2014-02-10,79.21,79.61,79.10,79.29,183200,78.48
2014-02-07,79.94,80.04,79.18,79.20,198300,78.39
2014-02-06,78.09,79.46,77.90,79.08,172800,78.27
2014-02-05,77.00,78.32,76.55,78.09,208800,77.29
2014-02-04,77.27,77.49,76.74,77.14,161800,76.35
2014-02-03,78.34,78.35,76.97,77.23,205800,76.44
2014-01-31,76.96,78.09,76.57,77.72,207100,76.93
2014-01-30,78.12,78.34,77.68,77.75,202400,76.96
2014-01-29,78.39,78.55,77.52,77.76,184300,76.97
2014-01-28,77.85,78.60,77.72,78.18,283100,77.38
2014-01-27,79.74,79.74,78.04,78.14,264100,77.34
2014-01-24,79.68,80.12,79.16,79.49,175100,78.68
2014-01-23,80.09,80.28,79.79,80.16,163900,79.34
2014-01-22,81.50,81.68,80.44,80.73,127800,79.91
2014-01-21,81.78,81.91,81.22,81.29,215900,80.46
2014-01-17,81.05,81.44,80.83,81.01,166900,80.18
2014-01-16,81.04,81.42,80.72,81.23,102100,80.40
2014-01-15,80.91,81.15,80.35,81.12,152900,80.29
2014-01-14,81.66,81.66,80.57,80.65,174300,79.83
2014-01-13,81.17,81.93,81.03,81.74,302900,80.91
2014-01-10,81.50,81.50,80.43,80.91,199600,80.09
2014-01-09,81.45,82.07,80.74,81.71,181700,80.88
2014-01-08,81.89,81.90,81.26,81.47,171800,80.64
