Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,44.61,44.92,44.00,44.04,72500,44.04
2014-06-12,44.51,44.60,43.98,44.38,165300,44.38
2014-06-11,44.82,45.14,44.60,44.65,121300,44.45
2014-06-10,45.35,45.82,44.76,44.95,103300,44.75
2014-06-09,45.65,45.70,45.13,45.44,118600,45.24
2014-06-06,45.47,45.85,45.35,45.46,124200,45.26
2014-06-05,44.28,45.41,44.00,45.20,146100,45.00
2014-06-04,44.33,44.56,44.01,44.21,178100,44.01
2014-06-03,44.20,44.70,44.01,44.38,246000,44.18
2014-06-02,44.90,44.90,44.26,44.40,177200,44.20
2014-05-30,45.15,45.32,44.81,44.90,182400,44.70
2014-05-29,44.56,45.41,44.42,45.04,142200,44.84
2014-05-28,44.30,44.90,44.26,44.61,410100,44.41
2014-05-27,44.55,44.90,44.37,44.56,428700,44.36
2014-05-23,45.66,45.66,44.23,44.35,481900,44.15
2014-05-22,45.86,46.27,45.05,45.39,260300,45.19
2014-05-21,47.28,47.28,45.30,45.61,774200,45.41
2014-05-20,49.35,49.35,46.95,47.09,492400,46.88
2014-05-19,49.64,50.47,49.21,49.45,117900,49.23
2014-05-16,49.17,49.65,48.94,49.61,128100,49.39
2014-05-15,48.97,49.55,47.98,49.28,212400,49.06
2014-05-14,49.64,49.64,48.77,49.17,155100,48.95
2014-05-13,49.70,49.98,48.67,49.65,333100,49.43
2014-05-12,48.19,49.93,47.36,49.62,256400,49.40
2014-05-09,46.66,48.17,46.48,48.09,237100,47.87
2014-05-08,46.67,47.48,46.65,46.88,182000,46.67
2014-05-07,46.49,46.73,45.95,46.63,172200,46.42
2014-05-06,46.75,46.90,46.33,46.35,142800,46.14
2014-05-05,46.82,47.20,46.36,46.75,136200,46.54
2014-05-02,46.66,47.44,46.21,47.19,203300,46.98
2014-05-01,46.26,46.62,45.72,46.56,215100,46.35
2014-04-30,46.07,46.44,45.74,46.33,189200,46.12
2014-04-29,46.36,46.66,45.90,46.11,204000,45.90
2014-04-28,45.54,46.55,44.78,46.34,299800,46.13
2014-04-25,44.56,45.82,44.56,45.37,263900,45.17
2014-04-24,47.50,48.00,44.60,44.90,590500,44.70
2014-04-23,46.91,47.06,46.26,46.69,163600,46.48
2014-04-22,47.00,47.64,46.89,46.97,295600,46.76
2014-04-21,47.94,48.00,46.89,47.15,225300,46.94
2014-04-17,48.20,48.88,47.15,47.65,474700,47.44
2014-04-16,46.00,49.07,46.00,48.21,652600,47.99
2014-04-15,42.26,45.54,41.26,45.25,753600,45.05
2014-04-14,43.11,43.44,41.71,42.23,117800,42.04
2014-04-11,42.77,43.33,42.40,42.68,119700,42.49
2014-04-10,44.22,44.48,42.70,43.17,238000,42.98
2014-04-09,43.51,44.31,43.12,44.07,309700,43.87
2014-04-08,42.32,43.49,42.32,43.26,162300,43.07
2014-04-07,42.27,42.62,41.99,42.32,165700,42.13
2014-04-04,43.73,43.73,42.09,42.43,154000,42.24
2014-04-03,44.00,44.06,43.33,43.40,80200,43.21
2014-04-02,43.63,44.07,43.34,43.88,136000,43.68
2014-04-01,43.60,44.04,43.13,43.46,102400,43.27
2014-03-31,42.59,43.62,42.49,43.45,169200,43.26
2014-03-28,42.90,43.35,42.20,42.49,113400,42.30
2014-03-27,42.90,43.33,42.49,42.96,89200,42.77
2014-03-26,43.74,43.74,42.90,42.97,150800,42.78
2014-03-25,43.94,44.57,43.39,43.42,123500,43.23
2014-03-24,44.76,45.12,43.68,43.84,124900,43.64
2014-03-21,45.45,45.56,44.74,44.75,273800,44.55
2014-03-20,45.41,45.63,44.89,45.13,133800,44.93
2014-03-19,46.00,46.07,45.30,45.57,82200,45.37
2014-03-18,45.06,45.95,44.86,45.95,257100,45.74
2014-03-17,44.95,45.40,44.82,44.95,232300,44.75
2014-03-14,45.28,45.94,44.81,44.83,216100,44.63
2014-03-13,46.46,47.58,45.27,45.29,233900,45.09
2014-03-12,46.08,46.38,45.42,45.50,126000,45.10
2014-03-11,47.00,47.40,46.25,46.33,138800,45.92
2014-03-10,46.49,46.95,46.49,46.80,99200,46.39
2014-03-07,47.00,47.00,46.39,46.68,117000,46.27
