Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,7.12,7.14,7.07,7.11,241200,7.11
2014-06-12,7.11,7.15,7.00,7.08,260800,7.08
2014-06-11,7.15,7.20,7.15,7.16,106700,7.16
2014-06-10,7.23,7.27,7.15,7.18,203300,7.18
2014-06-09,7.15,7.26,7.15,7.26,266500,7.26
2014-06-06,7.01,7.13,7.00,7.11,349500,7.11
2014-06-05,6.95,7.10,6.93,7.03,305400,7.03
2014-06-04,6.95,7.05,6.93,6.97,319600,6.97
2014-06-03,7.03,7.08,6.98,7.00,239900,6.94
2014-06-02,7.10,7.15,7.02,7.04,215600,6.98
2014-05-30,6.92,7.10,6.88,7.10,416600,7.04
2014-05-29,7.00,7.00,6.78,6.82,550600,6.77
2014-05-28,7.10,7.20,6.94,6.99,2029300,6.94
2014-05-27,7.26,7.33,7.11,7.14,274000,7.08
2014-05-23,7.14,7.22,7.10,7.21,164800,7.15
2014-05-22,7.12,7.14,7.07,7.08,179700,7.02
2014-05-21,7.07,7.14,7.07,7.12,117600,7.06
2014-05-20,7.11,7.13,7.05,7.12,260100,7.06
2014-05-19,7.07,7.13,7.07,7.09,213400,7.03
2014-05-16,7.03,7.12,7.03,7.11,179300,7.05
2014-05-15,7.10,7.15,7.03,7.03,210100,6.97
2014-05-14,7.19,7.21,7.10,7.11,290300,7.05
2014-05-13,7.19,7.25,7.12,7.22,318900,7.16
2014-05-12,7.28,7.34,7.15,7.18,431000,7.12
2014-05-09,7.21,7.31,7.21,7.27,411500,7.21
2014-05-08,7.26,7.32,7.01,7.24,763600,7.18
2014-05-07,7.88,7.91,6.84,7.26,2318700,7.20
2014-05-06,8.13,8.15,8.04,8.08,253300,8.02
2014-05-05,8.23,8.23,8.14,8.16,111900,8.10
2014-05-02,8.14,8.24,8.11,8.24,375700,8.18
2014-05-01,8.14,8.18,8.07,8.16,144000,8.10
2014-04-30,8.15,8.18,8.09,8.12,72700,8.06
2014-04-29,8.14,8.20,8.09,8.19,226000,8.13
2014-04-28,8.24,8.24,8.13,8.14,202400,8.08
2014-04-25,8.18,8.24,8.16,8.22,210600,8.16
2014-04-24,8.17,8.24,8.15,8.21,300400,8.15
2014-04-23,8.07,8.14,8.06,8.12,449700,8.06
2014-04-22,8.09,8.11,8.05,8.07,234300,8.01
2014-04-21,8.12,8.12,8.05,8.06,92000,8.00
2014-04-17,8.09,8.12,8.00,8.12,106000,8.06
2014-04-16,8.08,8.12,8.04,8.07,193100,8.01
2014-04-15,8.09,8.12,8.02,8.05,248500,7.99
2014-04-14,8.07,8.13,8.04,8.06,212300,8.00
2014-04-11,8.14,8.17,8.02,8.03,221000,7.97
2014-04-10,8.31,8.34,8.17,8.21,230500,8.15
2014-04-09,8.28,8.33,8.21,8.30,159400,8.23
2014-04-08,8.42,8.47,8.26,8.28,203000,8.21
2014-04-07,8.34,8.57,8.31,8.42,610300,8.35
2014-04-04,8.20,8.47,8.20,8.38,433600,8.31
2014-04-03,8.14,8.16,8.08,8.15,311500,8.09
2014-04-02,8.15,8.15,8.02,8.12,408300,8.06
2014-04-01,8.50,8.55,8.12,8.12,610000,8.06
2014-03-31,8.49,8.54,8.44,8.47,457700,8.40
2014-03-28,8.19,8.55,8.17,8.46,938700,8.39
2014-03-27,8.01,8.25,8.00,8.17,1835200,8.11
2014-03-26,8.20,8.21,7.99,8.03,562100,7.97
2014-03-25,8.00,8.19,7.95,8.17,684200,8.11
2014-03-24,8.01,8.07,7.96,7.97,1677900,7.91
2014-03-21,8.09,8.11,7.99,8.02,473700,7.96
2014-03-20,8.08,8.12,8.04,8.05,495400,7.99
2014-03-19,8.15,8.16,8.06,8.09,438700,8.03
2014-03-18,8.03,8.15,7.98,8.15,252000,8.09
2014-03-17,7.90,8.09,7.90,8.05,219300,7.99
2014-03-14,7.97,8.05,7.95,8.02,450800,7.96
2014-03-13,7.98,8.05,7.96,7.98,642700,7.92
2014-03-12,7.97,8.08,7.96,7.98,794700,7.92
2014-03-11,8.06,8.12,7.98,8.03,793600,7.97
2014-03-10,8.05,8.10,8.02,8.09,360500,8.03
2014-03-07,8.03,8.13,8.00,8.06,649000,8.00
2014-03-06,8.02,8.15,7.91,8.12,1218200,8.00
2014-03-05,8.12,8.21,8.11,8.16,276000,8.04
2014-03-04,8.19,8.19,8.08,8.11,604400,7.99
2014-03-03,8.07,8.15,8.03,8.12,656600,8.00
2014-02-28,8.14,8.19,8.08,8.14,1167900,8.02
2014-02-27,8.15,8.18,8.08,8.12,971000,8.00
2014-02-26,8.21,8.22,8.16,8.17,349500,8.05
2014-02-25,8.28,8.33,8.19,8.22,202300,8.10
2014-02-24,8.32,8.38,8.31,8.31,147000,8.19
2014-02-21,8.41,8.46,8.28,8.28,307600,8.16
2014-02-20,8.10,8.41,8.08,8.39,301300,8.27
2014-02-19,8.05,8.15,8.00,8.12,426200,8.00
2014-02-18,8.05,8.10,8.02,8.06,692000,7.94
2014-02-14,8.00,8.07,7.94,8.03,367800,7.91
2014-02-13,7.91,8.04,7.89,8.00,1096000,7.88
2014-02-12,7.92,8.42,7.87,8.04,2789400,7.92
2014-02-11,8.04,8.10,7.94,7.96,1625800,7.84
2014-02-10,8.00,8.04,7.93,7.99,918000,7.87
2014-02-07,7.94,8.01,7.92,8.00,306800,7.88
2014-02-06,8.00,8.09,7.93,7.95,944500,7.83
2014-02-05,7.97,8.55,7.90,7.97,2980800,7.85
2014-02-04,7.82,7.97,7.71,7.96,265800,7.84
2014-02-03,7.91,7.95,7.63,7.77,429100,7.66
2014-01-31,7.83,7.86,7.68,7.86,363000,7.75
2014-01-30,7.90,7.96,7.82,7.85,148700,7.74
2014-01-29,7.94,8.03,7.91,7.92,391300,7.80
2014-01-28,7.93,8.05,7.86,8.00,210900,7.88
2014-01-27,7.71,7.96,7.60,7.90,492200,7.78
2014-01-24,7.91,7.93,7.72,7.73,244600,7.62
2014-01-23,8.00,8.02,7.89,7.91,160800,7.79
2014-01-22,8.00,8.06,7.93,8.01,125700,7.89
2014-01-21,7.98,8.03,7.95,8.01,162900,7.89
2014-01-17,8.02,8.03,7.89,7.95,214700,7.83
2014-01-16,8.12,8.12,8.03,8.05,80300,7.93
2014-01-15,8.01,8.20,7.92,8.11,257000,7.99
2014-01-14,8.11,8.12,7.92,7.97,233700,7.85
2014-01-13,8.10,8.18,8.07,8.11,133800,7.99
2014-01-10,8.04,8.17,8.03,8.16,184900,8.04
2014-01-09,8.09,8.09,7.96,8.07,208900,7.95
2014-01-08,8.05,8.15,8.05,8.09,219900,7.97
2014-01-07,7.90,8.12,7.88,8.08,255100,7.96
2014-01-06,7.95,7.97,7.87,7.90,125700,7.78
2014-01-03,7.97,8.01,7.87,7.95,179300,7.83
2014-01-02,8.02,8.04,7.91,7.93,154700,7.81
2013-12-31,8.09,8.17,8.05,8.06,156200,7.94
2013-12-30,8.13,8.13,8.06,8.10,230500,7.98
2013-12-27,8.04,8.09,8.00,8.06,70000,7.94
2013-12-26,8.12,8.14,8.00,8.04,122200,7.92
2013-12-24,7.96,8.11,7.96,8.08,231700,7.96
2013-12-23,8.02,8.14,7.90,7.99,232900,7.87
2013-12-20,7.97,8.03,7.89,8.01,255900,7.89
2013-12-19,7.93,8.00,7.81,7.95,195900,7.83
2013-12-18,7.91,8.01,7.88,7.94,277600,7.82
2013-12-17,8.06,8.08,7.90,7.91,206100,7.79
2013-12-16,8.25,8.25,8.07,8.08,240400,7.96
2013-12-13,8.09,8.22,8.09,8.18,216800,8.06
2013-12-12,8.30,8.32,8.10,8.13,857300,8.01
2013-12-11,8.34,8.48,8.28,8.33,324500,8.21
2013-12-10,8.57,8.71,8.47,8.49,165200,8.37
2013-12-09,8.58,8.63,8.55,8.56,204900,8.44
2013-12-06,8.53,8.61,8.50,8.53,204700,8.41
2013-12-05,8.51,8.68,8.46,8.46,220800,8.34
2013-12-04,8.41,8.58,8.39,8.50,522900,8.38
2013-12-03,8.39,8.45,8.34,8.40,951500,8.28
2013-12-02,8.40,8.50,8.35,8.37,709700,8.25
2013-11-29,8.49,8.54,8.37,8.37,120000,8.25
2013-11-27,8.39,8.52,8.32,8.49,105700,8.37
2013-11-26,8.52,8.62,8.44,8.46,224300,8.28
2013-11-25,8.59,8.74,8.55,8.56,306600,8.38
2013-11-22,8.51,8.60,8.50,8.57,154100,8.39
2013-11-21,8.61,8.61,8.47,8.52,233800,8.34
2013-11-20,8.58,8.66,8.55,8.61,381200,8.43
2013-11-19,8.52,8.56,8.42,8.55,405900,8.37
2013-11-18,8.31,8.55,8.31,8.50,249600,8.32
2013-11-15,8.30,8.32,8.23,8.28,168800,8.10
2013-11-14,8.29,8.38,8.28,8.33,109800,8.15
2013-11-13,8.28,8.31,8.23,8.30,312700,8.12
2013-11-12,8.22,8.32,8.21,8.30,195800,8.12
2013-11-11,8.18,8.25,8.18,8.21,133200,8.04
2013-11-08,8.24,8.24,8.15,8.21,138200,8.04
