Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,17.95,18.53,17.91,18.25,375100,18.25
2014-06-12,18.14,18.23,17.90,17.98,259400,17.98
2014-06-11,18.21,18.35,18.06,18.18,445200,18.18
2014-06-10,18.07,18.33,17.89,18.15,491600,18.15
2014-06-09,17.14,18.15,17.11,18.02,793300,18.02
2014-06-06,16.96,17.31,16.81,17.17,409000,17.17
2014-06-05,16.24,16.40,16.22,16.38,198300,16.38
2014-06-04,16.11,16.17,16.01,16.12,310600,16.12
2014-06-03,15.98,16.16,15.97,16.09,402000,16.09
2014-06-02,16.00,16.45,15.94,16.01,563900,16.01
2014-05-30,16.28,16.49,15.92,16.07,853000,16.07
2014-05-29,16.12,16.37,16.12,16.33,400000,16.33
2014-05-28,15.76,16.19,15.66,16.12,368300,16.12
2014-05-27,16.39,16.42,15.78,15.79,361500,15.79
2014-05-23,16.33,16.43,16.05,16.12,229100,16.12
2014-05-22,16.30,16.46,16.13,16.43,384800,16.43
2014-05-21,16.08,16.27,15.91,16.05,326700,16.05
2014-05-20,16.23,16.39,16.09,16.11,215100,16.11
2014-05-19,16.65,16.65,16.25,16.28,297000,16.28
2014-05-16,16.87,16.94,16.68,16.79,364700,16.79
2014-05-15,16.92,16.98,16.42,16.57,280600,16.57
2014-05-14,17.05,17.47,17.04,17.11,327700,17.11
2014-05-13,17.13,17.34,16.91,16.98,266600,16.98
2014-05-12,16.81,17.15,16.81,17.07,332000,17.07
2014-05-09,17.17,17.28,16.75,16.82,389200,16.82
2014-05-08,17.56,17.64,17.21,17.26,367100,17.26
2014-05-07,17.32,17.72,17.28,17.61,520800,17.61
2014-05-06,17.18,17.62,17.17,17.48,401800,17.48
2014-05-05,17.10,17.29,16.84,16.94,312500,16.94
2014-05-02,16.78,17.27,16.70,17.19,531700,17.19
2014-05-01,16.73,16.90,16.50,16.77,160700,16.77
2014-04-30,16.60,16.82,16.57,16.76,523500,16.76
2014-04-29,17.67,17.83,17.17,17.18,628300,16.66
2014-04-28,17.19,17.44,17.05,17.32,447100,16.79
2014-04-25,17.52,17.52,17.17,17.23,427200,16.71
2014-04-24,17.59,17.66,17.40,17.59,354200,17.05
2014-04-23,17.54,17.55,17.23,17.45,423900,16.92
2014-04-22,17.61,17.86,17.49,17.55,292400,17.02
2014-04-21,17.45,17.79,17.37,17.57,297500,17.04
2014-04-17,17.37,17.53,17.21,17.36,476900,16.83
2014-04-16,17.02,17.80,17.02,17.38,516500,16.85
2014-04-15,17.29,17.66,16.84,17.62,1047000,17.08
2014-04-14,17.08,17.51,16.95,17.28,490700,16.75
2014-04-11,16.83,17.11,16.75,16.98,539500,16.46
2014-04-10,16.62,17.00,16.56,16.81,399600,16.30
