Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,61.55,62.55,60.96,61.60,129400,61.60
2014-06-12,64.35,64.35,60.84,61.44,216900,61.44
2014-06-11,65.75,66.27,65.47,65.70,75400,65.70
2014-06-10,66.11,66.50,64.52,65.84,85800,65.84
2014-06-09,65.35,66.70,64.80,66.07,98100,66.07
2014-06-06,66.82,67.42,65.06,65.33,127300,65.33
2014-06-05,64.15,66.87,63.92,66.65,119000,66.65
2014-06-04,63.23,64.63,62.79,64.06,88500,64.06
2014-06-03,63.69,64.11,63.05,63.53,124900,63.53
2014-06-02,63.58,64.16,61.98,63.76,78000,63.76
2014-05-30,64.87,64.87,63.38,63.58,77100,63.58
2014-05-29,65.44,65.56,64.37,64.68,92700,64.68
2014-05-28,65.91,66.06,65.01,65.09,68500,65.09
2014-05-27,66.11,66.39,65.31,65.86,123200,65.86
2014-05-23,64.84,66.18,64.78,65.68,102600,65.68
2014-05-22,63.29,65.23,62.81,64.75,99400,64.75
2014-05-21,62.71,63.55,62.30,62.93,85600,62.93
2014-05-20,62.80,62.80,61.50,62.11,189300,62.11
2014-05-19,62.19,63.33,62.19,62.60,149100,62.60
2014-05-16,62.07,62.81,61.50,62.79,76900,62.79
2014-05-15,61.47,62.14,60.25,61.99,130000,61.99
2014-05-14,62.90,62.90,61.52,61.60,80900,61.60
2014-05-13,65.12,65.25,62.82,62.98,122400,62.98
2014-05-12,63.48,66.25,63.44,65.86,110500,65.29
2014-05-09,61.40,62.97,61.40,62.89,111800,62.35
2014-05-08,61.84,63.15,61.37,61.53,69400,61.00
2014-05-07,61.91,62.20,60.18,62.03,146200,61.49
2014-05-06,62.79,63.33,61.35,61.65,168400,61.12
2014-05-05,61.01,63.42,60.12,62.89,220700,62.35
2014-05-02,63.49,63.49,59.70,61.30,285300,60.77
2014-05-01,63.24,64.29,61.51,64.29,187000,63.73
2014-04-30,61.24,64.36,60.43,63.13,186100,62.58
2014-04-29,60.92,61.92,59.91,61.24,122400,60.71
2014-04-28,60.59,62.11,59.21,60.70,115800,60.17
2014-04-25,60.55,60.55,59.91,60.18,185300,59.66
2014-04-24,62.70,62.73,60.12,60.67,120800,60.14
2014-04-23,62.75,63.15,61.78,62.35,115000,61.81
2014-04-22,62.41,63.43,62.13,62.88,81400,62.34
2014-04-21,62.36,63.70,61.63,62.40,96900,61.86
2014-04-17,62.09,62.75,61.29,62.10,82000,61.56
2014-04-16,62.74,63.50,61.26,62.06,59200,61.52
2014-04-15,62.11,63.36,60.25,62.04,121600,61.50
2014-04-14,62.72,64.09,61.78,62.52,136200,61.98
2014-04-11,61.14,62.32,60.70,61.95,179500,61.41
2014-04-10,62.88,63.44,61.03,61.76,121600,61.23
2014-04-09,61.81,63.13,61.77,63.00,63200,62.45
2014-04-08,60.54,61.99,59.86,61.57,174900,61.04
2014-04-07,62.00,63.56,60.38,60.50,114400,59.98
2014-04-04,65.13,65.14,62.08,62.23,175500,61.69
2014-04-03,64.40,65.23,63.88,64.53,87200,63.97
2014-04-02,65.18,65.18,63.95,64.50,76800,63.94
