Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,27.59,27.97,27.17,27.95,701700,27.95
2014-06-12,27.02,27.93,26.88,27.47,867700,27.47
2014-06-11,26.59,27.04,26.33,26.77,736800,26.77
2014-06-10,26.91,27.08,26.28,26.64,735400,26.64
2014-06-09,26.68,27.46,26.46,26.91,953400,26.91
2014-06-06,26.71,27.00,26.37,26.64,875600,26.64
2014-06-05,25.90,26.69,25.75,26.57,1404800,26.57
2014-06-04,25.66,26.20,25.39,25.94,998500,25.94
2014-06-03,25.77,25.87,25.35,25.82,1863000,25.69
2014-06-02,27.35,27.84,25.66,25.76,1977700,25.64
2014-05-30,27.81,27.91,27.13,27.19,1600000,27.06
2014-05-29,26.49,28.28,26.49,27.96,2384800,27.82
2014-05-28,25.63,26.56,25.61,26.41,1513900,26.28
2014-05-27,24.75,25.75,24.72,25.69,1028300,25.57
2014-05-23,25.16,25.38,24.64,24.66,1147800,24.54
2014-05-22,26.48,26.48,25.20,25.21,1520500,25.09
2014-05-21,26.45,26.86,26.34,26.40,1167000,26.27
2014-05-20,26.22,26.35,25.81,26.31,1329400,26.18
2014-05-19,26.00,26.71,25.83,26.34,1566400,26.21
2014-05-16,25.83,25.87,25.27,25.86,1326100,25.73
2014-05-15,25.69,26.11,25.00,25.90,1058800,25.77
2014-05-14,26.09,26.38,25.67,25.76,1030200,25.64
2014-05-13,25.98,26.42,25.51,26.13,1304500,26.00
2014-05-12,25.34,25.79,25.01,25.47,899900,25.35
2014-05-09,25.06,25.67,24.96,25.17,1272600,25.05
2014-05-08,26.58,26.81,25.51,25.58,1334200,25.46
2014-05-07,27.05,27.48,26.33,26.73,1232500,26.60
2014-05-06,26.24,26.97,25.81,26.78,3259200,26.65
2014-05-05,26.30,27.09,25.86,25.99,2848900,25.86
2014-05-02,26.64,26.98,26.46,26.51,1309400,26.38
2014-05-01,27.88,28.47,26.50,26.62,1467300,26.49
2014-04-30,27.27,27.90,26.62,27.80,1602900,27.67
