Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,6.95,7.07,6.92,6.92,1800,6.92
2014-06-12,6.68,7.17,6.68,6.80,10200,6.80
2014-06-11,6.76,7.14,6.59,7.10,19300,7.10
2014-06-10,6.78,6.98,6.72,6.79,15900,6.79
2014-06-09,6.52,6.89,6.52,6.73,10300,6.73
2014-06-06,6.55,6.67,6.50,6.58,20000,6.58
2014-06-05,6.59,6.65,6.52,6.55,4200,6.55
2014-06-04,6.79,6.79,6.55,6.57,1300,6.57
2014-06-03,6.79,6.93,6.77,6.77,2900,6.77
2014-06-02,6.58,6.71,6.58,6.65,2700,6.65
2014-05-30,6.69,6.83,6.63,6.63,600,6.63
2014-05-29,6.99,7.02,6.65,6.76,6600,6.76
2014-05-28,6.71,6.81,6.62,6.69,14500,6.69
2014-05-27,7.20,7.30,6.81,6.81,18400,6.70
2014-05-23,6.76,7.11,6.75,6.79,26900,6.68
2014-05-22,6.61,6.70,6.61,6.70,10900,6.59
2014-05-21,6.90,6.91,6.71,6.72,4700,6.61
2014-05-20,6.88,6.97,6.70,6.75,9900,6.64
2014-05-19,7.14,7.14,6.80,6.81,25000,6.70
2014-05-16,7.13,7.26,7.11,7.22,6700,7.10
2014-05-15,7.22,7.24,7.22,7.22,1400,7.10
2014-05-14,7.31,7.33,7.01,7.22,40600,7.10
2014-05-13,7.49,7.63,7.35,7.41,6300,7.29
2014-05-12,7.43,7.43,7.30,7.38,8600,7.26
2014-05-09,7.26,7.55,7.26,7.54,12100,7.42
2014-05-08,7.35,7.65,7.27,7.47,15400,7.35
2014-05-07,7.40,7.45,7.33,7.33,1900,7.21
2014-05-06,7.45,7.46,7.45,7.45,2300,7.33
2014-05-05,7.35,7.37,7.32,7.37,700,7.25
2014-05-02,7.33,7.33,7.33,7.33,000,7.21
2014-05-01,7.54,7.60,7.27,7.33,10100,7.21
2014-04-30,7.54,7.62,7.44,7.58,9300,7.46
2014-04-29,7.51,7.75,7.47,7.74,4500,7.61
2014-04-28,7.64,7.64,7.47,7.62,2000,7.50
2014-04-25,7.62,7.62,7.51,7.57,1800,7.45
2014-04-24,7.74,7.78,7.47,7.78,2300,7.65
2014-04-23,7.79,7.79,7.79,7.79,400,7.66
2014-04-22,7.46,7.77,7.46,7.65,8700,7.53
2014-04-21,7.63,7.83,7.46,7.57,7900,7.45
2014-04-17,7.80,7.80,7.46,7.48,4500,7.36
2014-04-16,7.57,7.81,7.57,7.69,3000,7.57
2014-04-15,7.62,7.68,7.46,7.61,5400,7.49
2014-04-14,7.47,7.79,7.46,7.53,5000,7.41
2014-04-11,7.63,7.89,7.50,7.53,3300,7.41
2014-04-10,7.65,7.65,7.44,7.46,2400,7.34
2014-04-09,7.49,7.81,7.49,7.72,10600,7.60
2014-04-08,7.59,7.59,7.41,7.43,3600,7.31
2014-04-07,7.34,7.65,7.26,7.65,13900,7.53
2014-04-04,7.41,7.43,7.41,7.43,1200,7.31
2014-04-03,7.23,7.48,7.21,7.30,29800,7.18
2014-04-02,7.80,7.81,7.27,7.27,27500,7.15
2014-04-01,7.75,7.81,7.66,7.72,9800,7.60
2014-03-31,7.98,7.98,7.71,7.71,4100,7.59
2014-03-28,7.78,7.99,7.71,7.97,900,7.84
2014-03-27,7.65,8.01,7.61,7.75,12200,7.62
2014-03-26,7.90,8.09,7.83,7.84,3500,7.71
2014-03-25,7.94,8.16,7.81,7.86,31400,7.73
2014-03-24,7.85,8.01,7.62,7.85,31900,7.72
2014-03-21,8.11,8.17,7.85,7.90,9200,7.77
2014-03-20,7.85,8.14,7.85,8.02,9500,7.89
2014-03-19,8.00,8.22,7.94,8.12,4200,7.99
2014-03-18,7.90,8.15,7.87,8.03,7800,7.90
2014-03-17,7.67,8.26,7.62,8.11,33400,7.98
2014-03-14,7.84,7.86,7.74,7.80,2800,7.67
2014-03-13,7.72,8.24,7.59,7.75,23300,7.62
2014-03-12,7.61,8.68,7.61,7.85,45100,7.72
2014-03-11,8.00,8.05,7.59,7.65,80100,7.53
2014-03-10,8.45,8.45,8.09,8.09,24800,7.96
2014-03-07,8.52,8.62,8.30,8.53,8100,8.39
2014-03-06,8.20,8.79,8.20,8.44,7500,8.30
2014-03-05,8.20,8.34,8.20,8.24,3800,8.11
2014-03-04,8.12,8.35,8.12,8.27,4000,8.14
2014-03-03,8.41,8.50,8.13,8.13,1800,8.00
2014-02-28,8.42,8.64,8.07,8.28,7800,8.15
2014-02-27,8.23,8.60,8.18,8.36,7200,8.22
2014-02-26,8.59,8.59,8.10,8.10,7600,7.97
2014-02-25,8.24,8.53,8.06,8.53,10100,8.39
2014-02-24,7.75,8.60,7.75,8.35,63000,8.11
2014-02-21,7.76,7.81,7.61,7.75,11000,7.52
2014-02-20,7.70,7.81,7.60,7.60,9100,7.38
2014-02-19,7.70,7.77,7.53,7.59,6400,7.37
2014-02-18,7.60,7.74,7.29,7.67,26300,7.45
2014-02-14,7.80,7.80,7.48,7.59,23000,7.37
2014-02-13,7.66,7.90,7.66,7.85,16300,7.62
2014-02-12,8.23,8.23,7.91,7.91,22300,7.68
2014-02-11,8.07,8.20,8.01,8.14,4100,7.90
2014-02-10,8.21,8.21,8.13,8.13,22500,7.89
2014-02-07,7.98,8.12,7.98,8.07,2400,7.84
2014-02-06,8.03,8.15,7.99,8.12,3300,7.88
2014-02-05,8.00,8.00,7.90,7.98,6900,7.75
2014-02-04,7.79,8.00,7.76,8.00,14600,7.77
2014-02-03,7.98,8.22,7.82,7.89,7800,7.66
2014-01-31,7.89,8.15,7.79,7.91,7800,7.68
2014-01-30,7.79,7.99,7.79,7.99,4800,7.76
