Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,23.40,23.46,23.21,23.38,166900,23.38
2014-06-12,23.11,23.30,23.08,23.30,157200,23.30
2014-06-11,23.00,23.18,22.86,23.13,133700,23.13
2014-06-10,23.18,23.21,22.97,23.01,100700,23.01
2014-06-09,23.18,23.22,23.06,23.18,110100,23.18
2014-06-06,23.21,23.30,23.10,23.14,141200,23.14
2014-06-05,22.88,23.20,22.76,23.15,139400,23.15
2014-06-04,23.17,23.19,22.67,22.94,304500,22.94
2014-06-03,23.25,23.25,23.08,23.13,162300,23.13
2014-06-02,23.26,23.30,23.21,23.21,153500,23.21
2014-05-30,23.27,23.32,23.15,23.27,160800,23.27
2014-05-29,23.29,23.31,23.23,23.28,145300,23.28
2014-05-28,23.39,23.40,23.24,23.27,165700,23.27
2014-05-27,23.60,23.70,23.49,23.68,208000,23.30
2014-05-23,23.57,23.68,23.38,23.60,182500,23.22
2014-05-22,23.75,23.80,23.55,23.57,695700,23.19
2014-05-21,23.73,23.83,23.63,23.71,177500,23.33
2014-05-20,23.59,23.75,23.56,23.75,118300,23.37
2014-05-19,23.53,23.58,23.50,23.58,123400,23.20
2014-05-16,23.39,23.54,23.33,23.52,125600,23.14
2014-05-15,23.46,23.60,23.30,23.33,478500,22.95
2014-05-14,23.44,23.48,23.32,23.48,176600,23.10
2014-05-13,23.25,23.47,23.23,23.44,166200,23.06
2014-05-12,23.27,23.30,23.20,23.24,90500,22.86
2014-05-09,22.29,23.23,22.26,23.23,139600,22.85
2014-05-08,23.21,23.34,23.14,23.17,158600,22.80
2014-05-07,23.13,23.23,23.09,23.18,153100,22.81
2014-05-06,23.15,23.15,23.07,23.13,109800,22.76
2014-05-05,23.16,23.32,23.07,23.10,209600,22.73
2014-05-02,23.13,23.22,23.08,23.17,244900,22.80
2014-05-01,23.07,23.17,23.01,23.12,183800,22.75
2014-04-30,22.81,23.03,22.81,22.96,244800,22.59
2014-04-29,22.68,22.86,22.63,22.81,184300,22.44
2014-04-28,22.39,22.60,22.35,22.58,203900,22.21
2014-04-25,22.38,22.38,22.31,22.34,111500,21.98
2014-04-24,22.39,22.40,22.29,22.34,113600,21.98
2014-04-23,22.33,22.40,22.31,22.37,129600,22.01
2014-04-22,22.24,22.35,22.20,22.33,147500,21.97
2014-04-21,22.23,22.30,22.15,22.19,112700,21.83
2014-04-17,22.35,22.35,22.09,22.23,128300,21.87
2014-04-16,22.36,22.41,22.28,22.28,104100,21.92
2014-04-15,22.26,22.32,22.26,22.30,101400,21.94
2014-04-14,22.25,22.37,22.22,22.26,156400,21.90
2014-04-11,22.10,22.23,22.10,22.20,74300,21.84
2014-04-10,22.28,22.29,22.19,22.22,91500,21.86
2014-04-09,22.22,22.23,22.12,22.22,133700,21.86
2014-04-08,22.13,22.18,22.10,22.15,133000,21.79
2014-04-07,22.16,22.20,22.08,22.12,197800,21.76
2014-04-04,22.25,22.25,22.12,22.12,80900,21.76
2014-04-03,22.23,22.24,22.14,22.22,196500,21.86
2014-04-02,22.17,22.22,22.10,22.14,134900,21.78
2014-04-01,22.05,22.20,22.05,22.16,116200,21.80
2014-03-31,22.05,22.15,22.00,22.03,147300,21.67
2014-03-28,21.99,22.05,21.97,22.02,190800,21.66
2014-03-27,21.98,21.99,21.85,21.98,293800,21.62
2014-03-26,22.00,22.00,21.86,21.98,166900,21.62
2014-03-25,21.96,22.00,21.94,21.96,131400,21.60
2014-03-24,21.91,21.95,21.75,21.90,119800,21.55
2014-03-21,21.92,21.93,21.86,21.87,88000,21.52
2014-03-20,21.87,21.90,21.70,21.87,150800,21.52
2014-03-19,21.97,21.98,21.70,21.85,142900,21.50
2014-03-18,21.73,22.00,21.73,21.88,145100,21.53
2014-03-17,21.79,21.89,21.64,21.81,152600,21.46
2014-03-14,21.50,21.75,21.49,21.75,132000,21.40
2014-03-13,21.47,21.53,21.42,21.51,76400,21.16
2014-03-12,21.30,21.49,21.25,21.43,78100,21.08
2014-03-11,21.17,21.30,21.10,21.30,97500,20.96
2014-03-10,21.15,21.20,21.05,21.10,76900,20.76
2014-03-07,21.20,21.20,21.08,21.12,85400,20.78
2014-03-06,21.22,21.22,21.10,21.17,670200,20.83
2014-03-05,21.18,21.19,21.08,21.10,123900,20.76
2014-03-04,21.15,21.23,21.08,21.11,123500,20.77
2014-03-03,21.15,21.18,20.98,21.05,148000,20.71
2014-02-28,21.13,21.24,21.09,21.11,136900,20.77
2014-02-27,21.10,21.20,21.03,21.07,135900,20.73
2014-02-26,21.12,21.15,20.90,21.04,152100,20.70
2014-02-25,21.49,21.50,21.35,21.42,479800,20.70
2014-02-24,21.45,21.50,21.36,21.45,121100,20.73
