Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,90.46,90.88,90.30,90.47,1785500,90.47
2014-06-12,91.24,91.60,90.11,90.47,2352900,90.47
2014-06-11,92.01,92.04,91.13,91.42,2233900,91.42
2014-06-10,92.69,92.99,92.10,92.45,1793400,92.45
2014-06-09,92.45,93.78,92.36,93.00,2817100,93.00
2014-06-06,91.35,92.42,91.35,92.30,2756700,92.30
2014-06-05,91.20,91.59,90.81,91.30,1888900,91.30
2014-06-04,90.72,91.17,90.68,90.84,1431000,90.84
2014-06-03,90.71,91.14,90.40,90.84,1589600,90.84
2014-06-02,91.29,91.68,91.15,91.18,1941100,91.18
2014-05-30,90.86,91.30,90.66,91.17,1768400,91.17
2014-05-29,90.95,91.21,90.33,91.10,1513100,91.10
2014-05-28,91.19,91.54,90.69,90.91,1909700,90.91
2014-05-27,90.28,91.20,90.24,90.92,2829400,90.92
2014-05-23,90.13,90.13,89.49,89.98,1931200,89.98
2014-05-22,89.60,90.50,89.60,89.99,1657800,89.99
2014-05-21,90.06,90.11,89.26,89.98,2490100,89.98
2014-05-20,90.51,90.85,89.63,89.95,2742500,89.95
2014-05-19,90.86,91.03,90.40,90.67,2445600,90.67
2014-05-16,91.07,91.98,90.98,91.27,3795900,91.27
2014-05-15,91.09,91.58,90.49,91.21,3015700,91.21
2014-05-14,92.49,93.22,91.05,91.70,5258800,91.70
2014-05-13,93.73,94.06,92.91,93.61,3370200,93.61
2014-05-12,94.32,94.63,93.50,93.65,2699900,93.65
2014-05-09,94.17,94.79,93.61,94.34,2247200,94.34
2014-05-08,94.49,94.89,93.75,94.28,1866800,94.28
2014-05-07,92.97,94.76,92.97,94.53,2812800,94.53
2014-05-06,92.47,92.97,92.32,92.77,1442100,92.77
2014-05-05,92.43,92.78,92.07,92.69,1783800,92.69
2014-05-02,93.33,93.45,92.67,92.92,1766900,92.92
2014-05-01,93.15,93.63,92.43,93.22,2205700,93.22
2014-04-30,93.66,94.17,93.18,93.34,2906800,93.34
2014-04-29,93.70,94.37,93.24,93.73,2395100,93.73
2014-04-28,93.59,93.78,92.38,92.77,2931600,92.77
2014-04-25,93.62,93.68,92.49,93.14,2254000,93.14
2014-04-24,94.01,94.05,92.93,93.89,2351800,93.89
2014-04-23,93.21,93.98,93.05,93.57,2021600,93.57
2014-04-22,93.13,93.58,92.61,93.34,2032100,93.34
2014-04-21,92.98,93.25,92.69,93.12,1354600,93.12
2014-04-17,93.00,93.74,92.79,93.40,2104300,93.40
2014-04-16,93.25,93.29,92.58,93.15,1996200,93.15
2014-04-15,92.54,92.71,91.70,92.34,2718700,92.34
2014-04-14,92.66,92.96,91.96,92.44,3000200,92.44
2014-04-11,92.20,92.88,91.18,92.01,3575200,92.01
2014-04-10,93.57,94.59,92.54,92.74,4369100,92.74
2014-04-09,92.68,93.63,92.30,93.38,2846900,93.38
2014-04-08,91.19,93.44,91.19,92.54,4401500,92.54
2014-04-07,91.70,91.82,90.62,91.15,2924600,91.15
2014-04-04,92.46,92.79,91.76,91.83,2501100,91.83
2014-04-03,91.73,92.37,91.62,92.06,2387500,92.06
2014-04-02,91.26,92.00,91.03,91.90,2714000,91.90
2014-04-01,90.98,91.98,90.86,91.39,3952000,91.39
2014-03-31,89.00,90.98,88.32,90.80,5349300,90.80
2014-03-28,88.01,88.79,87.99,88.75,2038400,88.75
2014-03-27,87.76,88.27,86.80,87.86,2211700,87.86
2014-03-26,89.14,89.60,88.32,88.33,2592600,87.82
2014-03-25,88.77,89.54,88.51,89.10,2784600,88.59
2014-03-24,88.92,89.03,88.04,88.51,3975100,88.00
2014-03-21,88.21,89.84,87.88,89.84,6953100,89.32
2014-03-20,87.13,87.90,86.82,87.57,1940700,87.06
2014-03-19,87.44,87.99,86.74,87.29,2366200,86.79
2014-03-18,87.23,88.00,87.20,87.67,1542000,87.16
2014-03-17,87.55,88.14,87.38,87.49,1893400,86.98
2014-03-14,87.93,88.40,87.14,87.20,2881700,86.70
2014-03-13,88.97,88.97,87.58,87.98,2302500,87.47
2014-03-12,88.63,89.06,88.32,88.84,2468700,88.33
2014-03-11,88.63,89.67,88.41,89.11,3434500,88.60
2014-03-10,88.53,88.58,87.56,88.52,2499400,88.01
2014-03-07,88.77,89.24,88.35,88.80,2841400,88.29
2014-03-06,87.16,88.41,86.97,88.23,3797700,87.72
2014-03-05,86.50,87.21,85.91,86.92,2267600,86.42
2014-03-04,87.42,87.44,86.26,86.63,3301200,86.13
2014-03-03,85.63,87.46,85.30,86.96,5401000,86.46
2014-02-28,84.63,86.72,84.56,85.93,3316600,85.43
2014-02-27,84.37,85.29,84.17,84.97,2711700,84.48
2014-02-26,84.22,84.66,83.95,84.35,1884900,83.86
2014-02-25,84.78,84.87,84.00,84.05,3002300,83.56
2014-02-24,84.94,85.35,84.71,84.80,2659300,84.31
2014-02-21,85.16,85.44,84.68,84.69,2225800,84.20
2014-02-20,84.79,85.34,84.29,85.12,3241400,84.63
2014-02-19,84.59,85.49,84.20,84.29,2876200,83.80
2014-02-18,85.99,86.08,84.71,85.10,3450400,84.61
2014-02-14,85.47,86.17,85.28,85.84,2716800,85.34
2014-02-13,86.05,86.27,85.17,85.85,4414300,85.35
2014-02-12,86.92,87.95,86.05,86.90,5472500,86.40
2014-02-11,87.44,88.06,87.08,87.46,3674000,86.96
2014-02-10,86.68,87.64,86.61,87.36,3844000,86.86
2014-02-07,85.76,86.88,85.74,86.56,2085400,86.06
2014-02-06,84.95,85.95,84.70,85.43,3198500,84.94
2014-02-05,84.53,84.91,83.41,84.70,3157500,84.21
2014-02-04,84.69,85.41,83.77,85.11,3013800,84.62
2014-02-03,85.79,86.33,84.60,84.78,3381800,84.29
2014-01-31,85.72,86.79,85.61,85.96,3384900,85.46
2014-01-30,86.33,86.80,85.30,86.58,1997600,86.08
2014-01-29,85.86,86.67,85.61,85.93,2400100,85.43
2014-01-28,86.10,86.94,86.01,86.59,2097800,86.09
2014-01-27,86.74,86.80,85.58,86.01,3365500,85.51
2014-01-24,87.44,87.68,85.29,85.55,4671300,85.06
