Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,129.31,129.56,128.51,128.73,555200,128.73
2014-06-12,129.43,129.84,128.78,129.24,314300,129.24
2014-06-11,127.81,128.38,127.60,128.14,276700,128.14
2014-06-10,126.95,128.20,126.88,127.93,409100,127.93
2014-06-09,126.65,127.50,126.56,127.26,462300,127.26
2014-06-06,126.67,126.87,125.81,126.77,554800,126.77
2014-06-05,127.64,128.73,127.60,128.31,307000,128.31
2014-06-04,128.56,128.87,127.51,128.26,423500,128.26
2014-06-03,127.83,129.66,127.58,128.81,928200,128.81
2014-06-02,128.31,128.36,127.44,127.92,650900,127.92
2014-05-30,128.71,129.24,128.38,128.79,318300,128.79
2014-05-29,127.72,128.13,127.20,127.77,329100,127.77
2014-05-28,125.69,126.06,125.27,125.66,417300,125.66
2014-05-27,127.95,128.22,127.51,127.88,212300,127.88
2014-05-23,127.89,128.24,127.54,128.04,254200,128.04
2014-05-22,129.94,130.26,129.41,129.55,322300,129.55
2014-05-21,128.73,129.26,128.37,129.23,331700,129.23
2014-05-20,128.41,128.66,127.54,127.76,304800,127.76
2014-05-19,129.87,130.09,129.00,129.46,329500,129.46
2014-05-16,130.65,130.91,129.96,130.60,695400,130.60
2014-05-15,127.70,128.61,127.40,128.09,592200,128.09
2014-05-14,126.29,126.49,125.73,126.01,381400,126.01
2014-05-13,126.11,126.41,125.51,125.90,312500,125.90
2014-05-12,125.63,125.91,125.35,125.82,257800,125.82
2014-05-09,125.28,125.41,124.56,125.01,373100,125.01
2014-05-08,123.89,124.47,123.81,124.10,274600,124.10
2014-05-07,123.63,124.46,123.62,124.06,328700,124.06
2014-05-06,124.04,124.48,123.86,123.90,249500,123.90
2014-05-05,122.88,123.86,122.58,123.83,183200,123.83
2014-05-02,123.04,123.83,122.85,123.55,240500,123.55
2014-05-01,123.77,124.05,123.37,123.72,344900,123.72
2014-04-30,123.22,123.22,122.10,122.78,566000,122.78
2014-04-29,122.69,123.13,122.50,122.72,286000,122.72
2014-04-28,122.39,123.03,122.01,122.62,486000,122.62
2014-04-25,121.85,122.02,121.42,121.89,345400,121.89
2014-04-24,121.74,121.97,121.46,121.67,503800,121.67
