Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,26.51,26.64,26.28,26.58,358200,26.58
2014-06-12,26.42,26.51,25.90,26.47,1268200,26.47
2014-06-11,26.96,27.01,26.46,26.48,421200,26.48
2014-06-10,26.96,27.16,26.83,26.94,404100,26.94
2014-06-09,27.27,27.37,27.00,27.02,566400,27.02
2014-06-06,27.00,27.35,26.81,27.29,694200,27.29
2014-06-05,26.50,26.91,26.21,26.91,711400,26.91
2014-06-04,26.11,26.50,25.93,26.44,590200,26.44
2014-06-03,25.58,26.21,25.52,26.16,837600,26.16
2014-06-02,25.55,25.80,25.50,25.72,781900,25.72
2014-05-30,25.70,25.85,25.55,25.57,701500,25.57
2014-05-29,25.18,25.65,25.18,25.61,452600,25.61
2014-05-28,25.21,25.29,24.97,25.18,849300,25.18
2014-05-27,25.38,25.49,25.16,25.26,764100,25.26
2014-05-23,25.16,25.33,25.09,25.24,526200,25.24
2014-05-22,25.20,25.35,25.09,25.15,592400,25.15
2014-05-21,25.58,25.65,25.17,25.20,522400,25.20
2014-05-20,25.73,25.85,25.39,25.56,997300,25.56
2014-05-19,25.63,25.81,25.40,25.79,224100,25.79
2014-05-16,25.48,25.66,25.28,25.62,403400,25.62
2014-05-15,25.30,25.60,25.18,25.54,713000,25.54
2014-05-14,25.59,25.67,25.32,25.36,546300,25.36
2014-05-13,25.87,26.03,25.49,25.57,636900,25.57
2014-05-12,25.58,26.01,25.46,25.80,778900,25.80
2014-05-09,24.71,25.52,24.71,25.50,766600,25.50
2014-05-08,24.59,24.86,24.38,24.80,841100,24.80
2014-05-07,23.90,24.64,23.75,24.61,608500,24.61
2014-05-06,23.61,23.88,23.61,23.84,618000,23.84
2014-05-05,23.96,24.04,23.67,23.76,485900,23.76
2014-05-02,23.97,24.33,23.83,23.96,609200,23.96
2014-05-01,24.28,24.28,23.75,24.00,773000,24.00
2014-04-30,24.02,24.25,23.86,24.23,529300,24.23
2014-04-29,23.94,24.22,23.80,24.02,698800,24.02
2014-04-28,23.71,23.95,23.51,23.87,674000,23.87
2014-04-25,23.60,23.82,23.50,23.68,741400,23.68
2014-04-24,24.44,24.44,23.29,23.69,940500,23.69
2014-04-23,24.39,24.39,23.97,24.16,877600,24.16
2014-04-22,24.15,24.53,24.15,24.35,626000,24.35
2014-04-21,24.23,24.24,23.92,24.24,501400,24.24
2014-04-17,24.34,24.53,24.15,24.23,479800,24.23
2014-04-16,24.45,24.53,24.26,24.40,939400,24.40
2014-04-15,24.61,24.74,24.14,24.31,740700,24.31
2014-04-14,24.04,24.57,23.79,24.56,712500,24.56
2014-04-11,24.04,24.34,23.78,23.78,981700,23.78
2014-04-10,24.50,24.76,24.16,24.16,956000,24.16
2014-04-09,24.49,24.76,24.39,24.60,690300,24.60
2014-04-08,24.73,24.80,24.30,24.38,691000,24.38
2014-04-07,24.33,24.97,24.26,24.68,1050700,24.68
2014-04-04,23.85,24.67,23.62,24.30,1392100,24.30
2014-04-03,22.94,24.17,22.94,23.82,1816800,23.82
2014-04-02,23.31,23.47,22.77,22.86,1542300,22.86
2014-04-01,24.06,24.06,23.12,23.75,984600,23.40
2014-03-31,24.26,24.60,24.03,24.07,470600,23.72
