Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,22.70,23.71,22.50,23.26,2501900,23.26
2014-06-12,23.75,23.75,22.55,22.79,368300,22.79
2014-06-11,24.00,24.73,24.00,24.41,19400,24.41
2014-06-10,24.39,24.99,24.27,24.27,38700,24.27
2014-06-09,24.00,24.99,23.98,24.54,75700,24.54
2014-06-06,23.55,23.82,23.55,23.79,19900,23.79
2014-06-05,23.90,23.90,23.51,23.69,44900,23.69
2014-06-04,23.59,23.99,23.54,23.66,42800,23.66
2014-06-03,23.72,24.00,23.53,23.58,5000,23.58
2014-06-02,24.32,25.00,23.70,23.88,41200,23.88
2014-05-30,23.40,24.40,23.40,24.03,84000,24.03
2014-05-29,23.34,23.87,23.00,23.38,26800,23.38
2014-05-28,22.86,24.27,22.82,23.30,108400,23.30
2014-05-27,22.69,23.09,22.25,22.89,51300,22.89
2014-05-23,22.05,22.98,22.05,22.44,162400,22.44
2014-05-22,22.66,22.66,21.63,21.76,68400,21.76
2014-05-21,22.90,22.90,22.37,22.57,7600,22.57
2014-05-20,23.12,23.12,22.71,22.74,20200,22.74
2014-05-19,22.60,23.80,22.60,22.91,30000,22.91
2014-05-16,22.80,23.18,22.56,22.80,13500,22.80
2014-05-15,22.78,23.40,22.75,22.81,24000,22.81
2014-05-14,22.97,23.52,22.80,22.99,13600,22.99
2014-05-13,23.44,23.44,22.60,22.99,16300,22.99
2014-05-12,22.75,22.75,22.14,22.44,30800,22.44
2014-05-09,23.52,23.52,22.65,22.74,29000,22.74
2014-05-08,22.81,23.90,22.65,22.69,39800,22.69
2014-05-07,22.17,23.20,22.02,22.43,35000,22.43
2014-05-06,21.80,22.00,21.66,21.99,12200,21.99
2014-05-05,21.88,22.37,21.59,21.81,14000,21.81
2014-05-02,21.84,22.50,21.72,21.80,14400,21.80
2014-05-01,21.62,22.46,21.62,21.80,25900,21.80
2014-04-30,21.86,22.16,21.78,21.81,20400,21.44
2014-04-29,21.70,22.09,21.70,21.93,143600,21.56
2014-04-28,21.89,22.35,21.53,21.54,35300,21.18
2014-04-25,22.15,22.40,21.51,21.77,47900,21.41
2014-04-24,22.15,22.40,22.10,22.22,45900,21.85
2014-04-23,21.90,22.29,21.65,22.09,21000,21.72
2014-04-22,21.74,22.00,21.48,21.95,50300,21.58
2014-04-21,21.93,21.93,21.33,21.55,18500,21.19
2014-04-17,21.59,21.91,21.41,21.85,17800,21.48
2014-04-16,21.34,21.86,21.25,21.55,26200,21.19
2014-04-15,21.34,21.34,21.00,21.27,20600,20.91
2014-04-14,21.24,21.89,21.00,21.34,48100,20.98
2014-04-11,21.50,21.84,21.17,21.27,49100,20.92
2014-04-10,21.65,21.97,21.03,21.15,44000,20.80
2014-04-09,21.00,22.00,21.00,21.51,35500,21.15
2014-04-08,21.60,21.85,20.85,20.96,54700,20.61
2014-04-07,22.30,22.30,21.53,21.53,29700,21.17
2014-04-04,21.90,22.30,21.90,22.17,19600,21.80
2014-04-03,22.00,22.05,21.75,21.90,20300,21.53
2014-04-02,21.64,22.29,21.51,22.00,42400,21.63
2014-04-01,21.76,21.76,21.48,21.49,4700,21.13
2014-03-31,21.78,22.10,21.54,21.67,48500,21.31
2014-03-28,21.88,22.35,21.50,21.67,61200,21.31
2014-03-27,21.80,22.19,21.78,22.09,32200,21.72
2014-03-26,21.53,21.96,21.50,21.81,28500,21.44
2014-03-25,21.65,21.98,21.42,21.58,29000,21.22
2014-03-24,21.82,21.88,21.60,21.62,7500,21.26
2014-03-21,21.50,21.90,21.42,21.76,17200,21.40
2014-03-20,22.08,22.14,20.82,21.39,75800,21.03
2014-03-19,21.66,22.31,21.60,22.00,29100,21.63
2014-03-18,22.28,22.28,21.69,21.83,27300,21.46
2014-03-17,21.76,22.33,21.64,22.31,23200,21.94
2014-03-14,21.65,22.20,21.65,21.66,21800,21.30
2014-03-13,22.23,22.45,21.54,21.60,24300,21.24
2014-03-12,22.12,22.35,22.00,22.25,31400,21.88
2014-03-11,22.25,22.34,22.03,22.13,22500,21.76
2014-03-10,22.17,22.35,22.04,22.18,19000,21.81
2014-03-07,22.22,22.50,22.01,22.23,38000,21.86
2014-03-06,22.00,22.50,21.98,22.07,46200,21.70
2014-03-05,22.04,22.44,21.76,22.08,45600,21.72
2014-03-04,22.15,22.48,21.85,22.07,36900,21.70
2014-03-03,21.81,22.18,21.81,21.90,37800,21.53
2014-02-28,21.95,22.38,21.77,21.81,9800,21.44
2014-02-27,22.01,22.49,21.79,21.97,26500,21.60
2014-02-26,22.15,22.20,21.55,22.07,23800,21.70
2014-02-25,22.33,22.49,21.89,22.04,34900,21.67
2014-02-24,21.72,22.51,21.72,22.33,49000,21.96
2014-02-21,21.57,22.48,21.50,21.55,31700,21.19
2014-02-20,21.70,22.35,20.88,21.41,59700,21.05
2014-02-19,20.89,21.92,20.87,21.85,45900,21.48
2014-02-18,21.46,21.46,20.87,20.94,62700,20.59
2014-02-14,21.35,21.49,20.91,21.49,69100,21.13
2014-02-13,21.33,21.40,21.12,21.24,24700,20.88
2014-02-12,21.36,21.66,21.15,21.49,23300,21.13
2014-02-11,21.81,21.93,21.10,21.37,20300,21.01
2014-02-10,22.73,22.74,20.93,21.91,25100,21.54
2014-02-07,21.62,22.00,20.92,21.42,26600,21.06
2014-02-06,21.06,21.60,21.06,21.60,40400,21.24
2014-02-05,21.17,21.50,21.09,21.25,16500,20.72
2014-02-04,21.09,21.45,21.06,21.15,40500,20.62
2014-02-03,21.33,21.55,21.08,21.16,46100,20.63
2014-01-31,21.20,21.52,21.18,21.38,15400,20.85
2014-01-30,21.35,21.55,21.11,21.44,22100,20.91
2014-01-29,21.19,21.74,21.06,21.16,29100,20.63
2014-01-28,21.49,22.00,21.41,21.41,24600,20.88
2014-01-27,21.79,21.99,21.40,21.62,28300,21.08
2014-01-24,21.72,21.98,21.37,21.73,24500,21.19
2014-01-23,21.90,22.05,21.36,21.84,33300,21.30
2014-01-22,21.71,22.17,21.50,21.63,62600,21.09
2014-01-21,21.97,22.51,21.51,21.84,117100,21.30
2014-01-17,22.10,22.49,21.63,22.00,45300,21.45
2014-01-16,21.73,22.14,21.50,22.08,52400,21.53
2014-01-15,21.95,22.77,21.51,21.51,68600,20.98
2014-01-14,22.31,22.50,21.87,22.01,77800,21.46
2014-01-13,21.77,22.22,21.45,22.22,111300,21.67
2014-01-10,20.94,21.15,20.75,21.01,119100,20.49
2014-01-09,20.97,21.31,20.81,20.97,80800,20.45
2014-01-08,21.07,21.79,20.81,21.19,90300,20.66
2014-01-07,21.77,21.80,20.71,21.18,158600,20.65
2014-01-06,21.98,22.20,21.60,21.83,109900,21.29
2014-01-03,22.02,22.02,21.80,21.88,37600,21.34
2014-01-02,22.26,22.45,21.60,21.84,135100,21.30
2013-12-31,22.80,22.96,22.06,22.55,48000,21.99
2013-12-30,23.00,23.79,22.48,22.63,69100,22.07
2013-12-27,22.52,22.89,22.51,22.67,52200,22.11
2013-12-26,21.94,22.71,21.70,22.51,73700,21.95
2013-12-24,21.60,22.00,21.60,21.84,79500,21.30
2013-12-23,21.24,21.67,21.11,21.67,91800,21.13
2013-12-20,20.33,21.06,20.32,21.06,82300,20.54
2013-12-19,20.30,20.75,19.83,20.44,94100,19.93
2013-12-18,19.52,20.25,19.52,20.09,98800,19.59
2013-12-17,19.65,19.92,19.51,19.90,197700,19.41
2013-12-16,19.81,20.19,19.51,19.52,76900,19.04
2013-12-13,19.26,20.10,19.26,19.60,84000,19.11
2013-12-12,19.18,19.45,19.18,19.33,81400,18.85
2013-12-11,19.41,19.54,19.12,19.21,216400,18.73
2013-12-10,19.50,19.99,19.30,19.47,210300,18.99
2013-12-09,19.51,20.00,19.51,19.79,317800,19.30
2013-12-06,18.71,19.70,18.70,19.46,154100,18.98
2013-12-05,19.19,19.19,18.62,19.05,196500,18.58
2013-12-04,19.48,19.60,18.90,19.23,116600,18.75
2013-12-03,18.65,19.50,18.65,19.40,183700,18.92
2013-12-02,18.76,18.90,18.25,18.90,166800,18.43
2013-11-29,18.55,18.85,18.45,18.75,97400,18.28
2013-11-27,18.31,18.67,18.19,18.60,509200,18.14
2013-11-26,18.20,18.50,17.95,18.25,114600,17.80
2013-11-25,18.36,18.36,18.05,18.16,78300,17.71
2013-11-22,18.35,18.36,18.05,18.24,164200,17.79
2013-11-21,18.28,18.39,18.00,18.35,245200,17.89
2013-11-20,18.00,18.25,17.96,18.25,288300,17.80
2013-11-19,18.00,18.05,17.96,18.05,270900,17.60
2013-11-18,18.00,18.08,17.95,18.05,195700,17.60
2013-11-15,17.55,18.18,17.50,18.02,366000,17.57
2013-11-14,17.80,18.05,17.51,18.01,847600,17.56
2013-11-13,17.00,18.10,16.75,18.00,7048100,17.55
