Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,20.08,20.25,19.94,19.94,29800,19.94
2014-06-12,19.90,20.13,19.79,20.10,38500,20.10
2014-06-11,19.77,20.24,19.77,20.05,77400,19.90
2014-06-10,19.85,20.06,19.76,19.77,59200,19.62
2014-06-09,19.70,19.88,19.65,19.87,36100,19.72
2014-06-06,19.61,19.81,19.61,19.76,29400,19.61
2014-06-05,19.51,19.63,19.51,19.61,15300,19.46
2014-06-04,19.49,19.63,19.49,19.54,39100,19.39
2014-06-03,19.58,19.70,19.49,19.58,43100,19.43
2014-06-02,19.95,19.95,19.69,19.71,35700,19.56
2014-05-30,19.95,20.00,19.92,19.95,38900,19.80
2014-05-29,19.90,20.00,19.86,19.91,42900,19.76
2014-05-28,19.54,19.87,19.52,19.85,47700,19.70
2014-05-27,19.47,19.62,19.47,19.55,21800,19.40
2014-05-23,19.49,19.60,19.49,19.53,13700,19.38
2014-05-22,19.42,19.58,19.39,19.49,33900,19.34
2014-05-21,19.47,19.47,18.87,19.42,41000,19.27
2014-05-20,19.53,19.60,19.40,19.45,47400,19.30
2014-05-19,19.49,19.61,19.49,19.52,36900,19.37
2014-05-16,19.55,19.63,19.52,19.52,37100,19.37
2014-05-15,19.53,19.77,19.52,19.55,48000,19.40
2014-05-14,19.54,19.72,19.46,19.60,47600,19.45
2014-05-13,19.47,19.68,19.47,19.66,48800,19.36
2014-05-12,19.74,19.80,19.41,19.46,55200,19.17
2014-05-09,19.64,19.95,19.58,19.73,33700,19.43
2014-05-08,19.53,19.60,19.51,19.59,33900,19.29
2014-05-07,19.39,19.63,19.39,19.58,64800,19.28
2014-05-06,19.19,19.64,19.19,19.41,162600,19.12
2014-05-05,19.10,19.52,19.10,19.30,202100,19.01
2014-05-02,19.16,19.19,19.10,19.14,14100,18.85
2014-05-01,19.03,19.24,19.03,19.12,18900,18.83
2014-04-30,18.91,19.14,18.91,19.14,25000,18.85
2014-04-29,19.06,19.13,18.92,18.96,35300,18.67
2014-04-28,19.08,19.15,19.07,19.11,12000,18.82
2014-04-25,19.00,19.18,19.00,19.14,25900,18.85
2014-04-24,19.02,19.05,18.99,19.03,15400,18.74
2014-04-23,18.97,18.99,18.86,18.99,23500,18.70
2014-04-22,18.77,18.96,18.77,18.92,21600,18.63
2014-04-21,18.60,18.86,18.60,18.84,23800,18.55
2014-04-17,18.63,18.88,18.51,18.60,34600,18.32
2014-04-16,18.55,18.64,18.43,18.64,41900,18.36
2014-04-15,18.56,18.56,18.41,18.50,23600,18.22
2014-04-14,18.69,18.69,18.49,18.53,28500,18.25
2014-04-11,18.51,18.80,18.42,18.70,20600,18.42
2014-04-10,18.85,19.05,18.61,18.62,46400,18.34
2014-04-09,18.85,19.00,18.85,19.00,39300,18.56
2014-04-08,18.75,18.85,18.73,18.80,30300,18.37
2014-04-07,18.62,18.75,18.57,18.75,21800,18.32
2014-04-04,18.53,18.65,18.53,18.54,28800,18.11
2014-04-03,18.57,18.65,18.51,18.51,9300,18.08
2014-04-02,18.64,18.66,18.50,18.56,32400,18.13
2014-04-01,18.59,18.74,18.59,18.71,35800,18.28
2014-03-31,18.54,18.66,18.53,18.61,19600,18.18
2014-03-28,18.42,18.63,18.36,18.57,75200,18.14
2014-03-27,18.18,18.37,18.10,18.33,30500,17.91
2014-03-26,17.99,18.10,17.95,18.09,24500,17.67
2014-03-25,18.01,18.09,17.84,17.88,26100,17.47
2014-03-24,17.95,18.05,17.95,18.00,26300,17.59
2014-03-21,18.06,18.06,17.83,17.86,16000,17.45
2014-03-20,17.96,17.98,17.83,17.90,16500,17.49
2014-03-19,18.25,18.26,17.86,17.90,34600,17.49
2014-03-18,18.05,18.14,18.05,18.09,29000,17.67
2014-03-17,17.99,18.08,17.90,17.92,29600,17.51
2014-03-14,18.01,18.03,17.89,17.93,15000,17.52
2014-03-13,18.15,18.15,17.94,17.94,24800,17.53
2014-03-12,18.11,18.27,18.11,18.25,15000,17.68
2014-03-11,18.17,18.26,18.14,18.19,28300,17.62
2014-03-10,18.02,18.28,18.02,18.25,32300,17.68
2014-03-07,18.27,18.27,18.04,18.11,29600,17.55
2014-03-06,18.08,18.28,18.03,18.11,51300,17.55
2014-03-05,18.03,18.17,18.03,18.09,35600,17.53
2014-03-04,18.17,18.27,17.93,18.03,50500,17.47
2014-03-03,17.98,18.00,17.85,17.98,47900,17.42
2014-02-28,18.02,18.28,18.02,18.19,41600,17.62
2014-02-27,18.08,18.11,17.96,18.06,64200,17.50
2014-02-26,17.90,18.04,17.86,18.04,29600,17.48
2014-02-25,18.00,18.09,17.83,17.87,51400,17.31
2014-02-24,17.81,17.99,17.81,17.93,61800,17.37
2014-02-21,18.00,18.05,17.81,17.87,26700,17.31
2014-02-20,18.11,18.11,17.90,17.99,30900,17.43
2014-02-19,17.83,18.10,17.76,17.98,82700,17.42
2014-02-18,18.00,18.00,17.80,17.82,71400,17.27
2014-02-14,18.04,18.19,18.04,18.09,21200,17.53
2014-02-13,17.86,18.10,17.86,18.06,17900,17.50
2014-02-12,18.12,18.19,17.77,17.86,86000,17.31
2014-02-11,18.29,18.39,18.25,18.33,22900,17.61
2014-02-10,18.27,18.27,18.10,18.19,43800,17.48
2014-02-07,18.07,18.14,18.01,18.12,24600,17.41
2014-02-06,18.00,18.19,17.90,17.96,47700,17.26
2014-02-05,17.91,18.09,17.76,17.91,37600,17.21
2014-02-04,17.20,17.81,17.20,17.76,52000,17.07
2014-02-03,17.26,17.31,17.15,17.20,46400,16.53
2014-01-31,17.56,17.63,17.18,17.27,111500,16.60
