Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,14.98,15.00,14.96,15.00,102500,15.00
2014-06-12,14.95,14.98,14.94,14.95,72900,14.95
2014-06-11,14.92,14.98,14.92,14.97,181800,14.97
2014-06-10,14.95,14.98,14.93,14.97,161600,14.97
2014-06-09,14.96,15.00,14.93,14.97,459300,14.97
2014-06-06,14.99,15.00,14.93,15.00,167300,15.00
2014-06-05,14.91,15.01,14.91,14.99,156000,14.99
2014-06-04,15.08,15.12,14.93,14.97,268900,14.97
2014-06-03,15.12,15.17,15.07,15.10,133500,15.10
2014-06-02,15.17,15.17,15.12,15.16,93600,15.16
2014-05-30,15.19,15.19,15.14,15.18,86100,15.18
2014-05-29,15.17,15.20,15.12,15.17,115200,15.17
2014-05-28,15.19,15.25,15.15,15.16,120100,15.16
2014-05-27,15.21,15.23,15.14,15.22,113200,15.22
2014-05-23,15.29,15.31,15.16,15.18,108600,15.18
2014-05-22,15.25,15.31,15.23,15.31,88800,15.31
2014-05-21,15.20,15.28,15.14,15.25,176900,15.25
2014-05-20,15.18,15.28,15.18,15.28,110700,15.21
2014-05-19,15.24,15.28,15.18,15.21,138400,15.14
2014-05-16,15.21,15.26,15.15,15.25,134600,15.18
2014-05-15,15.15,15.17,15.10,15.17,97100,15.10
2014-05-14,15.17,15.20,15.10,15.12,114800,15.05
2014-05-13,15.24,15.24,15.13,15.19,98000,15.12
2014-05-12,15.12,15.21,15.07,15.20,136900,15.13
2014-05-09,15.04,15.15,15.03,15.14,132700,15.07
2014-05-08,15.12,15.14,15.07,15.07,73900,15.00
2014-05-07,15.08,15.13,15.08,15.11,134500,15.04
2014-05-06,15.20,15.22,15.07,15.10,96700,15.03
2014-05-05,15.20,15.22,15.15,15.20,99400,15.13
2014-05-02,15.31,15.31,15.23,15.27,60500,15.20
2014-05-01,15.22,15.30,15.21,15.29,71200,15.22
2014-04-30,15.24,15.26,15.20,15.22,95100,15.15
2014-04-29,15.22,15.26,15.14,15.23,134800,15.16
2014-04-28,15.22,15.27,15.21,15.23,70200,15.16
2014-04-25,15.22,15.27,15.20,15.23,63400,15.16
2014-04-24,15.31,15.32,15.15,15.21,103500,15.14
2014-04-23,15.28,15.34,15.19,15.34,113900,15.27
2014-04-22,15.17,15.22,15.14,15.21,103700,15.14
2014-04-21,15.17,15.22,15.07,15.21,131400,15.14
2014-04-17,15.14,15.22,15.09,15.22,121600,15.08
2014-04-16,15.17,15.18,15.11,15.12,82800,14.98
2014-04-15,15.18,15.19,15.00,15.14,319100,15.00
2014-04-14,15.19,15.20,15.12,15.18,139900,15.04
2014-04-11,15.18,15.19,15.16,15.16,153600,15.02
2014-04-10,15.19,15.25,15.18,15.18,106600,15.04
2014-04-09,15.29,15.31,15.21,15.21,85900,15.07
2014-04-08,15.31,15.35,15.26,15.26,110400,15.12
2014-04-07,15.37,15.42,15.32,15.33,98700,15.19
2014-04-04,15.51,15.54,15.35,15.39,213100,15.25
2014-04-03,15.59,15.59,15.47,15.51,84200,15.36
2014-04-02,15.63,15.63,15.57,15.60,66700,15.45
2014-04-01,15.66,15.66,15.58,15.61,65600,15.46
2014-03-31,15.68,15.71,15.59,15.70,125300,15.55
2014-03-28,15.64,15.68,15.59,15.66,67700,15.51
2014-03-27,15.65,15.68,15.59,15.61,94600,15.46
2014-03-26,15.78,15.78,15.66,15.66,92600,15.51
2014-03-25,15.62,15.81,15.59,15.81,146800,15.66
2014-03-24,15.77,15.77,15.62,15.62,67700,15.47
2014-03-21,15.60,15.77,15.58,15.73,187600,15.58
2014-03-20,15.55,15.60,15.52,15.58,66500,15.43
2014-03-19,15.40,15.76,15.39,15.68,184100,15.46
2014-03-18,15.36,15.45,15.33,15.44,76500,15.22
2014-03-17,15.40,15.41,15.35,15.38,105300,15.16
2014-03-14,15.41,15.41,15.32,15.35,97900,15.13
2014-03-13,15.35,15.41,15.34,15.39,77200,15.17
2014-03-12,15.31,15.38,15.30,15.37,172300,15.15
2014-03-11,15.35,15.38,15.32,15.36,153700,15.14
2014-03-10,15.42,15.43,15.35,15.37,102700,15.15
2014-03-07,15.39,16.93,15.39,15.41,172000,15.19
2014-03-06,15.36,15.43,15.36,15.42,144300,15.20
2014-03-05,15.38,15.39,15.34,15.36,255600,15.14
2014-03-04,15.41,15.42,15.35,15.38,172400,15.16
2014-03-03,15.35,15.39,15.34,15.37,139400,15.15
2014-02-28,15.40,15.43,15.35,15.37,109600,15.15
2014-02-27,15.43,15.44,15.38,15.42,141200,15.20
2014-02-26,15.43,15.52,15.40,15.42,213400,15.20
2014-02-25,15.48,15.48,15.40,15.43,133200,15.21
2014-02-24,15.47,15.50,15.45,15.46,72700,15.24
2014-02-21,15.49,15.49,15.44,15.47,75200,15.25
2014-02-20,15.42,15.49,15.40,15.48,128700,15.26
2014-02-19,15.43,15.48,15.39,15.44,131400,15.22
2014-02-18,15.47,15.50,15.45,15.48,96300,15.19
2014-02-14,15.44,15.52,15.40,15.50,102200,15.21
2014-02-13,15.42,15.47,15.38,15.47,94900,15.18
2014-02-12,15.46,15.47,15.39,15.43,105200,15.14
2014-02-11,15.43,15.53,15.43,15.50,139300,15.21
2014-02-10,15.46,15.49,15.42,15.46,91700,15.17
2014-02-07,15.50,15.57,15.46,15.50,123700,15.21
2014-02-06,15.45,15.51,15.42,15.49,89200,15.20
2014-02-05,15.36,15.49,15.36,15.45,142300,15.16
2014-02-04,15.39,15.44,15.36,15.39,123200,15.10
2014-02-03,15.40,15.44,15.39,15.41,113100,15.12
2014-01-31,15.40,15.46,15.39,15.45,224900,15.16
2014-01-30,15.50,15.51,15.41,15.46,140000,15.17
2014-01-29,15.41,15.49,15.37,15.48,169500,15.19
2014-01-28,15.40,15.53,15.36,15.46,136200,15.17
2014-01-27,15.44,15.44,15.34,15.38,146600,15.09
2014-01-24,15.47,15.47,15.40,15.42,83700,15.13
2014-01-23,15.42,15.49,15.42,15.49,115000,15.20
2014-01-22,15.36,15.49,15.36,15.48,139700,15.19
2014-01-21,15.40,15.45,15.37,15.43,195600,15.14
2014-01-17,15.36,15.45,15.36,15.42,131600,15.13
2014-01-16,15.36,15.45,15.34,15.44,115800,15.15
2014-01-15,15.48,15.48,15.35,15.36,163400,15.07
2014-01-14,15.63,15.63,15.48,15.49,143800,15.20
2014-01-13,15.68,15.68,15.58,15.63,97900,15.34
2014-01-10,15.61,15.68,15.55,15.68,113000,15.39
2014-01-09,15.66,15.67,15.56,15.62,92400,15.33
2014-01-08,15.58,15.64,15.50,15.64,153800,15.35
2014-01-07,15.38,15.61,15.36,15.58,164000,15.29
2014-01-06,15.28,15.38,15.23,15.38,142500,15.09
2014-01-03,15.21,15.24,15.12,15.24,137400,14.95
2014-01-02,15.18,15.22,15.12,15.19,164600,14.90
2013-12-31,15.31,15.31,15.14,15.27,284400,14.98
2013-12-30,15.21,15.28,15.13,15.28,185900,14.99
2013-12-27,15.13,15.25,15.13,15.21,204500,14.92
2013-12-26,15.43,15.43,15.16,15.26,605200,14.85
2013-12-24,15.38,15.38,15.31,15.36,94100,14.95
2013-12-23,15.45,15.46,15.33,15.38,235800,14.97
2013-12-20,15.22,15.30,15.22,15.26,317200,14.85
2013-12-19,15.26,15.37,15.22,15.31,358200,14.82
2013-12-18,15.26,15.34,15.26,15.31,202400,14.82
2013-12-17,15.26,15.34,15.19,15.32,158800,14.83
2013-12-16,15.18,15.30,15.18,15.29,442300,14.80
2013-12-13,15.21,15.21,15.16,15.18,221500,14.70
2013-12-12,15.20,15.23,15.15,15.21,249200,14.73
2013-12-11,15.17,15.22,15.14,15.17,196900,14.69
2013-12-10,15.19,15.25,15.17,15.23,247900,14.74
2013-12-09,15.26,15.26,15.16,15.17,188800,14.69
2013-12-06,15.38,15.38,15.24,15.25,166900,14.76
2013-12-05,15.39,15.39,15.28,15.34,227400,14.85
2013-12-04,15.33,15.40,15.30,15.36,172800,14.87
2013-12-03,15.32,15.39,15.26,15.37,134100,14.88
2013-12-02,15.30,15.40,15.30,15.38,131700,14.89
2013-11-29,15.35,15.40,15.33,15.35,88700,14.86
2013-11-27,15.30,15.40,15.27,15.37,164700,14.88
2013-11-26,15.34,15.37,15.26,15.35,161700,14.86
2013-11-25,15.26,15.38,15.24,15.34,148600,14.85
2013-11-22,15.22,15.35,15.22,15.31,146200,14.82
2013-11-21,15.15,15.25,15.14,15.23,215700,14.74
2013-11-20,15.15,15.23,15.15,15.19,189300,14.71
2013-11-19,15.31,15.33,15.16,15.28,370600,14.72
2013-11-18,15.63,15.64,15.38,15.42,289300,14.85
2013-11-15,15.68,15.68,15.52,15.56,93500,14.99
2013-11-14,15.50,15.63,15.40,15.60,148000,15.03
2013-11-13,15.37,15.50,15.37,15.47,93400,14.90
2013-11-12,15.40,15.45,15.36,15.45,136000,14.88
2013-11-11,15.42,15.45,15.39,15.45,101600,14.88
2013-11-08,15.44,15.51,15.37,15.45,167500,14.88
2013-11-07,15.50,15.58,15.43,15.50,137800,14.93
2013-11-06,15.70,15.71,15.52,15.55,115100,14.98
2013-11-05,15.75,15.78,15.67,15.70,136500,15.12
2013-11-04,15.82,15.82,15.75,15.80,137100,15.22
2013-11-01,15.83,15.86,15.73,15.85,138900,15.27
2013-10-31,15.83,15.88,15.77,15.88,115200,15.30
2013-10-30,15.84,15.84,15.75,15.79,111100,15.21
2013-10-29,15.83,15.83,15.73,15.80,104400,15.22
2013-10-28,15.75,15.83,15.73,15.82,100500,15.24
2013-10-25,15.67,15.81,15.62,15.81,118700,15.23
2013-10-24,15.58,15.79,15.58,15.72,150600,15.14
2013-10-23,15.51,15.64,15.51,15.62,105500,15.05
2013-10-22,15.55,15.57,15.49,15.55,119700,14.98
2013-10-21,15.49,15.55,15.47,15.53,162700,14.89
