Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,6.58,6.61,6.52,6.53,42900,6.53
2014-06-12,6.65,6.65,6.53,6.54,41200,6.54
2014-06-11,6.63,6.65,6.53,6.61,47400,6.61
2014-06-10,6.67,6.73,6.54,6.65,41300,6.65
2014-06-09,6.62,6.79,6.57,6.69,76600,6.69
2014-06-06,6.84,6.94,6.53,6.65,78600,6.65
2014-06-05,6.50,6.88,6.38,6.79,81600,6.79
2014-06-04,6.42,6.52,6.42,6.49,66000,6.49
2014-06-03,6.46,6.50,6.40,6.47,192100,6.47
2014-06-02,6.56,6.57,6.46,6.50,159900,6.50
2014-05-30,6.63,6.63,6.51,6.57,61800,6.57
2014-05-29,6.79,6.79,6.51,6.60,40900,6.60
2014-05-28,6.86,6.86,6.70,6.73,26200,6.73
2014-05-27,6.70,6.99,6.61,6.90,68300,6.90
2014-05-23,6.63,6.73,6.43,6.70,33900,6.70
2014-05-22,6.50,6.72,6.42,6.63,59800,6.63
2014-05-21,6.53,6.53,6.36,6.53,53900,6.53
2014-05-20,6.69,6.69,6.35,6.47,62500,6.47
2014-05-19,6.57,6.79,6.55,6.69,29900,6.69
2014-05-16,6.57,6.60,6.48,6.56,72200,6.56
2014-05-15,6.62,6.65,6.43,6.59,48300,6.59
2014-05-14,6.84,6.89,6.52,6.66,58000,6.66
2014-05-13,7.06,7.23,6.79,6.88,116500,6.88
2014-05-12,6.93,7.39,6.86,7.11,195900,7.11
2014-05-09,6.57,7.00,6.49,6.96,142300,6.96
2014-05-08,6.07,6.74,6.05,6.62,234300,6.62
2014-05-07,5.95,6.19,5.75,5.99,809200,5.99
2014-05-06,6.60,6.66,6.07,6.16,136500,6.16
2014-05-05,6.61,6.74,6.54,6.65,110500,6.65
2014-05-02,6.61,6.68,6.60,6.67,79100,6.67
2014-05-01,6.50,6.64,6.45,6.58,118100,6.58
2014-04-30,6.36,6.58,6.30,6.54,107400,6.54
2014-04-29,6.42,6.46,6.29,6.38,80100,6.38
2014-04-28,6.49,6.63,6.22,6.37,117400,6.37
2014-04-25,6.67,6.67,6.44,6.50,163100,6.50
2014-04-24,6.81,6.81,6.65,6.72,121100,6.72
2014-04-23,6.65,6.86,6.63,6.75,101900,6.75
2014-04-22,6.63,6.82,6.60,6.65,111200,6.65
2014-04-21,6.66,6.83,6.46,6.51,46600,6.51
2014-04-17,6.46,6.94,6.27,6.60,247200,6.60
2014-04-16,6.03,6.56,5.95,6.44,188300,6.44
2014-04-15,6.29,6.29,5.89,6.01,271800,6.01
2014-04-14,6.56,6.56,6.18,6.25,165400,6.25
2014-04-11,6.58,6.60,6.40,6.48,137200,6.48
2014-04-10,7.02,7.04,6.55,6.65,214000,6.65
2014-04-09,6.93,7.15,6.75,7.04,262100,7.04
2014-04-08,6.75,7.20,6.75,6.88,151900,6.88
2014-04-07,6.65,6.80,6.58,6.76,232300,6.76
2014-04-04,6.99,7.02,6.63,6.74,147400,6.74
2014-04-03,7.06,7.13,6.85,6.92,129500,6.92
2014-04-02,7.18,7.40,6.95,7.09,115700,7.09
2014-04-01,7.14,7.49,7.07,7.19,107200,7.19
2014-03-31,7.23,7.23,6.95,7.06,238200,7.06
2014-03-28,7.32,7.37,7.15,7.26,111200,7.26
2014-03-27,7.56,7.63,7.30,7.33,111300,7.33
2014-03-26,7.97,7.99,7.51,7.54,170200,7.54
2014-03-25,7.89,7.99,7.60,7.66,111400,7.66
2014-03-24,7.90,8.00,7.57,7.71,129500,7.71
2014-03-21,8.00,8.24,7.85,7.90,128000,7.90
2014-03-20,8.18,8.25,7.92,7.94,47400,7.94
2014-03-19,8.26,8.33,8.06,8.22,134000,8.22
2014-03-18,7.91,8.35,7.73,8.31,118000,8.31
2014-03-17,7.96,8.03,7.72,7.94,102500,7.94
2014-03-14,8.05,8.16,7.88,7.94,133700,7.94
2014-03-13,8.43,8.45,8.02,8.05,132300,8.05
2014-03-12,8.30,8.54,8.25,8.37,144900,8.37
2014-03-11,8.96,9.09,8.27,8.31,158700,8.31
2014-03-10,8.60,9.00,8.34,8.98,355000,8.98
2014-03-07,9.19,9.68,9.13,9.44,223000,9.44
2014-03-06,8.74,9.19,8.60,9.17,269100,9.17
2014-03-05,8.86,8.86,8.65,8.77,244500,8.77
2014-03-04,8.72,9.06,8.70,8.80,179100,8.80
2014-03-03,8.33,8.67,8.25,8.60,211800,8.60
2014-02-28,8.34,8.48,8.29,8.38,360400,8.38
2014-02-27,8.45,8.52,8.30,8.38,113800,8.38
2014-02-26,8.60,8.78,8.49,8.52,44400,8.52
2014-02-25,8.74,8.74,8.48,8.60,68300,8.60
2014-02-24,9.00,9.03,8.65,8.77,165500,8.77
2014-02-21,9.06,9.18,8.88,9.03,225900,9.03
2014-02-20,8.89,9.09,8.89,9.06,90200,9.06
2014-02-19,8.84,9.13,8.40,8.93,223100,8.93
2014-02-18,8.75,9.44,8.75,9.19,282900,9.19
2014-02-14,8.59,8.77,8.47,8.72,86800,8.72
2014-02-13,8.38,8.82,8.36,8.60,93900,8.60
2014-02-12,8.85,9.00,8.37,8.47,153800,8.47
2014-02-11,8.72,8.96,8.51,8.87,153600,8.87
2014-02-10,8.99,8.99,8.64,8.69,131000,8.69
2014-02-07,8.60,8.97,8.29,8.96,683600,8.96
2014-02-06,8.90,9.03,8.35,8.49,720300,8.49
2014-02-05,9.48,9.67,9.36,9.36,228500,9.36
2014-02-04,9.43,9.53,9.38,9.50,122900,9.50
2014-02-03,9.59,9.73,9.41,9.43,119000,9.43
2014-01-31,9.44,9.65,9.43,9.58,33900,9.58
2014-01-30,9.69,9.79,9.54,9.55,82500,9.55
2014-01-29,9.65,9.79,9.61,9.63,68400,9.63
2014-01-28,9.48,9.78,9.48,9.76,94700,9.76
2014-01-27,9.78,9.81,9.72,9.73,84200,9.73
2014-01-24,9.95,10.02,9.79,9.79,167100,9.79
2014-01-23,10.13,10.20,9.96,9.98,146100,9.98
2014-01-22,10.17,10.25,10.13,10.17,78300,10.17
2014-01-21,10.20,10.21,10.06,10.19,51400,10.19
2014-01-17,10.26,10.26,10.10,10.20,44200,10.20
2014-01-16,10.28,10.30,10.19,10.26,48000,10.26
2014-01-15,10.39,10.42,10.25,10.28,92800,10.28
2014-01-14,10.25,10.50,10.18,10.39,75500,10.39
2014-01-13,10.16,10.23,10.07,10.17,111800,10.17
2014-01-10,10.32,10.32,10.07,10.24,51400,10.24
2014-01-09,10.08,10.33,10.00,10.26,76700,10.26
2014-01-08,10.36,10.36,9.88,10.00,370800,10.00
2014-01-07,10.85,10.96,10.36,10.41,194300,10.41
2014-01-06,10.75,11.04,10.60,10.70,193900,10.70
2014-01-03,10.27,10.83,10.27,10.72,75900,10.72
2014-01-02,10.20,10.27,10.00,10.23,56700,10.23
2013-12-31,10.04,10.32,10.00,10.24,414200,10.24
2013-12-30,10.10,10.18,9.89,10.15,110400,10.15
2013-12-27,10.18,10.45,10.05,10.16,53900,10.16
2013-12-26,10.13,10.31,10.02,10.14,85900,10.14
2013-12-24,10.13,10.15,10.01,10.12,22300,10.12
2013-12-23,10.10,10.18,9.98,10.13,78700,10.13
2013-12-20,10.08,10.39,10.05,10.10,209700,10.10
2013-12-19,10.15,10.36,10.01,10.07,91200,10.07
2013-12-18,10.10,10.21,10.01,10.15,82700,10.15
2013-12-17,10.15,10.19,10.00,10.12,145600,10.12
2013-12-16,10.58,11.00,9.98,10.18,121100,10.18
2013-12-13,10.62,10.75,10.36,10.51,178000,10.51
2013-12-12,10.82,10.82,10.50,10.57,69400,10.57
