Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,15.36,15.42,15.06,15.10,809300,15.10
2014-06-12,15.20,15.40,15.13,15.40,287000,15.40
2014-06-11,15.32,15.42,15.14,15.20,554600,15.20
2014-06-10,15.34,15.43,15.25,15.31,654800,15.31
2014-06-09,14.97,15.31,14.97,15.27,801800,15.27
2014-06-06,15.19,15.28,14.78,14.94,668100,14.94
2014-06-05,14.75,14.84,14.64,14.73,277700,14.73
2014-06-04,14.67,14.76,14.59,14.64,279400,14.64
2014-06-03,14.34,14.68,14.31,14.68,427200,14.68
2014-06-02,14.54,14.58,14.23,14.35,292200,14.35
2014-05-30,14.70,14.72,14.49,14.52,423400,14.52
2014-05-29,14.96,15.09,14.57,14.83,496900,14.83
2014-05-28,14.61,14.95,14.56,14.87,548200,14.87
2014-05-27,15.36,15.39,14.50,14.60,659100,14.60
2014-05-23,15.24,15.46,15.15,15.31,308900,15.31
2014-05-22,15.37,15.43,15.12,15.27,485700,15.27
2014-05-21,15.22,15.39,14.94,15.07,584200,15.07
2014-05-20,15.50,15.60,15.09,15.22,591300,15.22
2014-05-19,15.99,16.08,15.64,15.67,583600,15.67
2014-05-16,15.89,15.98,15.70,15.95,416800,15.95
2014-05-15,16.06,16.25,15.07,15.42,1058800,15.42
2014-05-14,15.70,16.38,15.70,15.95,547200,15.95
2014-05-13,15.59,16.07,15.59,15.69,523900,15.69
2014-05-12,15.19,15.73,15.14,15.73,535900,15.73
2014-05-09,15.24,15.62,14.91,14.97,415800,14.97
2014-05-08,15.38,15.42,15.13,15.23,574900,15.23
2014-05-07,15.52,15.71,15.31,15.33,599500,15.33
2014-05-06,15.05,15.57,15.03,15.55,366800,15.55
2014-05-05,15.14,15.39,14.88,15.00,410900,15.00
2014-05-02,14.22,15.10,14.18,15.08,702500,15.08
2014-05-01,14.36,14.58,14.06,14.35,200200,14.35
2014-04-30,14.16,14.39,14.04,14.35,439200,14.35
2014-04-29,14.45,14.83,14.16,14.19,263500,14.19
2014-04-28,14.02,14.32,13.90,14.31,386400,14.31
2014-04-25,14.16,14.29,13.70,14.06,881000,14.06
2014-04-24,14.71,14.77,14.45,14.77,479100,14.36
2014-04-23,14.87,14.87,14.60,14.65,487500,14.25
2014-04-22,14.61,14.90,14.46,14.90,528100,14.49
2014-04-21,14.65,14.79,14.38,14.55,316900,14.15
2014-04-17,14.04,14.58,14.02,14.54,477400,14.14
2014-04-16,13.98,14.20,13.74,14.09,461000,13.70
2014-04-15,14.21,14.27,13.74,13.85,746300,13.47
2014-04-14,13.98,14.33,13.93,14.30,619400,13.91
2014-04-11,13.54,13.98,13.54,13.93,555100,13.55
2014-04-10,13.48,13.73,13.32,13.71,511400,13.33
2014-04-09,13.36,13.49,13.06,13.30,659100,12.93
2014-04-08,13.99,14.06,13.56,13.67,698800,13.29
