Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,12.97,13.02,12.94,12.98,43800,12.98
2014-06-12,13.06,13.06,12.97,13.00,84000,13.00
2014-06-11,13.03,13.05,12.96,13.00,95500,13.00
2014-06-10,13.01,13.03,13.00,13.03,63700,13.03
2014-06-09,12.89,12.98,12.89,12.96,74900,12.96
2014-06-06,12.92,12.98,12.91,12.97,148600,12.97
2014-06-05,12.86,12.95,12.86,12.91,85900,12.91
2014-06-04,12.92,12.96,12.91,12.93,96700,12.93
2014-06-03,12.88,12.96,12.87,12.89,93200,12.89
2014-06-02,13.11,13.11,12.95,12.99,79800,12.99
2014-05-30,13.00,13.12,13.00,13.06,100500,13.06
2014-05-29,12.97,13.09,12.97,13.03,76100,13.03
2014-05-28,12.91,13.00,12.91,12.99,61900,12.99
2014-05-27,13.02,13.04,12.90,12.95,87800,12.95
2014-05-23,13.01,13.05,12.99,13.04,78600,13.04
2014-05-22,13.02,13.05,13.00,13.05,61600,13.05
2014-05-21,12.99,13.05,12.95,13.05,107200,13.05
2014-05-20,12.95,12.98,12.91,12.95,63800,12.95
2014-05-19,12.99,13.03,12.93,12.98,70000,12.98
2014-05-16,12.94,13.00,12.94,12.97,83700,12.97
2014-05-15,12.96,12.98,12.93,12.97,68700,12.97
2014-05-14,12.93,12.95,12.91,12.94,63800,12.94
2014-05-13,12.83,12.90,12.80,12.90,70400,12.90
2014-05-12,12.80,12.85,12.79,12.83,100200,12.83
2014-05-09,12.84,12.84,12.75,12.81,76200,12.81
2014-05-08,12.79,12.87,12.79,12.83,115400,12.83
2014-05-07,12.75,12.82,12.75,12.80,57300,12.80
2014-05-06,12.73,12.78,12.70,12.77,129400,12.77
2014-05-05,12.80,12.80,12.66,12.71,62100,12.71
2014-05-02,12.74,12.80,12.68,12.80,51600,12.80
2014-05-01,12.72,12.75,12.68,12.75,78600,12.75
2014-04-30,12.68,12.70,12.61,12.70,84100,12.70
2014-04-29,12.68,12.69,12.60,12.63,59000,12.63
2014-04-28,12.69,12.71,12.60,12.63,67700,12.63
2014-04-25,12.67,12.67,12.61,12.64,41700,12.64
