Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,25.82,25.82,25.82,25.82,000,25.82
2014-06-12,25.82,25.82,25.82,25.82,600,25.82
2014-06-11,26.02,26.02,26.02,26.02,200,26.02
2014-06-10,25.98,26.00,25.98,26.00,300,26.00
2014-06-09,25.45,25.45,25.45,25.45,000,25.45
2014-06-06,25.45,25.45,25.45,25.45,000,25.45
2014-06-05,25.44,25.45,25.44,25.45,500,25.45
2014-06-04,25.48,25.48,25.48,25.48,000,25.48
2014-06-03,25.48,25.48,25.48,25.48,000,25.48
2014-06-02,25.48,25.48,25.48,25.48,000,25.48
2014-05-30,25.48,25.48,25.48,25.48,000,25.48
2014-05-29,24.80,25.51,24.80,25.48,1500,25.48
2014-05-28,25.53,25.53,25.51,25.51,700,25.51
2014-05-27,25.30,25.30,25.30,25.30,200,25.30
2014-05-23,25.55,25.55,25.50,25.51,700,25.51
2014-05-22,25.46,25.46,25.46,25.46,300,25.46
2014-05-21,25.32,25.32,25.32,25.32,000,25.32
2014-05-20,25.32,25.32,25.32,25.32,000,25.32
2014-05-19,25.30,25.34,25.30,25.32,400,25.32
2014-05-16,25.14,25.14,25.14,25.14,000,25.14
2014-05-15,25.14,25.14,25.14,25.14,1100,25.14
2014-05-14,25.12,25.31,25.12,25.31,1600,25.31
2014-05-13,25.00,25.00,25.00,25.00,2100,25.00
2014-05-12,25.00,25.00,25.00,25.00,200,25.00
2014-05-09,24.60,24.60,24.60,24.60,000,24.60
2014-05-08,24.60,24.60,24.60,24.60,000,24.60
2014-05-07,24.55,24.61,24.55,24.60,3400,24.60
2014-05-06,24.53,24.53,24.53,24.53,200,24.53
2014-05-05,24.53,24.53,24.53,24.53,000,24.53
2014-05-02,24.53,24.53,24.53,24.53,1000,24.53
2014-05-01,24.49,24.49,24.49,24.49,1900,24.49
2014-04-30,24.44,24.44,24.44,24.44,000,24.44
2014-04-29,24.24,24.44,24.24,24.44,600,24.44
2014-04-28,24.05,24.05,24.03,24.03,30100,24.03
2014-04-25,24.14,24.14,24.02,24.02,1700,24.02
2014-04-24,24.52,24.52,24.52,24.52,000,24.52
2014-04-23,24.52,24.52,24.52,24.52,000,24.52
2014-04-22,24.52,24.52,24.52,24.52,500,24.52
2014-04-21,24.39,24.39,24.39,24.39,000,24.39
2014-04-17,24.39,24.39,24.39,24.39,000,24.39
2014-04-16,24.48,24.48,24.39,24.39,3000,24.39
2014-04-15,24.62,24.62,24.62,24.62,000,24.62
2014-04-14,24.66,24.66,24.62,24.62,2000,24.62
2014-04-11,24.44,24.66,24.44,24.62,2000,24.62
2014-04-10,24.86,24.86,24.86,24.86,1000,24.86
2014-04-09,24.87,24.87,24.87,24.87,100,24.87
2014-04-08,24.74,24.74,24.74,24.74,300,24.74
2014-04-07,24.60,24.62,24.60,24.62,1400,24.62
2014-04-04,24.74,24.74,24.52,24.52,600,24.52
2014-04-03,24.41,24.41,24.41,24.41,000,24.41
2014-04-02,24.37,24.42,24.37,24.41,500,24.41
