Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,15.47,15.80,15.36,15.77,19300,15.77
2014-06-12,15.65,15.73,15.31,15.46,22000,15.46
2014-06-11,15.88,15.90,15.25,15.79,18200,15.79
2014-06-10,15.87,16.00,14.55,15.99,58500,15.99
2014-06-09,15.97,15.99,15.82,15.95,15500,15.86
2014-06-06,16.03,16.05,15.91,15.97,9500,15.88
2014-06-05,15.88,16.05,15.81,15.98,25700,15.89
2014-06-04,16.00,16.34,15.79,15.88,29300,15.79
2014-06-03,15.84,16.00,15.59,15.94,41900,15.85
2014-06-02,15.88,15.98,15.55,15.94,35200,15.85
2014-05-30,14.65,16.10,14.65,15.98,89600,15.89
2014-05-29,14.90,14.99,14.50,14.99,22100,14.91
2014-05-28,14.81,14.99,14.81,14.99,19500,14.91
2014-05-27,14.95,14.95,14.73,14.91,13200,14.83
2014-05-23,14.94,14.95,14.87,14.95,15900,14.87
2014-05-22,14.92,14.95,14.88,14.88,16300,14.80
2014-05-21,14.87,15.00,14.80,14.99,29000,14.91
2014-05-20,14.90,14.90,14.63,14.89,26400,14.81
2014-05-19,14.68,14.96,14.51,14.96,13900,14.88
2014-05-16,14.77,14.77,14.50,14.64,11200,14.56
2014-05-15,14.75,14.98,14.56,14.77,14800,14.69
2014-05-14,14.69,14.89,14.43,14.86,13200,14.78
2014-05-13,14.91,14.98,14.16,14.56,25500,14.48
2014-05-12,14.80,14.91,14.51,14.90,21300,14.82
2014-05-09,14.33,14.85,14.23,14.80,16600,14.72
2014-05-08,14.83,14.85,14.41,14.65,16800,14.57
2014-05-07,14.85,14.85,14.55,14.75,10700,14.67
2014-05-06,14.22,14.85,14.22,14.83,18700,14.75
2014-05-05,14.53,14.75,14.26,14.65,14300,14.57
2014-05-02,14.43,14.65,14.19,14.56,29300,14.48
2014-05-01,14.91,14.91,14.51,14.57,12700,14.49
2014-04-30,14.39,14.72,14.14,14.72,19700,14.64
2014-04-29,14.65,14.92,14.46,14.55,18400,14.47
2014-04-28,14.87,15.00,12.50,14.62,39700,14.54
2014-04-25,14.51,14.90,14.02,14.71,12400,14.63
2014-04-24,14.85,15.26,13.11,14.78,25900,14.70
2014-04-23,15.28,15.29,14.95,15.09,37900,15.00
2014-04-22,14.94,15.87,14.75,15.25,35300,15.16
2014-04-21,15.07,15.26,14.43,14.99,62000,14.91
2014-04-17,15.12,15.26,14.95,15.01,26100,14.93
2014-04-16,14.64,15.12,14.64,15.12,57200,15.03
2014-04-15,14.65,14.65,13.11,14.46,39600,14.38
2014-04-14,14.95,15.03,14.66,14.95,23900,14.87
2014-04-11,15.00,15.03,12.82,14.70,37300,14.62
2014-04-10,14.64,15.04,14.64,14.93,41700,14.85
2014-04-09,14.47,15.25,14.47,14.90,129400,14.82
2014-04-08,14.10,14.70,14.03,14.58,69400,14.50
2014-04-07,14.07,14.20,13.86,14.08,26500,14.00
2014-04-04,14.20,14.20,14.00,14.04,12300,13.96
2014-04-03,14.17,14.20,14.00,14.13,24500,14.05
2014-04-02,14.20,14.20,13.86,14.08,37100,14.00
2014-04-01,13.41,14.27,13.40,14.09,66700,14.01
2014-03-31,13.07,13.41,12.94,13.40,28200,13.32
2014-03-28,13.30,13.39,13.04,13.14,28000,13.07
2014-03-27,13.35,13.46,12.94,13.34,51200,13.26
2014-03-26,12.58,13.70,12.57,13.22,72500,13.15
2014-03-25,12.53,12.68,12.53,12.58,26500,12.51
2014-03-24,12.65,12.69,12.50,12.58,15300,12.51
2014-03-21,12.47,12.67,12.45,12.59,24200,12.52
2014-03-20,12.48,12.72,12.48,12.51,11300,12.44
2014-03-19,12.60,12.60,12.39,12.41,11700,12.34
2014-03-18,12.86,12.86,12.49,12.50,25100,12.43
2014-03-17,12.67,12.90,12.55,12.57,15100,12.50
2014-03-14,12.57,12.74,12.54,12.60,34300,12.53
2014-03-13,12.78,12.81,12.39,12.57,28200,12.50
2014-03-12,12.00,12.88,11.93,12.77,37600,12.70
2014-03-11,11.80,12.00,11.77,11.94,25200,11.87
2014-03-10,11.62,11.91,11.62,11.80,11500,11.64
2014-03-07,11.93,11.93,11.50,11.69,24000,11.54
2014-03-06,11.73,11.99,11.48,11.98,34200,11.82
2014-03-05,11.85,11.94,11.45,11.66,22600,11.51
2014-03-04,11.98,12.14,11.85,11.85,16800,11.69
2014-03-03,11.80,12.15,11.80,11.95,26500,11.79
2014-02-28,11.83,11.84,11.67,11.73,5500,11.57
2014-02-27,11.60,11.87,11.60,11.86,22400,11.70
2014-02-26,11.16,11.64,11.04,11.60,37000,11.45
2014-02-25,11.17,11.23,10.62,11.16,32100,11.01
2014-02-24,12.01,12.01,10.79,11.17,94500,11.02
2014-02-21,11.87,12.04,11.63,12.04,18100,11.88
2014-02-20,11.90,12.01,11.61,11.87,33600,11.71
2014-02-19,11.94,12.11,11.91,11.92,17300,11.76
2014-02-18,12.10,12.24,11.90,11.94,30800,11.78
2014-02-14,12.31,12.31,11.99,12.09,28300,11.93
2014-02-13,12.23,12.37,12.17,12.24,17300,12.08
2014-02-12,12.45,12.56,12.07,12.24,31400,12.08
2014-02-11,11.60,12.44,11.60,12.40,37600,12.24
2014-02-10,11.84,11.95,11.63,11.83,26000,11.67
2014-02-07,11.78,11.89,11.69,11.78,18700,11.62
2014-02-06,11.86,11.88,11.60,11.70,35500,11.55
2014-02-05,11.65,11.87,11.60,11.86,59200,11.70
2014-02-04,11.78,11.85,11.60,11.71,6000,11.56
2014-02-03,11.81,11.89,11.02,11.87,27500,11.71
2014-01-31,11.85,11.90,11.73,11.89,17400,11.73
2014-01-30,11.83,11.94,11.74,11.94,11300,11.78
2014-01-29,11.89,11.89,11.72,11.74,12100,11.58
2014-01-28,11.64,11.95,11.61,11.90,19300,11.74
2014-01-27,11.49,11.76,11.40,11.51,17200,11.36
2014-01-24,11.78,11.78,11.05,11.49,46900,11.34
2014-01-23,11.83,11.83,11.60,11.67,9200,11.52
2014-01-22,11.74,11.87,11.55,11.80,17300,11.64
2014-01-21,11.52,11.80,11.52,11.64,12800,11.49
2014-01-17,11.04,11.52,11.04,11.52,11200,11.37
2014-01-16,11.18,11.19,10.55,11.04,43900,10.89
2014-01-15,10.94,11.20,10.94,11.20,9400,11.05
2014-01-14,10.93,10.94,10.70,10.89,16800,10.75
2014-01-13,10.72,10.91,10.45,10.66,34800,10.52
2014-01-10,10.89,11.22,10.44,10.61,64700,10.47
2014-01-09,11.60,11.73,10.40,10.89,149300,10.75
2014-01-08,11.87,11.87,11.66,11.67,19800,11.52
2014-01-07,11.71,11.90,11.70,11.70,10800,11.55
2014-01-06,11.73,11.89,11.73,11.74,9700,11.58
2014-01-03,11.78,11.95,11.77,11.77,11900,11.61
2014-01-02,11.82,12.00,11.76,11.78,12700,11.62
2013-12-31,11.79,11.90,11.76,11.77,19000,11.61
2013-12-30,11.93,11.93,11.65,11.80,15900,11.64
2013-12-27,12.00,12.00,11.76,11.93,22100,11.77
2013-12-26,11.95,11.99,11.79,11.86,11000,11.70
2013-12-24,11.98,11.99,11.84,11.88,6300,11.72
2013-12-23,12.00,12.02,11.92,11.98,36100,11.82
2013-12-20,11.69,12.00,11.67,12.00,151700,11.84
2013-12-19,11.82,11.82,11.65,11.75,14100,11.59
2013-12-18,11.80,11.86,11.60,11.79,18200,11.63
2013-12-17,11.88,11.88,11.79,11.87,17500,11.71
2013-12-16,11.83,11.90,11.71,11.82,22000,11.66
2013-12-13,11.84,11.89,11.72,11.87,11500,11.71
2013-12-12,11.70,11.89,11.63,11.77,26100,11.61
2013-12-11,11.63,11.85,11.37,11.78,64000,11.62
2013-12-10,11.94,11.94,11.78,11.89,22900,11.64
2013-12-09,11.81,12.41,11.62,11.76,59400,11.52
2013-12-06,11.14,11.77,11.14,11.57,108000,11.33
2013-12-05,10.74,11.21,10.74,11.13,40800,10.90
2013-12-04,10.55,10.91,10.50,10.79,33700,10.57
2013-12-03,10.56,10.73,10.36,10.53,25000,10.31
2013-12-02,10.53,10.59,10.02,10.52,26400,10.30
2013-11-29,10.67,10.72,10.33,10.64,12700,10.42
2013-11-27,11.21,11.22,10.34,10.75,55700,10.53
2013-11-26,11.24,11.51,10.91,11.09,137400,10.86
2013-11-25,10.30,10.95,10.19,10.76,60900,10.54
2013-11-22,10.19,10.31,10.19,10.30,51100,10.09
2013-11-21,9.88,10.30,9.79,10.19,69700,9.98
2013-11-20,9.56,9.90,9.53,9.79,63800,9.59
2013-11-19,9.16,9.62,9.16,9.49,42600,9.29
2013-11-18,9.11,9.30,9.10,9.19,21100,9.00
2013-11-15,9.11,9.17,9.06,9.10,40400,8.91
2013-11-14,9.11,9.11,8.95,9.03,10200,8.84
