Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,15.33,15.44,15.33,15.44,46200,15.44
2014-06-12,15.27,15.38,15.27,15.38,30400,15.38
2014-06-11,15.28,15.32,15.28,15.32,59900,15.32
2014-06-10,15.27,15.29,15.25,15.29,43600,15.29
2014-06-09,15.27,15.29,15.24,15.28,24100,15.28
2014-06-06,15.21,15.28,15.14,15.27,44200,15.27
2014-06-05,15.20,15.27,15.16,15.27,29000,15.27
2014-06-04,15.19,15.22,15.13,15.16,76700,15.16
2014-06-03,15.19,15.21,15.17,15.19,59900,15.19
2014-06-02,15.29,15.30,15.17,15.24,54800,15.24
2014-05-30,15.27,15.30,15.27,15.30,49500,15.30
2014-05-29,15.29,15.30,15.27,15.28,41800,15.28
2014-05-28,15.27,15.30,15.27,15.30,39800,15.30
2014-05-27,15.30,15.30,15.26,15.28,58700,15.28
2014-05-23,15.29,15.31,15.26,15.30,30800,15.30
2014-05-22,15.30,15.30,15.26,15.30,27800,15.30
2014-05-21,15.20,15.30,15.16,15.28,94800,15.28
2014-05-20,15.29,15.30,15.25,15.26,52000,15.17
2014-05-19,15.23,15.29,15.23,15.29,86100,15.20
2014-05-16,15.29,15.31,15.26,15.29,52200,15.20
2014-05-15,15.27,15.29,15.26,15.29,38900,15.20
2014-05-14,15.30,15.35,15.26,15.27,121600,15.18
2014-05-13,15.22,15.31,15.22,15.30,73800,15.21
2014-05-12,15.21,15.23,15.19,15.23,75600,15.14
2014-05-09,15.19,15.23,15.19,15.20,216600,15.11
2014-05-08,15.19,15.22,15.19,15.22,39600,15.13
2014-05-07,15.17,15.23,15.16,15.21,66100,15.12
2014-05-06,15.15,15.22,15.15,15.21,87900,15.12
2014-05-05,15.19,15.19,15.16,15.18,46000,15.09
2014-05-02,15.17,15.21,15.16,15.21,64100,15.12
2014-05-01,15.16,15.23,15.16,15.20,78500,15.11
2014-04-30,15.17,15.21,15.17,15.18,74900,15.09
2014-04-29,15.20,15.22,15.15,15.18,100600,15.09
2014-04-28,15.25,15.30,15.20,15.20,67500,15.11
2014-04-25,15.17,15.31,15.17,15.28,24000,15.19
2014-04-24,15.23,15.23,15.16,15.23,66000,15.14
2014-04-23,15.16,15.32,15.16,15.30,27000,15.21
2014-04-22,15.15,15.20,15.15,15.19,35100,15.10
2014-04-21,15.08,15.18,15.08,15.18,56300,15.09
2014-04-17,15.12,15.19,15.12,15.18,56500,15.00
2014-04-16,15.13,15.16,15.10,15.14,101700,14.96
2014-04-15,15.15,15.17,15.13,15.14,80400,14.96
2014-04-14,15.18,15.19,15.17,15.18,66500,15.00
2014-04-11,15.14,15.18,15.14,15.16,61400,14.98
2014-04-10,15.16,15.19,15.15,15.15,45500,14.97
2014-04-09,15.12,15.17,15.12,15.15,89000,14.97
2014-04-08,15.20,15.20,15.12,15.15,51500,14.97
2014-04-07,15.20,15.23,15.20,15.22,45200,15.04
2014-04-04,15.12,15.26,15.12,15.23,114500,15.05
2014-04-03,15.10,15.15,15.10,15.11,89100,14.93
2014-04-02,15.18,15.22,15.11,15.12,110300,14.94
2014-04-01,15.14,15.23,15.14,15.23,78700,15.05
2014-03-31,15.15,15.19,15.12,15.19,52400,15.01
2014-03-28,15.11,15.19,15.08,15.19,52700,15.01
2014-03-27,15.12,15.13,15.08,15.08,48100,14.90
2014-03-26,15.17,15.17,15.12,15.14,33900,14.96
2014-03-25,15.14,15.19,15.14,15.18,61700,15.00
2014-03-24,15.21,15.21,15.09,15.16,63400,14.98
2014-03-21,15.15,15.19,15.08,15.17,61000,14.99
2014-03-20,15.16,15.17,15.06,15.13,59200,14.95
2014-03-19,15.25,15.29,15.21,15.26,125600,14.99
2014-03-18,15.22,15.34,15.22,15.24,157400,14.97
2014-03-17,15.19,15.27,15.18,15.23,134800,14.96
2014-03-14,15.22,15.22,15.15,15.19,62500,14.92
2014-03-13,15.13,15.21,15.13,15.21,54300,14.94
2014-03-12,15.12,15.21,15.11,15.15,66900,14.88
2014-03-11,15.11,15.16,15.11,15.14,73400,14.87
2014-03-10,15.15,15.22,15.15,15.16,69400,14.89
2014-03-07,15.27,15.27,15.17,15.19,52900,14.92
2014-03-06,15.25,15.30,15.24,15.29,40000,15.02
2014-03-05,15.25,15.28,15.21,15.25,54300,14.98
2014-03-04,15.20,15.30,15.18,15.27,52300,15.00
2014-03-03,15.17,15.23,15.13,15.23,75600,14.96
2014-02-28,15.27,15.27,15.16,15.24,63800,14.97
2014-02-27,15.20,15.26,15.18,15.26,72800,14.99
2014-02-26,15.17,15.20,15.15,15.19,36600,14.92
2014-02-25,15.23,15.24,15.18,15.19,51300,14.92
2014-02-24,15.12,15.25,15.11,15.23,63300,14.96
2014-02-21,15.18,15.23,15.16,15.23,30600,14.96
2014-02-20,15.18,15.21,15.17,15.19,42900,14.92
2014-02-19,15.21,15.23,15.18,15.20,36100,14.93
2014-02-18,15.28,15.29,15.25,15.27,49300,14.91
2014-02-14,15.25,15.32,15.25,15.32,55400,14.96
2014-02-13,15.21,15.25,15.20,15.22,55800,14.86
2014-02-12,15.24,15.27,15.22,15.25,68300,14.89
2014-02-11,15.21,15.27,15.20,15.27,71800,14.91
2014-02-10,15.21,15.25,15.20,15.25,46200,14.89
2014-02-07,15.24,15.25,15.20,15.25,81300,14.89
2014-02-06,15.21,15.27,15.21,15.25,57600,14.89
2014-02-05,15.30,15.34,15.19,15.21,47500,14.85
2014-02-04,15.28,15.34,15.24,15.32,38300,14.96
2014-02-03,15.35,15.39,15.28,15.30,35900,14.94
2014-01-31,15.27,15.38,15.21,15.32,53400,14.96
2014-01-30,15.34,15.40,15.27,15.38,53200,15.02
2014-01-29,15.45,15.45,15.23,15.33,62400,14.97
2014-01-28,15.42,15.54,15.40,15.53,36200,15.17
2014-01-27,15.65,15.67,15.40,15.46,76400,15.10
2014-01-24,15.76,15.79,15.61,15.70,58800,15.33
2014-01-23,15.67,15.85,15.65,15.85,81100,15.48
2014-01-22,15.63,15.70,15.60,15.67,86200,15.30
2014-01-21,15.70,15.78,15.69,15.73,69200,15.27
2014-01-17,15.61,15.75,15.57,15.72,115700,15.26
2014-01-16,15.68,15.71,15.65,15.70,40300,15.24
2014-01-15,15.75,15.75,15.67,15.73,116500,15.27
2014-01-14,15.66,15.75,15.62,15.74,82500,15.28
2014-01-13,15.62,15.73,15.62,15.71,36300,15.25
2014-01-10,15.58,15.70,15.53,15.70,76100,15.24
2014-01-09,15.57,15.63,15.53,15.62,63700,15.17
2014-01-08,15.44,15.64,15.41,15.60,77900,15.15
2014-01-07,15.46,15.52,15.41,15.49,86400,15.04
2014-01-06,15.36,15.51,15.36,15.50,42500,15.05
2014-01-03,15.26,15.39,15.23,15.39,62400,14.94
2014-01-02,15.28,15.32,15.23,15.29,57100,14.85
2013-12-31,15.30,15.36,15.26,15.27,55800,14.83
2013-12-30,15.36,15.39,15.25,15.35,62900,14.90
2013-12-27,15.37,15.44,15.35,15.39,45800,14.94
2013-12-26,15.45,15.46,15.34,15.41,63100,14.96
2013-12-24,15.43,15.45,15.36,15.45,48900,15.00
2013-12-23,15.23,15.48,15.21,15.43,74700,14.98
2013-12-20,15.18,15.26,15.14,15.23,100200,14.79
2013-12-19,15.20,15.26,15.20,15.25,84400,14.72
2013-12-18,15.17,15.26,15.13,15.25,105300,14.72
2013-12-17,15.22,15.23,15.10,15.19,83000,14.66
2013-12-16,15.18,15.24,15.15,15.23,63100,14.70
2013-12-13,15.17,15.22,15.08,15.20,82700,14.67
2013-12-12,15.17,15.24,15.15,15.24,74100,14.71
2013-12-11,15.15,15.20,15.10,15.17,105500,14.64
2013-12-10,15.15,15.19,15.14,15.15,140000,14.62
2013-12-09,15.20,15.20,15.12,15.17,209000,14.64
2013-12-06,15.16,15.24,15.11,15.19,133600,14.66
2013-12-05,15.08,15.20,15.08,15.17,62600,14.64
2013-12-04,15.09,15.16,15.08,15.12,55700,14.59
2013-12-03,15.14,15.19,15.12,15.14,71400,14.61
2013-12-02,15.21,15.26,15.15,15.15,74500,14.62
2013-11-29,15.20,15.30,15.19,15.24,20200,14.71
2013-11-27,15.15,15.28,15.12,15.27,47900,14.74
2013-11-26,15.20,15.23,15.16,15.21,40400,14.68
2013-11-25,15.24,15.27,15.23,15.23,43500,14.70
