Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,12.36,12.46,12.05,12.30,276400,12.30
2014-06-12,12.71,12.76,12.13,12.38,343800,12.38
2014-06-11,12.64,12.96,12.51,12.68,219500,12.68
2014-06-10,12.74,12.83,12.64,12.67,167200,12.67
2014-06-09,12.65,12.85,12.49,12.76,179500,12.76
2014-06-06,12.43,12.78,12.35,12.68,281700,12.68
2014-06-05,12.16,12.44,11.92,12.34,240500,12.34
2014-06-04,11.83,12.11,11.83,12.08,209200,12.08
2014-06-03,12.21,12.24,11.86,11.90,355900,11.90
2014-06-02,12.20,12.40,12.03,12.29,243300,12.29
2014-05-30,12.48,12.51,12.07,12.22,383300,12.22
2014-05-29,12.57,12.57,12.35,12.48,237800,12.48
2014-05-28,12.54,12.70,12.43,12.49,315300,12.49
2014-05-27,12.51,12.61,12.29,12.61,382400,12.61
2014-05-23,13.03,13.08,12.41,12.48,507900,12.48
2014-05-22,12.31,12.97,12.27,12.89,760600,12.89
2014-05-21,10.45,12.48,10.45,12.45,1355800,12.45
2014-05-20,10.55,10.57,10.32,10.46,390800,10.46
2014-05-19,10.53,10.68,10.50,10.59,290900,10.59
2014-05-16,10.45,10.61,10.32,10.59,343200,10.59
2014-05-15,10.54,10.58,10.30,10.47,376200,10.47
2014-05-14,11.04,11.08,10.60,10.60,404100,10.60
2014-05-13,11.16,11.21,10.87,11.08,338800,11.08
2014-05-12,10.70,11.31,10.70,11.20,684800,11.20
2014-05-09,10.40,10.77,10.27,10.68,251900,10.68
2014-05-08,10.37,10.82,10.32,10.44,282100,10.44
2014-05-07,10.45,10.45,10.23,10.37,380300,10.37
2014-05-06,10.52,10.61,10.38,10.41,318000,10.41
2014-05-05,10.71,10.75,10.47,10.57,370100,10.57
2014-05-02,10.62,10.97,10.62,10.76,387300,10.76
2014-05-01,10.38,10.70,10.22,10.60,534500,10.60
2014-04-30,10.97,11.04,9.80,10.43,1528000,10.43
2014-04-29,11.11,11.22,11.00,11.08,376100,11.08
2014-04-28,11.14,11.16,10.91,11.04,624500,11.04
2014-04-25,10.99,11.17,10.90,11.12,348000,11.12
2014-04-24,11.01,11.25,10.97,11.00,267800,11.00
2014-04-23,11.16,11.37,11.00,11.00,355800,11.00
2014-04-22,11.07,11.21,11.02,11.14,308200,11.14
2014-04-21,11.05,11.19,10.98,11.08,280100,11.08
2014-04-17,11.04,11.14,10.96,11.00,290100,11.00
2014-04-16,11.10,11.17,11.00,11.02,338500,11.02
2014-04-15,11.23,11.24,10.91,11.05,425200,11.05
2014-04-14,11.25,11.34,11.01,11.16,360800,11.16
2014-04-11,11.09,11.26,10.90,11.11,456700,11.11
2014-04-10,10.99,11.47,10.72,11.22,901800,11.22
2014-04-09,10.68,10.80,10.52,10.74,319600,10.74
2014-04-08,10.84,10.87,10.50,10.63,515100,10.63
2014-04-07,10.84,10.88,10.54,10.63,727500,10.63
2014-04-04,11.24,11.40,10.82,10.93,393700,10.93
2014-04-03,11.60,11.64,11.16,11.16,437300,11.16
2014-04-02,11.28,11.56,11.22,11.54,572800,11.54
2014-04-01,10.80,11.30,10.80,11.19,486700,11.19
2014-03-31,10.94,11.06,10.76,10.79,352500,10.79
2014-03-28,10.79,11.13,10.69,10.84,251800,10.84
2014-03-27,10.70,11.06,10.55,10.80,356500,10.80
2014-03-26,11.25,11.52,10.58,10.70,814900,10.70
2014-03-25,11.47,11.69,11.17,11.18,403000,11.18
2014-03-24,12.23,12.53,10.89,11.37,1262500,11.37
2014-03-21,12.22,12.41,12.16,12.23,784300,12.23
2014-03-20,12.22,12.36,12.15,12.21,270900,12.21
2014-03-19,12.47,12.59,12.24,12.27,378400,12.27
2014-03-18,12.22,12.56,12.22,12.44,397900,12.44
2014-03-17,12.11,12.24,12.02,12.19,359800,12.19
2014-03-14,12.21,12.48,12.07,12.12,502100,12.12
2014-03-13,12.84,13.11,12.14,12.29,672500,12.29
2014-03-12,12.74,12.88,12.73,12.80,263700,12.80
2014-03-11,12.93,13.08,12.74,12.82,243900,12.82
2014-03-10,13.04,13.21,12.71,12.90,417200,12.90
2014-03-07,12.85,13.41,12.85,13.05,506400,13.05
2014-03-06,12.90,13.08,12.75,12.82,345400,12.82
2014-03-05,12.67,12.99,12.56,12.89,437100,12.89
2014-03-04,12.41,12.99,12.41,12.72,449100,12.72
2014-03-03,12.50,12.52,12.11,12.27,461500,12.27
2014-02-28,12.57,12.84,12.46,12.64,572100,12.64
2014-02-27,12.33,12.60,12.15,12.55,387400,12.55
2014-02-26,12.71,12.86,12.10,12.32,633700,12.32
2014-02-25,12.92,13.09,12.58,12.69,403800,12.69
2014-02-24,12.61,13.26,12.50,12.94,745400,12.94
2014-02-21,12.22,12.62,12.15,12.55,626300,12.55
2014-02-20,12.70,12.83,12.01,12.18,1195600,12.18
2014-02-19,13.01,13.05,12.72,12.73,404600,12.73
2014-02-18,13.15,13.24,12.84,13.11,434400,13.11
2014-02-14,13.34,13.55,12.96,13.15,575300,13.15
2014-02-13,12.36,13.39,12.25,13.31,762400,13.31
2014-02-12,12.61,12.80,12.15,12.43,746900,12.43
2014-02-11,12.23,12.87,12.10,12.62,1177900,12.62
2014-02-10,11.37,12.49,11.31,12.11,1359800,12.11
2014-02-07,11.38,11.44,11.08,11.33,412700,11.33
2014-02-06,11.03,11.41,10.91,11.31,464400,11.31
2014-02-05,11.06,11.15,10.82,10.98,767600,10.98
2014-02-04,11.07,11.30,10.97,11.08,800500,11.08
2014-02-03,11.35,11.37,10.92,11.00,824300,11.00
2014-01-31,11.12,11.25,10.97,10.98,653100,10.98
2014-01-30,11.14,11.72,11.01,11.29,989000,11.29
2014-01-29,11.16,11.88,10.71,11.25,4561400,11.25
2014-01-28,9.93,10.00,9.22,9.35,1159500,9.35
2014-01-27,10.10,10.27,9.86,9.93,776200,9.93
2014-01-24,10.16,10.34,10.06,10.10,514600,10.10
2014-01-23,10.33,10.48,10.07,10.26,586600,10.26
2014-01-22,10.48,10.48,10.35,10.38,232500,10.38
2014-01-21,10.41,10.53,10.16,10.44,423600,10.44
2014-01-17,10.80,10.80,10.26,10.40,605400,10.40
2014-01-16,10.93,11.00,10.74,10.78,271100,10.78
2014-01-15,11.01,11.10,10.91,10.99,324900,10.99
2014-01-14,10.99,11.06,10.66,10.99,575000,10.99
2014-01-13,11.09,11.18,10.87,10.94,384600,10.94
2014-01-10,10.97,11.19,10.92,11.10,518300,11.10
2014-01-09,11.54,11.58,10.93,10.97,437900,10.97
2014-01-08,11.41,11.60,11.33,11.58,546500,11.58
2014-01-07,11.60,11.62,11.19,11.38,568800,11.38
2014-01-06,11.80,11.80,11.44,11.53,501900,11.53
2014-01-03,11.53,11.92,11.37,11.75,420600,11.75
2014-01-02,11.69,11.70,11.30,11.50,622900,11.50
2013-12-31,11.36,11.73,11.28,11.69,490100,11.69
2013-12-30,11.22,11.45,11.21,11.31,436800,11.31
2013-12-27,11.06,11.23,10.97,11.21,392300,11.21
2013-12-26,10.95,11.08,10.91,11.00,391100,11.00
2013-12-24,10.90,11.07,10.90,10.93,266000,10.93
2013-12-23,11.10,11.24,10.86,10.88,625100,10.88
2013-12-20,10.64,11.13,10.60,11.08,1252600,11.08
2013-12-19,10.53,10.69,10.47,10.59,410000,10.59
2013-12-18,10.52,10.73,10.42,10.58,894900,10.58
2013-12-17,10.62,10.75,10.43,10.48,517400,10.48
2013-12-16,10.39,10.66,10.32,10.62,591600,10.62
2013-12-13,10.10,10.50,10.07,10.31,374100,10.31
2013-12-12,10.14,10.22,9.99,10.12,544000,10.12
2013-12-11,10.30,10.39,10.02,10.12,579200,10.12
2013-12-10,10.40,10.76,10.26,10.31,523100,10.31
2013-12-09,10.64,10.77,9.85,10.33,1140900,10.33
2013-12-06,11.15,11.33,10.95,11.01,428400,11.01
2013-12-05,11.26,11.26,10.88,11.08,359300,11.08
2013-12-04,10.89,11.38,10.89,11.22,416200,11.22
2013-12-03,11.42,11.45,10.74,10.89,1000300,10.89
2013-12-02,11.67,11.71,11.38,11.48,497400,11.48
2013-11-29,11.76,11.77,11.64,11.68,234500,11.68
2013-11-27,11.73,11.81,11.65,11.71,442800,11.71
2013-11-26,11.78,11.85,11.68,11.75,365800,11.75
2013-11-25,11.97,11.97,11.66,11.79,645600,11.79
2013-11-22,12.16,12.16,11.75,11.94,584900,11.94
2013-11-21,11.83,12.29,11.69,12.14,489300,12.14
2013-11-20,12.14,12.16,11.80,11.84,289400,11.84
2013-11-19,12.28,12.31,11.97,12.13,353200,12.13
2013-11-18,11.87,12.30,11.87,12.24,496400,12.24
2013-11-15,12.04,12.12,11.65,11.80,364400,11.80
2013-11-14,11.79,12.12,11.63,12.05,479200,12.05
2013-11-13,11.80,11.84,11.64,11.79,313700,11.79
2013-11-12,11.98,12.00,11.74,11.79,623400,11.79
2013-11-11,11.34,12.07,11.34,11.96,1613800,11.96
2013-11-08,13.59,13.79,11.30,11.34,2663200,11.34
2013-11-07,14.74,14.80,13.20,13.58,2289800,13.58
2013-11-06,15.47,15.70,15.44,15.52,175000,15.52
2013-11-05,15.61,15.65,15.41,15.46,377500,15.46
2013-11-04,15.53,15.71,15.45,15.71,240100,15.71
2013-11-01,15.73,15.77,15.46,15.52,325300,15.52
2013-10-31,15.89,15.91,15.58,15.73,268800,15.73
2013-10-30,15.99,16.30,15.86,15.91,294200,15.91
2013-10-29,15.98,16.10,15.90,15.95,339100,15.95
2013-10-28,15.72,15.99,15.58,15.91,220600,15.91
2013-10-25,15.88,15.88,15.45,15.74,289300,15.74
2013-10-24,16.01,16.07,15.77,15.82,383800,15.82
2013-10-23,16.03,16.13,16.02,16.04,184300,16.04
2013-10-22,16.16,16.17,16.00,16.12,204900,16.12
2013-10-21,16.18,16.28,16.09,16.12,283500,16.12
2013-10-18,16.04,16.35,15.90,16.18,595100,16.18
2013-10-17,15.79,15.93,15.79,15.92,363800,15.92
2013-10-16,15.92,15.99,15.56,15.90,512700,15.90
2013-10-15,16.00,16.09,15.63,15.86,263000,15.86
2013-10-14,15.99,16.04,15.90,16.02,296200,16.02
