Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,3.59,3.64,3.55,3.62,2671700,3.62
2014-06-12,3.58,3.63,3.56,3.61,3773500,3.61
2014-06-11,3.64,3.67,3.56,3.64,1822200,3.64
2014-06-10,3.62,3.67,3.62,3.64,1762200,3.64
2014-06-09,3.57,3.64,3.55,3.57,1031800,3.57
2014-06-06,3.54,3.59,3.51,3.59,1124900,3.59
2014-06-05,3.50,3.56,3.48,3.53,1792300,3.53
2014-06-04,3.50,3.55,3.47,3.47,1576800,3.47
2014-06-03,3.54,3.56,3.47,3.48,2453900,3.48
2014-06-02,3.48,3.54,3.46,3.50,1656400,3.50
2014-05-30,3.51,3.54,3.46,3.54,3229100,3.54
2014-05-29,3.48,3.54,3.45,3.51,2056400,3.51
2014-05-28,3.61,3.64,3.49,3.53,3536900,3.53
2014-05-27,3.81,3.81,3.63,3.64,4028000,3.64
2014-05-23,3.89,3.94,3.84,3.91,2136700,3.91
2014-05-22,3.96,4.00,3.90,3.90,1888600,3.90
2014-05-21,3.93,3.96,3.90,3.91,1351400,3.91
2014-05-20,3.93,3.96,3.87,3.89,1479600,3.89
2014-05-19,4.00,4.04,3.97,3.97,1655600,3.97
2014-05-16,3.94,3.98,3.90,3.90,1653900,3.90
2014-05-15,3.93,3.97,3.90,3.93,1365100,3.93
2014-05-14,3.96,3.99,3.92,3.93,1676700,3.93
2014-05-13,3.96,3.99,3.92,3.92,1609600,3.92
2014-05-12,3.98,4.03,3.94,3.99,2229800,3.99
2014-05-09,4.03,4.05,3.95,3.97,1992900,3.97
2014-05-08,4.05,4.14,4.03,4.10,3162500,4.10
2014-05-07,4.13,4.15,4.04,4.05,2557500,4.05
2014-05-06,4.23,4.24,4.10,4.14,1550600,4.14
2014-05-05,4.25,4.26,4.14,4.21,2041300,4.21
2014-05-02,4.14,4.21,4.11,4.20,2258800,4.20
2014-05-01,4.13,4.20,4.07,4.16,1960500,4.16
2014-04-30,4.11,4.25,4.10,4.23,3151500,4.23
2014-04-29,4.11,4.22,4.08,4.18,2791300,4.18
2014-04-28,4.28,4.29,4.20,4.24,2973100,4.24
2014-04-25,4.08,4.33,4.06,4.32,4079100,4.32
2014-04-24,4.03,4.12,4.03,4.03,3280000,4.03
2014-04-23,3.99,4.15,3.98,4.11,2614600,4.11
2014-04-22,3.97,4.01,3.92,3.98,4158300,3.98
2014-04-21,3.89,3.98,3.77,3.91,5618300,3.91
2014-04-17,4.04,4.05,3.93,3.94,3528500,3.94
2014-04-16,4.00,4.10,3.99,4.06,4284000,4.06
2014-04-15,3.93,4.07,3.89,4.03,5657300,4.03
2014-04-14,4.09,4.16,4.05,4.08,3434100,4.08
2014-04-11,4.10,4.16,4.03,4.05,3763300,4.05
2014-04-10,4.11,4.16,4.02,4.05,4746700,4.05
2014-04-09,4.01,4.15,3.96,4.07,4545600,4.07
2014-04-08,3.89,3.98,3.89,3.96,3666700,3.96
2014-04-07,3.82,3.89,3.76,3.80,3198500,3.80
2014-04-04,3.91,3.93,3.79,3.81,3199800,3.81
2014-04-03,3.78,3.86,3.76,3.85,2807800,3.85
2014-04-02,3.87,3.88,3.78,3.81,5165300,3.81
2014-04-01,3.75,3.77,3.66,3.71,5381100,3.71
2014-03-31,3.87,3.89,3.66,3.69,5886400,3.69
2014-03-28,3.91,3.96,3.85,3.90,5148500,3.90
2014-03-27,3.87,3.89,3.76,3.88,4761400,3.88
2014-03-26,4.06,4.07,3.84,3.85,5509800,3.85
2014-03-25,4.04,4.12,4.03,4.05,3841400,4.05
2014-03-24,4.01,4.06,3.92,3.92,5756900,3.92
2014-03-21,4.15,4.19,4.02,4.07,13724300,4.07
2014-03-20,4.05,4.15,3.99,4.06,6160900,4.06
2014-03-19,4.09,4.14,3.92,3.94,7333600,3.94
2014-03-18,4.07,4.12,4.04,4.10,9704300,4.10
2014-03-17,4.32,4.34,4.09,4.12,10160400,4.12
2014-03-14,4.30,4.37,4.15,4.36,7991700,4.36
2014-03-13,4.15,4.28,4.11,4.28,5829800,4.28
2014-03-12,4.06,4.22,4.03,4.20,9271100,4.20
2014-03-11,3.92,4.01,3.92,4.00,6873000,4.00
2014-03-10,3.77,3.91,3.75,3.83,4738000,3.83
2014-03-07,3.79,3.90,3.75,3.77,7261700,3.77
2014-03-06,3.70,3.87,3.70,3.86,6307500,3.86
2014-03-05,3.59,3.66,3.54,3.65,7490200,3.65
2014-03-04,3.66,3.71,3.60,3.60,6561700,3.58
2014-03-03,3.82,3.87,3.72,3.74,17042400,3.72
2014-02-28,3.79,3.83,3.69,3.69,6447700,3.67
2014-02-27,3.75,3.80,3.71,3.75,4223100,3.73
2014-02-26,3.79,3.79,3.68,3.72,5561200,3.70
2014-02-25,3.93,3.96,3.84,3.86,3591300,3.84
2014-02-24,4.07,4.08,3.96,3.99,3777300,3.97
2014-02-21,3.99,4.04,3.93,4.02,4610500,4.00
2014-02-20,3.86,3.98,3.84,3.96,7008900,3.94
2014-02-19,4.01,4.05,3.92,3.96,10629000,3.94
2014-02-18,4.06,4.11,4.00,4.10,5305500,4.08
2014-02-14,4.02,4.22,4.00,4.09,7882600,4.07
2014-02-13,3.67,3.92,3.67,3.90,9008700,3.88
2014-02-12,3.95,3.98,3.78,3.81,5972700,3.79
2014-02-11,3.75,4.03,3.73,3.96,10142700,3.94
2014-02-10,3.60,3.74,3.60,3.69,5073400,3.67
