Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,10.07,10.08,9.96,10.02,170700,10.02
2014-06-12,10.62,10.62,10.54,10.54,113700,10.14
2014-06-11,10.75,10.81,10.70,10.79,116900,10.17
2014-06-10,10.69,10.76,10.63,10.75,81600,10.14
2014-06-09,10.65,10.69,10.61,10.68,112000,10.07
2014-06-06,10.54,10.63,10.54,10.61,151300,10.00
2014-06-05,10.71,10.74,10.52,10.54,302000,9.94
2014-06-04,10.73,10.75,10.70,10.72,79300,10.11
2014-06-03,10.75,10.77,10.70,10.73,77300,10.12
2014-06-02,10.70,10.74,10.66,10.74,77700,10.13
2014-05-30,10.68,10.72,10.64,10.65,44800,10.04
2014-05-29,10.69,10.76,10.62,10.63,58400,10.02
2014-05-28,10.70,10.78,10.66,10.67,62200,10.06
2014-05-27,10.76,10.82,10.64,10.70,104600,10.09
2014-05-23,10.53,10.78,10.53,10.68,67700,10.07
2014-05-22,10.38,10.57,10.34,10.53,66600,9.93
2014-05-21,10.34,10.39,10.32,10.34,64400,9.75
2014-05-20,10.41,10.41,10.29,10.35,38900,9.76
2014-05-19,10.32,10.40,10.32,10.38,37300,9.79
2014-05-16,10.26,10.31,10.21,10.31,72600,9.72
2014-05-15,10.21,10.26,10.11,10.22,96600,9.64
2014-05-14,10.30,10.32,10.24,10.27,47700,9.68
2014-05-13,10.28,10.34,10.25,10.31,33100,9.72
2014-05-12,10.23,10.32,10.23,10.28,61500,9.69
2014-05-09,10.19,10.22,10.14,10.21,34600,9.63
2014-05-08,10.19,10.26,10.14,10.17,58000,9.59
2014-05-07,10.15,10.19,10.07,10.19,41900,9.61
2014-05-06,10.12,10.19,10.12,10.15,47500,9.57
2014-05-05,10.07,10.21,10.06,10.18,85100,9.60
2014-05-02,10.09,10.21,10.09,10.17,62400,9.59
2014-05-01,10.04,10.20,10.04,10.16,47500,9.58
2014-04-30,9.98,10.08,9.96,10.07,93100,9.49
2014-04-29,9.99,10.05,9.97,9.99,124500,9.42
2014-04-28,10.14,10.15,9.95,10.01,225700,9.44
2014-04-25,10.23,10.23,10.10,10.15,66600,9.57
2014-04-24,10.25,10.28,10.17,10.21,32700,9.63
2014-04-23,10.21,10.23,10.18,10.23,50100,9.65
2014-04-22,10.09,10.20,10.09,10.19,57400,9.61
2014-04-21,10.11,10.15,10.04,10.08,54400,9.50
2014-04-17,10.09,10.12,10.06,10.07,56500,9.49
2014-04-16,10.02,10.10,10.02,10.09,59600,9.51
2014-04-15,10.15,10.20,9.83,10.00,233500,9.43
2014-04-14,10.44,10.50,10.14,10.17,122300,9.59
2014-04-11,10.56,10.59,10.43,10.44,40000,9.84
