Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,12.89,12.90,12.79,12.87,65100,12.87
2014-06-12,12.90,12.92,12.81,12.86,135300,12.86
2014-06-11,12.88,12.91,12.84,12.90,66400,12.90
2014-06-10,12.95,12.97,12.85,12.97,131700,12.97
2014-06-09,12.88,12.94,12.88,12.94,106300,12.94
2014-06-06,12.82,12.91,12.79,12.91,132100,12.91
2014-06-05,12.83,12.87,12.75,12.86,110000,12.86
2014-06-04,12.84,12.85,12.76,12.84,179900,12.84
2014-06-03,12.77,12.86,12.73,12.86,154400,12.86
2014-06-02,12.80,12.93,12.72,12.87,320600,12.87
2014-05-30,12.66,12.83,12.64,12.80,167500,12.80
2014-05-29,12.56,12.68,12.53,12.67,181600,12.67
2014-05-28,12.55,12.59,12.52,12.57,76800,12.57
2014-05-27,12.51,12.59,12.50,12.58,163000,12.58
2014-05-23,12.46,12.51,12.46,12.51,79100,12.51
2014-05-22,12.53,12.53,12.39,12.50,103200,12.50
2014-05-21,12.47,12.51,12.43,12.50,226400,12.50
2014-05-20,12.45,12.46,12.35,12.41,66000,12.41
2014-05-19,12.42,12.44,12.36,12.44,76400,12.44
2014-05-16,12.34,12.50,12.30,12.48,104600,12.48
2014-05-15,12.44,12.44,12.22,12.33,177000,12.33
2014-05-14,12.45,12.51,12.42,12.48,127900,12.48
2014-05-13,12.61,12.64,12.56,12.60,79900,12.51
2014-05-12,12.56,12.61,12.50,12.60,96400,12.51
2014-05-09,12.58,12.58,12.46,12.55,64400,12.46
2014-05-08,12.62,12.63,12.56,12.59,75500,12.50
2014-05-07,12.72,12.72,12.61,12.66,108200,12.56
2014-05-06,12.70,12.74,12.67,12.70,97800,12.60
2014-05-05,12.63,12.77,12.59,12.75,146600,12.65
2014-05-02,12.58,12.66,12.57,12.66,71600,12.56
2014-05-01,12.53,12.65,12.50,12.59,128500,12.50
2014-04-30,12.49,12.52,12.45,12.52,254400,12.43
2014-04-29,12.50,12.53,12.44,12.49,353300,12.40
2014-04-28,12.47,12.55,12.44,12.49,116600,12.40
2014-04-25,12.46,12.50,12.46,12.47,192000,12.38
2014-04-24,12.49,12.53,12.46,12.50,213100,12.41
2014-04-23,12.49,12.55,12.47,12.49,196400,12.40
2014-04-22,12.46,12.57,12.46,12.51,309100,12.42
2014-04-21,12.50,12.55,12.43,12.54,54500,12.45
2014-04-17,12.46,12.47,12.40,12.45,126800,12.36
2014-04-16,12.37,12.49,12.37,12.45,132000,12.36
2014-04-15,12.31,12.47,12.25,12.39,124900,12.30
2014-04-14,12.41,12.45,12.34,12.42,123700,12.23
2014-04-11,12.53,12.56,12.36,12.36,79600,12.17
2014-04-10,12.60,12.68,12.53,12.56,140800,12.37
2014-04-09,12.56,12.61,12.53,12.59,272800,12.40
2014-04-08,12.66,12.66,12.55,12.55,110900,12.36
2014-04-07,12.82,12.82,12.62,12.69,72200,12.50
2014-04-04,12.99,13.06,12.82,12.84,142200,12.65
2014-04-03,12.92,12.92,12.83,12.89,51400,12.69
2014-04-02,12.86,12.90,12.81,12.89,130800,12.69
2014-04-01,12.72,12.92,12.72,12.89,191500,12.69
2014-03-31,12.79,12.82,12.71,12.75,125400,12.56
2014-03-28,12.87,12.92,12.73,12.75,84400,12.56
2014-03-27,12.95,12.95,12.80,12.83,72600,12.64
2014-03-26,13.09,13.10,12.95,12.95,96700,12.75
2014-03-25,13.04,13.09,13.00,13.09,78800,12.89
2014-03-24,13.10,13.13,13.00,13.03,63300,12.83
2014-03-21,13.02,13.14,13.02,13.10,52700,12.90
2014-03-20,13.03,13.10,13.00,13.07,291700,12.87
2014-03-19,13.10,13.17,12.99,13.02,46500,12.82
2014-03-18,13.07,13.14,13.06,13.12,49600,12.92
2014-03-17,13.00,13.09,13.00,13.09,83300,12.89
2014-03-14,12.97,13.03,12.92,12.98,57300,12.78
2014-03-13,13.12,13.18,13.05,13.10,70800,12.81
2014-03-12,13.12,13.17,13.05,13.13,72100,12.84
2014-03-11,13.08,13.24,13.06,13.19,70400,12.90
2014-03-10,13.08,13.12,13.04,13.10,57500,12.81
2014-03-07,13.21,13.21,13.13,13.16,53300,12.87
2014-03-06,13.10,13.21,13.07,13.21,58400,12.92
2014-03-05,13.13,13.14,13.07,13.09,77900,12.80
2014-03-04,13.15,13.19,13.02,13.18,75500,12.89
2014-03-03,12.97,13.09,12.95,13.09,102100,12.80
2014-02-28,13.03,13.13,12.99,13.07,106200,12.78
2014-02-27,12.91,13.04,12.88,13.04,93100,12.75
