Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,15.56,15.58,15.48,15.54,29500,15.54
2014-06-12,15.40,15.47,15.39,15.43,9200,15.43
2014-06-11,15.48,15.48,15.30,15.34,33300,15.34
2014-06-10,15.43,15.47,15.31,15.44,34200,15.44
2014-06-09,15.39,15.47,15.36,15.43,19700,15.43
2014-06-06,15.45,15.48,15.35,15.43,18200,15.43
2014-06-05,15.31,15.44,15.31,15.40,17400,15.40
2014-06-04,15.26,15.45,15.26,15.36,24700,15.36
2014-06-03,15.38,15.38,15.27,15.33,17600,15.33
2014-06-02,15.28,15.40,15.23,15.38,28300,15.38
2014-05-30,15.24,15.35,15.17,15.31,27300,15.31
2014-05-29,15.20,15.32,15.16,15.23,21700,15.23
2014-05-28,15.19,15.20,15.11,15.17,15600,15.17
2014-05-27,15.06,15.20,15.06,15.17,41700,15.17
2014-05-23,15.07,15.16,15.01,15.12,13000,15.12
2014-05-22,15.04,15.05,14.93,15.03,34600,15.03
2014-05-21,14.95,15.04,14.87,15.00,10600,15.00
2014-05-20,14.90,14.98,14.88,14.95,6000,14.95
2014-05-19,15.06,15.06,14.90,14.94,16200,14.94
2014-05-16,14.95,15.06,14.95,15.05,9700,15.05
2014-05-15,15.07,15.07,14.95,14.98,20200,14.98
2014-05-14,15.14,15.20,15.08,15.12,23000,15.12
2014-05-13,15.15,15.18,15.10,15.17,22700,15.07
2014-05-12,15.17,15.17,15.08,15.10,14600,15.00
2014-05-09,15.24,15.24,15.02,15.06,28400,14.96
2014-05-08,15.29,15.37,15.18,15.20,28900,15.09
2014-05-07,15.40,15.40,15.31,15.36,8600,15.25
2014-05-06,15.40,15.40,15.30,15.34,14300,15.23
2014-05-05,15.33,15.41,15.27,15.41,3300,15.30
2014-05-02,15.35,15.35,15.28,15.29,12100,15.18
2014-05-01,15.14,15.36,15.10,15.32,23600,15.21
2014-04-30,15.17,16.44,15.08,15.20,20700,15.09
2014-04-29,15.01,15.14,15.01,15.11,15100,15.01
2014-04-28,15.01,15.13,14.94,15.03,19600,14.93
2014-04-25,15.08,15.08,14.94,15.05,35700,14.95
2014-04-24,15.01,15.06,15.00,15.03,14600,14.93
2014-04-23,15.07,15.10,14.99,15.07,17000,14.97
2014-04-22,15.02,15.08,14.87,15.07,123900,14.97
2014-04-21,14.81,14.95,14.81,14.93,16500,14.83
2014-04-17,14.73,14.95,14.73,14.95,27800,14.85
2014-04-16,14.72,14.93,14.72,14.82,13400,14.72
2014-04-15,14.76,14.83,14.63,14.72,36300,14.62
2014-04-14,14.91,14.91,14.73,14.79,20400,14.58
2014-04-11,14.91,14.91,14.79,14.79,9100,14.58
2014-04-10,14.95,15.00,14.89,14.91,39200,14.70
2014-04-09,15.02,15.02,14.85,14.98,30800,14.77
2014-04-08,15.01,15.01,14.84,14.93,36500,14.72
2014-04-07,15.15,15.15,15.01,15.03,14000,14.82
2014-04-04,15.45,15.45,15.15,15.21,17200,15.00
2014-04-03,15.42,15.42,15.25,15.35,10800,15.14
2014-04-02,15.35,15.41,15.32,15.34,14700,15.13
2014-04-01,15.16,15.35,15.16,15.35,36700,15.14
2014-03-31,15.18,15.23,15.14,15.18,90500,14.97
2014-03-28,15.35,15.47,15.12,15.15,63900,14.94
2014-03-27,15.53,15.53,15.23,15.27,22300,15.06
2014-03-26,15.52,15.59,15.46,15.46,18500,15.24
2014-03-25,15.49,15.54,15.46,15.53,11200,15.31
2014-03-24,15.62,15.65,15.46,15.47,14600,15.25
2014-03-21,15.57,15.67,15.57,15.66,8000,15.44
2014-03-20,15.62,15.62,15.52,15.57,17500,15.35
2014-03-19,15.70,15.74,15.50,15.60,9700,15.38
2014-03-18,15.68,15.68,15.55,15.60,23500,15.38
2014-03-17,15.56,15.62,15.41,15.57,64600,15.35
2014-03-14,15.69,15.69,15.48,15.48,20900,15.26
2014-03-13,15.86,15.86,15.68,15.70,13200,15.38
2014-03-12,15.68,15.74,15.63,15.72,12200,15.40
2014-03-11,15.67,15.78,15.66,15.68,33100,15.36
2014-03-10,15.85,15.85,15.65,15.70,11400,15.38
2014-03-07,15.91,15.91,15.77,15.83,12200,15.50
2014-03-06,15.85,15.91,15.80,15.89,29900,15.56
2014-03-05,15.73,15.85,15.70,15.74,15400,15.42
2014-03-04,15.81,15.81,15.55,15.76,9400,15.44
2014-03-03,15.73,15.73,15.46,15.67,31600,15.35
2014-02-28,15.67,15.70,15.56,15.65,11500,15.33
2014-02-27,15.55,15.62,15.55,15.60,16200,15.28
2014-02-26,15.36,15.55,15.36,15.55,20100,15.23
2014-02-25,15.53,15.54,15.43,15.45,14600,15.13
2014-02-24,15.36,15.45,15.30,15.45,30400,15.13
2014-02-21,15.29,15.31,15.27,15.30,16500,14.99
2014-02-20,15.15,15.36,15.15,15.27,21900,14.96
2014-02-19,15.35,15.36,15.15,15.18,39900,14.87
2014-02-18,15.38,15.41,15.32,15.39,11400,15.07
2014-02-14,15.38,15.40,15.23,15.40,10400,15.08
2014-02-13,15.20,15.38,15.20,15.37,13200,15.05
2014-02-12,15.13,15.36,15.12,15.30,28600,14.99
2014-02-11,15.29,15.29,15.13,15.28,19500,14.86
2014-02-10,15.26,15.26,15.11,15.13,12100,14.72
2014-02-07,15.10,15.16,15.02,15.15,12200,14.74
2014-02-06,15.04,15.08,14.93,15.03,4200,14.62
2014-02-05,14.91,15.02,14.87,14.90,15500,14.49
2014-02-04,15.04,15.07,14.93,14.93,14200,14.52
2014-02-03,14.99,15.01,14.83,14.84,32200,14.43
2014-01-31,15.15,15.15,14.98,15.02,16300,14.61
2014-01-30,15.00,15.19,15.00,15.19,53700,14.78
2014-01-29,14.96,15.06,14.87,14.97,16800,14.56
2014-01-28,15.10,15.17,15.07,15.10,30000,14.69
2014-01-27,15.24,15.24,15.02,15.13,111900,14.72
2014-01-24,15.23,15.25,15.14,15.19,41000,14.78
2014-01-23,15.33,15.43,15.29,15.31,21100,14.89
2014-01-22,15.31,15.39,15.25,15.36,22800,14.94
2014-01-21,15.37,15.48,15.31,15.37,31700,14.95
2014-01-17,15.47,15.47,15.31,15.35,26300,14.93
2014-01-16,15.30,15.47,15.18,15.42,56600,15.00
2014-01-15,15.28,15.38,15.23,15.26,33500,14.84
2014-01-14,15.42,15.46,15.22,15.35,38100,14.83
2014-01-13,15.67,15.67,15.32,15.32,26000,14.80
