Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,37.93,38.11,37.34,37.77,118100,37.77
2014-06-12,37.79,38.11,37.28,37.77,113900,37.77
2014-06-11,38.01,38.18,37.57,37.97,109800,37.97
2014-06-10,38.07,38.44,37.93,38.27,135800,38.27
2014-06-09,37.72,38.41,37.41,38.26,180300,38.26
2014-06-06,37.05,38.30,37.05,37.65,206600,37.65
2014-06-05,36.20,37.29,36.07,37.00,219700,37.00
2014-06-04,36.35,36.35,35.85,36.20,195400,36.20
2014-06-03,36.66,36.68,35.82,36.41,175500,36.41
2014-06-02,37.42,37.55,36.44,36.77,150900,36.77
2014-05-30,37.64,37.70,37.26,37.43,164800,37.43
2014-05-29,37.54,37.71,37.05,37.58,136400,37.58
2014-05-28,37.85,37.93,37.42,37.48,157200,37.48
2014-05-27,38.12,38.83,37.74,37.99,219500,37.99
2014-05-23,36.85,37.92,36.76,37.81,131900,37.81
2014-05-22,36.26,37.12,36.24,36.97,169200,36.97
2014-05-21,36.38,36.63,35.78,36.26,154400,36.26
2014-05-20,36.67,36.76,35.59,36.24,330500,36.24
2014-05-19,35.99,36.91,35.85,36.83,205700,36.83
2014-05-16,35.39,36.03,35.15,36.02,166500,36.02
2014-05-15,35.15,35.65,34.62,35.49,217200,35.49
2014-05-14,36.24,36.24,35.34,35.43,201900,35.43
2014-05-13,37.46,37.60,36.23,36.56,273000,36.31
2014-05-12,36.52,38.00,36.52,37.61,224700,37.35
2014-05-09,35.49,36.33,35.34,36.30,197700,36.05
2014-05-08,35.20,36.52,35.20,35.63,287800,35.39
2014-05-07,35.17,35.51,34.70,35.20,261000,34.96
2014-05-06,35.88,35.99,35.02,35.03,202000,34.79
2014-05-05,34.69,36.08,34.66,35.95,332600,35.70
2014-05-02,34.78,35.48,34.63,35.04,147500,34.80
2014-05-01,35.29,35.29,34.01,34.71,259700,34.47
2014-04-30,34.88,35.48,34.31,35.23,213400,34.99
2014-04-29,35.48,35.75,34.91,34.93,133400,34.69
2014-04-28,35.36,35.74,34.48,35.35,176400,35.11
2014-04-25,35.75,35.88,35.16,35.24,163600,35.00
2014-04-24,36.33,36.33,35.37,35.77,197300,35.53
