Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,69.62,69.74,68.74,69.09,2003000,69.09
2014-06-12,71.88,72.00,69.45,69.79,2446100,69.79
2014-06-11,71.62,72.28,71.59,72.04,1081500,72.04
2014-06-10,72.31,72.42,71.55,72.00,777000,72.00
2014-06-09,71.90,72.78,71.83,72.51,974100,72.51
2014-06-06,71.35,72.00,70.80,71.90,799600,71.90
2014-06-05,71.40,71.40,70.53,71.06,1132300,71.06
2014-06-04,70.83,71.45,70.26,71.33,867400,71.33
2014-06-03,70.74,71.33,70.69,70.98,939100,70.98
2014-06-02,71.15,71.24,70.16,71.02,1009700,71.02
2014-05-30,71.20,71.32,70.73,71.24,1151000,71.24
2014-05-29,71.31,71.35,70.84,71.23,732500,71.23
2014-05-28,71.06,71.39,70.87,71.15,1006500,71.15
2014-05-27,70.86,71.08,70.67,71.04,1211700,71.04
2014-05-23,71.37,71.37,70.29,70.71,1864500,70.43
2014-05-22,71.54,72.25,71.35,71.64,1037600,71.36
2014-05-21,71.61,72.16,71.19,72.09,728400,71.81
2014-05-20,72.28,72.44,71.03,71.42,978600,71.14
2014-05-19,71.66,72.61,71.52,72.31,747800,72.03
2014-05-16,70.67,72.03,70.34,72.01,1308600,71.73
2014-05-15,72.02,72.23,69.99,71.02,1923000,70.74
2014-05-14,73.43,73.55,72.25,72.41,745400,72.13
2014-05-13,73.35,74.05,73.32,73.47,1122900,73.18
2014-05-12,72.49,73.33,72.41,73.23,787100,72.95
2014-05-09,71.67,72.39,71.34,72.12,1093400,71.84
2014-05-08,72.01,72.79,71.28,71.64,1449400,71.36
2014-05-07,73.36,73.49,71.93,72.44,1347200,72.16
2014-05-06,72.98,73.37,72.70,73.03,914600,72.75
2014-05-05,72.36,73.23,71.77,73.15,1567200,72.87
2014-05-02,72.93,73.48,72.52,72.68,922400,72.40
2014-05-01,74.00,74.13,72.82,72.99,1488200,72.71
2014-04-30,73.23,73.95,73.16,73.94,1387200,73.65
2014-04-29,72.60,73.74,72.18,73.41,1746200,73.12
2014-04-28,71.91,72.63,71.43,72.50,2527300,72.22
2014-04-25,71.31,71.79,71.08,71.65,1549000,71.37
2014-04-24,72.00,72.00,70.28,71.63,2305300,71.35
2014-04-23,71.68,72.23,71.39,71.72,2162100,71.44
2014-04-22,72.51,73.50,71.35,71.87,5835700,71.59
2014-04-21,65.97,67.69,65.97,67.54,1458700,67.28
2014-04-17,66.27,67.07,66.25,66.64,819900,66.38
2014-04-16,66.06,66.60,65.74,66.55,783400,66.29
2014-04-15,65.47,65.61,63.74,65.37,1955400,65.12
2014-04-14,66.07,66.33,64.63,65.22,1642100,64.97
2014-04-11,66.31,67.00,65.48,65.51,1566300,65.26
2014-04-10,68.08,68.76,66.63,66.63,1721000,66.37
2014-04-09,66.87,68.01,66.57,67.88,1015400,67.62
2014-04-08,66.04,67.17,65.65,66.76,1192700,66.50
2014-04-07,67.66,68.14,65.38,65.90,1265000,65.64
2014-04-04,68.85,69.60,67.65,67.83,1144100,67.57
2014-04-03,68.80,68.90,68.38,68.63,855100,68.36
2014-04-02,68.38,69.00,68.38,68.72,1031300,68.45
2014-04-01,67.34,68.25,67.12,68.23,1049500,67.96
