Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,42.15,42.62,41.75,42.42,176600,42.42
2014-06-12,42.66,42.66,41.80,42.16,382500,42.16
2014-06-11,42.47,42.85,42.28,42.72,186400,42.72
2014-06-10,42.57,43.00,42.22,42.71,212500,42.71
2014-06-09,42.07,42.61,41.71,42.58,198200,42.58
2014-06-06,42.11,42.56,41.80,42.30,170500,42.30
2014-06-05,41.32,41.81,40.84,41.77,204000,41.77
2014-06-04,40.90,41.71,40.61,41.36,781200,41.36
2014-06-03,41.09,41.22,40.60,41.13,533000,41.13
2014-06-02,41.61,41.72,40.81,41.31,369200,41.31
2014-05-30,41.36,41.75,41.14,41.45,380600,41.45
2014-05-29,40.90,41.22,40.44,41.22,218900,41.22
2014-05-28,40.72,41.00,40.18,40.90,329700,40.90
2014-05-27,41.15,41.34,40.68,40.87,129000,40.87
2014-05-23,40.54,41.02,40.31,40.83,200400,40.83
2014-05-22,40.54,40.69,40.17,40.43,399400,40.43
2014-05-21,40.43,40.78,39.89,40.42,320600,40.42
2014-05-20,40.91,41.09,40.27,40.56,351500,40.48
2014-05-19,40.31,41.10,40.21,41.09,178800,41.00
2014-05-16,40.16,40.76,40.04,40.60,220400,40.51
2014-05-15,40.70,41.06,39.75,40.25,477100,40.17
2014-05-14,40.58,40.58,39.71,39.84,389100,39.76
2014-05-13,40.99,40.99,40.45,40.62,371800,40.53
2014-05-12,40.53,41.28,40.53,41.12,256200,41.03
2014-05-09,40.28,40.58,39.94,40.41,200700,40.33
2014-05-08,40.40,41.41,40.26,40.49,438300,40.41
2014-05-07,39.54,40.00,39.31,39.97,534000,39.89
2014-05-06,39.73,39.89,39.14,39.54,445800,39.46
2014-05-05,39.48,40.18,38.97,39.93,586500,39.85
2014-05-02,39.78,40.50,39.66,39.77,442100,39.69
2014-05-01,40.98,41.01,39.43,39.77,528700,39.69
2014-04-30,37.91,41.61,37.73,40.94,1661600,40.85
2014-04-29,38.21,38.55,37.56,37.72,635300,37.64
2014-04-28,38.44,38.71,37.51,37.98,535600,37.90
2014-04-25,38.89,38.94,38.37,38.39,315100,38.31
2014-04-24,38.94,39.38,38.74,38.94,425500,38.86
2014-04-23,39.77,39.96,38.61,38.63,646900,38.55
2014-04-22,39.66,40.21,39.59,39.75,313900,39.67
2014-04-21,40.30,40.30,39.64,39.70,175500,39.62
2014-04-17,39.93,40.60,39.90,40.18,235900,40.10
2014-04-16,40.73,41.00,39.68,39.93,288900,39.85
2014-04-15,40.00,40.50,39.44,40.42,552100,40.34
2014-04-14,38.50,40.16,38.46,39.88,802300,39.80
2014-04-11,38.54,38.64,37.25,37.49,736200,37.41
2014-04-10,39.83,39.87,38.74,38.74,464900,38.66
2014-04-09,39.90,40.25,39.51,39.90,441200,39.82
2014-04-08,39.04,39.89,39.04,39.85,311800,39.77
2014-04-07,39.17,39.68,38.75,39.05,837000,38.97
2014-04-04,40.97,41.19,39.32,39.38,481600,39.30
2014-04-03,40.64,40.96,40.14,40.86,477900,40.77
2014-04-02,40.84,41.46,40.24,40.56,666200,40.48
2014-04-01,41.73,41.73,40.03,40.70,1007700,40.61
2014-03-31,41.19,41.76,40.93,41.45,398400,41.36
2014-03-28,41.46,41.81,40.89,41.03,357600,40.94
2014-03-27,41.71,42.05,41.17,41.46,554500,41.37
2014-03-26,42.10,42.22,41.69,41.73,422900,41.64
2014-03-25,42.35,42.55,41.58,41.99,386800,41.90
2014-03-24,43.20,43.20,41.89,42.15,551100,42.06
2014-03-21,43.44,43.95,42.97,43.03,399900,42.94
2014-03-20,42.68,43.25,42.03,43.13,955100,43.04
2014-03-19,44.04,44.40,42.80,42.92,899200,42.83
2014-03-18,43.93,44.35,43.84,44.04,306100,43.95
2014-03-17,44.29,44.47,43.61,43.95,289600,43.86
2014-03-14,43.59,44.49,43.57,44.17,471300,44.08
2014-03-13,44.17,44.40,43.13,43.80,522000,43.71
2014-03-12,44.04,44.42,43.80,44.10,579700,44.01
2014-03-11,43.19,44.20,42.81,44.05,572200,43.96
2014-03-10,42.96,43.50,42.57,43.08,304300,42.99
2014-03-07,43.52,43.66,42.97,43.19,308900,43.10
2014-03-06,42.98,43.35,42.75,43.35,503400,43.26
2014-03-05,42.25,42.81,41.99,42.81,809600,42.72
2014-03-04,42.09,42.71,41.81,42.44,917200,42.35
2014-03-03,40.04,41.44,39.72,41.41,763300,41.32
2014-02-28,41.21,41.29,39.99,40.44,752400,40.36
2014-02-27,39.70,41.18,39.61,41.13,410600,41.04
2014-02-26,39.96,40.25,39.84,40.04,291400,39.87
2014-02-25,39.81,40.39,39.70,39.91,273500,39.74
2014-02-24,39.75,40.35,39.69,39.99,397600,39.82
2014-02-21,39.36,40.00,39.06,39.66,656000,39.49
2014-02-20,39.00,39.77,38.67,39.43,831000,39.26
2014-02-19,39.40,39.46,38.94,38.97,563800,38.81
2014-02-18,39.62,39.70,39.03,39.43,575400,39.26
2014-02-14,40.14,40.14,39.25,39.50,485800,39.33
2014-02-13,39.60,40.37,39.60,40.16,460000,39.99
2014-02-12,41.00,41.30,39.93,40.00,417100,39.83
2014-02-11,40.99,41.18,40.43,40.84,355500,40.67
2014-02-10,41.54,41.62,40.89,41.04,366300,40.87
2014-02-07,41.80,42.45,41.44,41.65,462500,41.47
2014-02-06,41.55,42.08,41.11,41.73,702800,41.55
2014-02-05,40.50,41.54,39.48,41.12,1288100,40.95
2014-02-04,42.66,43.03,41.76,42.02,860700,41.84
