Date,Open,High,Low,Close,Volume,Adj Close
2014-06-13,21.64,21.95,21.44,21.87,290800,21.87
2014-06-12,21.74,21.83,21.44,21.55,316900,21.55
2014-06-11,21.90,21.90,21.65,21.82,186600,21.82
2014-06-10,22.03,22.10,21.78,22.06,209300,22.06
2014-06-09,21.87,22.33,21.82,22.08,260700,22.08
2014-06-06,21.78,22.01,21.41,21.92,227900,21.92
2014-06-05,21.19,21.70,20.98,21.70,384000,21.70
2014-06-04,20.98,21.23,20.91,21.08,355100,21.08
2014-06-03,21.37,21.58,20.96,21.02,433700,21.02
2014-06-02,21.64,21.68,21.40,21.49,383700,21.49
2014-05-30,22.00,22.13,21.58,21.63,272300,21.63
2014-05-29,21.95,22.11,21.59,21.96,360100,21.96
2014-05-28,21.49,21.83,21.44,21.74,368500,21.74
2014-05-27,21.27,21.57,21.13,21.54,372800,21.54
2014-05-23,21.00,21.18,20.90,21.10,355100,21.10
2014-05-22,20.33,21.00,20.33,20.96,368200,20.96
2014-05-21,20.64,20.74,20.29,20.30,450900,20.30
2014-05-20,20.73,20.85,20.31,20.57,354100,20.57
2014-05-19,20.32,20.87,20.22,20.82,320000,20.82
2014-05-16,20.16,20.57,19.99,20.38,318300,20.38
2014-05-15,20.59,20.61,19.96,20.20,676100,20.20
2014-05-14,21.05,21.10,20.59,20.70,326500,20.70
2014-05-13,21.45,21.49,21.14,21.15,391800,21.15
2014-05-12,20.65,21.56,20.46,21.43,449400,21.43
2014-05-09,20.65,20.74,20.43,20.64,529700,20.64
2014-05-08,20.92,21.29,20.71,20.74,237800,20.74
2014-05-07,21.09,21.31,20.74,20.97,435700,20.97
2014-05-06,21.43,21.62,21.07,21.11,326400,21.11
2014-05-05,21.43,21.68,21.06,21.51,275200,21.51
2014-05-02,21.53,21.82,21.21,21.54,592600,21.54
2014-05-01,21.69,21.80,21.25,21.48,511700,21.48
2014-04-30,21.65,21.80,21.46,21.76,679500,21.76
2014-04-29,21.93,21.98,21.53,21.72,285800,21.72
2014-04-28,22.10,22.40,21.58,21.77,434100,21.77
2014-04-25,22.22,22.24,21.84,22.09,478000,22.09
2014-04-24,22.77,22.77,21.81,22.33,917300,22.33
2014-04-23,23.19,23.26,22.46,22.70,1208200,22.70
2014-04-22,23.16,23.53,22.98,23.17,713800,23.17
2014-04-21,22.70,23.20,22.43,23.15,456000,23.15
2014-04-17,22.17,22.77,22.15,22.58,411200,22.58
